Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,113.41,114.06,112.525,113.83,1052621.0,0.0,1.0,113.41,114.06,112.525,113.83,1052621.0
2015-04-15,114.2,114.33,112.78,113.62,1327992.0,0.0,1.0,114.2,114.33,112.78,113.62,1327992.0
2015-04-14,114.34,114.45,112.7,114.0,1031953.0,0.0,1.0,114.34,114.45,112.7,114.0,1031953.0
2015-04-13,115.31,115.8799,113.66,113.99,1817398.0,0.0,1.0,115.31,115.8799,113.66,113.99,1817398.0
2015-04-10,113.4,115.55,113.2244,115.35,1878019.0,0.0,1.0,113.4,115.55,113.2244,115.35,1878019.0
2015-04-09,113.31,114.28,112.64,113.5,2420671.0,0.0,1.0,113.31,114.28,112.64,113.5,2420671.0
2015-04-08,112.77,113.5,112.43,113.24,2040714.0,0.0,1.0,112.77,113.5,112.43,113.24,2040714.0
2015-04-07,112.91,113.49,112.45,112.68,1177046.0,0.0,1.0,112.91,113.49,112.45,112.68,1177046.0
2015-04-06,111.99,113.13,111.79,112.54,1861091.0,0.0,1.0,111.99,113.13,111.79,112.54,1861091.0
2015-04-02,112.16,112.59,111.58,112.39,2034546.0,0.0,1.0,112.16,112.59,111.58,112.39,2034546.0
2015-04-01,113.93,113.93,111.41,112.03,2065895.0,0.0,1.0,113.93,113.93,111.41,112.03,2065895.0
2015-03-31,113.42,114.27,113.42,113.67,2238852.0,0.0,1.0,113.42,114.27,113.42,113.67,2238852.0
2015-03-30,113.7,114.0,113.37,113.49,2178338.0,0.0,1.0,113.7,114.0,113.37,113.49,2178338.0
2015-03-27,112.33,113.58,112.2128,113.19,1862528.0,0.0,1.0,112.33,113.58,112.2128,113.19,1862528.0
2015-03-26,111.5,113.05,110.54,112.09,2409778.0,0.0,1.0,111.5,113.05,110.54,112.09,2409778.0
2015-03-25,113.9,114.6,111.8,112.14,2065893.0,0.0,1.0,113.9,114.6,111.8,112.14,2065893.0
2015-03-24,113.64,114.73,113.36,113.89,1902671.0,0.0,1.0,113.64,114.73,113.36,113.89,1902671.0
2015-03-23,113.74,114.53,113.13,113.64,1919922.0,0.0,1.0,113.74,114.53,113.13,113.64,1919922.0
2015-03-20,112.98,114.5,112.84,113.46,4338771.0,0.0,1.0,112.98,114.5,112.84,113.46,4338771.0
2015-03-19,111.88,112.5,111.07,112.37,1411817.0,0.0,1.0,111.88,112.5,111.07,112.37,1411817.0
2015-03-18,110.45,112.28,109.82,111.7,2026731.0,0.0,1.0,110.45,112.28,109.82,111.7,2026731.0
2015-03-17,109.94,110.71,109.27,110.36,1786667.0,0.0,1.0,109.94,110.71,109.27,110.36,1786667.0
2015-03-16,108.13,110.2,106.971,110.13,3535550.0,0.0,1.0,108.13,110.2,106.971,110.13,3535550.0
2015-03-13,105.26,106.38,105.12,106.15,1673336.0,0.0,1.0,105.26,106.38,105.12,106.15,1673336.0
2015-03-12,104.0,105.515,103.95,105.38,1438331.0,0.0,1.0,104.0,105.515,103.95,105.38,1438331.0
2015-03-11,103.4,104.1,102.95,103.84,1719937.0,0.0,1.0,103.4,104.1,102.95,103.84,1719937.0
2015-03-10,102.62,103.52,102.22,102.93,1912149.0,0.0,1.0,102.62,103.52,102.22,102.93,1912149.0
2015-03-09,102.47,103.58,102.01,103.34,1295312.0,0.0,1.0,102.47,103.58,102.01,103.34,1295312.0
2015-03-06,103.19,103.59,102.0,102.26,1549308.0,0.0,1.0,103.19,103.59,102.0,102.26,1549308.0
2015-03-05,103.74,103.9199,103.17,103.64,1208409.0,0.0,1.0,103.74,103.9199,103.17,103.64,1208409.0
2015-03-04,102.53,103.65,102.13,103.48,1832610.0,0.0,1.0,102.53,103.65,102.13,103.48,1832610.0
2015-03-03,103.41,103.97,102.5,103.04,1995403.0,0.0,1.0,103.41,103.97,102.5,103.04,1995403.0
2015-03-02,102.57,103.25,102.44,103.1,1948322.0,0.0,1.0,102.57,103.25,102.44,103.1,1948322.0
2015-02-27,103.08,103.31,102.49,102.76,1329252.0,0.0,1.0,103.08,103.31,102.49,102.76,1329252.0
2015-02-26,102.93,103.64,102.62,102.98,1711928.0,0.0,1.0,102.93,103.64,102.62,102.98,1711928.0
2015-02-25,102.97,103.705,102.75,103.29,1064924.0,0.0,1.0,102.97,103.705,102.75,103.29,1064924.0
2015-02-24,102.76,103.14,102.29,102.97,1169176.0,0.0,1.0,102.76,103.14,102.29,102.97,1169176.0
2015-02-23,101.95,102.89,101.79,102.76,1105862.0,0.0,1.0,101.95,102.89,101.79,102.76,1105862.0
2015-02-20,100.79,102.0,100.18,101.98,1441724.0,0.0,1.0,100.79,102.0,100.18,101.98,1441724.0
2015-02-19,100.53,101.03,100.09,101.01,1421388.0,0.0,1.0,100.53,101.03,100.09,101.01,1421388.0
2015-02-18,100.21,100.92,99.61,100.66,1672557.0,0.0,1.0,100.21,100.92,99.61,100.66,1672557.0
2015-02-17,100.025,100.85,99.68,100.6,2196444.0,0.0,1.0,100.025,100.85,99.68,100.6,2196444.0
2015-02-13,99.74,100.36,99.0117,100.34,2060949.0,0.0,1.0,99.74,100.36,99.0117,100.34,2060949.0
2015-02-12,99.05,99.85,98.23,99.83,2222861.0,0.29,1.0,99.05,99.85,98.23,99.83,2222861.0
2015-02-11,97.22,99.08,96.93,98.74,3135026.0,0.0,1.0,96.938399920096,98.793012385138,96.649239912105,98.453997203356,3135026.0
2015-02-10,96.34,97.01,95.77,96.91,2247900.0,0.0,1.0,96.060948861366,96.729008190172,95.492599880144,96.629297842589,2247900.0
2015-02-09,96.92,96.97,95.075,95.56,1643750.0,0.0,1.0,96.639268877347,96.689124051139,94.799612964443,95.28320815022,1643750.0
2015-02-06,96.95,98.23,96.59,97.04,2015514.0,0.0,1.0,96.669181981622,97.945474430683,96.310224730324,96.758921294447,2015514.0
2015-02-05,96.27,96.67,95.98,96.34,1055712.0,0.0,1.0,95.991151618058,96.38999300839,95.701991610068,96.060948861366,1055712.0
2015-02-04,95.62,96.454,95.2315,95.87,1777618.0,0.0,1.0,95.343034358769,96.174618657611,94.95565965841,95.592310227727,1777618.0
2015-02-03,95.6,95.83,94.27,95.64,2074714.0,0.0,1.0,95.323092289253,95.552426088694,93.9969446664,95.362976428286,2074714.0
2015-02-02,95.59,95.77,93.6,95.15,1694959.0,0.0,1.0,95.313121254495,95.492599880144,93.328885337595,94.87439572513,1694959.0
2015-01-30,95.81,96.5,94.98,95.05,2345168.0,0.0,1.0,95.532484019177,96.220485417499,94.704888134239,94.774685377547,2345168.0
2015-01-29,96.68,97.13,94.89,96.34,3318451.0,0.0,1.0,96.399964043148,96.848660607271,94.615148821414,96.060948861366,3318451.0
2015-01-28,98.46,100.2,95.26,96.37,5423202.0,0.0,1.0,98.174808230124,99.909768278066,94.984077107471,96.090861965641,5423202.0
