Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,93.91,94.22,93.67,94.06,1926298.0,0.0,1.0,93.91,94.22,93.67,94.06,1926298.0
2015-04-15,94.27,94.5,94.01,94.16,2093898.0,0.0,1.0,94.27,94.5,94.01,94.16,2093898.0
2015-04-14,93.57,94.22,93.22,93.81,2084114.0,0.0,1.0,93.57,94.22,93.22,93.81,2084114.0
2015-04-13,94.34,94.88,93.44,93.49,2414694.0,0.0,1.0,94.34,94.88,93.44,93.49,2414694.0
2015-04-10,95.45,95.47,94.53,94.69,2157517.0,0.0,1.0,95.45,95.47,94.53,94.69,2157517.0
2015-04-09,95.4,95.66,94.68,95.47,1945257.0,0.0,1.0,95.4,95.66,94.68,95.47,1945257.0
2015-04-08,95.46,96.16,94.66,95.12,2651103.0,1.02,1.0,95.46,96.16,94.66,95.12,2651103.0
2015-04-07,95.64,96.78,95.14,96.39,4228221.0,0.0,1.0,94.625304763886,95.753209902226,94.130609527772,95.367347618057,4228221.0
2015-04-06,93.46,96.0,93.13,95.69,2563700.0,0.0,1.0,92.468433534429,94.981485333888,92.141934678594,94.674774287497,2563700.0
2015-04-02,93.7,94.42,93.1,94.18,2138384.0,0.0,1.0,92.705887247764,93.418248387768,92.112252964427,93.180794674433,2138384.0
2015-04-01,93.56,93.93,92.68,93.56,2731026.0,0.0,1.0,92.567372581652,92.933447056376,91.696708966091,92.567372581652,2731026.0
2015-03-31,94.01,94.49,93.55,93.69,2701658.0,0.0,1.0,93.012598294154,93.487505720824,92.557478676929,92.695993343041,2701658.0
2015-03-30,94.15,94.84,93.94,94.42,3324939.0,0.0,1.0,93.151112960266,93.833792386104,92.943340961098,93.418248387768,3324939.0
2015-03-27,93.92,94.14,92.65,93.94,4334117.0,0.0,1.0,92.923553151654,93.141219055544,91.667027251924,92.943340961098,4334117.0
2015-03-26,91.51,94.98,90.94,94.17,7155516.0,0.0,1.0,90.539122113584,93.972307052216,89.975169544414,93.170900769711,7155516.0
2015-03-25,89.41,89.95,88.18,88.21,3591128.0,0.0,1.0,88.461402121906,88.995672976909,87.244451841065,87.274133555232,3591128.0
2015-03-24,91.49,91.49,89.28,89.41,2940569.0,0.0,1.0,90.51933430414,90.51933430414,88.332781360516,88.461402121906,2940569.0
2015-03-23,91.38,91.775,91.21,91.54,1912482.0,0.0,1.0,90.410501352195,90.801310588725,90.242304971916,90.568803827751,1912482.0
2015-03-20,90.89,91.65,90.51,91.48,3493482.0,0.0,1.0,89.925700020803,90.677636779696,89.549731641356,90.509440399418,3493482.0
2015-03-19,90.89,91.34,89.99,90.19,2649996.0,0.0,1.0,89.925700020803,90.370925733306,89.035248595798,89.233126690243,2649996.0
2015-03-18,88.8,91.3499,88.365,90.93,2661007.0,0.0,1.0,87.857873933846,90.380720698981,87.427489078427,89.965275639692,2661007.0
2015-03-17,88.35,88.88,88.21,88.84,2210673.0,0.0,1.0,87.412648221344,87.937025171625,87.274133555232,87.897449552736,2210673.0
2015-03-16,88.32,89.1,88.14,88.91,2213930.0,0.0,1.0,87.382966507177,88.154691075515,87.204876222176,87.966706885792,2213930.0
2015-03-13,88.18,88.21,86.4,87.87,3588594.0,0.0,1.0,87.244451841065,87.274133555232,85.483336800499,86.937740794674,3588594.0
2015-03-12,87.03,88.3,86.86,88.2,2159354.0,0.0,1.0,86.106652798003,87.363178697732,85.938456417724,87.26423965051,2159354.0
2015-03-11,88.29,88.9,86.76,86.86,4320442.0,0.0,1.0,87.35328479301,87.956812981069,85.839517370501,85.938456417724,4320442.0
2015-03-10,89.96,90.21,88.05,88.06,3230953.0,0.0,1.0,89.005566881631,89.252914499688,87.115831079675,87.125724984398,3230953.0
2015-03-09,90.73,90.96,90.14,90.79,1464248.0,0.0,1.0,89.767397545247,89.994957353859,89.183657166632,89.82676097358,1464248.0
2015-03-06,91.62,91.95,90.49,90.67,3735001.0,0.0,1.0,90.647955065529,90.974453921365,89.529943831912,89.708034116913,3735001.0
2015-03-05,91.31,92.18,91.18,92.05,3019572.0,0.0,1.0,90.341244019139,91.202013729977,90.212623257749,91.073392968587,3019572.0
2015-03-04,90.83,91.2,90.06,90.91,2728849.0,0.0,1.0,89.866336592469,90.232411067194,89.104505928854,89.945487830248,2728849.0
2015-03-03,91.18,91.27,90.55,90.84,2883928.0,0.0,1.0,90.212623257749,90.30166840025,89.589307260245,89.876230497192,2883928.0
2015-03-02,89.76,91.24,89.73,91.18,1974960.0,0.0,1.0,88.807688787185,90.271986686083,88.778007073019,90.212623257749,1974960.0
2015-02-27,90.05,90.76,89.86,90.03,1686052.0,0.0,1.0,89.094612024131,89.797079259413,88.906627834408,89.074824214687,1686052.0
2015-02-26,90.82,91.23,90.0,90.3,2156791.0,0.0,1.0,89.856442687747,90.262092781361,89.04514250052,89.341959642188,2156791.0
2015-02-25,90.64,91.44,90.33,90.6,1732915.0,0.0,1.0,89.678352402746,90.469864780528,89.371641356355,89.638776783857,1732915.0
2015-02-24,90.17,90.995,89.89,90.85,1592032.0,0.0,1.0,89.213338880799,90.029586020387,88.936309548575,89.886124401914,1592032.0
2015-02-23,90.67,90.79,90.13,90.57,1579045.0,0.0,1.0,89.708034116913,89.82676097358,89.17376326191,89.60909506969,1579045.0
2015-02-20,90.05,90.98,89.31,90.49,2946621.0,0.0,1.0,89.094612024131,90.014745163304,88.362463074683,89.529943831912,2946621.0
2015-02-19,89.47,90.38,89.37,90.27,1751426.0,0.0,1.0,88.520765550239,89.421110879967,88.421826503016,89.312277928022,1751426.0
2015-02-18,88.86,89.515,88.86,89.43,1508004.0,0.0,1.0,87.91723736218,88.56528812149,87.91723736218,88.48118993135,1508004.0
2015-02-17,89.78,89.79,88.825,89.3,1915138.0,0.0,1.0,88.82747659663,88.837370501352,87.882608695652,88.35256916996,1915138.0
2015-02-13,89.1,89.8,89.08,89.79,1770173.0,0.0,1.0,88.154691075515,88.847264406074,88.13490326607,88.837370501352,1770173.0
2015-02-12,88.05,89.22,87.98,89.09,1931264.0,0.0,1.0,87.115831079675,88.273417932182,87.04657374662,88.144797170793,1931264.0
2015-02-11,87.59,88.17,87.25,87.96,1823187.0,0.0,1.0,86.660711462451,87.234557936343,86.324318701893,87.026785937175,1823187.0
2015-02-10,87.76,87.91,86.68,87.52,2568564.0,0.0,1.0,86.828907842729,86.977316413564,85.760366132723,86.591454129395,2568564.0
2015-02-09,87.51,88.23,87.1,87.36,2668576.0,0.0,1.0,86.581560224672,87.293921364677,86.175910131059,86.433151653838,2668576.0
2015-02-06,88.6,89.1,87.84,88.15,2386506.0,0.0,1.0,87.659995839401,88.154691075515,86.908059080508,87.214770126898,2386506.0
2015-02-05,88.11,88.54,87.34,88.47,2102529.0,0.0,1.0,87.175194508009,87.600632411067,86.413363844394,87.531375078011,2102529.0
2015-02-04,89.18,89.18,87.165,87.34,2764092.0,0.0,1.0,88.233842313293,88.233842313293,86.240220511754,86.413363844394,2764092.0
2015-02-03,86.15,87.96,85.97,87.92,3494859.0,0.0,1.0,85.235989182442,87.026785937175,85.057898897441,86.987210318286,3494859.0
2015-02-02,84.14,85.85,83.47,85.83,3084117.0,0.0,1.0,83.247314333264,84.939172040774,82.584422716871,84.919384231329,3084117.0
2015-01-30,84.96,85.44,83.86,84.03,3832591.0,0.0,1.0,84.058614520491,84.53352194716,82.97028500104,83.138481381319,3832591.0
2015-01-29,84.95,85.7,83.94,85.64,3583181.0,0.0,1.0,84.048720615769,84.79076346994,83.049436238818,84.731400041606,3583181.0
2015-01-28,86.95,87.12,84.33,84.36,3464270.0,0.0,1.0,86.027501560225,86.195697940503,83.435298522987,83.464980237154,3464270.0
2015-01-26,89.04,89.2,88.24,89.08,1997695.0,0.0,1.0,88.095327647181,88.253630122738,87.303815269399,88.13490326607,1997695.0
2015-01-23,89.51,89.92,89.14,89.22,1940730.0,0.0,1.0,88.560341169128,88.965991262742,88.194266694404,88.273417932182,1940730.0
2015-01-22,88.72,89.56,87.95,89.5,2656855.0,0.0,1.0,87.778722696068,88.60981069274,87.016892032453,88.550447264406,2656855.0
2015-01-21,88.29,88.63,87.73,88.34,2035711.0,0.0,1.0,87.35328479301,87.689677553568,86.799226128563,87.402754316622,2035711.0
2015-01-20,88.9,89.42,87.92,88.62,2330991.0,0.0,1.0,87.956812981069,88.471296026628,86.987210318286,87.679783648845,2330991.0
2015-01-15,89.0,89.1,87.67,88.17,1820902.0,0.0,1.0,88.055752028292,88.154691075515,86.739862700229,87.234557936343,1820902.0
2015-01-14,89.54,89.54,88.0,88.78,2368948.0,0.0,1.0,88.590022883295,88.590022883295,87.066361556064,87.838086124402,2368948.0
2015-01-13,89.94,91.34,89.15,89.83,4003792.0,0.0,1.0,88.985779072186,90.370925733306,88.204160599126,88.876946120241,4003792.0
2015-01-12,89.25,90.0201,88.91,89.51,2413930.0,0.0,1.0,88.303099646349,89.065029249012,87.966706885792,88.560341169128,2413930.0
2015-01-08,89.01,90.15,88.84,89.88,2801449.0,0.0,1.0,88.065645933014,89.193551071354,87.897449552736,88.926415643853,2801449.0
2015-01-06,87.425,87.77,86.01,86.71,2865899.0,0.0,1.0,86.497462034533,86.838801747452,85.09747451633,85.79004784689,2865899.0
2015-01-05,88.05,88.32,87.18,87.34,2996317.0,0.0,1.0,87.115831079675,87.382966507177,86.255061368837,86.413363844394,2996317.0
2015-01-02,89.66,90.09,88.43,88.84,2020432.0,0.0,1.0,88.708749739963,89.134187643021,87.491799459122,87.897449552736,2020432.0
2014-12-31,90.3,90.48,89.29,89.31,1757716.0,0.0,1.0,89.341959642188,89.52004992719,88.342675265238,88.362463074683,1757716.0
2014-12-30,90.5,90.84,89.99,90.19,1686495.0,0.0,1.0,89.539837736634,89.876230497192,89.035248595798,89.233126690243,1686495.0
2014-12-26,91.415,91.72,91.18,91.26,1193957.0,0.0,1.0,90.445130018723,90.746894112752,90.212623257749,90.291774495527,1193957.0
2014-12-24,91.39,91.94,91.31,91.32,914865.0,0.0,1.0,90.420395256917,90.964560016642,90.341244019139,90.351137923861,914865.0
2014-12-23,91.04,91.75,90.7,91.42,2148213.0,0.0,1.0,90.074108591637,90.776575826919,89.73771583108,90.450076971084,2148213.0
2014-12-22,90.08,91.25,89.77,91.18,2984251.0,0.0,1.0,89.124293738298,90.281880590805,88.817582691908,90.212623257749,2984251.0
2014-12-19,89.73,91.36,89.64,90.51,6448934.0,0.0,1.0,88.778007073019,90.39071354275,88.688961930518,89.549731641356,6448934.0
2014-12-18,88.26,90.99,87.79,89.74,8904472.0,0.0,1.0,87.323603078843,90.024639068026,86.858589556896,88.787900977741,8904472.0
2014-12-17,83.0,85.31,82.85,85.3,5070327.0,0.0,1.0,82.119409194924,84.404901185771,81.97100062409,84.395007281048,5070327.0
2014-12-16,81.88,84.215,81.66,82.87,4384608.0,0.0,1.0,81.011291866029,83.321518618681,80.793625962139,81.990788433534,4384608.0
2014-12-15,82.34,82.85,81.69,81.88,3152942.0,0.0,1.0,81.466411483254,81.97100062409,80.823307676305,81.011291866029,3152942.0
2014-12-12,83.46,83.47,81.86,81.9,2780704.0,0.0,1.0,82.574528812149,82.584422716871,80.991504056584,81.031079675473,2780704.0
2014-12-10,85.04,85.31,83.62,83.73,1965253.0,0.0,1.0,84.137765758269,84.404901185771,82.732831287705,82.841664239651,1965253.0
2014-12-09,84.15,85.22,83.99,85.18,1652612.0,0.0,1.0,83.257208237986,84.31585604327,83.09890576243,84.276280424381,1652612.0
2014-12-05,86.31,86.49,86.08,86.19,2227364.0,0.0,1.0,85.394291657999,85.572381943,85.166731849386,85.275564801331,2227364.0
2014-12-04,86.36,86.56,85.93,86.34,1723235.0,0.0,1.0,85.44376118161,85.641639276056,85.018323278552,85.423973372166,1723235.0
2014-12-02,85.83,86.22,85.25,85.98,2503991.0,0.0,1.0,84.919384231329,85.305246515498,84.345537757437,85.067792802164,2503991.0
2014-12-01,85.89,87.08,85.61,86.0,2675462.0,0.0,1.0,84.978747659663,86.156122321614,84.701718327439,85.087580611608,2675462.0
2014-11-28,85.18,86.49,85.19,86.33,1725067.0,0.0,1.0,84.276280424381,85.572381943,84.286174329103,85.414079467443,1725067.0
2014-11-26,85.23,85.29,84.81,85.15,1930114.0,0.0,1.0,84.325749947993,84.385113376326,83.910205949657,84.246598710214,1930114.0
2014-11-25,85.05,85.38,84.78,85.32,3475163.0,0.0,1.0,84.147659662991,84.474158518827,83.88052423549,84.414795090493,3475163.0
2014-11-24,83.99,85.0,83.99,84.93,2003186.0,0.0,1.0,83.09890576243,84.09819013938,83.09890576243,84.028932806324,2003186.0
2014-11-21,84.32,84.37,83.71,84.08,2204344.0,0.0,1.0,83.425404618265,83.474874141876,82.821876430206,83.18795090493,2204344.0
2014-11-20,83.5,83.91,83.16,83.44,1571161.0,0.0,1.0,82.614104431038,83.019754524652,82.277711670481,82.554741002704,1571161.0
2014-11-19,84.0,84.2,83.46,83.64,2109327.0,0.0,1.0,83.108799667152,83.306677761598,82.574528812149,82.75261909715,2109327.0
2014-11-18,84.61,84.77,84.08,84.3,2714480.0,0.0,1.0,83.712327855211,83.870630330768,83.18795090493,83.40561680882,2714480.0
2014-11-17,84.43,84.79,84.13,84.65,1890166.0,0.0,1.0,83.53423757021,83.890418140212,83.237420428542,83.7519034741,1890166.0
2014-11-14,84.27,84.739,84.05,84.64,2777205.0,0.0,1.0,83.375935094654,83.839959226129,83.158269190763,83.742009569378,2777205.0
2014-11-13,84.03,84.78,83.8,84.44,2337166.0,0.0,1.0,83.138481381319,83.88052423549,82.910921572706,83.544131474932,2337166.0
2014-11-12,83.83,84.22,83.57,84.12,1929625.0,0.0,1.0,82.940603286873,83.326465571042,82.683361764094,83.227526523819,1929625.0
2014-11-11,84.13,84.5,83.775,83.94,1650316.0,0.0,1.0,83.237420428542,83.603494903266,82.886186810901,83.049436238818,1650316.0
2014-11-10,83.16,84.35,83.16,84.16,2444461.0,0.0,1.0,82.277711670481,83.455086332432,82.277711670481,83.267102142709,2444461.0
2014-11-07,83.13,83.75,82.72,83.48,2501231.0,0.0,1.0,82.248029956314,82.861452049095,81.8423798627,82.594316621594,2501231.0
2014-11-06,82.19,83.31,82.108,83.24,2585987.0,0.0,1.0,81.318002912419,82.426120241315,81.236872893697,82.356862908259,2585987.0
2014-11-04,80.81,81.29,80.78,81.15,2369274.0,0.0,1.0,79.952644060745,80.427551487414,79.922962346578,80.289036821302,2369274.0
2014-11-03,80.93,81.37,80.67,80.97,2302439.0,0.0,1.0,80.071370917412,80.506702725192,79.814129394633,80.110946536301,2302439.0
2014-10-31,81.15,81.42,80.94,81.12,3082163.0,0.0,1.0,80.289036821302,80.556172248804,80.081264822134,80.259355107135,3082163.0
2014-10-30,79.51,80.65,79.35,80.62,2905665.0,0.0,1.0,78.666436446848,79.794341585188,78.508133971292,79.764659871021,2905665.0
2014-10-29,79.5,79.95,79.0,79.55,2431383.0,0.0,1.0,78.656542542126,79.101768254629,78.161847306012,78.706012065737,2431383.0
2014-10-28,79.24,79.48,79.0,79.47,2458085.0,0.0,1.0,78.399301019347,78.636754732682,78.161847306012,78.626860827959,2458085.0
2014-10-27,78.07,79.421,77.94,79.02,3382422.0,0.0,1.0,77.24171416684,78.57838069482,77.11309340545,78.181635115457,3382422.0
