Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,85.56,85.75,85.25,85.38,1441885.0,0.0,1.0,85.56,85.75,85.25,85.38,1441885.0
2015-04-15,85.9,86.08,85.605,85.76,1466919.0,0.0,1.0,85.9,86.08,85.605,85.76,1466919.0
2015-04-14,85.74,86.14,85.2,85.62,1362597.0,0.0,1.0,85.74,86.14,85.2,85.62,1362597.0
2015-04-13,86.12,86.7,85.76,85.92,1291247.0,0.0,1.0,86.12,86.7,85.76,85.92,1291247.0
2015-04-10,86.76,86.79,86.16,86.34,1833920.0,0.0,1.0,86.76,86.79,86.16,86.34,1833920.0
2015-04-09,86.45,86.74,85.67,86.6,1111551.0,0.0,1.0,86.45,86.74,85.67,86.6,1111551.0
2015-04-08,85.69,86.7,85.53,86.57,1268234.0,0.0,1.0,85.69,86.7,85.53,86.57,1268234.0
2015-04-07,86.23,86.63,85.82,85.855,1017091.0,0.0,1.0,86.23,86.63,85.82,85.855,1017091.0
2015-04-06,85.66,86.66,85.4154,86.25,1426962.0,0.0,1.0,85.66,86.66,85.4154,86.25,1426962.0
2015-04-02,85.85,86.58,85.47,85.92,1674222.0,0.0,1.0,85.85,86.58,85.47,85.92,1674222.0
2015-04-01,85.73,85.73,84.33,85.26,1487466.0,0.0,1.0,85.73,85.73,84.33,85.26,1487466.0
2015-03-31,85.35,86.3375,85.18,85.64,1604010.0,0.0,1.0,85.35,86.3375,85.18,85.64,1604010.0
2015-03-30,84.96,86.17,84.9176,85.89,1114711.0,0.0,1.0,84.96,86.17,84.9176,85.89,1114711.0
2015-03-27,84.34,84.91,84.2,84.63,1408656.0,0.0,1.0,84.34,84.91,84.2,84.63,1408656.0
2015-03-26,84.26,84.77,83.911,84.41,1576209.0,0.0,1.0,84.26,84.77,83.911,84.41,1576209.0
2015-03-25,87.13,87.155,84.74,84.74,1693771.0,0.0,1.0,87.13,87.155,84.74,84.74,1693771.0
2015-03-24,87.15,87.6,86.96,86.965,1146753.0,0.0,1.0,87.15,87.6,86.96,86.965,1146753.0
2015-03-23,88.02,88.02,87.29,87.305,1573942.0,0.0,1.0,88.02,88.02,87.29,87.305,1573942.0
2015-03-20,87.8,88.005,87.48,87.77,3638544.0,0.0,1.0,87.8,88.005,87.48,87.77,3638544.0
2015-03-19,87.38,87.79,87.27,87.38,2104601.0,0.0,1.0,87.38,87.79,87.27,87.38,2104601.0
2015-03-18,86.63,87.76,85.56,87.35,1914575.0,0.0,1.0,86.63,87.76,85.56,87.35,1914575.0
2015-03-17,86.91,87.32,86.56,86.64,1934055.0,0.0,1.0,86.91,87.32,86.56,86.64,1934055.0
2015-03-16,86.52,87.53,86.2,87.35,1615995.0,0.0,1.0,86.52,87.53,86.2,87.35,1615995.0
2015-03-13,86.09,86.47,85.32,85.88,1609989.0,0.0,1.0,86.09,86.47,85.32,85.88,1609989.0
2015-03-12,85.41,86.48,85.12,86.39,1145828.0,0.0,1.0,85.41,86.48,85.12,86.39,1145828.0
2015-03-11,84.99,85.44,84.64,84.985,1721823.0,0.0,1.0,84.99,85.44,84.64,84.985,1721823.0
2015-03-10,86.06,86.31,85.15,85.15,1915348.0,0.0,1.0,86.06,86.31,85.15,85.15,1915348.0
2015-03-09,86.4,87.0,85.86,86.84,1481848.0,0.0,1.0,86.4,87.0,85.86,86.84,1481848.0
2015-03-06,86.33,86.97,85.84,85.995,2010986.0,0.0,1.0,86.33,86.97,85.84,85.995,2010986.0
2015-03-05,86.59,86.91,86.26,86.75,2728568.0,0.0,1.0,86.59,86.91,86.26,86.75,2728568.0
2015-03-04,88.25,88.3,86.52,86.575,3305995.0,0.0,1.0,88.25,88.3,86.52,86.575,3305995.0
2015-03-03,89.55,89.99,88.33,88.7,3012096.0,0.0,1.0,89.55,89.99,88.33,88.7,3012096.0
2015-03-02,88.88,90.23,88.58,90.18,1771365.0,0.0,1.0,88.88,90.23,88.58,90.18,1771365.0
2015-02-27,88.85,89.44,88.45,88.84,1815944.0,0.0,1.0,88.85,89.44,88.45,88.84,1815944.0
2015-02-26,89.19,89.25,88.61,88.84,1426287.0,0.0,1.0,89.19,89.25,88.61,88.84,1426287.0
2015-02-25,89.33,89.7,88.79,89.07,1617915.0,0.0,1.0,89.33,89.7,88.79,89.07,1617915.0
2015-02-24,89.17,89.38,88.51,89.26,1418717.0,0.0,1.0,89.17,89.38,88.51,89.26,1418717.0
2015-02-23,88.73,89.24,88.23,89.16,1677559.0,0.0,1.0,88.73,89.24,88.23,89.16,1677559.0
2015-02-20,87.81,88.75,87.04,88.685,2008749.0,0.0,1.0,87.81,88.75,87.04,88.685,2008749.0
2015-02-19,87.61,87.83,86.86,87.73,1567819.0,0.0,1.0,87.61,87.83,86.86,87.73,1567819.0
2015-02-18,86.6,87.73,86.6,87.59,1758237.0,0.0,1.0,86.6,87.73,86.6,87.59,1758237.0
2015-02-17,87.76,88.07,86.545,87.11,3989042.0,0.0,1.0,87.76,88.07,86.545,87.11,3989042.0
2015-02-13,87.95,88.75,87.78,88.75,1933922.0,0.0,1.0,87.95,88.75,87.78,88.75,1933922.0
2015-02-12,87.2,87.79,86.98,87.745,1872377.0,0.0,1.0,87.2,87.79,86.98,87.745,1872377.0
2015-02-11,86.71,87.23,86.3,86.82,1814074.0,0.0,1.0,86.71,87.23,86.3,86.82,1814074.0
2015-02-10,86.19,86.75,85.65,86.52,2547606.0,0.0,1.0,86.19,86.75,85.65,86.52,2547606.0
2015-02-09,86.01,86.49,85.74,86.01,1678643.0,0.0,1.0,86.01,86.49,85.74,86.01,1678643.0
2015-02-06,87.15,87.35,86.23,86.44,2371200.0,0.0,1.0,87.15,87.35,86.23,86.44,2371200.0
2015-02-05,86.43,87.19,85.89,87.17,2144671.0,0.0,1.0,86.43,87.19,85.89,87.17,2144671.0
2015-02-04,87.14,87.1806,85.67,86.58,3645309.0,0.0,1.0,87.14,87.1806,85.67,86.58,3645309.0
2015-02-03,84.18,85.36,83.51,85.14,3442426.0,0.0,1.0,84.18,85.36,83.51,85.14,3442426.0
2015-02-02,81.82,83.5,81.7116,83.44,2786281.0,0.0,1.0,81.82,83.5,81.7116,83.44,2786281.0
2015-01-30,83.96,84.24,82.47,82.53,4068190.0,0.0,1.0,83.96,84.24,82.47,82.53,4068190.0
2015-01-29,84.46,84.82,83.5,84.35,2959374.0,0.0,1.0,84.46,84.82,83.5,84.35,2959374.0
2015-01-28,85.86,86.3,84.46,84.53,2131311.0,0.0,1.0,85.86,86.3,84.46,84.53,2131311.0
2015-01-26,86.25,86.8926,85.49,86.57,1527596.0,0.0,1.0,86.25,86.8926,85.49,86.57,1527596.0
2015-01-23,86.65,87.18,86.389,86.85,2088011.0,0.0,1.0,86.65,87.18,86.389,86.85,2088011.0
2015-01-22,85.0,86.79,84.0,86.61,1968269.0,0.0,1.0,85.0,86.79,84.0,86.61,1968269.0
2015-01-21,84.56,85.15,84.1,84.56,1727106.0,0.0,1.0,84.56,85.15,84.1,84.56,1727106.0
2015-01-20,84.83,85.22,83.79,84.97,1570324.0,0.0,1.0,84.83,85.22,83.79,84.97,1570324.0
2015-01-15,83.87,84.34,83.33,83.7,1434838.0,0.0,1.0,83.87,84.34,83.33,83.7,1434838.0
2015-01-14,83.08,83.99,82.97,83.735,1789671.0,0.0,1.0,83.08,83.99,82.97,83.735,1789671.0
2015-01-13,84.8,85.5,83.29,83.98,1916402.0,0.0,1.0,84.8,85.5,83.29,83.98,1916402.0
2015-01-12,84.72,85.04,83.81,84.145,1320026.0,0.0,1.0,84.72,85.04,83.81,84.145,1320026.0
2015-01-08,83.96,85.18,83.638,85.17,3346007.0,0.0,1.0,83.96,85.18,83.638,85.17,3346007.0
2015-01-06,83.3,83.74,81.96,82.535,2556221.0,0.0,1.0,83.3,83.74,81.96,82.535,2556221.0
2015-01-05,83.27,84.44,82.95,83.23,3273113.0,0.0,1.0,83.27,84.44,82.95,83.23,3273113.0
2015-01-02,82.98,84.18,82.52,83.28,1597106.0,0.0,1.0,82.98,84.18,82.52,83.28,1597106.0
2014-12-31,84.38,84.87,83.36,83.37,1804252.0,0.0,1.0,84.38,84.87,83.36,83.37,1804252.0
2014-12-30,84.74,84.91,84.01,84.11,1427678.0,0.0,1.0,84.74,84.91,84.01,84.11,1427678.0
2014-12-26,85.57,85.91,85.1301,85.2,1006240.0,0.0,1.0,85.57,85.91,85.1301,85.2,1006240.0
2014-12-24,85.13,85.6075,85.03,85.24,1060288.0,0.0,1.0,85.13,85.6075,85.03,85.24,1060288.0
2014-12-23,86.31,86.47,85.14,85.17,2340349.0,0.0,1.0,86.31,86.47,85.14,85.17,2340349.0
2014-12-22,84.72,85.72,84.61,85.7,1656667.0,0.0,1.0,84.72,85.72,84.61,85.7,1656667.0
2014-12-19,85.45,86.15,84.66,84.71,4107020.0,0.0,1.0,85.45,86.15,84.66,84.71,4107020.0
2014-12-18,85.87,85.94,85.03,85.68,3401384.0,0.0,1.0,85.87,85.94,85.03,85.68,3401384.0
2014-12-17,82.88,84.8599,82.62,84.685,1895995.0,0.0,1.0,82.88,84.8599,82.62,84.685,1895995.0
2014-12-16,82.77,84.07,82.43,82.91,1986406.0,0.0,1.0,82.77,84.07,82.43,82.91,1986406.0
2014-12-15,83.07,83.42,82.038,82.78,1831085.0,0.0,1.0,83.07,83.42,82.038,82.78,1831085.0
