Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,42.29,42.29,41.06,41.1,2967940.0,0.0,1.0,42.29,42.29,41.06,41.1,2967940.0
2015-04-15,42.25,42.88,41.94,42.61,2364294.0,0.0,1.0,42.25,42.88,41.94,42.61,2364294.0
2015-04-14,41.61,42.335,41.52,42.17,1431371.0,0.0,1.0,41.61,42.335,41.52,42.17,1431371.0
2015-04-13,41.74,42.3199,41.55,41.57,2361476.0,0.0,1.0,41.74,42.3199,41.55,41.57,2361476.0
2015-04-10,41.5,42.05,41.4,41.91,2382676.0,0.0,1.0,41.5,42.05,41.4,41.91,2382676.0
2015-04-09,41.69,41.94,41.52,41.81,2031455.0,0.0,1.0,41.69,41.94,41.52,41.81,2031455.0
2015-04-08,41.29,41.71,41.0601,41.64,2105980.0,0.0,1.0,41.29,41.71,41.0601,41.64,2105980.0
2015-04-07,42.16,42.33,41.47,41.52,1731626.0,0.0,1.0,42.16,42.33,41.47,41.52,1731626.0
2015-04-06,41.55,42.59,41.37,42.34,2885385.0,0.0,1.0,41.55,42.59,41.37,42.34,2885385.0
2015-04-02,41.59,41.98,41.47,41.77,1691378.0,0.0,1.0,41.59,41.98,41.47,41.77,1691378.0
2015-04-01,41.48,41.73,41.09,41.66,3288383.0,0.0,1.0,41.48,41.73,41.09,41.66,3288383.0
2015-03-31,41.46,41.72,41.14,41.52,2514893.0,0.0,1.0,41.46,41.72,41.14,41.52,2514893.0
2015-03-30,41.23,41.88,41.14,41.64,1587518.0,0.0,1.0,41.23,41.88,41.14,41.64,1587518.0
2015-03-27,41.0,41.23,40.84,41.06,1559853.0,0.0,1.0,41.0,41.23,40.84,41.06,1559853.0
2015-03-26,40.59,41.39,40.29,41.01,2987489.0,0.0,1.0,40.59,41.39,40.29,41.01,2987489.0
2015-03-25,41.43,41.45,40.71,40.71,1791759.0,0.0,1.0,41.43,41.45,40.71,40.71,1791759.0
2015-03-24,41.66,41.9,41.26,41.44,2777329.0,0.0,1.0,41.66,41.9,41.26,41.44,2777329.0
2015-03-23,40.43,42.075,40.25,41.63,4969391.0,0.0,1.0,40.43,42.075,40.25,41.63,4969391.0
2015-03-20,39.65,40.56,39.55,40.35,3454388.0,0.0,1.0,39.65,40.56,39.55,40.35,3454388.0
2015-03-19,40.11,40.23,38.59,39.37,3396170.0,0.0,1.0,40.11,40.23,38.59,39.37,3396170.0
2015-03-18,39.28,40.88,39.18,40.29,3584414.0,0.0,1.0,39.28,40.88,39.18,40.29,3584414.0
2015-03-17,38.89,39.49,38.51,39.4,2248780.0,0.0,1.0,38.89,39.49,38.51,39.4,2248780.0
2015-03-16,38.5,38.99,38.28,38.97,2172832.0,0.0,1.0,38.5,38.99,38.28,38.97,2172832.0
2015-03-13,38.3,38.45,37.155,38.39,1733059.0,0.0,1.0,38.3,38.45,37.155,38.39,1733059.0
2015-03-12,38.2,38.5,37.93,38.34,1971327.0,0.0,1.0,38.2,38.5,37.93,38.34,1971327.0
2015-03-11,37.78,38.21,37.61,38.14,1421402.0,0.0,1.0,37.78,38.21,37.61,38.14,1421402.0
2015-03-10,38.64,38.77,37.86,37.88,2012073.0,0.0,1.0,38.64,38.77,37.86,37.88,2012073.0
2015-03-09,38.12,39.15,37.99,38.97,2317824.0,0.0,1.0,38.12,39.15,37.99,38.97,2317824.0
2015-03-06,38.67,39.03,37.93,38.06,2020240.0,0.0,1.0,38.67,39.03,37.93,38.06,2020240.0
2015-03-05,38.53,39.09,38.34,39.03,1520245.0,0.0,1.0,38.53,39.09,38.34,39.03,1520245.0
2015-03-04,38.6,38.75,38.22,38.34,1691413.0,0.0,1.0,38.6,38.75,38.22,38.34,1691413.0
2015-03-03,38.92,38.97,38.36,38.83,1912306.0,0.0,1.0,38.92,38.97,38.36,38.83,1912306.0
2015-03-02,39.2,39.42,38.75,39.08,1248232.0,0.0,1.0,39.2,39.42,38.75,39.08,1248232.0
2015-02-27,39.53,39.73,39.11,39.22,1301884.0,0.0,1.0,39.53,39.73,39.11,39.22,1301884.0
2015-02-26,39.75,39.98,39.36,39.51,1443215.0,0.0,1.0,39.75,39.98,39.36,39.51,1443215.0
2015-02-25,39.4,39.83,39.32,39.81,1302198.0,0.0,1.0,39.4,39.83,39.32,39.81,1302198.0
2015-02-24,39.72,39.97,39.36,39.42,1925848.0,0.0,1.0,39.72,39.97,39.36,39.42,1925848.0
2015-02-23,39.18,39.86,39.12,39.84,1578739.0,0.0,1.0,39.18,39.86,39.12,39.84,1578739.0
2015-02-20,39.04,39.52,38.25,39.38,1987192.0,0.0,1.0,39.04,39.52,38.25,39.38,1987192.0
2015-02-19,38.93,39.32,38.4,39.13,1600862.0,0.0,1.0,38.93,39.32,38.4,39.13,1600862.0
2015-02-18,38.9,39.49,38.8,39.07,1983119.0,0.0,1.0,38.9,39.49,38.8,39.07,1983119.0
2015-02-17,38.86,39.22,38.51,39.0,2586130.0,0.0,1.0,38.86,39.22,38.51,39.0,2586130.0
2015-02-13,38.1,38.5,37.81,38.21,1997611.0,0.0,1.0,38.1,38.5,37.81,38.21,1997611.0
2015-02-12,37.41,38.42,37.31,38.1,2490246.0,0.0,1.0,37.41,38.42,37.31,38.1,2490246.0
2015-02-11,37.23,37.28,36.89,37.17,1616497.0,0.0,1.0,37.23,37.28,36.89,37.17,1616497.0
2015-02-10,37.34,37.55,37.08,37.3,1673774.0,0.0,1.0,37.34,37.55,37.08,37.3,1673774.0
2015-02-09,36.965,37.37,36.73,37.12,1354961.0,0.0,1.0,36.965,37.37,36.73,37.12,1354961.0
2015-02-06,37.49,37.64,37.07,37.32,2016018.0,0.0,1.0,37.49,37.64,37.07,37.32,2016018.0
2015-02-05,36.18,37.5,36.0,37.47,2339864.0,0.0,1.0,36.18,37.5,36.0,37.47,2339864.0
2015-02-04,35.81,36.63,35.64,36.12,1823371.0,0.0,1.0,35.81,36.63,35.64,36.12,1823371.0
2015-02-03,35.86,36.3,35.41,36.01,2253184.0,0.0,1.0,35.86,36.3,35.41,36.01,2253184.0
2015-02-02,34.59,35.63,34.22,35.48,2018367.0,0.0,1.0,34.59,35.63,34.22,35.48,2018367.0
2015-01-30,34.47,35.11,34.34,34.4,2299474.0,0.0,1.0,34.47,35.11,34.34,34.4,2299474.0
2015-01-29,34.45,34.9,32.89,34.79,3722180.0,0.0,1.0,34.45,34.9,32.89,34.79,3722180.0
2015-01-28,35.37,36.08,34.35,34.38,5655933.0,0.0,1.0,35.37,36.08,34.35,34.38,5655933.0
2015-01-26,34.65,34.77,33.7,33.82,2436682.0,0.0,1.0,34.65,34.77,33.7,33.82,2436682.0
2015-01-23,34.72,35.15,34.54,34.97,1877559.0,0.0,1.0,34.72,35.15,34.54,34.97,1877559.0
2015-01-22,34.28,34.76,33.57,34.67,1557680.0,0.0,1.0,34.28,34.76,33.57,34.67,1557680.0
2015-01-21,33.5,34.18,33.38,34.08,2306721.0,0.0,1.0,33.5,34.18,33.38,34.08,2306721.0
2015-01-20,33.75,33.82,33.2,33.51,2448321.0,0.0,1.0,33.75,33.82,33.2,33.51,2448321.0
2015-01-15,34.23,34.44,33.49,33.53,1939077.0,0.0,1.0,34.23,34.44,33.49,33.53,1939077.0
2015-01-14,33.95,34.2,33.345,33.99,2470582.0,0.0,1.0,33.95,34.2,33.345,33.99,2470582.0
2015-01-13,34.83,35.07,33.85,34.39,2373183.0,0.0,1.0,34.83,35.07,33.85,34.39,2373183.0
2015-01-12,35.39,35.5,34.05,34.56,3509698.0,0.0,1.0,35.39,35.5,34.05,34.56,3509698.0
2015-01-08,35.18,35.99,35.02,35.84,1935265.0,0.0,1.0,35.18,35.99,35.02,35.84,1935265.0
2015-01-06,35.13,35.23,34.57,34.75,1761768.0,0.0,1.0,35.13,35.23,34.57,34.75,1761768.0
2015-01-05,35.84,35.86,34.88,35.16,2000365.0,0.0,1.0,35.84,35.86,34.88,35.16,2000365.0
2015-01-02,36.43,36.62,35.81,36.13,1339883.0,0.0,1.0,36.43,36.62,35.81,36.13,1339883.0
2014-12-31,36.33,36.9,35.98,36.23,1956135.0,0.0,1.0,36.33,36.9,35.98,36.23,1956135.0
2014-12-30,36.02,36.6,35.95,36.33,1525232.0,0.0,1.0,36.02,36.6,35.95,36.33,1525232.0
2014-12-26,35.57,36.03,35.45,35.88,946310.0,0.0,1.0,35.57,36.03,35.45,35.88,946310.0
2014-12-24,35.38,35.69,35.07,35.38,587500.0,0.0,1.0,35.38,35.69,35.07,35.38,587500.0
2014-12-23,35.52,36.41,35.105,35.27,2355856.0,0.0,1.0,35.52,36.41,35.105,35.27,2355856.0
2014-12-22,34.61,35.12,34.4,35.03,1895699.0,0.0,1.0,34.61,35.12,34.4,35.03,1895699.0
2014-12-19,33.58,35.35,33.57,34.55,4571344.0,0.0,1.0,33.58,35.35,33.57,34.55,4571344.0
2014-12-18,32.49,33.69,32.3659,33.69,3070173.0,0.0,1.0,32.49,33.69,32.3659,33.69,3070173.0
2014-12-17,31.5,32.18,31.21,32.06,2516046.0,0.0,1.0,31.5,32.18,31.21,32.06,2516046.0
2014-12-16,30.71,32.37,30.52,31.44,3265304.0,0.0,1.0,30.71,32.37,30.52,31.44,3265304.0
2014-12-15,30.59,31.07,30.45,30.71,2430788.0,0.0,1.0,30.59,31.07,30.45,30.71,2430788.0
2014-12-12,31.05,31.29,30.49,30.51,4191556.0,0.0,1.0,31.05,31.29,30.49,30.51,4191556.0
2014-12-10,32.54,32.6,31.755,31.94,2591629.0,0.0,1.0,32.54,32.6,31.755,31.94,2591629.0
2014-12-09,31.89,32.74,31.72,32.7,2603504.0,0.0,1.0,31.89,32.74,31.72,32.7,2603504.0
2014-12-05,34.55,34.95,34.34,34.82,1472932.0,0.0,1.0,34.55,34.95,34.34,34.82,1472932.0
2014-12-04,34.83,35.06,34.24,34.37,1126458.0,0.0,1.0,34.83,35.06,34.24,34.37,1126458.0
