Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,41.62,41.73,41.15,41.32,1672513.0,0.0,1.0,41.62,41.73,41.15,41.32,1672513.0
2015-04-15,41.9,42.42,41.71,41.75,1433921.0,0.0,1.0,41.9,42.42,41.71,41.75,1433921.0
2015-04-14,41.77,42.05,41.63,41.79,911424.0,0.0,1.0,41.77,42.05,41.63,41.79,911424.0
2015-04-13,42.01,42.19,41.56,41.57,912696.0,0.0,1.0,42.01,42.19,41.56,41.57,912696.0
2015-04-10,41.88,42.29,41.69,42.12,954157.0,0.0,1.0,41.88,42.29,41.69,42.12,954157.0
2015-04-09,41.62,41.78,41.27,41.65,1528774.0,0.0,1.0,41.62,41.78,41.27,41.65,1528774.0
2015-04-08,41.82,41.96,41.4,41.72,1891271.0,0.0,1.0,41.82,41.96,41.4,41.72,1891271.0
2015-04-07,42.43,42.43,41.765,41.8,2087928.0,0.0,1.0,42.43,42.43,41.765,41.8,2087928.0
2015-04-06,42.36,43.0,42.36,42.44,2038377.0,0.0,1.0,42.36,43.0,42.36,42.44,2038377.0
2015-04-02,42.3,42.57,42.17,42.29,1286395.0,0.0,1.0,42.3,42.57,42.17,42.29,1286395.0
2015-04-01,42.21,42.41,41.64,42.37,1179855.0,0.0,1.0,42.21,42.41,41.64,42.37,1179855.0
2015-03-31,42.08,42.7,41.91,42.2,1913021.0,0.0,1.0,42.08,42.7,41.91,42.2,1913021.0
2015-03-30,41.54,42.33,41.39,42.08,1312631.0,0.0,1.0,41.54,42.33,41.39,42.08,1312631.0
2015-03-27,41.09,41.53,40.95,41.39,1505975.0,0.0,1.0,41.09,41.53,40.95,41.39,1505975.0
2015-03-26,41.47,41.72,40.855,40.95,1997536.0,0.0,1.0,41.47,41.72,40.855,40.95,1997536.0
2015-03-25,41.74,42.07,41.43,41.46,1792826.0,0.0,1.0,41.74,42.07,41.43,41.46,1792826.0
2015-03-24,42.29,42.66,41.48,41.68,2210491.0,0.0,1.0,42.29,42.66,41.48,41.68,2210491.0
2015-03-23,42.66,42.9,42.37,42.41,1550745.0,0.0,1.0,42.66,42.9,42.37,42.41,1550745.0
2015-03-20,42.47,42.84,42.22,42.66,2086376.0,0.0,1.0,42.47,42.84,42.22,42.66,2086376.0
2015-03-19,42.69,43.09,42.03,42.24,1436698.0,0.0,1.0,42.69,43.09,42.03,42.24,1436698.0
2015-03-18,41.9,43.115,41.55,42.81,1506296.0,0.0,1.0,41.9,43.115,41.55,42.81,1506296.0
2015-03-17,41.84,42.34,41.69,41.83,1159347.0,0.0,1.0,41.84,42.34,41.69,41.83,1159347.0
2015-03-16,41.34,42.15,41.31,41.88,1360357.0,0.0,1.0,41.34,42.15,41.31,41.88,1360357.0
2015-03-13,41.62,41.655,40.62,41.13,1246760.0,0.0,1.0,41.62,41.655,40.62,41.13,1246760.0
2015-03-12,40.94,41.96,40.87,41.77,1615967.0,0.0,1.0,40.94,41.96,40.87,41.77,1615967.0
2015-03-11,41.45,41.56,40.645,40.73,2765259.0,0.0,1.0,41.45,41.56,40.645,40.73,2765259.0
2015-03-10,40.9,41.69,40.81,41.47,4041248.0,0.0,1.0,40.9,41.69,40.81,41.47,4041248.0
2015-03-09,40.8,41.25,40.51,41.12,1912686.0,0.0,1.0,40.8,41.25,40.51,41.12,1912686.0
2015-03-06,41.49,41.56,40.75,40.95,2375544.0,0.0,1.0,41.49,41.56,40.75,40.95,2375544.0
2015-03-05,41.92,42.39,41.88,42.16,1173706.0,0.0,1.0,41.92,42.39,41.88,42.16,1173706.0
2015-03-04,41.94,42.05,41.59,41.76,1678363.0,0.0,1.0,41.94,42.05,41.59,41.76,1678363.0
2015-03-03,42.08,42.29,41.63,42.19,1580883.0,0.0,1.0,42.08,42.29,41.63,42.19,1580883.0
2015-03-02,42.3,42.41,41.62,42.19,2959605.0,0.0,1.0,42.3,42.41,41.62,42.19,2959605.0
2015-02-27,42.6,42.61,42.23,42.41,1814256.0,0.0,1.0,42.6,42.61,42.23,42.41,1814256.0
2015-02-26,43.37,43.5,42.51,42.53,1627149.0,0.0,1.0,43.37,43.5,42.51,42.53,1627149.0
2015-02-25,43.23,44.23,42.97,43.13,3232835.0,0.0,1.0,43.23,44.23,42.97,43.13,3232835.0
2015-02-24,42.98,43.51,42.93,42.99,2554574.0,0.0,1.0,42.98,43.51,42.93,42.99,2554574.0
