Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,108.22,109.65,108.22,109.43,2865363.0,0.0,1.0,108.22,109.65,108.22,109.43,2865363.0
2015-04-15,108.56,108.57,105.44,106.08,2528609.0,0.0,1.0,108.56,108.57,105.44,106.08,2528609.0
2015-04-14,107.92,108.229,107.0,107.88,1025091.0,0.0,1.0,107.92,108.229,107.0,107.88,1025091.0
2015-04-13,108.13,109.14,107.66,107.69,1229251.0,0.0,1.0,108.13,109.14,107.66,107.69,1229251.0
2015-04-10,108.0,108.0,107.14,107.91,915817.0,0.0,1.0,108.0,108.0,107.14,107.91,915817.0
2015-04-09,107.02,108.13,107.0003,107.72,1530524.0,0.0,1.0,107.02,108.13,107.0003,107.72,1530524.0
2015-04-08,107.18,108.07,106.65,107.46,1236464.0,0.0,1.0,107.18,108.07,106.65,107.46,1236464.0
2015-04-07,108.49,108.89,106.78,106.79,1636940.0,0.25,1.0,108.49,108.89,106.78,106.79,1636940.0
2015-04-06,106.55,108.04,106.3,107.83,1653545.0,0.0,1.0,106.30114443199,107.78766442451,106.05172832586,107.57815489537,1653545.0
2015-04-02,107.11,107.86,106.55,107.15,1183014.0,0.0,1.0,106.85983650972,107.6080848281,106.30114443199,106.8997430867,1183014.0
2015-04-01,106.66,106.87,104.93,106.87,1893673.0,0.0,1.0,106.41088751868,106.62039704783,104.68492806428,106.62039704783,1893673.0
2015-03-31,107.92,108.18,106.51,106.53,2574288.0,0.0,1.0,107.66794469357,107.92733744395,106.26123785501,106.2811911435,2574288.0
2015-03-30,109.03,109.35,107.96,108.57,1618304.0,0.0,1.0,108.77535220478,109.09460482063,107.70785127055,108.31642656951,1618304.0
2015-03-27,106.3,107.97,106.27,107.4,1603971.0,0.0,1.0,106.05172832586,107.7178279148,106.02179839312,107.14915919283,1603971.0
2015-03-26,106.72,107.1199,105.362,105.91,2535833.0,0.0,1.0,106.47074738416,106.86971338752,105.11591909567,105.6626392003,2535833.0
2015-03-25,108.99,109.77,107.23,107.29,2480075.0,0.0,1.0,108.7354456278,109.51362387892,106.97955624066,107.03941610613,2480075.0
2015-03-24,109.42,109.6,108.6,108.74,2256645.0,0.0,1.0,109.16444133034,109.34402092676,108.34635650224,108.48602952167,2256645.0
2015-03-23,108.5,109.9,108.45,109.26,2900877.0,0.0,1.0,108.24659005979,109.64332025411,108.19670683857,109.00481502242,2900877.0
2015-03-20,108.7,109.12,107.94,108.63,2420032.0,0.0,1.0,108.44612294469,108.86514200299,107.68789798206,108.37628643498,2420032.0
2015-03-19,108.0,108.97,107.25,108.31,2446576.0,0.0,1.0,107.74775784753,108.71549233931,106.99950952915,108.05703381913,2446576.0
2015-03-18,105.33,107.865,105.13,107.48,2766651.0,0.0,1.0,105.08399383408,107.61307315022,104.88446094918,107.22897234679,2766651.0
2015-03-17,105.22,105.5,104.36,105.4,2269980.0,0.0,1.0,104.97425074738,105.25359678625,104.1162593423,105.1538303438,2269980.0
2015-03-16,104.74,106.75,104.5,106.07,2812765.0,0.0,1.0,104.49537182362,106.50067731689,104.25593236173,105.82226550822,2812765.0
2015-03-13,102.0,104.2,101.32,104.09,2986742.0,0.0,1.0,101.76177130045,103.95663303438,101.08335949178,103.84688994768,2986742.0
2015-03-12,100.8,102.35,100.57,102.12,2283112.0,0.0,1.0,100.56457399103,102.11095384903,100.33511117339,101.88149103139,2283112.0
2015-03-11,100.29,100.94,99.85,100.04,1627462.0,0.0,1.0,100.05576513453,100.70424701046,99.616792787743,99.806349028401,1627462.0
2015-03-10,100.4,100.76,99.55,100.16,2335023.0,0.0,1.0,100.16550822123,100.52466741405,99.317493460389,99.926068759342,2335023.0
2015-03-09,100.62,101.74,100.6,101.53,1330244.0,0.0,1.0,100.38499439462,101.50237855007,100.36504110613,101.29286902093,1330244.0
2015-03-06,101.77,101.9,100.29,100.67,2293947.0,0.0,1.0,101.53230848281,101.662004858,100.05576513453,100.43487761584,2293947.0
2015-03-05,101.73,102.63,101.37,102.09,2967341.0,0.0,1.0,101.49240190583,102.39029988789,101.133242713,101.85156109865,2967341.0
2015-03-04,99.44,102.0,98.7801,101.75,4275350.0,0.0,1.0,99.207750373692,101.76177130045,98.549391619955,101.51235519432,4275350.0
2015-03-03,100.17,100.33,99.03,99.79,3398146.0,0.0,1.0,99.936045403587,100.09567171151,98.798707959641,99.556932922272,3398146.0
2015-03-02,99.53,100.8,99.47,100.5,2528781.0,0.0,1.0,99.297540171898,100.56457399103,99.237680306428,100.26527466368,2528781.0
2015-02-27,99.39,99.92,99.1,99.55,2486023.0,0.0,1.0,99.157867152466,99.686629297459,98.868544469357,99.317493460389,2486023.0
2015-02-26,99.46,99.92,99.08,99.31,1171619.0,0.0,1.0,99.227703662182,99.686629297459,98.848591180867,99.078053998505,1171619.0
2015-02-25,100.27,100.48,99.22,99.52,1413135.0,0.0,1.0,100.03581184604,100.24532137519,98.988264200299,99.287563527653,1413135.0
2015-02-24,100.86,101.98,100.06,100.17,2207043.0,0.0,1.0,100.6244338565,101.74181801196,99.826302316891,99.936045403587,2207043.0
2015-02-23,98.1,100.76,98.0,100.68,2404402.0,0.0,1.0,97.870880044843,100.52466741405,97.771113602392,100.44485426009,2404402.0
2015-02-20,96.61,98.12,96.2,97.92,1571962.0,0.0,1.0,96.384360052317,97.890833333333,95.975317638266,97.69130044843,1571962.0
2015-02-19,96.73,97.49,96.22,96.64,1215372.0,0.0,1.0,96.504079783259,97.262304745889,95.995270926756,96.414289985052,1215372.0
2015-02-18,96.19,96.96,95.605,96.89,2186942.0,0.0,1.0,95.965340994021,96.733542600897,95.38170730568,96.663706091181,2186942.0
2015-02-17,96.11,96.62,95.59,96.62,1392631.0,0.0,1.0,95.88552784006,96.394336696562,95.366742339312,96.394336696562,1392631.0
2015-02-13,96.69,96.89,95.82,96.12,1502854.0,0.0,1.0,96.464173206278,96.663706091181,95.596205156951,95.895504484305,1502854.0
2015-02-12,96.98,97.16,95.99,97.08,1376118.0,0.0,1.0,96.753495889387,96.9330754858,95.765808109118,96.853262331839,1376118.0
2015-02-11,95.51,96.75,95.3801,96.46,1830858.0,0.0,1.0,95.286929185351,96.524033071749,95.157332576607,96.23471038864,1830858.0
2015-02-10,94.14,95.95,94.04,95.75,1845125.0,0.0,1.0,93.920128923767,95.725901532138,93.820362481315,95.526368647235,1845125.0
2015-02-09,94.1,94.6,93.38,93.74,1475394.0,0.0,1.0,93.880222346786,94.379054559043,93.161903961136,93.521063153961,1475394.0
2015-02-06,96.34,96.79,94.16,94.54,3557628.0,0.0,1.0,96.114990657698,96.563939648729,93.940082212257,94.319194693573,3557628.0
2015-02-05,96.13,97.71,96.01,96.59,3461398.0,0.0,1.0,95.90548112855,97.481790919283,95.785761397608,96.364406763827,3461398.0
2015-02-04,93.76,96.9,93.0,96.05,3873347.0,0.0,1.0,93.541016442451,96.673682735426,92.782791479821,95.825667974589,3873347.0
2015-02-03,93.01,94.27,91.83,94.18,2559692.0,0.0,1.0,92.792768124066,94.049825298954,91.615524103139,93.960035500747,2559692.0
2015-02-02,92.83,92.91,90.2,92.22,2811509.0,0.0,1.0,92.613188527653,92.693001681614,89.989331091181,92.0046132287,2811509.0
2015-01-30,93.04,93.6,91.64,91.82,2047574.0,0.0,1.0,92.822698056801,93.381390134529,91.425967862481,91.605547458894,2047574.0
2015-01-29,92.83,93.78,91.95,93.61,1344182.0,0.0,1.0,92.613188527653,93.560969730942,91.735243834081,93.391366778774,1344182.0
2015-01-28,94.43,94.71,92.561,92.69,2093174.0,0.0,1.0,94.209451606876,94.48879764574,92.344816797459,92.473515508221,2093174.0
2015-01-26,94.25,94.5799,93.32,94.24,1822065.0,0.0,1.0,94.029872010463,94.359001504111,93.102044095665,94.019895366218,1822065.0
2015-01-23,95.94,96.25,94.44,94.48,2001173.0,0.0,1.0,95.715924887892,96.025200859492,94.219428251121,94.259334828102,2001173.0
2015-01-22,95.52,96.15,94.03,96.11,2257773.0,0.0,1.0,95.296905829596,95.92543441704,93.81038583707,95.88552784006,2257773.0
2015-01-21,92.475,95.08,92.475,94.74,2759143.0,0.0,1.0,92.259017656951,94.85793348281,92.259017656951,94.518727578475,2759143.0
2015-01-20,92.66,92.9,91.19,91.98,2335106.0,0.0,1.0,92.443585575486,92.683025037369,90.97701887145,91.765173766816,2335106.0
2015-01-15,90.62,91.11,90.0,90.5,2416675.0,0.0,1.0,90.408350149477,90.897205717489,89.789798206278,90.288630418535,2416675.0
2015-01-14,89.55,90.9,88.7,89.89,2796338.0,0.0,1.0,89.340849215247,90.687696188341,88.49283445441,89.680055119581,2796338.0
2015-01-13,90.47,92.025,89.58,90.33,3300031.0,0.25,1.0,90.2587004858,91.810068665919,89.370779147982,90.119027466368,3300031.0
2015-01-12,91.61,91.61,89.17,89.52,3641313.0,0.0,1.0,91.143785672267,91.143785672267,88.716203126253,89.064421934083,3641313.0
2015-01-08,90.37,92.53,90.29,92.39,2880515.0,0.0,1.0,89.91009618167,92.05910368142,89.830503311309,91.919816158288,2880515.0
2015-01-06,87.82,88.73,87.48,87.73,2976068.0,0.0,1.0,87.373073438909,88.278442339267,87.034803739875,87.283531459753,2976068.0
2015-01-05,87.98,88.83,87.251,87.6,1978061.0,0.0,1.0,87.532259179632,88.377933427218,86.806969148466,87.154193045416,1978061.0
2015-01-02,89.57,90.1462,87.87,88.8,1406012.0,0.0,1.0,89.114167478059,89.687435126835,87.422818982885,88.348086100833,1406012.0
2014-12-31,90.35,91.05,88.78,88.83,1071529.0,0.0,1.0,89.89019796408,90.586635579739,88.328187883243,88.377933427218,1071529.0
2014-12-30,89.57,90.57,89.44,90.14,989720.0,0.0,1.0,89.114167478059,90.109078357573,88.984829063722,89.681266679382,989720.0
2014-12-26,89.77,90.27,89.51,89.84,803625.0,0.0,1.0,89.313149653961,89.810605093718,89.054472825288,89.382793415527,803625.0
2014-12-24,89.83,89.88,89.36,89.59,548990.0,0.0,1.0,89.372844306732,89.422589850708,88.905236193361,89.134065695649,548990.0
2014-12-23,91.0,91.01,89.0,89.45,1505536.0,0.0,1.0,90.536890035764,90.546839144559,88.547068276736,88.994778172517,1505536.0
2014-12-22,90.84,91.0591,90.17,90.41,1439626.0,0.0,1.0,90.377704295041,90.595689268743,89.711114005767,89.94989261685,1439626.0
2014-12-19,90.15,91.87,90.38,90.84,4202021.0,0.0,1.0,89.691215788177,91.402462500941,89.920045290465,90.377704295041,4202021.0
2014-12-18,88.43,90.13,87.88,90.13,2639114.0,0.0,1.0,87.979969075413,89.671317570586,87.43276809168,89.671317570586,2639114.0
2014-12-17,86.16,87.5,85.83,87.18,2744575.0,0.0,1.0,85.721521378916,87.054701957465,85.393200788677,86.736330476021,2744575.0
2014-12-16,86.5,87.67,85.62,85.64,2182186.0,0.0,1.0,86.059791077951,87.223836806982,85.184269503979,85.204167721569,2182186.0
2014-12-15,87.95,88.49,85.91,86.67,2141195.0,0.0,1.0,87.502411853246,88.039663728184,85.472793659038,86.228925927468,2141195.0
