Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-03-16,238.89,241.78,237.72,240.22,7470687.0,0.0,1.0,238.89,241.78,237.72,240.22,7470687.0
2015-03-13,236.79,237.88,236.35,237.34,2315003.0,0.0,1.0,236.79,237.88,236.35,237.34,2315003.0
2015-03-12,236.1,237.76,235.63,237.17,3766257.0,0.0,1.0,236.1,237.76,235.63,237.17,3766257.0
2015-03-11,234.0,236.09,233.72,235.26,2340431.0,0.0,1.0,234.0,236.09,233.72,235.26,2340431.0
2015-03-10,234.21,234.69,232.95,232.95,2651556.0,0.0,1.0,234.21,234.69,232.95,232.95,2651556.0
2015-03-09,233.25,235.5,232.82,234.99,3136854.0,0.0,1.0,233.25,235.5,232.82,234.99,3136854.0
2015-03-06,235.25,235.73,233.22,233.51,1674856.0,0.0,1.0,235.25,235.73,233.22,233.51,1674856.0
2015-03-05,235.68,236.45,234.69,235.41,1264971.0,0.0,1.0,235.68,236.45,234.69,235.41,1264971.0
2015-03-04,234.25,235.81,233.32,235.68,1626829.0,0.0,1.0,234.25,235.81,233.32,235.68,1626829.0
2015-03-03,235.26,235.65,233.42,234.86,1921099.0,0.0,1.0,235.26,235.65,233.42,234.86,1921099.0
2015-03-02,233.87,235.84,233.316,235.8,1881435.0,0.0,1.0,233.87,235.84,233.316,235.8,1881435.0
2015-02-27,232.06,233.5,232.0,232.74,2553110.0,0.0,1.0,232.06,233.5,232.0,232.74,2553110.0
2015-02-26,232.36,232.97,231.02,232.4,1575227.0,0.0,1.0,232.36,232.97,231.02,232.4,1575227.0
2015-02-25,232.39,233.85,232.11,232.48,1877245.0,0.0,1.0,232.39,233.85,232.11,232.48,1877245.0
2015-02-24,231.92,232.55,230.95,231.88,2928621.0,0.0,1.0,231.92,232.55,230.95,231.88,2928621.0
2015-02-23,233.49,234.68,230.81,230.81,2359817.0,0.0,1.0,233.49,234.68,230.81,230.81,2359817.0
2015-02-20,230.79,234.26,230.76,234.0,2228505.0,0.0,1.0,230.79,234.26,230.76,234.0,2228505.0
2015-02-19,227.77,231.5,225.33,231.12,1839806.0,0.0,1.0,227.77,231.5,225.33,231.12,1839806.0
2015-02-18,230.1,230.78,226.76,229.5,1508720.0,0.0,1.0,230.1,230.78,226.76,229.5,1508720.0
2015-02-17,229.24,230.62,229.04,230.15,1521332.0,0.0,1.0,229.24,230.62,229.04,230.15,1521332.0
2015-02-13,227.58,229.89,226.7501,229.49,1123766.0,0.0,1.0,227.58,229.89,226.7501,229.49,1123766.0
2015-02-12,227.17,227.895,226.11,227.62,833703.0,0.0,1.0,227.17,227.895,226.11,227.62,833703.0
2015-02-11,226.78,228.1,225.44,226.08,2165851.0,0.0,1.0,226.78,228.1,225.44,226.08,2165851.0
2015-02-10,223.67,226.76,223.62,226.54,2848582.0,0.0,1.0,223.67,226.76,223.62,226.54,2848582.0
2015-02-09,224.73,225.18,222.95,223.11,1783160.0,0.0,1.0,224.73,225.18,222.95,223.11,1783160.0
2015-02-04,219.83,220.64,218.8,219.42,1087595.0,0.0,1.0,219.83,220.64,218.8,219.42,1087595.0
2015-02-03,220.79,221.32,218.76,220.36,1488112.0,0.0,1.0,220.79,221.32,218.76,220.36,1488112.0
2015-02-02,219.56,220.91,217.51,220.79,1694657.0,0.0,1.0,219.56,220.91,217.51,220.79,1694657.0
2015-01-30,221.14,221.73,218.59,219.26,2894186.0,0.0,1.0,221.14,221.73,218.59,219.26,2894186.0
2015-01-29,222.82,222.79,220.45,222.39,1779257.0,0.0,1.0,222.82,222.79,220.45,222.39,1779257.0
2015-01-28,226.43,227.17,222.19,222.36,2258448.0,0.0,1.0,226.43,227.17,222.19,222.36,2258448.0
2015-01-26,224.0,228.43,223.27,227.83,1714294.0,0.0,1.0,224.0,228.43,223.27,227.83,1714294.0
2015-01-23,222.37,224.28,222.285,224.17,2081737.0,0.0,1.0,222.37,224.28,222.285,224.17,2081737.0
2015-01-22,222.0,223.54,221.08,222.79,1276197.0,0.0,1.0,222.0,223.54,221.08,222.79,1276197.0
2015-01-21,219.33,222.41,219.1,221.79,2274764.0,0.0,1.0,219.33,222.41,219.1,221.79,2274764.0
2015-01-20,219.0,220.15,217.93,220.02,2134866.0,0.0,1.0,219.0,220.15,217.93,220.02,2134866.0
2015-01-15,217.11,217.67,215.57,215.7,1276736.0,0.0,1.0,217.11,217.67,215.57,215.7,1276736.0
2015-01-14,216.29,218.395,215.25,216.93,1785536.0,0.0,1.0,216.29,218.395,215.25,216.93,1785536.0
2015-01-13,220.61,220.92,217.99,218.59,2511144.0,0.0,1.0,220.61,220.92,217.99,218.59,2511144.0
2015-01-12,217.89,220.16,217.15,219.58,2395850.0,0.0,1.0,217.89,220.16,217.15,219.58,2395850.0
2015-01-08,215.235,217.03,214.81,217.03,2832438.0,0.0,1.0,215.235,217.03,214.81,217.03,2832438.0
2015-01-06,211.81,213.18,209.37,209.37,3647362.0,0.0,1.0,211.81,213.18,209.37,209.37,3647362.0
2015-01-05,212.5,213.28,211.41,211.43,2479748.0,0.0,1.0,212.5,213.28,211.41,211.43,2479748.0
2015-01-02,213.05,214.78,212.27,212.75,2106704.0,0.0,1.0,213.05,214.78,212.27,212.75,2106704.0
2014-12-31,214.02,214.66,212.54,212.59,1478265.0,0.0,1.0,214.02,214.66,212.54,212.59,1478265.0
2014-12-30,213.29,214.37,213.0,213.4,923577.0,0.0,1.0,213.29,214.37,213.0,213.4,923577.0
2014-12-26,210.33,211.99,210.19,211.95,756827.0,0.0,1.0,210.33,211.99,210.19,211.95,756827.0
2014-12-24,209.54,210.98,209.01,210.12,516899.0,0.0,1.0,209.54,210.98,209.01,210.12,516899.0
2014-12-23,212.17,212.67,207.23,209.17,2155807.0,0.0,1.0,212.17,212.67,207.23,209.17,2155807.0
2014-12-22,212.51,213.5,211.4,211.4,1931639.0,0.0,1.0,212.51,213.5,211.4,211.4,1931639.0
2014-12-19,212.04,214.58,211.75,212.63,3367473.0,0.0,1.0,212.04,214.58,211.75,212.63,3367473.0
2014-12-18,210.51,213.61,209.545,212.18,2832153.0,0.0,1.0,210.51,213.61,209.545,212.18,2832153.0
2014-12-17,205.72,208.3,204.8,208.03,3661482.0,0.0,1.0,205.72,208.3,204.8,208.03,3661482.0
2014-12-16,208.59,209.0,205.75,205.75,3403558.0,0.0,1.0,208.59,209.0,205.75,205.75,3403558.0
2014-12-15,209.17,210.99,208.72,209.01,3434005.0,0.0,1.0,209.17,210.99,208.72,209.01,3434005.0
2014-12-12,210.06,210.59,208.47,208.47,2770709.0,0.0,1.0,210.06,210.59,208.47,208.47,2770709.0
2014-12-10,211.62,212.42,210.0,210.1,1611822.0,0.0,1.0,211.62,212.42,210.0,210.1,1611822.0
2014-12-09,210.04,212.48,209.85,212.4,1427710.0,0.0,1.0,210.04,212.48,209.85,212.4,1427710.0
2014-12-05,213.69,214.66,212.93,213.35,2173121.0,0.0,1.0,213.69,214.66,212.93,213.35,2173121.0
2014-12-04,211.67,213.87,211.55,213.71,1960354.0,0.0,1.0,211.67,213.87,211.55,213.71,1960354.0
2014-12-02,210.71,212.0,210.105,211.03,2546140.0,0.0,1.0,210.71,212.0,210.105,211.03,2546140.0
2014-12-01,213.45,213.99,210.65,210.65,2675945.0,0.0,1.0,213.45,213.99,210.65,210.65,2675945.0
2014-11-28,213.79,214.64,213.56,213.89,869813.0,0.0,1.0,213.79,214.64,213.56,213.89,869813.0
2014-11-26,212.59,214.0,212.41,214.0,1579178.0,0.0,1.0,212.59,214.0,212.41,214.0,1579178.0
2014-11-25,211.91,213.3,211.29,212.1,3484722.0,0.0,1.0,211.91,213.3,211.29,212.1,3484722.0
2014-11-24,209.96,212.87,209.05,211.81,4539324.0,0.0,1.0,209.96,212.87,209.05,211.81,4539324.0
2014-11-21,212.07,212.07,208.51,209.09,4827187.0,0.0,1.0,212.07,212.07,208.51,209.09,4827187.0
2014-11-20,211.62,212.87,209.69,210.2,6412178.0,0.0,1.0,211.62,212.87,209.69,210.2,6412178.0
2014-11-19,212.92,214.0,211.08,212.59,4771717.0,0.0,1.0,212.92,214.0,211.08,212.59,4771717.0
2014-11-18,207.8,214.2,207.18,213.37,8618343.0,0.05,1.0,207.97126511105,214.2,207.39140099335,209.15098866086,19221076.0
2014-11-17,208.01,213.91,207.44,209.2,19168130.0,0.0,1.0,207.91157539472,213.80878367715,207.34184510303,209.10101231948,19168130.0
2014-11-14,195.82,198.65,195.06,198.65,1430739.0,0.0,1.0,195.72734336712,198.55600428903,194.96770297819,198.55600428903,1430739.0
2014-11-13,196.89,198.0,195.62,196.21,1449806.0,0.0,1.0,196.79683707257,197.90631185113,195.52743800161,196.11715882985,1449806.0
2014-11-12,192.12,200.6,192.12,196.51,3797411.0,0.0,1.0,192.02909410525,200.50508160271,192.02909410525,196.41701687811,3797411.0
2014-11-11,196.18,196.7,194.79,195.34,1438799.0,0.0,1.0,196.08717302503,196.60692697534,194.69783073476,195.2475704899,1438799.0
2014-11-10,196.0,196.74,194.01,195.24,879655.0,0.0,1.0,195.90725819607,196.64690804844,193.91819980928,195.14761780715,879655.0
2014-11-07,196.98,197.36,193.0,196.0,3731239.0,0.0,1.0,196.88679448705,197.26661468151,192.90867771348,195.90725819607,3731239.0
2014-11-06,198.04,200.99,195.29,197.4,3690379.0,0.0,1.0,197.94629292423,200.89489706545,195.19759414852,197.30659575461,3690379.0
2014-11-04,192.5,196.54,189.47,195.12,3458290.0,0.0,1.0,192.40891429971,196.44700268294,189.38034801229,195.02767458784,3458290.0
2014-11-03,189.67,193.63,188.62,193.14,2729417.0,0.0,1.0,189.5802533778,193.53837961482,188.53075020889,193.04861146933,2729417.0
2014-10-31,189.76,191.9,188.74,190.06,1894663.0,0.0,1.0,189.67021079228,191.80919820319,188.6506934282,189.97006884054,1894663.0
2014-10-30,186.11,189.83,185.491,189.44,3090548.0,0.0,1.0,186.02193787179,189.7401776702,185.40323076555,189.35036220747,3090548.0
2014-10-29,184.86,188.8,183.26,186.77,2859167.0,0.0,1.0,184.77252933738,188.71066503785,183.17328641333,186.68162557796,2859167.0
2014-10-28,183.65,183.715,180.95,182.6,2327792.0,0.0,1.0,183.56310187606,183.62807111985,180.86437944173,182.51359870716,2327792.0
2014-10-27,186.8,186.8,181.19,182.33,4094155.0,0.0,1.0,186.71161138279,186.71161138279,181.10426588034,182.24372646372,4094155.0
2014-10-24,183.77,186.86,183.21,184.21,1745747.0,0.0,1.0,183.68304509537,186.77158299244,183.12331007195,184.12283689948,1745747.0
2014-10-23,183.7,185.64,182.8,183.37,1646048.0,0.0,1.0,183.61307821744,185.55216026285,182.71350407266,183.28323436435,1646048.0
2014-10-22,187.0,187.08,182.77,182.81,2166956.0,0.0,1.0,186.91151674829,186.99147889449,182.68351826784,182.72349934094,2166956.0
