Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,58.36,58.73,58.13,58.16,7293930.0,0.0,1.0,58.36,58.73,58.13,58.16,7293930.0
2015-04-15,57.75,58.59,57.56,58.27,7067794.0,0.0,1.0,57.75,58.59,57.56,58.27,7067794.0
2015-04-14,57.32,57.76,56.9,57.5,6292190.0,0.0,1.0,57.32,57.76,56.9,57.5,6292190.0
2015-04-13,56.68,57.785,56.37,57.46,8676171.0,0.0,1.0,56.68,57.785,56.37,57.46,8676171.0
2015-04-10,56.18,56.7,56.13,56.59,4976852.0,0.0,1.0,56.18,56.7,56.13,56.59,4976852.0
2015-04-09,55.4,56.47,55.35,56.29,6594256.0,0.0,1.0,55.4,56.47,55.35,56.29,6594256.0
2015-04-08,54.94,55.733,54.91,55.45,5796489.0,0.0,1.0,54.94,55.733,54.91,55.45,5796489.0
2015-04-07,55.27,55.61,54.95,54.98,4809027.0,0.0,1.0,55.27,55.61,54.95,54.98,4809027.0
2015-04-06,54.5,55.56,54.36,55.42,4627177.0,0.0,1.0,54.5,55.56,54.36,55.42,4627177.0
2015-04-02,54.65,55.23,54.41,55.14,5312648.0,0.0,1.0,54.65,55.23,54.41,55.14,5312648.0
2015-04-01,54.61,55.02,54.23,54.81,7157645.0,0.0,1.0,54.61,55.02,54.23,54.81,7157645.0
2015-03-31,54.41,55.11,54.2074,54.79,7411844.0,0.0,1.0,54.41,55.11,54.2074,54.79,7411844.0
2015-03-30,54.25,54.8,54.25,54.68,5736686.0,0.0,1.0,54.25,54.8,54.25,54.68,5736686.0
2015-03-27,54.5,54.5,53.92,54.03,6393011.0,0.0,1.0,54.5,54.5,53.92,54.03,6393011.0
2015-03-26,54.38,54.55,54.13,54.17,8868879.0,0.0,1.0,54.38,54.55,54.13,54.17,8868879.0
2015-03-25,55.34,55.37,54.52,54.52,6932856.0,0.0,1.0,55.34,55.37,54.52,54.52,6932856.0
2015-03-24,55.56,55.92,55.37,55.37,5279146.0,0.0,1.0,55.56,55.92,55.37,55.37,5279146.0
2015-03-23,55.99,56.5,55.83,55.83,5764442.0,0.0,1.0,55.99,56.5,55.83,55.83,5764442.0
2015-03-20,55.81,56.2,55.67,55.94,10961423.0,0.0,1.0,55.81,56.2,55.67,55.94,10961423.0
2015-03-19,56.15,56.41,55.36,55.65,6089587.0,0.0,1.0,56.15,56.41,55.36,55.65,6089587.0
2015-03-18,55.7,56.685,55.3,56.42,8433663.0,0.0,1.0,55.7,56.685,55.3,56.42,8433663.0
2015-03-17,55.47,56.09,55.16,55.8,5507006.0,0.0,1.0,55.47,56.09,55.16,55.8,5507006.0
2015-03-16,55.63,56.1,55.5,55.93,5858687.0,0.0,1.0,55.63,56.1,55.5,55.93,5858687.0
2015-03-13,55.52,55.6,54.805,55.3,6484208.0,0.0,1.0,55.52,55.6,54.805,55.3,6484208.0
2015-03-12,54.98,55.66,54.895,55.6,5809732.0,0.0,1.0,54.98,55.66,54.895,55.6,5809732.0
2015-03-11,54.4,55.04,54.33,54.72,6646858.0,0.0,1.0,54.4,55.04,54.33,54.72,6646858.0
2015-03-10,55.43,55.43,54.415,54.42,14513775.0,0.0,1.0,55.43,55.43,54.415,54.42,14513775.0
2015-03-09,55.86,56.215,55.62,56.11,12140657.0,0.0,1.0,55.86,56.215,55.62,56.11,12140657.0
2015-03-06,55.75,56.44,55.59,56.0,11480022.0,0.0,1.0,55.75,56.44,55.59,56.0,11480022.0
2015-03-05,55.56,55.67,55.2,55.61,5614938.0,0.0,1.0,55.56,55.67,55.2,55.61,5614938.0
2015-03-04,55.29,55.51,54.97,55.38,6057554.0,0.0,1.0,55.29,55.51,54.97,55.38,6057554.0
2015-03-03,55.28,55.73,55.25,55.58,5948767.0,0.0,1.0,55.28,55.73,55.25,55.58,5948767.0
2015-03-02,55.19,55.65,55.04,55.65,7267684.0,0.0,1.0,55.19,55.65,55.04,55.65,7267684.0
2015-02-27,54.95,55.61,54.84,55.33,15031150.0,0.0,1.0,54.95,55.61,54.84,55.33,15031150.0
2015-02-26,54.78,55.1145,54.68,54.93,6594154.0,0.0,1.0,54.78,55.1145,54.68,54.93,6594154.0
2015-02-25,54.76,55.11,54.71,54.8,5825574.0,0.0,1.0,54.76,55.11,54.71,54.8,5825574.0
2015-02-24,54.52,55.35,54.52,55.04,7844504.0,0.0,1.0,54.52,55.35,54.52,55.04,7844504.0
2015-02-23,55.08,55.2,54.39,54.57,11584526.0,0.0,1.0,55.08,55.2,54.39,54.57,11584526.0
2015-02-20,54.86,55.37,54.39,55.22,12427705.0,0.0,1.0,54.86,55.37,54.39,55.22,12427705.0
2015-02-19,54.66,55.25,54.54,54.98,8059252.0,0.0,1.0,54.66,55.25,54.54,54.98,8059252.0
