Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,37.22,37.8,37.08,37.65,671782.0,0.0,1.0,37.22,37.8,37.08,37.65,671782.0
2015-04-15,38.12,38.18,37.34,37.37,660704.0,0.0,1.0,38.12,38.18,37.34,37.37,660704.0
2015-04-14,37.74,38.28,37.74,38.05,756436.0,0.0,1.0,37.74,38.28,37.74,38.05,756436.0
2015-04-13,37.86,38.1,37.66,37.74,636987.0,0.0,1.0,37.86,38.1,37.66,37.74,636987.0
2015-04-10,38.04,38.29,37.705,37.83,947931.0,0.0,1.0,38.04,38.29,37.705,37.83,947931.0
2015-04-09,38.71,38.8,37.675,37.87,798307.0,0.0,1.0,38.71,38.8,37.675,37.87,798307.0
2015-04-08,38.89,39.04,38.49,38.86,943435.0,0.0,1.0,38.89,39.04,38.49,38.86,943435.0
2015-04-07,39.18,39.24,38.72,38.78,820866.0,0.0,1.0,39.18,39.24,38.72,38.78,820866.0
2015-04-06,39.03,39.3,38.91,39.27,1815047.0,0.0,1.0,39.03,39.3,38.91,39.27,1815047.0
2015-04-02,38.95,39.2,38.79,38.96,2471916.0,0.0,1.0,38.95,39.2,38.79,38.96,2471916.0
2015-04-01,39.35,39.43,38.78,38.94,1111647.0,0.0,1.0,39.35,39.43,38.78,38.94,1111647.0
2015-03-31,39.77,39.96,39.27,39.36,982628.0,0.0,1.0,39.77,39.96,39.27,39.36,982628.0
2015-03-30,39.55,39.9,39.25,39.87,620055.0,0.0,1.0,39.55,39.9,39.25,39.87,620055.0
2015-03-27,39.26,39.62,39.22,39.38,875585.0,0.0,1.0,39.26,39.62,39.22,39.38,875585.0
2015-03-26,39.31,39.54,39.12,39.28,689652.0,0.0,1.0,39.31,39.54,39.12,39.28,689652.0
2015-03-25,40.37,40.47,39.39,39.45,833772.0,0.0,1.0,40.37,40.47,39.39,39.45,833772.0
2015-03-24,40.73,40.976,40.33,40.33,633035.0,0.0,1.0,40.73,40.976,40.33,40.33,633035.0
2015-03-23,41.19,41.33,40.79,40.85,1281442.0,0.0,1.0,41.19,41.33,40.79,40.85,1281442.0
2015-03-20,40.1,41.22,39.98,41.19,1752368.0,0.0,1.0,40.1,41.22,39.98,41.19,1752368.0
2015-03-19,39.85,40.25,39.73,40.05,874743.0,0.0,1.0,39.85,40.25,39.73,40.05,874743.0
2015-03-18,39.01,40.05,38.73,40.04,1148011.0,0.0,1.0,39.01,40.05,38.73,40.04,1148011.0
2015-03-17,39.1,39.27,38.9,39.01,627558.0,0.0,1.0,39.1,39.27,38.9,39.01,627558.0
2015-03-16,38.61,39.21,38.61,39.16,976348.0,0.0,1.0,38.61,39.21,38.61,39.16,976348.0
2015-03-13,38.53,38.69,38.2656,38.38,632185.0,0.0,1.0,38.53,38.69,38.2656,38.38,632185.0
2015-03-12,38.2,38.63,38.2,38.5,1015828.0,0.0,1.0,38.2,38.63,38.2,38.5,1015828.0
2015-03-11,37.63,38.19,37.44,38.01,1795902.0,0.0,1.0,37.63,38.19,37.44,38.01,1795902.0
2015-03-10,36.95,37.75,36.8301,37.63,1612802.0,0.0,1.0,36.95,37.75,36.8301,37.63,1612802.0
2015-03-09,37.07,37.23,36.9,37.03,790652.0,0.0,1.0,37.07,37.23,36.9,37.03,790652.0
2015-03-06,37.12,37.12,36.59,36.86,1306635.0,0.0,1.0,37.12,37.12,36.59,36.86,1306635.0
2015-03-05,37.56,38.03,37.56,37.75,741006.0,0.0,1.0,37.56,38.03,37.56,37.75,741006.0
2015-03-04,37.6,37.76,37.24,37.4,840136.0,0.0,1.0,37.6,37.76,37.24,37.4,840136.0
2015-03-03,37.76,37.85,37.32,37.69,782591.0,0.0,1.0,37.76,37.85,37.32,37.69,782591.0
2015-03-02,37.64,38.4,37.595,37.94,967098.0,0.0,1.0,37.64,38.4,37.595,37.94,967098.0
2015-02-27,37.1,37.76,36.88,37.68,1518067.0,0.0,1.0,37.1,37.76,36.88,37.68,1518067.0
2015-02-26,37.45,37.45,36.83,37.1,1032409.0,0.0,1.0,37.45,37.45,36.83,37.1,1032409.0
