Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,61.4,62.0,61.12,61.75,260547.0,0.0,1.0,61.4,62.0,61.12,61.75,260547.0
2015-04-15,61.61,61.85,61.07,61.5,295357.0,0.0,1.0,61.61,61.85,61.07,61.5,295357.0
2015-04-14,61.78,62.1184,61.13,61.58,414514.0,0.0,1.0,61.78,62.1184,61.13,61.58,414514.0
2015-04-13,61.66,62.38,61.61,62.2,369878.0,0.0,1.0,61.66,62.38,61.61,62.2,369878.0
2015-04-10,62.1,62.19,61.42,61.79,232914.0,0.0,1.0,62.1,62.19,61.42,61.79,232914.0
2015-04-09,61.71,62.13,61.48,61.8,304250.0,0.0,1.0,61.71,62.13,61.48,61.8,304250.0
2015-04-08,61.27,61.82,61.038,61.7,370566.0,0.0,1.0,61.27,61.82,61.038,61.7,370566.0
2015-04-07,61.38,61.65,61.11,61.15,303168.0,0.0,1.0,61.38,61.65,61.11,61.15,303168.0
2015-04-06,60.9,61.6,60.82,61.33,389120.0,0.0,1.0,60.9,61.6,60.82,61.33,389120.0
2015-04-02,61.08,61.75,60.94,61.41,459576.0,0.0,1.0,61.08,61.75,60.94,61.41,459576.0
2015-04-01,61.07,61.795,60.73,61.16,625783.0,0.0,1.0,61.07,61.795,60.73,61.16,625783.0
2015-03-31,61.47,61.76,61.03,61.41,343144.0,0.0,1.0,61.47,61.76,61.03,61.41,343144.0
2015-03-30,61.2,62.02,61.2,61.61,301262.0,0.0,1.0,61.2,62.02,61.2,61.61,301262.0
2015-03-27,61.28,61.34,60.59,60.93,273235.0,0.0,1.0,61.28,61.34,60.59,60.93,273235.0
2015-03-26,60.52,61.44,60.23,61.31,890120.0,0.0,1.0,60.52,61.44,60.23,61.31,890120.0
2015-03-25,62.04,62.4,60.94,60.98,436543.0,0.0,1.0,62.04,62.4,60.94,60.98,436543.0
2015-03-24,62.07,62.5,61.93,62.11,352487.0,0.0,1.0,62.07,62.5,61.93,62.11,352487.0
2015-03-23,62.19,62.94,62.14,62.2,651239.0,0.0,1.0,62.19,62.94,62.14,62.2,651239.0
2015-03-20,61.31,62.415,61.31,62.19,1064612.0,0.0,1.0,61.31,62.415,61.31,62.19,1064612.0
2015-03-19,62.03,62.19,61.0,61.31,605552.0,0.0,1.0,62.03,62.19,61.0,61.31,605552.0
2015-03-18,61.75,62.52,61.33,62.02,618202.0,0.0,1.0,61.75,62.52,61.33,62.02,618202.0
2015-03-17,61.44,62.04,61.192,61.85,336009.0,0.0,1.0,61.44,62.04,61.192,61.85,336009.0
2015-03-16,61.35,61.87,61.29,61.77,385535.0,0.0,1.0,61.35,61.87,61.29,61.77,385535.0
2015-03-13,61.75,61.95,60.89,61.22,394333.0,0.0,1.0,61.75,61.95,60.89,61.22,394333.0
2015-03-12,60.83,61.97,60.67,61.87,427569.0,0.0,1.0,60.83,61.97,60.67,61.87,427569.0
2015-03-11,60.88,61.07,59.99,60.3,764989.0,0.0,1.0,60.88,61.07,59.99,60.3,764989.0
2015-03-10,61.88,61.92,60.83,60.87,416991.0,0.0,1.0,61.88,61.92,60.83,60.87,416991.0
2015-03-09,61.59,62.53,61.31,62.2,690662.0,0.0,1.0,61.59,62.53,61.31,62.2,690662.0
2015-03-06,61.57,62.39,61.2901,61.59,623627.0,0.0,1.0,61.57,62.39,61.2901,61.59,623627.0
2015-03-05,60.57,61.75,60.24,61.64,718694.0,0.0,1.0,60.57,61.75,60.24,61.64,718694.0
2015-03-04,60.97,61.14,60.43,60.55,643785.0,0.0,1.0,60.97,61.14,60.43,60.55,643785.0
2015-03-03,61.39,62.0,60.81,61.37,658304.0,0.0,1.0,61.39,62.0,60.81,61.37,658304.0
2015-03-02,61.16,61.73,60.63,61.69,490587.0,0.0,1.0,61.16,61.73,60.63,61.69,490587.0
2015-02-27,61.09,61.665,60.91,61.27,580419.0,0.0,1.0,61.09,61.665,60.91,61.27,580419.0
2015-02-26,61.06,61.58,60.89,61.06,678677.0,0.0,1.0,61.06,61.58,60.89,61.06,678677.0
2015-02-25,60.67,61.52,60.67,61.27,718275.0,0.0,1.0,60.67,61.52,60.67,61.27,718275.0
2015-02-24,59.88,60.84,59.832,60.75,790532.0,0.0,1.0,59.88,60.84,59.832,60.75,790532.0
2015-02-23,60.62,60.74,60.01,60.22,463059.0,0.0,1.0,60.62,60.74,60.01,60.22,463059.0
