Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,71.86,72.31,71.51,72.04,1476482.0,0.0,1.0,71.86,72.31,71.51,72.04,1476482.0
2015-04-15,71.61,72.27,71.61,71.94,1804014.0,0.0,1.0,71.61,72.27,71.61,71.94,1804014.0
2015-04-14,71.91,72.1,71.38,71.5,2257783.0,0.0,1.0,71.91,72.1,71.38,71.5,2257783.0
2015-04-13,71.67,72.39,71.67,71.98,1446895.0,0.0,1.0,71.67,72.39,71.67,71.98,1446895.0
2015-04-10,72.0,72.24,71.64,72.03,1471113.0,0.0,1.0,72.0,72.24,71.64,72.03,1471113.0
2015-04-09,71.61,72.01,71.61,71.9,1821165.0,0.0,1.0,71.61,72.01,71.61,71.9,1821165.0
2015-04-08,71.6,72.0,71.44,71.58,2102720.0,0.0,1.0,71.6,72.0,71.44,71.58,2102720.0
2015-04-07,72.15,72.4,71.47,71.47,1294649.0,0.0,1.0,72.15,72.4,71.47,71.47,1294649.0
2015-04-06,71.07,72.51,70.87,72.12,2402237.0,0.0,1.0,71.07,72.51,70.87,72.12,2402237.0
2015-04-02,71.29,71.65,71.14,71.45,1957548.0,0.0,1.0,71.29,71.65,71.14,71.45,1957548.0
2015-04-01,71.18,71.9,70.96,71.29,3365206.0,0.0,1.0,71.18,71.9,70.96,71.29,3365206.0
2015-03-31,70.48,71.3,70.08,71.17,3468601.0,0.0,1.0,70.48,71.3,70.08,71.17,3468601.0
2015-03-30,70.36,71.37,70.09,70.95,2322024.0,0.0,1.0,70.36,71.37,70.09,70.95,2322024.0
2015-03-27,70.18,70.37,69.89,70.05,1713838.0,0.0,1.0,70.18,70.37,69.89,70.05,1713838.0
2015-03-26,70.3,70.535,69.98,70.2,1933879.0,0.0,1.0,70.3,70.535,69.98,70.2,1933879.0
2015-03-25,71.55,71.55,70.49,70.55,2005335.0,0.0,1.0,71.55,71.55,70.49,70.55,2005335.0
2015-03-24,71.73,71.89,71.07,71.34,2503737.0,0.0,1.0,71.73,71.89,71.07,71.34,2503737.0
2015-03-23,71.84,72.33,71.8,71.89,2473833.0,0.0,1.0,71.84,72.33,71.8,71.89,2473833.0
2015-03-20,70.81,71.636,70.69,71.46,4050930.0,0.0,1.0,70.81,71.636,70.69,71.46,4050930.0
2015-03-19,70.7,71.27,70.32,70.6,2610180.0,0.0,1.0,70.7,71.27,70.32,70.6,2610180.0
2015-03-18,70.18,70.9,69.49,70.62,2660221.0,0.0,1.0,70.18,70.9,69.49,70.62,2660221.0
2015-03-17,70.1,70.21,69.64,69.98,3035502.0,0.0,1.0,70.1,70.21,69.64,69.98,3035502.0
2015-03-16,70.02,70.65,69.9,70.49,2041518.0,0.0,1.0,70.02,70.65,69.9,70.49,2041518.0
2015-03-13,70.02,70.22,69.25,69.56,1945891.0,0.0,1.0,70.02,70.22,69.25,69.56,1945891.0
2015-03-12,69.4,70.42,69.33,70.4,1613485.0,0.0,1.0,69.4,70.42,69.33,70.4,1613485.0
2015-03-11,68.73,69.44,68.4301,69.09,2382467.0,0.0,1.0,68.73,69.44,68.4301,69.09,2382467.0
2015-03-10,68.93,69.14,68.38,68.39,2164937.0,0.0,1.0,68.93,69.14,68.38,68.39,2164937.0
2015-03-09,68.88,69.75,68.75,69.59,1855977.0,0.0,1.0,68.88,69.75,68.75,69.59,1855977.0
2015-03-06,69.36,69.97,68.855,69.14,2637651.0,0.0,1.0,69.36,69.97,68.855,69.14,2637651.0
2015-03-05,69.79,69.91,69.3,69.56,3138006.0,0.0,1.0,69.79,69.91,69.3,69.56,3138006.0
2015-03-04,70.13,70.2302,69.49,69.5,2343967.0,0.0,1.0,70.13,70.2302,69.49,69.5,2343967.0
2015-03-03,70.65,70.9,70.27,70.49,1910307.0,0.0,1.0,70.65,70.9,70.27,70.49,1910307.0
2015-03-02,70.67,71.18,70.57,70.98,1687785.0,0.0,1.0,70.67,71.18,70.57,70.98,1687785.0
2015-02-27,71.07,71.27,70.59,70.6,2199551.0,0.0,1.0,71.07,71.27,70.59,70.6,2199551.0
2015-02-26,70.87,71.42,70.87,71.31,1903381.0,0.0,1.0,70.87,71.42,70.87,71.31,1903381.0
2015-02-25,71.54,71.77,71.09,71.12,2083824.0,0.0,1.0,71.54,71.77,71.09,71.12,2083824.0
2015-02-24,71.07,71.87,71.07,71.67,1847960.0,0.0,1.0,71.07,71.87,71.07,71.67,1847960.0
2015-02-23,71.37,71.4,71.05,71.26,1814539.0,0.0,1.0,71.071005446167,71.100879765396,70.752346041056,70.96146627566,1814539.0
2015-02-20,71.05,71.72,70.47,71.6,2115756.0,0.0,1.0,70.752346041056,71.419539170507,70.174775869292,71.30004189359,2115756.0
2015-02-19,70.62,71.27,70.59,71.17,2001389.0,0.0,1.0,70.324147465438,70.97142438207,70.294273146209,70.871843317972,2001389.0
2015-02-18,71.01,71.23,70.51,70.71,2434872.0,0.0,1.0,70.712513615417,70.931591956431,70.214608294931,70.413770423125,2434872.0
2015-02-17,71.4,71.86,71.14,71.27,2026614.0,0.0,1.0,71.100879765396,71.558952660243,70.841968998743,70.97142438207,2026614.0
2015-02-13,71.43,71.74,71.14,71.46,2014860.0,0.0,1.0,71.130754084625,71.439455383326,70.841968998743,71.160628403854,2014860.0
2015-02-12,71.24,71.69,71.16,71.57,2063343.0,0.0,1.0,70.94155006284,71.389664851278,70.861885211563,71.270167574361,2063343.0
2015-02-11,70.14,71.415,69.99,71.18,3830420.0,0.0,1.0,69.846158357771,71.11581692501,69.696786761625,70.881801424382,3830420.0
2015-02-10,70.36,70.59,69.65,70.05,3062332.0,0.0,1.0,70.065236698785,70.294273146209,69.358211143695,69.756535400084,3062332.0
2015-02-09,70.34,70.69,69.845,70.03,3548345.0,0.0,1.0,70.045320485966,70.393854210306,69.552394218685,69.736619187264,3548345.0
2015-02-06,72.0,72.21,70.72,70.93,4198105.0,0.0,1.0,71.698366149979,71.907486384583,70.423728529535,70.632848764139,4198105.0
2015-02-05,69.68,72.52,69.04,72.3,4825039.0,0.0,1.0,69.388085462924,72.216187683284,68.750766652702,71.997109342271,4825039.0
2015-02-04,71.8,72.87,71.72,72.58,3676500.0,0.0,1.0,71.499204021785,72.564721407625,71.419539170507,72.275936321743,3676500.0
2015-02-03,71.28,72.06,70.51,72.03,2983145.0,0.0,1.0,70.981382488479,71.758114788437,70.214608294931,71.728240469208,2983145.0
2015-02-02,69.94,70.99,69.17,70.91,2996850.0,0.0,1.0,69.646996229577,70.692597402597,68.880222036028,70.61293255132,2996850.0
2015-01-30,70.49,70.84,69.7,69.79,2480091.0,0.0,1.0,70.194692082111,70.543225806452,69.408001675744,69.497624633431,2480091.0
2015-01-29,70.52,71.25,70.27,71.05,2852259.0,0.0,1.0,70.224566401341,70.95150816925,69.975613741098,70.752346041056,2852259.0
2015-01-28,71.72,72.535,70.3,70.32,2531732.0,0.0,1.0,71.419539170507,72.231124842899,70.005488060327,70.025404273146,2531732.0
2015-01-26,71.27,71.765,71.06,71.73,1663495.0,0.0,1.0,70.97142438207,71.464350649351,70.762304147465,71.429497276917,1663495.0
2015-01-23,72.08,72.11,71.405,71.43,1746693.0,0.0,1.0,71.778031001257,71.807905320486,71.105858818601,71.130754084625,1746693.0
2015-01-22,70.67,72.11,70.39,71.95,2516769.0,0.0,1.0,70.373937997486,71.807905320486,70.095111018014,71.64857561793,2516769.0
2015-01-21,70.22,70.695,69.61,70.3,1925130.0,0.0,1.0,69.925823209049,70.398833263511,69.318378718056,70.005488060327,1925130.0
2015-01-20,71.16,71.24,69.89,70.36,2109847.0,0.0,1.0,70.861885211563,70.94155006284,69.597205697528,70.065236698785,2109847.0
2015-01-15,69.44,69.88,69.12,69.23,2057168.0,0.0,1.0,69.149090909091,69.587247591119,68.83043150398,68.939970674487,2057168.0
2015-01-14,68.95,69.8,68.84,69.43,2685156.0,0.0,1.0,68.661143695015,69.507582739841,68.551604524508,69.139132802681,2685156.0
2015-01-13,70.41,71.19,69.56,70.12,2237952.0,0.0,1.0,70.115027230834,70.891759530792,69.268588186008,69.826242144952,2237952.0
2015-01-12,70.42,70.62,69.5601,69.7,1505609.0,0.0,1.0,70.124985337243,70.324147465438,69.268687767072,69.408001675744,1505609.0
2015-01-08,70.3,71.15,70.21,71.15,2962575.0,0.0,1.0,70.005488060327,70.851927105153,69.915865102639,70.851927105153,2962575.0
2015-01-06,68.95,69.61,68.45,68.68,2625932.0,0.0,1.0,68.661143695015,69.318378718056,68.163238374529,68.392274821952,2625932.0
2015-01-05,69.77,69.78,68.64,68.73,2897251.0,0.0,1.0,69.477708420612,69.487666527021,68.352442396313,68.442065354001,2897251.0
2015-01-02,70.59,70.91,69.73,70.12,1765394.0,0.0,1.0,70.294273146209,70.61293255132,69.437875994973,69.826242144952,1765394.0
2014-12-31,71.16,71.21,70.24,70.25,1318330.0,0.0,1.0,70.861885211563,70.911675743611,69.945739421868,69.955697528278,1318330.0
2014-12-30,70.87,71.3,70.75,70.94,1071525.0,0.0,1.0,70.573100125681,71.001298701299,70.453602848764,70.642806870549,1071525.0
2014-12-26,70.9,71.25,70.74,70.93,909628.0,0.0,1.0,70.60297444491,70.95150816925,70.443644742354,70.632848764139,909628.0
2014-12-24,70.88,71.0,70.64,70.69,567741.0,0.0,1.0,70.58305823209,70.702555509007,70.344063678257,70.393854210306,567741.0
2014-12-23,70.74,71.14,70.44,70.75,1465977.0,0.0,1.0,70.443644742354,70.841968998743,70.144901550063,70.453602848764,1465977.0
2014-12-22,70.0,70.6,69.87,70.44,1932127.0,0.0,1.0,69.706744868035,70.304231252618,69.577289484709,70.144901550063,1932127.0
2014-12-19,69.86,70.14,69.513,69.89,4919944.0,0.0,1.0,69.567331378299,69.846158357771,69.221785085882,69.597205697528,4919944.0
2014-12-18,69.17,69.79,68.84,69.79,2940291.0,0.0,1.0,68.880222036028,69.497624633431,68.551604524508,69.497624633431,2940291.0
2014-12-17,67.43,68.605,67.26,68.22,2738968.0,0.0,1.0,67.147511520737,68.317589023879,66.978223711772,67.934201927105,2738968.0
2014-12-16,67.31,68.42,66.808,67.21,2482655.0,0.0,1.0,67.028014243821,68.1333640553,66.528117302053,66.928433179723,2482655.0
2014-12-15,67.67,68.3,67.09,67.37,2776240.0,0.0,1.0,67.386506074571,68.013866778383,66.808935902807,67.087762882279,2776240.0
2014-12-12,68.27,68.92,67.38,67.42,2936618.0,0.0,1.0,67.983992459154,68.631269375786,67.097720988689,67.137553414328,2936618.0
2014-12-10,68.805,69.5,68.55,68.55,3024422.0,0.0,1.0,68.516751152074,69.208839547549,68.262819438626,68.262819438626,3024422.0
2014-12-09,68.76,68.87,68.41,68.83,2345302.0,0.0,1.0,68.47193967323,68.581478843737,68.12340594889,68.541646418098,2345302.0
2014-12-05,68.37,68.98,68.4,68.68,2184225.0,0.0,1.0,68.083573523251,68.691018014244,68.11344784248,68.392274821952,2184225.0
2014-12-04,68.11,68.66,68.06,68.39,2550358.0,0.0,1.0,67.824662756598,68.372358609133,67.77487222455,68.10348973607,2550358.0
2014-12-02,67.51,68.14,67.51,68.11,1902820.0,0.0,1.0,67.227176372015,67.854537075827,67.227176372015,67.824662756598,1902820.0
2014-12-01,67.89,68.08,67.61,67.61,1925311.0,0.0,1.0,67.605584415584,67.794788437369,67.326757436112,67.326757436112,1925311.0
2014-11-28,67.7,68.475,67.7,68.15,1097138.0,0.0,1.0,67.4163803938,68.188133640553,67.4163803938,67.864495182237,1097138.0
2014-11-26,67.57,67.75,67.41,67.52,1493981.0,0.0,1.0,67.286925010473,67.466170925848,67.127595307918,67.237134478425,1493981.0
2014-11-25,67.75,67.91,67.36,67.58,1592859.0,0.28,1.0,67.466170925848,67.625500628404,67.077804775869,67.296883116883,1592859.0
2014-11-24,67.65,68.09,67.61,67.92,1592459.0,0.0,1.0,67.088625742074,67.524974527388,67.048957670682,67.356385223971,1592459.0
2014-11-21,67.89,67.91,67.26,67.4,2686516.0,0.0,1.0,67.326634170427,67.346468206123,66.701862046,66.840700295873,2686516.0
2014-11-20,66.94,67.48,66.88,67.29,1635512.0,0.0,1.0,66.384517474862,66.920036438657,66.325015367774,66.731613099544,1635512.0
2014-11-19,66.81,67.4,66.68,67.37,1874658.0,0.0,1.0,66.255596242838,66.840700295873,66.126675010813,66.810949242329,1874658.0
2014-11-18,66.91,67.15,66.59,66.79,1791531.0,0.0,1.0,66.354766421318,66.592774849671,66.03742185018,66.235762207142,1791531.0
2014-11-17,66.11,66.74,66.11,66.66,1172090.0,0.0,1.0,65.561404993474,66.186177117901,65.561404993474,66.106840975117,1172090.0
2014-11-14,67.01,67.01,66.43,66.58,1559627.0,0.0,1.0,66.453936599799,66.453936599799,65.878749564612,66.027504832332,1559627.0
2014-11-13,67.17,67.32,66.71,66.92,1962911.0,0.0,1.0,66.612608885368,66.761364153088,66.156426064357,66.364683439166,1962911.0
