Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,43.4,43.99,43.08,43.35,5084553.0,0.0,1.0,43.4,43.99,43.08,43.35,5084553.0
2015-04-15,42.74,43.83,42.3,43.42,6551628.0,0.0,1.0,42.74,43.83,42.3,43.42,6551628.0
2015-04-14,44.43,44.51,42.395,42.55,10192769.0,0.0,1.0,44.43,44.51,42.395,42.55,10192769.0
2015-04-13,44.12,45.36,43.3,43.8599,8699805.0,0.0,1.0,44.12,45.36,43.3,43.8599,8699805.0
2015-04-10,43.21,45.38,42.85,44.52,16413376.0,0.0,1.0,43.21,45.38,42.85,44.52,16413376.0
2015-04-09,38.94,44.18,38.67,43.33,37402549.0,0.0,1.0,38.94,44.18,38.67,43.33,37402549.0
2015-04-08,41.35,42.06,41.07,42.0,4195494.0,0.0,1.0,41.35,42.06,41.07,42.0,4195494.0
2015-04-07,41.15,42.16,40.45,41.36,7656992.0,0.0,1.0,41.15,42.16,40.45,41.36,7656992.0
2015-04-06,42.61,42.61,40.7,41.21,9102500.0,0.0,1.0,42.61,42.61,40.7,41.21,9102500.0
2015-04-02,42.51,43.47,42.45,43.1,6958634.0,0.0,1.0,42.51,43.47,42.45,43.1,6958634.0
2015-04-01,42.49,42.75,42.2,42.41,6860232.0,0.0,1.0,42.49,42.75,42.2,42.41,6860232.0
2015-03-31,42.58,43.18,42.4,42.91,8845245.0,0.0,1.0,42.58,43.18,42.4,42.91,8845245.0
2015-03-30,43.82,44.0,40.75,42.82,35287292.0,0.0,1.0,43.82,44.0,40.75,42.82,35287292.0
2015-03-27,34.73,45.0,34.48,44.4099,13673531.0,0.0,1.0,34.73,45.0,34.48,44.4099,13673531.0
2015-03-26,34.27,34.75,33.95,34.575,2903022.0,0.0,1.0,34.27,34.75,33.95,34.575,2903022.0
2015-03-25,35.78,35.84,34.69,34.73,2872543.0,0.0,1.0,35.78,35.84,34.69,34.73,2872543.0
2015-03-24,36.42,36.46,35.73,35.77,2032865.0,0.0,1.0,36.42,36.46,35.73,35.77,2032865.0
2015-03-23,36.86,36.895,36.37,36.385,2880721.0,0.0,1.0,36.86,36.895,36.37,36.385,2880721.0
2015-03-20,36.9,37.0,36.56,36.95,3458182.0,0.0,1.0,36.9,37.0,36.56,36.95,3458182.0
2015-03-19,36.06,36.69,36.0,36.6,3111185.0,0.0,1.0,36.06,36.69,36.0,36.6,3111185.0
2015-03-18,35.43,36.26,35.28,36.19,2452328.0,0.0,1.0,35.43,36.26,35.28,36.19,2452328.0
2015-03-17,35.55,35.6,35.22,35.515,1097637.0,0.0,1.0,35.55,35.6,35.22,35.515,1097637.0
2015-03-16,35.33,35.74,35.21,35.715,1121707.0,0.0,1.0,35.33,35.74,35.21,35.715,1121707.0
2015-03-13,34.86,35.12,34.74,35.06,1424753.0,0.0,1.0,34.86,35.12,34.74,35.06,1424753.0
2015-03-12,34.86,35.08,34.64,34.94,2405192.0,0.0,1.0,34.86,35.08,34.64,34.94,2405192.0
2015-03-11,35.19,35.42,34.99,35.01,1165325.0,0.0,1.0,35.19,35.42,34.99,35.01,1165325.0
2015-03-10,35.48,35.61,35.11,35.11,1874959.0,0.0,1.0,35.48,35.61,35.11,35.11,1874959.0
2015-03-09,35.78,35.98,35.67,35.85,1228041.0,0.0,1.0,35.78,35.98,35.67,35.85,1228041.0
2015-03-06,35.94,36.11,35.39,35.78,2726393.0,0.0,1.0,35.94,36.11,35.39,35.78,2726393.0
2015-03-05,36.32,36.54,35.85,36.02,2660033.0,0.0,1.0,36.32,36.54,35.85,36.02,2660033.0
2015-03-04,36.46,36.8,36.04,36.31,1691325.0,0.0,1.0,36.46,36.8,36.04,36.31,1691325.0
2015-03-03,37.35,37.45,36.5,36.55,2078501.0,0.0,1.0,37.35,37.45,36.5,36.55,2078501.0
2015-03-02,36.8,37.6,36.46,37.54,3140680.0,0.0,1.0,36.8,37.6,36.46,37.54,3140680.0
2015-02-27,36.72,37.14,36.72,37.01,2353714.0,0.0,1.0,36.72,37.14,36.72,37.01,2353714.0
2015-02-26,36.83,36.83,36.36,36.62,1501782.0,0.0,1.0,36.83,36.83,36.36,36.62,1501782.0
2015-02-25,36.81,36.81,36.45,36.72,1335863.0,0.0,1.0,36.81,36.81,36.45,36.72,1335863.0
2015-02-24,35.92,36.82,35.71,36.8,2707608.0,0.0,1.0,35.92,36.82,35.71,36.8,2707608.0
2015-02-23,36.08,36.15,35.69,35.91,1035431.0,0.0,1.0,36.08,36.15,35.69,35.91,1035431.0
2015-02-20,35.76,36.16,35.57,36.14,1980791.0,0.0,1.0,35.76,36.16,35.57,36.14,1980791.0
2015-02-19,35.76,35.87,35.32,35.79,1954530.0,0.0,1.0,35.76,35.87,35.32,35.79,1954530.0
2015-02-18,36.04,36.09,35.715,35.8,3459405.0,0.0,1.0,36.04,36.09,35.715,35.8,3459405.0
2015-02-17,35.67,36.25,35.42,36.24,2708540.0,0.0,1.0,35.67,36.25,35.42,36.24,2708540.0
2015-02-13,35.3,35.735,35.19,35.66,2690403.0,0.0,1.0,35.3,35.735,35.19,35.66,2690403.0
2015-02-12,34.45,35.21,34.31,35.205,2969471.0,0.0,1.0,34.45,35.21,34.31,35.205,2969471.0
2015-02-11,34.37,34.44,34.13,34.3,1647375.0,0.0,1.0,34.37,34.44,34.13,34.3,1647375.0
2015-02-10,33.98,34.37,33.77,34.34,1999325.0,0.0,1.0,33.98,34.37,33.77,34.34,1999325.0
2015-02-09,34.05,34.1,33.65,33.76,1943303.0,0.0,1.0,34.05,34.1,33.65,33.76,1943303.0
2015-02-04,33.88,34.11,33.63,33.82,1581343.0,0.0,1.0,33.88,34.11,33.63,33.82,1581343.0
2015-02-03,33.55,34.19,33.47,34.06,2007838.0,0.0,1.0,33.55,34.19,33.47,34.06,2007838.0
