Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,166.4,167.64,165.07,166.87,3030651.0,0.0,1.0,166.4,167.64,165.07,166.87,3030651.0
2015-04-15,163.12,165.91,162.86,165.47,3551739.0,0.0,1.0,163.12,165.91,162.86,165.47,3551739.0
2015-04-14,162.5,163.47,160.56,162.57,2076871.0,0.0,1.0,162.5,163.47,160.56,162.57,2076871.0
2015-04-13,162.82,164.72,162.34,162.49,1723268.0,0.0,1.0,162.82,164.72,162.34,162.49,1723268.0
2015-04-10,161.59,163.69,160.31,163.38,2386528.0,0.0,1.0,161.59,163.69,160.31,163.38,2386528.0
2015-04-09,161.23,161.8,159.07,161.49,2847004.0,0.0,1.0,161.23,161.8,159.07,161.49,2847004.0
2015-04-08,157.68,160.99,157.66,160.3,2938971.0,0.0,1.0,157.68,160.99,157.66,160.3,2938971.0
2015-04-07,155.62,159.47,155.28,157.28,2898770.0,0.0,1.0,155.62,159.47,155.28,157.28,2898770.0
2015-04-06,154.8,157.27,154.6,155.28,3174831.0,0.0,1.0,154.8,157.27,154.6,155.28,3174831.0
2015-04-02,157.12,158.18,155.03,155.88,2999004.0,0.0,1.0,157.12,158.18,155.03,155.88,2999004.0
2015-04-01,159.37,159.39,154.64,157.1,4802835.0,0.0,1.0,159.37,159.39,154.64,157.1,4802835.0
2015-03-31,163.32,164.09,159.72,159.85,3001576.0,0.0,1.0,163.32,164.09,159.72,159.85,3001576.0
2015-03-30,164.51,165.82,163.05,164.305,2338014.0,0.0,1.0,164.51,165.82,163.05,164.305,2338014.0
2015-03-27,161.26,163.445,161.0,162.59,2385867.0,0.0,1.0,161.26,163.445,161.0,162.59,2385867.0
2015-03-26,158.84,162.69,157.36,160.55,3116374.0,0.0,1.0,158.84,162.69,157.36,160.55,3116374.0
2015-03-25,166.0,166.79,160.57,160.62,3483082.0,0.0,1.0,166.0,166.79,160.57,160.62,3483082.0
2015-03-24,166.06,168.25,165.4,166.01,2531245.0,0.0,1.0,166.06,168.25,165.4,166.01,2531245.0
2015-03-23,168.9,169.21,165.7001,166.54,3857627.0,0.0,1.0,168.9,169.21,165.7001,166.54,3857627.0
2015-03-20,170.4,172.36,168.51,170.1,7596060.0,0.0,1.0,170.4,172.36,168.51,170.1,7596060.0
2015-03-19,167.67,169.22,166.97,169.11,3735361.0,0.0,1.0,167.67,169.22,166.97,169.11,3735361.0
2015-03-18,162.97,167.5993,161.83,166.5,3646589.0,0.0,1.0,162.97,167.5993,161.83,166.5,3646589.0
2015-03-17,162.25,163.76,161.739,163.07,2599212.0,0.0,1.0,162.25,163.76,161.739,163.07,2599212.0
2015-03-16,157.73,163.2,156.74,163.03,5103567.0,0.0,1.0,157.73,163.2,156.74,163.03,5103567.0
2015-03-13,153.28,154.75,152.58,154.26,2662506.0,0.0,1.0,153.28,154.75,152.58,154.26,2662506.0
2015-03-12,154.26,154.77,152.95,154.25,1822161.0,0.0,1.0,154.26,154.77,152.95,154.25,1822161.0
2015-03-11,154.12,154.27,152.42,152.7,2487097.0,0.0,1.0,154.12,154.27,152.42,152.7,2487097.0
2015-03-10,152.87,155.625,152.29,153.58,3509639.0,0.0,1.0,152.87,155.625,152.29,153.58,3509639.0
2015-03-09,154.85,155.74,152.78,155.01,2134997.0,0.0,1.0,154.85,155.74,152.78,155.01,2134997.0
2015-03-06,158.5,159.92,154.0,154.88,4091352.0,0.0,1.0,158.5,159.92,154.0,154.88,4091352.0
2015-03-05,160.0,161.48,158.857,159.6,2470899.0,0.0,1.0,160.0,161.48,158.857,159.6,2470899.0
2015-03-04,158.05,159.74,156.81,159.19,3098540.0,0.0,1.0,158.05,159.74,156.81,159.19,3098540.0
2015-03-03,159.4,159.4,157.51,158.56,2334873.0,0.0,1.0,159.4,159.4,157.51,158.56,2334873.0
2015-03-02,159.29,159.9,157.62,159.63,3481697.0,0.0,1.0,159.29,159.9,157.62,159.63,3481697.0
2015-02-27,159.1,159.24,157.2,157.72,2470206.0,0.0,1.0,159.1,159.24,157.2,157.72,2470206.0
2015-02-26,158.48,159.4,156.0,158.97,3379362.0,0.0,1.0,158.48,159.4,156.0,158.97,3379362.0
2015-02-25,157.76,158.78,155.74,158.08,3262722.0,0.0,1.0,157.76,158.78,155.74,158.08,3262722.0
2015-02-24,159.0,159.11,156.25,157.37,2060548.0,0.0,1.0,159.0,159.11,156.25,157.37,2060548.0
2015-02-23,158.07,159.2,157.81,158.42,3089851.0,0.0,1.0,158.07,159.2,157.81,158.42,3089851.0
2015-02-20,156.5,157.75,155.06,157.66,4407381.0,0.0,1.0,156.5,157.75,155.06,157.66,4407381.0
2015-02-19,155.97,156.42,155.04,156.05,3913672.0,0.0,1.0,155.97,156.42,155.04,156.05,3913672.0
2015-02-18,154.28,156.23,153.64,155.78,3295586.0,0.0,1.0,154.28,156.23,153.64,155.78,3295586.0
2015-02-17,153.52,154.85,153.0,154.24,3890053.0,0.0,1.0,153.52,154.85,153.0,154.24,3890053.0
2015-02-13,153.62,153.81,150.21,153.48,3590488.0,0.0,1.0,153.62,153.81,150.21,153.48,3590488.0
2015-02-12,154.16,154.83,151.12,153.18,2935675.0,0.0,1.0,154.16,154.83,151.12,153.18,2935675.0
2015-02-11,153.3,155.24,152.265,153.11,3992385.0,0.0,1.0,153.3,155.24,152.265,153.11,3992385.0
