Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,94.56,94.99,93.72,93.94,4964731.0,0.0,1.0,94.56,94.99,93.72,93.94,4964731.0
2015-04-15,91.08,94.65,90.77,94.54,6499730.0,0.0,1.0,91.08,94.65,90.77,94.54,6499730.0
2015-04-14,89.65,90.91,89.21,90.83,3952747.0,0.0,1.0,89.65,90.91,89.21,90.83,3952747.0
2015-04-13,90.49,91.1,88.54,88.68,3157785.0,0.0,1.0,90.49,91.1,88.54,88.68,3157785.0
2015-04-10,90.0,90.11,88.74,90.1,3979666.0,0.0,1.0,90.0,90.11,88.74,90.1,3979666.0
2015-04-09,86.71,89.6,86.51,88.9,5777741.0,0.0,1.0,86.71,89.6,86.51,88.9,5777741.0
2015-04-08,86.7,87.22,85.38,86.12,5890201.0,0.0,1.0,86.7,87.22,85.38,86.12,5890201.0
2015-04-07,85.93,86.83,85.4,85.44,3458434.0,0.0,1.0,85.93,86.83,85.4,85.44,3458434.0
2015-04-06,85.04,86.6,84.8,85.86,3066107.0,0.0,1.0,85.04,86.6,84.8,85.86,3066107.0
2015-04-02,83.3,85.37,82.92,84.55,3479356.0,0.0,1.0,83.3,85.37,82.92,84.55,3479356.0
2015-04-01,83.76,84.96,83.49,83.86,4108028.0,0.0,1.0,83.76,84.96,83.49,83.86,4108028.0
2015-03-31,83.05,83.77,82.55,82.81,2354466.0,0.0,1.0,83.05,83.77,82.55,82.81,2354466.0
2015-03-30,83.18,84.08,82.52,83.85,2737561.0,0.0,1.0,83.18,84.08,82.52,83.85,2737561.0
2015-03-27,82.81,82.84,81.93,82.19,2378555.0,0.0,1.0,82.81,82.84,81.93,82.19,2378555.0
2015-03-26,83.5,84.04,82.46,83.2,4035658.0,0.0,1.0,83.5,84.04,82.46,83.2,4035658.0
2015-03-25,82.22,83.15,81.31,82.34,3930864.0,0.0,1.0,82.22,83.15,81.31,82.34,3930864.0
2015-03-24,81.34,81.75,80.53,81.41,3373018.0,0.0,1.0,81.34,81.75,80.53,81.41,3373018.0
2015-03-23,82.27,82.73,80.99,81.04,3842039.0,0.0,1.0,82.27,82.73,80.99,81.04,3842039.0
2015-03-20,80.91,83.5,80.91,81.95,5007132.0,0.0,1.0,80.91,83.5,80.91,81.95,5007132.0
2015-03-19,81.04,82.28,79.91,80.43,3937523.0,0.0,1.0,81.04,82.28,79.91,80.43,3937523.0
2015-03-18,79.97,83.18,79.67,82.59,4921621.0,0.0,1.0,79.97,83.18,79.67,82.59,4921621.0
2015-03-17,80.15,81.25,79.74,80.44,6078607.0,0.0,1.0,80.15,81.25,79.74,80.44,6078607.0
2015-03-16,77.85,80.74,77.52,80.64,4570104.0,0.0,1.0,77.85,80.74,77.52,80.64,4570104.0
2015-03-13,77.55,78.53,77.0,78.42,3554953.0,0.0,1.0,77.55,78.53,77.0,78.42,3554953.0
2015-03-12,79.84,79.93,78.01,78.19,2948349.0,0.0,1.0,79.84,79.93,78.01,78.19,2948349.0
2015-03-11,79.23,80.23,78.78,79.49,3134550.0,0.0,1.0,79.23,80.23,78.78,79.49,3134550.0
2015-03-10,79.72,81.05,78.99,78.99,4617143.0,0.0,1.0,79.72,81.05,78.99,78.99,4617143.0
2015-03-09,81.49,82.78,80.61,80.77,3296411.0,0.0,1.0,81.49,82.78,80.61,80.77,3296411.0
2015-03-06,81.83,82.17,80.63,81.73,5386879.0,0.0,1.0,81.83,82.17,80.63,81.73,5386879.0
2015-03-05,83.32,83.338,82.4142,82.84,3312179.0,0.0,1.0,83.32,83.338,82.4142,82.84,3312179.0
2015-03-04,82.97,83.6,81.33,83.35,3426730.0,0.0,1.0,82.97,83.6,81.33,83.35,3426730.0
