Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,58.97,59.25,58.735,58.76,804350.0,0.0,1.0,58.97,59.25,58.735,58.76,804350.0
2015-04-15,59.05,59.51,58.89,59.22,951554.0,0.0,1.0,59.05,59.51,58.89,59.22,951554.0
2015-04-14,58.81,59.04,58.45,58.93,835353.0,0.0,1.0,58.81,59.04,58.45,58.93,835353.0
2015-04-13,59.38,59.61,58.89,59.01,720322.0,0.0,1.0,59.38,59.61,58.89,59.01,720322.0
2015-04-10,59.3,59.55,59.14,59.54,538852.0,0.0,1.0,59.3,59.55,59.14,59.54,538852.0
2015-04-09,59.13,59.46,58.88,59.3,576090.0,0.0,1.0,59.13,59.46,58.88,59.3,576090.0
2015-04-08,58.78,59.22,58.53,59.21,725634.0,0.0,1.0,58.78,59.22,58.53,59.21,725634.0
2015-04-07,58.81,59.02,58.68,58.84,833377.0,0.0,1.0,58.81,59.02,58.68,58.84,833377.0
2015-04-06,58.46,59.19,58.26,58.97,1016479.0,0.0,1.0,58.46,59.19,58.26,58.97,1016479.0
2015-04-02,58.04,58.9008,58.04,58.8,838173.0,0.0,1.0,58.04,58.9008,58.04,58.8,838173.0
2015-04-01,58.66,58.78,57.83,58.28,1332267.0,0.0,1.0,58.66,58.78,57.83,58.28,1332267.0
2015-03-31,58.33,59.185,58.1615,58.93,1311684.0,0.0,1.0,58.33,59.185,58.1615,58.93,1311684.0
2015-03-30,58.18,58.87,58.07,58.77,835948.0,0.0,1.0,58.18,58.87,58.07,58.77,835948.0
2015-03-27,57.53,57.77,57.28,57.64,1278980.0,0.0,1.0,57.53,57.77,57.28,57.64,1278980.0
2015-03-26,57.46,57.71,56.74,57.5,2055083.0,0.0,1.0,57.46,57.71,56.74,57.5,2055083.0
2015-03-25,59.06,59.27,57.61,57.61,1052883.0,0.0,1.0,59.06,59.27,57.61,57.61,1052883.0
2015-03-24,59.74,59.93,58.95,59.09,1033548.0,0.0,1.0,59.74,59.93,58.95,59.09,1033548.0
2015-03-23,60.15,60.2291,59.72,59.74,1366023.0,0.0,1.0,60.15,60.2291,59.72,59.74,1366023.0
2015-03-20,60.22,60.539,59.94,60.05,1968649.0,0.0,1.0,60.22,60.539,59.94,60.05,1968649.0
2015-03-19,60.09,60.26,59.85,59.97,1133954.0,0.0,1.0,60.09,60.26,59.85,59.97,1133954.0
2015-03-18,58.84,60.5,58.63,60.2,1060750.0,0.0,1.0,58.84,60.5,58.63,60.2,1060750.0
2015-03-17,59.01,59.1,58.49,59.0,936160.0,0.0,1.0,59.01,59.1,58.49,59.0,936160.0
2015-03-16,58.22,59.33,58.108,59.31,1121740.0,0.0,1.0,58.22,59.33,58.108,59.31,1121740.0
2015-03-13,58.3,58.5,57.65,57.95,738328.0,0.0,1.0,58.3,58.5,57.65,57.95,738328.0
2015-03-12,57.36,58.33,57.3,58.29,684818.0,0.0,1.0,57.36,58.33,57.3,58.29,684818.0
2015-03-11,57.37,57.5,57.11,57.29,801579.0,0.0,1.0,57.37,57.5,57.11,57.29,801579.0
2015-03-10,57.18,57.75,57.15,57.26,1205011.0,0.0,1.0,57.18,57.75,57.15,57.26,1205011.0
2015-03-09,57.61,57.83,57.41,57.71,1104114.0,0.0,1.0,57.61,57.83,57.41,57.71,1104114.0
2015-03-06,58.38,58.7,57.64,57.77,1267088.0,0.0,1.0,58.38,58.7,57.64,57.77,1267088.0
2015-03-05,58.49,58.91,58.1,58.72,1074416.0,0.0,1.0,58.49,58.91,58.1,58.72,1074416.0
2015-03-04,57.14,58.38,56.87,58.24,1871355.0,0.0,1.0,57.14,58.38,56.87,58.24,1871355.0
2015-03-03,57.04,57.3628,56.74,57.32,960987.0,0.0,1.0,57.04,57.3628,56.74,57.32,960987.0
2015-03-02,56.49,57.24,56.32,57.22,1327825.0,0.0,1.0,56.49,57.24,56.32,57.22,1327825.0
2015-02-27,56.65,56.97,56.43,56.46,924826.0,0.0,1.0,56.65,56.97,56.43,56.46,924826.0
2015-02-26,56.98,57.39,56.73,56.8,848938.0,0.0,1.0,56.98,57.39,56.73,56.8,848938.0
2015-02-25,56.77,57.03,56.594,56.85,835864.0,0.0,1.0,56.77,57.03,56.594,56.85,835864.0
2015-02-24,56.76,56.99,56.41,56.82,1248101.0,0.0,1.0,56.76,56.99,56.41,56.82,1248101.0
2015-02-23,56.55,56.93,56.21,56.72,653500.0,0.0,1.0,56.55,56.93,56.21,56.72,653500.0
2015-02-20,56.15,56.99,55.67,56.92,849223.0,0.0,1.0,56.15,56.99,55.67,56.92,849223.0
2015-02-19,56.21,56.5,56.0,56.22,403002.0,0.0,1.0,56.21,56.5,56.0,56.22,403002.0
2015-02-18,56.06,56.35,55.69,56.25,433639.0,0.0,1.0,56.06,56.35,55.69,56.25,433639.0
2015-02-17,56.37,56.39,55.77,56.0,692222.0,0.0,1.0,56.37,56.39,55.77,56.0,692222.0
2015-02-13,55.81,56.46,55.81,56.39,690216.0,0.0,1.0,55.81,56.46,55.81,56.39,690216.0
2015-02-12,55.59,56.0,55.58,56.0,555558.0,0.0,1.0,55.59,56.0,55.58,56.0,555558.0
2015-02-11,55.86,55.92,55.25,55.55,783528.0,0.0,1.0,55.86,55.92,55.25,55.55,783528.0
