Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,79.43,81.1715,79.25,80.91,7870747.0,0.0,1.0,79.43,81.1715,79.25,80.91,7870747.0
2015-04-15,79.43,80.3,79.42,79.75,5998279.0,0.0,1.0,79.43,80.3,79.42,79.75,5998279.0
2015-04-14,79.6,79.9699,78.89,79.49,4201692.0,0.0,1.0,79.6,79.9699,78.89,79.49,4201692.0
2015-04-13,79.73,79.99,79.26,79.27,4034493.0,0.0,1.0,79.73,79.99,79.26,79.27,4034493.0
2015-04-10,79.42,79.97,79.2,79.59,3430284.0,0.0,1.0,79.42,79.97,79.2,79.59,3430284.0
2015-04-09,78.63,79.33,78.41,79.16,4261791.0,0.0,1.0,78.63,79.33,78.41,79.16,4261791.0
2015-04-08,78.42,79.36,78.3,78.69,6355092.0,0.0,1.0,78.42,79.36,78.3,78.69,6355092.0
2015-04-07,78.59,79.38,78.26,78.33,5863825.0,0.0,1.0,78.59,79.38,78.26,78.33,5863825.0
2015-04-06,79.34,80.1,78.73,79.63,3811130.0,0.0,1.0,79.34,80.1,78.73,79.63,3811130.0
2015-04-02,78.93,79.77,78.57,79.7,5651420.0,0.0,1.0,78.93,79.77,78.57,79.7,5651420.0
2015-04-01,78.05,79.32,77.85,78.93,6103655.0,0.0,1.0,78.05,79.32,77.85,78.93,6103655.0
2015-03-31,77.89,78.53,77.62,78.12,5886690.0,0.26,1.0,77.89,78.53,77.62,78.12,5886690.0
2015-03-30,78.35,78.75,78.0,78.05,7192800.0,0.0,1.0,78.090099515182,78.488772646083,77.741260525644,77.791094667007,7192800.0
2015-03-27,78.4,78.64,77.71,77.97,8961861.0,0.0,1.0,78.139933656545,78.379137535085,77.452222505741,77.711360040827,8961861.0
2015-03-26,79.67,79.78,77.885,78.48,16142962.0,0.0,1.0,79.405720847155,79.515355958153,77.62664200051,78.219668282725,16142962.0
2015-03-25,81.42,81.47,80.03,80.11,8363368.0,0.0,1.0,81.149915794846,81.199749936208,79.764526664966,79.844261291146,8363368.0
2015-03-24,82.04,82.16,81.27,81.37,5120314.0,0.0,1.0,81.767859147742,81.887461087012,81.000413370758,81.100081653483,5120314.0
2015-03-23,82.7,83.54,82.2,82.2,7276625.0,0.0,1.0,82.425669813728,83.26288338862,81.927328400102,81.927328400102,7276625.0
2015-03-20,81.79,83.06,81.5,82.7,8953630.0,0.0,1.0,81.518688440929,82.784475631539,81.229650421026,82.425669813728,8953630.0
2015-03-19,81.84,81.96,80.94,81.54,4641221.0,0.0,1.0,81.568522582291,81.688124521562,80.671508037765,81.269517734116,4641221.0
2015-03-18,80.58,82.32,80.27,81.86,6057438.0,0.0,1.0,80.312702219954,82.046930339372,80.003730543506,81.588456238836,6057438.0
2015-03-17,81.2,81.2094,80.55,81.06,4225700.0,0.0,1.0,80.93064557285,80.940014391426,80.282801735137,80.791109977035,4225700.0
2015-03-16,80.88,81.6534,80.75,81.5,5243090.0,0.0,1.0,80.61170706813,81.382541566726,80.482138300587,81.229650421026,5243090.0
2015-03-13,81.5,81.65,79.95,80.6,6880622.0,0.0,1.0,81.229650421026,81.379152845114,79.684792038785,80.332635876499,6880622.0
2015-03-12,80.1,82.0,80.03,81.56,9332216.0,0.0,1.0,79.834294462873,81.727991834652,79.764526664966,81.289451390661,9332216.0
2015-03-11,79.4,79.75,79.11,79.45,4540903.0,0.0,1.0,79.136616483797,79.485455473335,78.847578463894,79.186450625159,4540903.0
2015-03-10,79.73,79.77,78.87,79.11,7524975.0,0.0,1.0,79.46552181679,79.50538912988,78.608374585353,78.847578463894,7524975.0
2015-03-09,80.15,80.8325,79.95,80.51,5846077.0,0.0,1.0,79.884128604236,80.564364633835,79.684792038785,80.242934422046,5846077.0
2015-03-06,80.63,81.15,80.06,80.31,6530206.0,0.0,1.0,80.362536361317,80.880811431488,79.794427149783,80.043597856596,6530206.0
2015-03-05,80.66,81.4,80.64,81.15,5571779.0,0.0,1.0,80.392436846134,81.129982138301,80.372503189589,80.880811431488,5571779.0
2015-03-04,81.55,81.56,80.56,80.63,6118255.0,0.0,1.0,81.279484562388,81.289451390661,80.292768563409,80.362536361317,6118255.0
2015-03-03,80.99,81.93,80.9,81.91,6849926.0,0.0,1.0,80.721342179127,81.658224036744,80.631640724675,81.638290380199,6849926.0
2015-03-02,81.73,82.21,81.56,82.03,5495368.0,0.0,1.0,81.458887471294,81.937295228375,81.289451390661,81.757892319469,5495368.0
2015-02-27,83.25,83.38,81.52,81.59,8092233.0,0.0,1.0,82.973845368716,83.103414136259,81.249584077571,81.319351875478,8092233.0
2015-02-26,83.01,83.47,82.41,83.25,8697427.0,0.0,1.0,82.734641490176,83.193115590712,82.136631793825,82.973845368716,8697427.0
2015-02-25,81.16,82.25,80.87,82.17,8149459.0,0.0,1.0,80.89077825976,81.977162541465,80.601740239857,81.897427915285,8149459.0
2015-02-24,80.3,81.7,80.26,80.86,10944570.0,0.0,1.0,80.033631028324,81.428986986476,79.993763715233,80.591773411585,10944570.0
2015-02-23,79.99,80.48,79.47,80.3,6846133.0,0.0,1.0,79.724659351875,80.213033937229,79.206384281705,80.033631028324,6846133.0
2015-02-20,78.22,79.88,78.2,79.83,11322789.0,0.0,1.0,77.96053074764,79.615024240878,77.940597091095,79.565190099515,11322789.0
2015-02-19,79.88,79.98,77.56,78.4,20846982.0,0.0,1.0,79.615024240878,79.714692523603,77.302720081653,78.139933656545,20846982.0
2015-02-18,78.73,80.27,78.72,79.78,13378665.0,0.0,1.0,78.468838989538,80.003730543506,78.458872161266,79.515355958153,13378665.0
2015-02-17,77.16,79.32,77.12,79.08,18554639.0,0.0,1.0,76.904046950753,79.056881857617,76.864179637663,78.817677979076,18554639.0
2015-02-13,79.42,79.75,77.72,78.08,34815565.0,0.0,1.0,79.156550140342,79.485455473335,77.462189334014,77.820995151824,34815565.0
2015-02-12,80.09,81.53,80.0,80.48,32611598.0,0.0,1.0,79.824327634601,81.259550905843,79.734626180148,80.213033937229,32611598.0
2015-02-11,85.84,86.18,85.32,86.01,4360826.0,0.0,1.0,85.555253891299,85.894126052564,85.036978821128,85.724689971932,4360826.0
2015-02-10,85.69,85.9662,85.12,85.84,3588448.0,0.0,1.0,85.405751467211,85.681035264098,84.837642255677,85.555253891299,3588448.0
2015-02-09,84.48,85.25,84.3,84.98,3095799.0,0.0,1.0,84.199765246236,84.96721102322,84.020362337331,84.698106659862,3095799.0
2015-02-04,83.48,84.47,83.33,83.61,6124395.0,0.0,1.0,83.203082418984,84.189798417964,83.053579994897,83.332651186527,6124395.0
2015-02-03,82.58,83.77,82.54,83.73,5574023.0,0.0,1.0,82.306067874458,83.492120438887,82.266200561368,83.452253125797,5574023.0
2015-02-02,81.11,82.25,80.85,82.13,5445680.0,0.0,1.0,80.840944118398,81.977162541465,80.581806583312,81.857560602194,5445680.0
2015-01-30,81.99,82.2,80.56,80.69,7198190.0,0.0,1.0,81.718025006379,81.927328400102,80.292768563409,80.422337330952,7198190.0
2015-01-29,82.0,82.33,81.16,82.0,7535769.0,0.0,1.0,81.727991834652,82.056897167645,80.89077825976,81.727991834652,7535769.0
2015-01-28,82.89,83.39,81.71,81.73,7933573.0,0.0,1.0,82.615039550906,83.113380964532,81.438953814749,81.458887471294,7933573.0
2015-01-26,83.78,84.3,83.12,83.3,6630188.0,0.0,1.0,83.50208726716,84.020362337331,82.844276601174,83.023679510079,6630188.0
2015-01-23,84.43,85.32,83.96,84.13,7357022.0,0.0,1.0,84.149931104874,85.036978821128,83.681490176065,83.850926256698,7357022.0
2015-01-22,84.5,86.12,83.5,84.37,16374640.0,0.0,1.0,84.219698902781,85.834325082929,83.223016075529,84.090130135239,16374640.0
2015-01-21,87.56,87.72,86.77,87.67,7091171.0,0.0,1.0,87.269548354172,87.429017606532,86.482168920643,87.37918346517,7091171.0
2015-01-20,86.56,87.72,86.42,87.26,6335996.0,0.0,1.0,86.27286552692,87.429017606532,86.133329931105,86.970543505996,6335996.0
2015-01-15,87.26,88.03,84.55,85.88,5813672.0,0.0,1.0,86.970543505996,87.73798928298,84.269533044144,85.595121204389,5813672.0
2015-01-14,87.44,88.42,86.25,87.07,6555126.0,0.0,1.0,87.149946414902,88.126695585609,85.963893850472,86.781173768819,6555126.0
2015-01-13,90.27,91.14,88.43,89.23,3526235.0,0.0,1.0,89.970558816024,90.837672875734,88.136662413881,88.934008675683,3526235.0
2015-01-12,90.5,90.94,89.08,89.5,3215660.0,0.0,1.0,90.199795866292,90.638336310283,88.784506251595,89.203113039041,3215660.0
2015-01-08,91.44,91.81,91.0,91.58,3771463.0,0.0,1.0,91.136677723909,91.505450369992,90.698137279918,91.276213319724,3771463.0
2015-01-06,90.7,90.9,87.94,88.63,4795456.0,0.0,1.0,90.399132431743,90.598468997193,87.648287828528,88.335998979331,4795456.0
2015-01-05,92.46,92.78,90.32,90.56,3464957.0,0.0,1.0,92.153294207706,92.472232712427,90.020392957387,90.259596835928,3464957.0
2015-01-02,93.28,93.94,92.14,93.02,2436291.0,0.0,1.0,92.970574126053,93.628384792039,91.834355702985,92.711436590967,2436291.0
2014-12-31,94.75,94.75,93.0,93.04,2296689.0,0.0,1.0,94.435697882113,94.435697882113,92.691502934422,92.731370247512,2296689.0
2014-12-30,94.21,94.46,94.03,94.27,1371552.0,0.0,1.0,93.897489155397,94.14665986221,93.718086246491,93.957290125032,1371552.0
2014-12-26,94.02,94.8,94.2,94.29,1439897.0,0.0,1.0,93.708119418219,94.485532023475,93.887522327124,93.977223781577,1439897.0
2014-12-24,94.16,94.79,93.96,94.08,1321515.0,0.0,1.0,93.847655014034,94.475565195203,93.648318448584,93.767920387854,1321515.0
2014-12-23,93.8,94.28,93.65,93.82,2853718.0,0.0,1.0,93.488849196224,93.967256953304,93.339346772136,93.508782852769,2853718.0
2014-12-22,93.0,93.66,92.825,93.62,2888500.0,0.0,1.0,92.691502934422,93.349313600408,92.517083439653,93.309446287318,2888500.0
2014-12-19,93.02,93.91,92.35,92.9,7280049.0,0.0,1.0,92.711436590967,93.598484307221,92.043659096708,92.591834651697,7280049.0
2014-12-18,91.69,93.21,91.49,93.17,4537890.0,0.0,1.0,91.385848430722,92.900806328145,91.186511865272,92.860939015055,4537890.0
2014-12-17,88.51,90.57,88.34,90.44,5189866.0,0.0,1.0,88.216397040061,90.2695636642,88.046960959428,90.139994896657,5189866.0
2014-12-16,89.37,90.79,88.19,88.24,4909010.0,0.0,1.0,89.073544271498,90.488833886195,87.897458535341,87.947292676703,4909010.0
2014-12-15,91.54,91.58,89.15,90.04,4718527.0,0.0,1.0,91.236346006634,91.276213319724,88.854274049502,89.741321765757,4718527.0
2014-12-12,92.4,93.02,90.94,91.0,4472964.0,0.0,1.0,92.093493238071,92.711436590967,90.638336310283,90.698137279918,4472964.0
2014-12-10,92.74,93.69,92.56,92.75,4634163.0,0.0,1.0,92.432365399337,93.379214085226,92.252962490431,92.442332227609,4634163.0
2014-12-09,92.16,93.4,91.98,93.36,4068654.0,0.0,1.0,91.85428935953,93.090176065323,91.674886450625,93.050308752233,4068654.0
2014-12-05,92.25,92.86,92.05,92.65,2870995.0,0.0,1.0,91.943990813983,92.551967338607,91.744654248533,92.342663944884,2870995.0
2014-12-04,91.39,91.85,91.19,91.83,3987873.0,0.0,1.0,91.086843582547,91.545317683082,90.887507017096,91.525384026537,3987873.0
2014-12-02,92.33,93.0,92.32,93.0,3107694.0,0.0,1.0,92.023725440163,92.691502934422,92.013758611891,92.691502934422,3107694.0
2014-12-01,92.14,92.63,91.66,92.14,3327876.0,0.0,1.0,91.834355702985,92.322730288339,91.355947945905,91.834355702985,3327876.0
2014-11-28,91.6,92.55,91.58,92.42,3070019.0,0.0,1.0,91.296146976269,92.242995662159,91.276213319724,92.113426894616,3070019.0
2014-11-26,91.24,91.71,90.93,91.45,2214237.0,0.0,1.0,90.937341158459,91.405782087267,90.628369482011,91.146644552182,2214237.0
2014-11-25,91.04,91.58,90.76,91.4,3309523.0,0.0,1.0,90.738004593008,91.276213319724,90.458933401378,91.096810410819,3309523.0
2014-11-24,90.8,91.17,90.21,91.04,3454795.0,0.0,1.0,90.498800714468,90.867573360551,89.910757846389,90.738004593008,3454795.0
2014-11-21,91.66,91.68,90.3,90.39,4027742.0,0.0,1.0,91.355947945905,91.37588160245,90.000459300842,90.090160755295,4027742.0
2014-11-20,89.93,90.91,89.82,90.62,2821413.0,0.0,1.0,89.631686654759,90.608435825466,89.522051543761,90.319397805563,2821413.0
2014-11-19,90.36,90.76,90.02,90.5,2659126.0,0.0,1.0,90.060260270477,90.458933401378,89.721388109212,90.199795866292,2659126.0
2014-11-18,90.13,90.93,90.03,90.58,2170645.0,0.0,1.0,89.831023220209,90.628369482011,89.731354937484,90.279530492473,2170645.0
2014-11-17,90.24,90.26,89.65,90.13,2613946.0,0.0,1.0,89.940658331207,89.960591987752,89.352615463128,89.831023220209,2613946.0
2014-11-14,91.07,91.24,90.3501,90.67,2358103.0,0.0,1.0,90.767905077826,90.937341158459,90.050393110487,90.369231946925,2358103.0
2014-11-13,91.7,91.7,90.94,91.07,3632783.0,0.0,1.0,91.395815258995,91.395815258995,90.638336310283,90.767905077826,3632783.0
2014-11-12,91.16,91.665,91.1,91.55,3825143.0,0.0,1.0,90.857606532279,91.360931360041,90.797805562644,91.246312834907,3825143.0
2014-11-11,92.28,92.59,91.49,91.74,2719777.0,0.0,1.0,91.973891298801,92.282862975249,91.186511865272,91.435682572085,2719777.0
2014-11-10,92.21,92.43,91.85,92.4,2930483.0,0.0,1.0,91.904123500893,92.123393722888,91.545317683082,92.093493238071,2930483.0
2014-11-07,91.73,92.4801,91.23,92.26,3662191.0,0.0,1.0,91.425715743812,92.173327532534,90.927374330186,91.953957642256,3662191.0
2014-11-06,92.03,92.2,91.11,91.58,5992588.0,0.0,1.0,91.724720591988,91.894156672621,90.807772390916,91.276213319724,5992588.0
2014-11-04,90.58,91.43,90.5,91.38,3161910.0,0.0,1.0,90.279530492473,91.126710895637,90.199795866292,91.076876754274,3161910.0
2014-11-03,90.39,91.21,90.22,90.85,3705475.0,0.0,1.0,90.090160755295,90.907440673641,89.920724674662,90.548634855831,3705475.0
2014-10-31,89.98,90.599,89.3675,89.95,6822889.0,0.0,1.0,89.681520796121,90.29846746619,89.07105256443,89.651620311304,6822889.0
2014-10-30,88.64,89.49,88.2,88.74,5068006.0,0.0,1.0,88.345965807604,89.193146210768,87.907425363613,88.445634090329,5068006.0
2014-10-29,88.33,88.99,87.65,88.34,4567827.0,0.0,1.0,88.036994131156,88.694804797142,87.359249808625,88.046960959428,4567827.0
2014-10-28,87.05,88.01,86.96,88.01,3592560.0,0.0,1.0,86.761240112274,87.718055626435,86.671538657821,87.718055626435,3592560.0
2014-10-27,86.12,86.75,85.76,86.63,3608992.0,0.0,1.0,85.834325082929,86.462235264098,85.475519265119,86.342633324828,3608992.0
2014-10-24,85.39,86.43,85.59,86.4,3574216.0,0.0,1.0,85.106746619035,86.143296759377,85.306083184486,86.11339627456,3574216.0
2014-10-23,85.13,85.85,84.87,85.61,4991965.0,0.0,1.0,84.84760908395,85.565220719571,84.588471548865,85.326016841031,4991965.0
2014-10-22,85.62,85.87,83.93,83.96,5182245.0,0.0,1.0,85.335983669303,85.585154376116,83.651589691248,83.681490176065,5182245.0
2014-10-21,84.7,85.66,84.44,85.64,4846630.0,0.0,1.0,84.419035468232,85.375850982393,84.159897933146,85.355917325848,4846630.0
2014-10-20,82.87,84.1,82.6302,84.01,5219707.0,0.0,1.0,82.595105894361,83.821025771881,82.356101352386,83.731324317428,5219707.0
2014-10-17,80.95,84.52,80.9,82.58,9156285.0,0.0,1.0,80.681474866037,84.239632559326,80.631640724675,82.306067874458,9156285.0
2014-10-16,80.29,81.47,78.81,80.24,9135796.0,0.0,1.0,80.023664200051,81.199749936208,78.548573615718,79.973830058688,9135796.0
2014-10-15,81.3,81.79,78.4101,80.93,9102682.0,0.0,1.0,81.030313855575,81.518688440929,78.1500001531,80.661541209492,9102682.0
2014-10-14,83.25,83.39,82.51,82.74,6107502.0,0.0,1.0,82.973845368716,83.113380964532,82.23630007655,82.465537126818,6107502.0
2014-10-13,84.74,85.25,82.61,82.78,5062426.0,0.0,1.0,84.458902781322,84.96721102322,82.335968359275,82.505404439908,5062426.0
2014-10-10,85.85,86.7,84.99,84.99,4207606.0,0.0,1.0,85.565220719571,86.412401122735,84.708073488135,84.708073488135,4207606.0
2014-10-09,87.29,87.98,85.82,85.89,5321256.0,0.0,1.0,87.000443990814,87.688155141618,85.535320234754,85.605088032661,5321256.0
2014-10-08,85.25,87.47,85.0039,87.41,4206315.0,0.0,1.0,84.96721102322,87.179846899719,84.721927379434,87.120045930084,4206315.0
2014-10-07,86.41,86.45,85.33,85.35,3905110.0,0.0,1.0,86.123363102832,86.163230415922,85.0469456494,85.066879305945,3905110.0
2014-10-06,87.24,87.967,86.76,87.03,3146524.0,0.0,1.0,86.950609849451,87.675198264863,86.47220209237,86.741306455728,3146524.0
2014-10-03,86.52,87.305,86.22,87.16,4584112.0,0.0,1.0,86.23299821383,87.015394233223,85.933993365655,86.870875223271,4584112.0
2014-10-02,85.76,86.5,85.06,85.87,4211557.0,0.0,1.0,85.475519265119,86.213064557285,84.777841286042,85.585154376116,4211557.0
2014-10-01,86.92,87.31,85.51,85.81,4774506.0,0.26,1.0,86.631671344731,87.020377647359,85.226348558306,85.525353406481,4774506.0
2014-09-30,88.06,88.32,87.35,87.54,3726149.0,0.0,1.0,87.502760787437,87.761115520628,86.797253631418,86.986051321057,3726149.0
2014-09-29,87.63,88.025,87.14,87.95,3260176.0,0.0,1.0,87.075481805623,87.467982265662,86.588582500764,87.393456861857,3260176.0
2014-09-26,86.79,88.6699,86.95,88.37,4476147.0,0.0,1.0,86.240797283008,88.108801371179,86.399784811125,87.810799123164,4476147.0
2014-09-25,88.53,88.82,86.76,86.76,5507398.0,0.0,1.0,87.969786651281,88.257951545994,86.210987121486,86.210987121486,5507398.0
2014-09-24,88.48,88.65,87.87,88.52,5048360.0,0.0,1.0,87.920103048745,88.089027297369,87.313963097798,87.959849930774,5048360.0
2014-09-23,88.61,89.26,88.232,88.31,3701492.0,0.0,1.0,88.04928041534,88.695167248316,87.673672380163,87.75117880012,3701492.0
2014-09-22,89.62,90.09,88.9,88.99,3133670.0,0.0,1.0,89.052889186579,89.519915050423,88.337445310052,88.426875794618,3133670.0
