Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,15.64,15.94,15.58,15.79,104387811.0,0.0,1.0,15.64,15.94,15.58,15.79,104387811.0
2015-04-15,15.7,15.85,15.59,15.64,123311164.0,0.0,1.0,15.7,15.85,15.59,15.64,123311164.0
2015-04-14,15.88,15.95,15.71,15.82,82823570.0,0.0,1.0,15.88,15.95,15.71,15.82,82823570.0
2015-04-13,15.78,15.86,15.74,15.8,48193356.0,0.0,1.0,15.78,15.86,15.74,15.8,48193356.0
2015-04-10,15.69,15.79,15.6,15.72,43457826.0,0.0,1.0,15.69,15.79,15.6,15.72,43457826.0
2015-04-09,15.63,15.76,15.53,15.71,44629021.0,0.0,1.0,15.63,15.76,15.53,15.71,44629021.0
2015-04-08,15.51,15.74,15.5,15.61,71208003.0,0.0,1.0,15.51,15.74,15.5,15.61,71208003.0
2015-04-07,15.53,15.65,15.45,15.46,49229913.0,0.0,1.0,15.53,15.65,15.45,15.46,49229913.0
2015-04-06,15.39,15.6,15.34,15.51,50801194.0,0.0,1.0,15.39,15.6,15.34,15.51,50801194.0
2015-04-02,15.43,15.62,15.43,15.54,49854188.0,0.0,1.0,15.43,15.62,15.43,15.54,49854188.0
2015-04-01,15.42,15.46,15.25,15.41,72673725.0,0.0,1.0,15.42,15.46,15.25,15.41,72673725.0
2015-03-31,15.5,15.52,15.38,15.39,60912970.0,0.0,1.0,15.5,15.52,15.38,15.39,60912970.0
2015-03-30,15.42,15.61,15.4,15.52,70475986.0,0.0,1.0,15.42,15.61,15.4,15.52,70475986.0
2015-03-27,15.48,15.49,15.27,15.31,72669500.0,0.0,1.0,15.48,15.49,15.27,15.31,72669500.0
2015-03-26,15.385,15.54,15.26,15.42,75273474.0,0.0,1.0,15.385,15.54,15.26,15.42,75273474.0
2015-03-25,15.63,15.65,15.4,15.41,87288743.0,0.0,1.0,15.63,15.65,15.4,15.41,87288743.0
2015-03-24,15.73,15.8,15.61,15.61,75612773.0,0.0,1.0,15.73,15.8,15.61,15.61,75612773.0
2015-03-23,15.82,15.88,15.72,15.72,55833128.0,0.0,1.0,15.82,15.88,15.72,15.72,55833128.0
2015-03-20,15.695,15.93,15.64,15.84,98062178.0,0.0,1.0,15.695,15.93,15.64,15.84,98062178.0
2015-03-19,15.96,15.97,15.61,15.61,107998039.0,0.0,1.0,15.96,15.97,15.61,15.61,107998039.0
2015-03-18,16.01,16.1,15.91,15.98,85516206.0,0.0,1.0,16.01,16.1,15.91,15.98,85516206.0
2015-03-17,16.07,16.12,15.96,16.09,58180678.0,0.0,1.0,16.07,16.12,15.96,16.09,58180678.0
2015-03-16,16.11,16.22,15.85,16.13,62610503.0,0.0,1.0,16.11,16.22,15.85,16.13,62610503.0
2015-03-13,16.08,16.15,15.94,16.09,79215292.0,0.0,1.0,16.08,16.15,15.94,16.09,79215292.0
2015-03-12,16.05,16.21,15.9,16.09,124889113.0,0.0,1.0,16.05,16.21,15.9,16.09,124889113.0
2015-03-11,15.92,16.16,15.87,16.11,85531260.0,0.0,1.0,15.92,16.16,15.87,16.11,85531260.0
2015-03-10,16.04,16.13,15.79,15.79,85633552.0,0.0,1.0,16.04,16.13,15.79,15.79,85633552.0
2015-03-09,16.31,16.33,16.12,16.17,72912722.0,0.0,1.0,16.31,16.33,16.12,16.17,72912722.0
2015-03-06,16.41,16.62,16.16,16.22,163207226.0,0.0,1.0,16.41,16.62,16.16,16.22,163207226.0
2015-03-05,15.92,16.03,15.745,16.0,69509958.0,0.0,1.0,15.92,16.03,15.745,16.0,69509958.0
2015-03-04,15.96,15.98,15.76,15.84,77910850.0,0.0,1.0,15.96,15.98,15.76,15.84,77910850.0
2015-03-03,16.03,16.15,15.96,16.04,65539320.0,0.0,1.0,16.03,16.15,15.96,16.04,65539320.0
2015-03-02,15.79,16.03,15.715,16.01,71318140.0,0.0,1.0,15.79,16.03,15.715,16.01,71318140.0
2015-02-27,15.78,15.88,15.62,15.81,130260900.0,0.0,1.0,15.78,15.88,15.62,15.81,130260900.0
2015-02-26,16.42,16.44,15.9,16.04,160856200.0,0.0,1.0,16.42,16.44,15.9,16.04,160856200.0
2015-02-25,16.37,16.5,16.32,16.49,56863680.0,0.0,1.0,16.318392181589,16.447982345523,16.268549810845,16.438013871375,56863680.0
2015-02-24,16.27,16.55,16.25,16.38,74020960.0,0.0,1.0,16.218707440101,16.497824716267,16.198770491803,16.328360655738,74020960.0
2015-02-23,16.31,16.32,16.1,16.2,70973173.0,0.0,1.0,16.258581336696,16.268549810845,16.049243379571,16.148928121059,70973173.0
2015-02-20,16.13,16.43,16.01,16.38,89180412.0,0.0,1.0,16.079148802018,16.378203026482,15.959527112232,16.328360655738,89180412.0
2015-02-19,16.205,16.38,16.08,16.21,75595866.0,0.0,1.0,16.153912358134,16.328360655738,16.029306431274,16.158896595208,75595866.0
2015-02-18,16.55,16.56,16.24,16.3,80160077.0,0.0,1.0,16.497824716267,16.507793190416,16.188802017654,16.248612862547,80160077.0
2015-02-17,16.525,16.68,16.37,16.63,92367573.0,0.0,1.0,16.472903530895,16.627414880202,16.318392181589,16.577572509458,92367573.0
2015-02-13,16.73,16.79,16.54,16.61,93334995.0,0.0,1.0,16.677257250946,16.737068095839,16.487856242119,16.55763556116,93334995.0
2015-02-12,16.43,16.73,16.37,16.67,116318047.0,0.0,1.0,16.378203026482,16.677257250946,16.318392181589,16.617446406053,116318047.0
2015-02-11,16.31,16.45,16.21,16.36,87334236.0,0.0,1.0,16.258581336696,16.398139974779,16.158896595208,16.30842370744,87334236.0
2015-02-10,16.57,16.62,16.35,16.42,82738688.0,0.0,1.0,16.517761664565,16.567604035309,16.298455233291,16.368234552333,82738688.0
2015-02-09,16.35,16.5,16.25,16.35,78303134.0,0.0,1.0,16.298455233291,16.447982345523,16.198770491803,16.298455233291,78303134.0
2015-02-04,15.79,16.0,15.75,15.79,83145178.0,0.0,1.0,15.740220680958,15.949558638083,15.700346784363,15.740220680958,83145178.0
2015-02-03,15.63,15.93,15.61,15.89,104847771.0,0.0,1.0,15.580725094578,15.879779319042,15.56078814628,15.839905422446,104847771.0
2015-02-02,15.27,15.49,15.12,15.46,100990173.0,0.0,1.0,15.221860025221,15.441166456494,15.072332912989,15.411261034048,100990173.0
2015-01-30,15.23,15.47,15.15,15.15,99313553.0,0.0,1.0,15.181986128625,15.421229508197,15.102238335435,15.102238335435,99313553.0
2015-01-29,15.3,15.49,15.2,15.43,75694493.0,0.0,1.0,15.251765447667,15.441166456494,15.152080706179,15.381355611602,75694493.0
2015-01-28,15.72,15.73,15.18,15.2,104666961.0,0.0,1.0,15.670441361917,15.680409836066,15.132143757881,15.152080706179,104666961.0
2015-01-26,15.72,15.93,15.7,15.85,69907280.0,0.0,1.0,15.670441361917,15.879779319042,15.650504413619,15.800031525851,69907280.0
2015-01-23,16.04,16.19,15.73,15.73,102799200.0,0.0,1.0,15.989432534678,16.13895964691,15.680409836066,15.680409836066,102799200.0
2015-01-22,15.55,16.19,15.43,16.09,181759900.0,0.0,1.0,15.500977301387,16.13895964691,15.381355611602,16.039274905422,181759900.0
2015-01-21,15.27,15.57,15.15,15.41,100276807.0,0.0,1.0,15.221860025221,15.520914249685,15.102238335435,15.361418663304,100276807.0
2015-01-20,15.59,15.63,15.2,15.26,122837550.0,0.0,1.0,15.540851197982,15.580725094578,15.152080706179,15.211891551072,122837550.0
2015-01-15,15.59,15.76,15.15,15.2,192393485.0,0.0,1.0,15.540851197982,15.710315258512,15.102238335435,15.152080706179,192393485.0
2015-01-14,16.0,16.215,15.77,16.04,163749006.0,0.0,1.0,15.949558638083,16.163880832282,15.720283732661,15.989432534678,163749006.0
2015-01-13,16.81,16.89,16.32,16.45,100529706.0,0.0,1.0,16.757005044136,16.836752837327,16.268549810845,16.398139974779,100529706.0
2015-01-12,17.025,17.03,16.66,16.68,92035073.0,0.0,1.0,16.971327238335,16.97631147541,16.607477931904,16.627414880202,92035073.0
2015-01-08,17.17,17.34,17.1,17.29,72667539.0,0.0,1.0,17.115870113493,17.285334174023,17.046090794451,17.235491803279,72667539.0
2015-01-06,17.42,17.44,16.78,16.86,144617191.0,0.0,1.0,17.365081967213,17.385018915511,16.72709962169,16.80684741488,144617191.0
2015-01-05,17.79,17.81,17.29,17.38,105249297.0,0.0,1.0,17.733915510719,17.753852459016,17.235491803279,17.325208070618,105249297.0
2015-01-02,17.98,18.03,17.6801,17.9,48806762.0,0.0,1.0,17.923316519546,17.97315889029,17.624361979823,17.843568726356,48806762.0
2014-12-31,18.19,18.21,17.89,17.89,57521044.0,0.0,1.0,18.132654476671,18.152591424968,17.833600252207,17.833600252207,57521044.0
2014-12-26,18.01,18.05,17.95,17.98,25588551.0,0.0,1.0,17.953221941992,17.993095838588,17.8934110971,17.923316519546,25588551.0
2014-12-24,17.975,18.1,17.92,17.98,35088514.0,0.0,1.0,17.918332282472,18.042938209332,17.863505674653,17.923316519546,35088514.0
2014-12-23,17.83,17.99,17.78,17.93,93998490.0,0.0,1.0,17.773789407314,17.933284993695,17.72394703657,17.873474148802,93998490.0
2014-12-22,17.65,17.73,17.55,17.71,70434693.0,0.0,1.0,17.594356872636,17.674104665826,17.494672131148,17.654167717528,70434693.0
2014-12-19,17.52,17.7,17.49,17.62,104026778.0,0.0,1.0,17.464766708701,17.64419924338,17.434861286255,17.564451450189,104026778.0
2014-12-18,17.465,17.53,17.34,17.53,78736210.0,0.0,1.0,17.409940100883,17.47473518285,17.285334174023,17.47473518285,78736210.0
2014-12-17,16.87,17.27,16.82,17.26,90527286.0,0.0,1.0,16.816815889029,17.215554854981,16.766973518285,17.205586380832,90527286.0
2014-12-16,16.74,17.19,16.59,16.72,94831921.0,0.0,1.0,16.687225725095,17.135807061791,16.537698612863,16.667288776797,94831921.0
2014-12-15,17.28,17.31,16.76,16.85,99327118.0,0.0,1.0,17.22552332913,17.255428751576,16.707162673392,16.796878940731,99327118.0
2014-12-12,17.37,17.45,17.13,17.13,86785804.0,0.0,1.0,17.315239596469,17.39498738966,17.075996216898,17.075996216898,86785804.0
2014-12-10,17.47,17.68,17.37,17.38,102041770.0,0.0,1.0,17.414924337957,17.624262295082,17.315239596469,17.325208070618,102041770.0
2014-12-09,17.18,17.59,17.17,17.56,95560089.0,0.0,1.0,17.125838587642,17.534546027743,17.115870113493,17.504640605296,95560089.0
2014-12-05,17.42,17.71,17.35,17.68,130768259.0,0.0,1.0,17.365081967213,17.654167717528,17.295302648171,17.624262295082,130768259.0
2014-12-04,17.22,17.34,17.13,17.21,49381618.0,0.0,1.0,17.165712484237,17.285334174023,17.075996216898,17.155744010088,49381618.0
2014-12-02,16.87,17.15,16.86,17.15,62302649.0,0.0,1.0,16.816815889029,17.095933165195,16.80684741488,17.095933165195,62302649.0
2014-12-01,16.92,16.94,16.73,16.79,60177034.0,0.0,1.0,16.866658259773,16.886595208071,16.677257250946,16.737068095839,60177034.0
2014-11-28,17.09,17.15,17.03,17.04,27833825.0,0.0,1.0,17.036122320303,17.095933165195,16.97631147541,16.986279949559,27833825.0
2014-11-26,17.145,17.15,17.04,17.11,27181789.0,0.0,1.0,17.090948928121,17.095933165195,16.986279949559,17.0560592686,27181789.0
2014-11-25,17.24,17.26,17.08,17.1,44715908.0,0.0,1.0,17.185649432535,17.205586380832,17.026153846154,17.046090794451,44715908.0
2014-11-24,17.16,17.28,17.08,17.18,50627130.0,0.0,1.0,17.105901639344,17.22552332913,17.026153846154,17.125838587642,50627130.0
2014-11-21,17.15,17.19,17.06,17.12,62679730.0,0.0,1.0,17.095933165195,17.135807061791,17.006216897856,17.066027742749,62679730.0
2014-11-20,16.96,17.01,16.83,17.0,49449864.0,0.0,1.0,16.906532156368,16.956374527112,16.776941992434,16.946406052963,49449864.0
2014-11-19,17.14,17.15,17.01,17.06,49054885.0,0.0,1.0,17.085964691047,17.095933165195,16.956374527112,17.006216897856,49054885.0
2014-11-18,17.08,17.22,17.06,17.14,39078520.0,0.0,1.0,17.026153846154,17.165712484237,17.006216897856,17.085964691047,39078520.0
2014-11-17,17.06,17.14,16.97,17.09,43261970.0,0.0,1.0,17.006216897856,17.085964691047,16.916500630517,17.036122320303,43261970.0
2014-11-14,17.165,17.25,17.1,17.14,40491960.0,0.0,1.0,17.110885876419,17.195617906683,17.046090794451,17.085964691047,40491960.0
2014-11-13,17.285,17.3,17.12,17.22,50401410.0,0.0,1.0,17.230507566204,17.245460277427,17.066027742749,17.165712484237,50401410.0
2014-11-12,17.24,17.3,17.07,17.29,48410250.0,0.0,1.0,17.185649432535,17.245460277427,17.016185372005,17.235491803279,48410250.0
2014-11-11,17.37,17.46,17.3,17.32,62061900.0,0.0,1.0,17.315239596469,17.404955863808,17.245460277427,17.265397225725,62061900.0
2014-11-10,17.36,17.4,17.3,17.37,53542010.0,0.0,1.0,17.30527112232,17.345145018916,17.245460277427,17.315239596469,53542010.0
2014-11-07,17.31,17.38,17.22,17.36,52533501.0,0.0,1.0,17.255428751576,17.325208070618,17.165712484237,17.30527112232,52533501.0
2014-11-06,17.34,17.4,17.28,17.36,45809227.0,0.0,1.0,17.285334174023,17.345145018916,17.22552332913,17.30527112232,45809227.0
2014-11-04,17.23,17.3,17.02,17.21,53267526.0,0.0,1.0,17.175680958386,17.245460277427,16.966343001261,17.155744010088,53267526.0
2014-11-03,17.17,17.35,17.1,17.27,63527714.0,0.0,1.0,17.115870113493,17.295302648171,17.046090794451,17.215554854981,63527714.0
2014-10-31,17.17,17.22,17.1,17.16,82330524.0,0.0,1.0,17.115870113493,17.165712484237,17.046090794451,17.105901639344,82330524.0
2014-10-30,16.97,17.12,16.84,17.03,72088625.0,0.0,1.0,16.916500630517,17.066027742749,16.786910466583,16.97631147541,72088625.0
2014-10-29,16.775,17.02,16.71,16.99,98172406.0,0.0,1.0,16.722115384615,16.966343001261,16.657320302648,16.936437578815,98172406.0
2014-10-28,16.63,16.8,16.61,16.8,71382244.0,0.0,1.0,16.577572509458,16.747036569987,16.55763556116,16.747036569987,71382244.0
2014-10-27,16.68,16.69,16.5,16.59,51122238.0,0.0,1.0,16.627414880202,16.637383354351,16.447982345523,16.537698612863,51122238.0
2014-10-24,16.63,16.72,16.56,16.72,41223957.0,0.0,1.0,16.577572509458,16.667288776797,16.507793190416,16.667288776797,41223957.0
2014-10-23,16.58,16.73,16.515,16.6,66730656.0,0.0,1.0,16.527730138714,16.677257250946,16.462935056747,16.547667087011,66730656.0
2014-10-22,16.59,16.7,16.37,16.4,85027130.0,0.0,1.0,16.537698612863,16.647351828499,16.318392181589,16.348297604035,85027130.0
2014-10-21,16.43,16.61,16.31,16.6,78178970.0,0.0,1.0,16.378203026482,16.55763556116,16.258581336696,16.547667087011,78178970.0
2014-10-20,16.2,16.33,16.16,16.26,76146283.0,0.0,1.0,16.148928121059,16.278518284994,16.109054224464,16.208738965952,76146283.0
2014-10-17,16.26,16.41,16.16,16.21,91934143.0,0.0,1.0,16.208738965952,16.358266078184,16.109054224464,16.158896595208,91934143.0
2014-10-16,15.56,16.25,15.52,16.08,147283937.0,0.0,1.0,15.510945775536,16.198770491803,15.471071878941,16.029306431274,147283937.0
2014-10-15,16.23,16.24,15.43,15.76,215382993.0,0.0,1.0,16.178833543506,16.188802017654,15.381355611602,15.710315258512,215382993.0
2014-10-14,16.5,16.63,16.36,16.52,96306663.0,0.0,1.0,16.447982345523,16.577572509458,16.30842370744,16.467919293821,96306663.0
2014-10-13,16.48,16.67,16.4,16.4,91542565.0,0.0,1.0,16.428045397226,16.617446406053,16.348297604035,16.348297604035,91542565.0
2014-10-10,16.545,16.77,16.36,16.48,128757926.0,0.0,1.0,16.492840479193,16.717131147541,16.30842370744,16.428045397226,128757926.0
2014-10-09,17.04,17.11,16.55,16.59,119752127.0,0.0,1.0,16.986279949559,17.0560592686,16.497824716267,16.537698612863,119752127.0
2014-10-08,16.88,17.12,16.72,17.12,100399215.0,0.0,1.0,16.826784363178,17.066027742749,16.667288776797,17.066027742749,100399215.0
2014-10-07,17.19,17.2,16.88,16.88,90602643.0,0.0,1.0,17.135807061791,17.145775535939,16.826784363178,16.826784363178,90602643.0
2014-10-06,17.37,17.41,17.22,17.29,66055696.0,0.0,1.0,17.315239596469,17.355113493064,17.165712484237,17.235491803279,66055696.0
2014-10-03,17.11,17.3,17.06,17.29,108325167.0,0.0,1.0,17.0560592686,17.245460277427,17.006216897856,17.235491803279,108325167.0
2014-10-01,17.07,17.09,16.8,16.82,88591997.0,0.0,1.0,17.016185372005,17.036122320303,16.747036569987,16.766973518285,88591997.0
2014-09-30,17.08,17.11,16.97,17.05,81101270.0,0.0,1.0,17.026153846154,17.0560592686,16.916500630517,16.996248423707,81101270.0
2014-09-29,16.91,17.05,16.88,17.01,67851553.0,0.0,1.0,16.856689785624,16.996248423707,16.826784363178,16.956374527112,67851553.0
2014-09-26,16.92,17.05,16.89,17.03,66468439.0,0.0,1.0,16.866658259773,16.996248423707,16.836752837327,16.97631147541,66468439.0
2014-09-25,17.16,17.18,16.85,16.85,102173318.0,0.0,1.0,17.105901639344,17.125838587642,16.796878940731,16.796878940731,102173318.0
2014-09-24,17.115,17.19,16.97,17.18,85950241.0,0.0,1.0,17.061043505675,17.135807061791,16.916500630517,17.125838587642,85950241.0
