Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,70.06,70.31,69.86,70.15,2852210.0,0.0,1.0,70.06,70.31,69.86,70.15,2852210.0
2015-04-15,70.25,70.51,70.01,70.2,2743842.0,0.0,1.0,70.25,70.51,70.01,70.2,2743842.0
2015-04-14,69.53,70.1,69.341,69.98,3551631.0,0.0,1.0,69.53,70.1,69.341,69.98,3551631.0
2015-04-13,70.62,70.62,69.82,69.87,3068018.0,0.0,1.0,70.62,70.62,69.82,69.87,3068018.0
2015-04-10,70.01,70.59,69.83,70.57,2469603.0,0.0,1.0,70.01,70.59,69.83,70.57,2469603.0
2015-04-09,69.49,70.2,69.26,70.15,3577689.0,0.0,1.0,69.49,70.2,69.26,70.15,3577689.0
2015-04-08,69.34,69.7,69.135,69.5,2857722.0,0.0,1.0,69.34,69.7,69.135,69.5,2857722.0
2015-04-07,68.61,69.65,68.5636,69.34,3156413.0,0.0,1.0,68.61,69.65,68.5636,69.34,3156413.0
2015-04-06,68.15,68.83,67.76,68.63,2222890.0,0.0,1.0,68.15,68.83,67.76,68.63,2222890.0
2015-04-02,67.5,68.25,67.11,68.0,2584114.0,0.0,1.0,67.5,68.25,67.11,68.0,2584114.0
2015-04-01,68.2,68.31,67.24,67.54,3698441.0,0.0,1.0,68.2,68.31,67.24,67.54,3698441.0
2015-03-31,68.48,68.82,68.3,68.5,2969159.0,0.0,1.0,68.48,68.82,68.3,68.5,2969159.0
2015-03-30,68.81,68.85,68.29,68.76,2617197.0,0.0,1.0,68.81,68.85,68.29,68.76,2617197.0
2015-03-27,68.38,68.62,67.9974,68.55,2109612.0,0.0,1.0,68.38,68.62,67.9974,68.55,2109612.0
2015-03-26,68.0,68.64,67.8,68.02,3320158.0,0.0,1.0,68.0,68.64,67.8,68.02,3320158.0
2015-03-25,68.46,68.98,68.05,68.14,3368137.0,0.0,1.0,68.46,68.98,68.05,68.14,3368137.0
2015-03-24,68.66,68.91,68.4,68.5,3991802.0,0.0,1.0,68.66,68.91,68.4,68.5,3991802.0
2015-03-23,68.18,69.185,68.06,68.84,4045462.0,0.0,1.0,68.18,69.185,68.06,68.84,4045462.0
2015-03-20,68.37,68.72,67.82,68.18,6716581.0,0.0,1.0,68.37,68.72,67.82,68.18,6716581.0
2015-03-19,68.48,68.64,67.75,67.98,4720905.0,0.0,1.0,68.48,68.64,67.75,67.98,4720905.0
2015-03-18,68.29,68.88,67.53,68.55,4405579.0,0.0,1.0,68.29,68.88,67.53,68.55,4405579.0
2015-03-17,68.11,68.86,67.95,68.47,3383168.0,0.0,1.0,68.11,68.86,67.95,68.47,3383168.0
2015-03-16,67.76,68.48,67.75,68.43,2931743.0,0.0,1.0,67.76,68.48,67.75,68.43,2931743.0
2015-03-13,66.99,67.47,66.76,67.36,3870207.0,0.0,1.0,66.99,67.47,66.76,67.36,3870207.0
