Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,39.16,39.41,38.87,39.19,2086052.0,0.0,1.0,39.16,39.41,38.87,39.19,2086052.0
2015-04-15,39.05,39.49,38.91,39.29,2402706.0,0.0,1.0,39.05,39.49,38.91,39.29,2402706.0
2015-04-14,39.32,39.355,38.89,39.0,2982193.0,0.0,1.0,39.32,39.355,38.89,39.0,2982193.0
2015-04-13,39.07,39.495,39.02,39.42,2562227.0,0.0,1.0,39.07,39.495,39.02,39.42,2562227.0
2015-04-10,39.1,39.17,38.89,39.04,2151074.0,0.0,1.0,39.1,39.17,38.89,39.04,2151074.0
2015-04-09,38.97,39.18,38.7,39.1,2509267.0,0.0,1.0,38.97,39.18,38.7,39.1,2509267.0
2015-04-08,39.29,39.34,38.9,38.99,2836667.0,0.0,1.0,39.29,39.34,38.9,38.99,2836667.0
2015-04-07,39.18,39.41,38.95,39.12,3068641.0,0.0,1.0,39.18,39.41,38.95,39.12,3068641.0
2015-04-06,38.5,39.28,38.32,39.2,5011917.0,0.0,1.0,38.5,39.28,38.32,39.2,5011917.0
2015-04-02,38.59,39.04,38.46,38.96,2872023.0,0.0,1.0,38.59,39.04,38.46,38.96,2872023.0
2015-04-01,38.77,38.79,38.22,38.56,4321474.0,0.0,1.0,38.77,38.79,38.22,38.56,4321474.0
2015-03-31,38.8,39.06,38.691,38.99,2935638.0,0.0,1.0,38.8,39.06,38.691,38.99,2935638.0
2015-03-30,38.67,39.31,38.67,39.05,2292272.0,0.0,1.0,38.67,39.31,38.67,39.05,2292272.0
2015-03-27,38.86,38.91,38.32,38.49,4603192.0,0.0,1.0,38.86,38.91,38.32,38.49,4603192.0
2015-03-26,38.43,38.8,38.12,38.66,3626522.0,0.0,1.0,38.43,38.8,38.12,38.66,3626522.0
2015-03-25,39.11,39.11,38.34,38.48,3898899.0,0.0,1.0,39.11,39.11,38.34,38.48,3898899.0
2015-03-24,39.43,39.5,39.09,39.12,3777499.0,0.0,1.0,39.43,39.5,39.09,39.12,3777499.0
2015-03-23,39.81,40.17,39.51,39.51,3453254.0,0.0,1.0,39.81,40.17,39.51,39.51,3453254.0
2015-03-20,39.82,40.09,39.57,39.81,6561950.0,0.0,1.0,39.82,40.09,39.57,39.81,6561950.0
2015-03-19,39.51,39.64,39.16,39.56,7477235.0,0.0,1.0,39.51,39.64,39.16,39.56,7477235.0
2015-03-18,39.39,39.8,39.32,39.71,6731644.0,0.0,1.0,39.39,39.8,39.32,39.71,6731644.0
