Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,37.5,37.5,37.08,37.19,3599251.0,0.0,1.0,37.5,37.5,37.08,37.19,3599251.0
2015-04-15,38.05,38.27,37.51,37.55,2738498.0,0.0,1.0,38.05,38.27,37.51,37.55,2738498.0
2015-04-14,38.13,38.27,36.67,37.8,5226929.0,0.0,1.0,38.13,38.27,36.67,37.8,5226929.0
2015-04-13,38.45,38.7,38.12,38.34,2883090.0,0.0,1.0,38.45,38.7,38.12,38.34,2883090.0
2015-04-10,38.79,38.84,38.41,38.58,2346471.0,0.0,1.0,38.79,38.84,38.41,38.58,2346471.0
2015-04-09,38.02,38.78,38.02,38.71,3239895.0,0.0,1.0,38.02,38.78,38.02,38.71,3239895.0
2015-04-08,38.21,38.498,37.681,38.36,3962253.0,0.0,1.0,38.21,38.498,37.681,38.36,3962253.0
2015-04-07,38.33,38.88,38.025,38.06,4365378.0,0.0,1.0,38.33,38.88,38.025,38.06,4365378.0
2015-04-06,37.83,38.5,37.8,38.21,3963090.0,0.0,1.0,37.83,38.5,37.8,38.21,3963090.0
2015-04-02,37.3,38.31,37.22,38.22,4253184.0,0.0,1.0,37.3,38.31,37.22,38.22,4253184.0
2015-04-01,37.63,37.8275,36.93,37.21,6122748.0,0.0,1.0,37.63,37.8275,36.93,37.21,6122748.0
2015-03-31,38.71,38.71,37.75,37.79,5471962.0,0.0,1.0,38.71,38.71,37.75,37.79,5471962.0
2015-03-30,38.44,39.34,38.44,38.75,4127012.0,0.0,1.0,38.44,39.34,38.44,38.75,4127012.0
2015-03-27,38.61,38.83,37.83,38.48,4636609.0,0.0,1.0,38.61,38.83,37.83,38.48,4636609.0
2015-03-26,39.17,39.23,38.38,38.4,5174432.0,0.0,1.0,39.17,39.23,38.38,38.4,5174432.0
2015-03-25,40.71,40.85,39.38,39.42,5197032.0,0.0,1.0,40.71,40.85,39.38,39.42,5197032.0
2015-03-24,40.88,41.05,40.36,40.85,4271133.0,0.0,1.0,40.88,41.05,40.36,40.85,4271133.0
2015-03-23,40.86,41.45,40.77,40.86,3704314.0,0.0,1.0,40.86,41.45,40.77,40.86,3704314.0
2015-03-20,41.13,41.13,40.32,40.79,7010876.0,0.23,1.0,41.13,41.13,40.32,40.79,7010876.0
2015-03-19,41.71,41.86,41.36,41.6,3417660.0,0.0,1.0,41.476131155534,41.625290102389,41.128093612872,41.36674792784,3417660.0
2015-03-18,41.51,41.92,40.83,41.77,4017078.0,0.0,1.0,41.277252559727,41.684953681131,40.601065333983,41.535794734276,4017078.0
2015-03-17,41.42,42.0,41.26,41.64,4899775.0,0.0,1.0,41.187757191614,41.764505119454,41.028654314968,41.406523647001,4899775.0
2015-03-16,40.81,41.75,40.81,41.63,4638464.0,0.0,1.0,40.581177474403,41.515906874695,40.581177474403,41.396579717211,4638464.0
2015-03-13,40.9,41.05,40.31,40.53,4170598.0,0.0,1.0,40.670672842516,40.819831789371,40.083980984885,40.302747440273,4170598.0
2015-03-12,40.07,41.1,40.05,40.85,4118146.0,0.0,1.0,39.845326669917,40.869551438323,39.825438810336,40.620953193564,4118146.0
2015-03-11,40.09,40.6,40.0,40.22,4911439.0,0.0,1.0,39.865214529498,40.372354948805,39.775719161385,39.994485616772,4911439.0
2015-03-10,39.51,40.01,39.08,39.97,5316618.0,0.0,1.0,39.288466601658,39.785663091175,38.860877620673,39.745887372014,5316618.0
2015-03-09,39.67,39.88,39.3401,39.83,3619554.0,0.0,1.0,39.447569478303,39.656392003901,39.11951923452,39.606672354949,3619554.0
2015-03-06,39.7,40.49,39.49,39.71,5254603.0,0.0,1.0,39.477401267674,40.262971721112,39.268578742077,39.487345197465,5254603.0
2015-03-05,39.77,39.95,39.39,39.63,4710000.0,0.0,1.0,39.547008776207,39.725999512433,39.169139444174,39.407793759142,4710000.0
2015-03-04,39.5,39.9799,39.06,39.79,7720742.0,0.0,1.0,39.278522671867,39.755731862506,38.840989761092,39.566896635787,7720742.0
2015-03-03,39.44,39.91,38.65,39.18,11783020.0,0.0,1.0,39.218859093125,39.686223793272,38.433288639688,38.960316918576,11783020.0
2015-03-02,38.2,38.88,38.05,38.63,6471856.0,0.0,1.0,37.985811799122,38.661999024866,37.836652852267,38.413400780107,6471856.0
2015-02-27,37.8,38.2,37.28,38.1,4656023.0,0.0,1.0,37.588054607509,37.985811799122,37.070970258411,37.886372501219,4656023.0
2015-02-26,38.3,38.49,37.5,37.55,4929255.0,0.0,1.0,38.085251097026,38.274185763042,37.289736713798,37.33945636275,4929255.0
2015-02-25,38.29,38.65,38.03,38.3,4032553.0,0.0,1.0,38.075307167235,38.433288639688,37.816764992687,38.085251097026,4032553.0
2015-02-24,38.89,39.035,37.94,38.26,4388872.0,0.0,1.0,38.671942954656,38.816129936616,37.727269624573,38.045475377864,4388872.0
2015-02-23,39.34,39.45,38.58,38.99,4003680.0,0.0,1.0,39.119419795222,39.228803022916,38.363681131156,38.77138225256,4003680.0
2015-02-20,39.18,39.36,38.72,39.28,4317718.0,0.0,1.0,38.960316918576,39.139307654803,38.50289614822,39.05975621648,4317718.0
2015-02-19,39.36,39.47,38.985,39.13,3050266.0,0.0,1.0,39.139307654803,39.248690882496,38.766410287665,38.910597269625,3050266.0
2015-02-18,39.01,39.22,38.63,39.12,3309963.0,0.0,1.0,38.79127011214,39.000092637738,38.413400780107,38.900653339834,3309963.0
2015-02-17,39.06,39.345,38.76,39.28,2711250.0,0.0,1.0,38.840989761092,39.124391760117,38.542671867382,39.05975621648,2711250.0
2015-02-13,38.97,39.16,38.7,39.11,4796346.0,0.0,1.0,38.751494392979,38.940429058996,38.48300828864,38.890709410044,4796346.0
2015-02-12,38.26,39.225,38.1638,39.19,6396009.0,0.0,1.0,38.045475377864,39.005064602633,37.949814773281,38.970260848367,6396009.0
2015-02-11,37.79,38.37,37.75,38.25,4929352.0,0.0,1.0,37.578110677718,38.154858605558,37.538334958557,38.035531448074,4929352.0
2015-02-10,37.28,38.255,37.12,38.07,5719389.0,0.0,1.0,37.070970258411,38.040503412969,36.911867381765,37.856540711848,5719389.0
2015-02-09,37.05,37.33,36.57,37.07,4065661.0,0.0,1.0,36.842259873233,37.120689907362,36.364951243296,36.862147732813,4065661.0
2015-02-06,36.67,37.55,36.565,37.36,8063791.0,0.0,1.0,36.464390541199,37.33945636275,36.359979278401,37.150521696733,8063791.0
2015-02-05,36.12,36.39,35.63,36.09,4079508.0,0.0,1.0,35.91747440273,36.18596050707,35.430221843003,35.887642613359,4079508.0
2015-02-04,35.76,36.41,35.66,36.21,5038572.0,0.0,1.0,35.559492930278,36.20584836665,35.460053632374,36.006969770843,5038572.0
2015-02-03,35.23,36.0,34.84,35.95,6095232.0,0.0,1.0,35.03246465139,35.798147245246,34.644651389566,35.748427596294,6095232.0
2015-02-02,35.2,35.6,34.1325,34.97,8120193.0,0.0,1.0,35.002632862019,35.400390053632,33.941118356899,34.773922476841,8120193.0
2015-01-30,35.97,36.34,35.02,35.2,7226564.0,0.0,1.0,35.768315455875,36.136240858118,34.823642125792,35.002632862019,7226564.0
2015-01-29,35.32,36.22,35.12,36.09,4565790.0,0.0,1.0,35.121960019503,36.016913700634,34.923081423696,35.887642613359,4565790.0
2015-01-28,35.69,36.07,35.13,35.13,5409379.0,0.0,1.0,35.489885421745,35.867754753779,34.933025353486,34.933025353486,5409379.0
2015-01-26,35.01,35.885,34.85,35.83,4550307.0,0.0,1.0,34.813698196002,35.683792052657,34.654595319356,35.62910043881,4550307.0
2015-01-23,34.91,35.4156,34.82,35.01,4815708.0,0.0,1.0,34.714258898098,35.217023988298,34.624763529985,34.813698196002,4815708.0
2015-01-22,34.22,34.91,33.86,34.89,6946561.0,0.0,1.0,34.028127742565,34.714258898098,33.670146270112,34.694371038518,6946561.0
2015-01-21,33.9,34.4,33.655,34.1,6996509.0,0.0,1.0,33.709921989274,34.207118478791,33.46629570941,33.90880058508,6996509.0
2015-01-20,35.12,35.15,33.93,34.04,6924654.0,0.0,1.0,34.923081423696,34.952913213067,33.739753778645,33.849137006338,6924654.0
2015-01-15,35.19,35.65,33.17,34.3,40545321.0,0.0,1.0,34.992688932228,35.450109702584,32.984015114578,34.107679180887,40545321.0
2015-01-14,38.73,40.0,38.6,39.91,11182235.0,0.0,1.0,38.512840078011,39.775719161385,38.383568990736,39.686223793272,11182235.0
2015-01-13,39.79,39.95,38.57,39.1,8644254.0,0.0,1.0,39.566896635787,39.725999512433,38.353737201365,38.880765480254,8644254.0
2015-01-12,38.56,39.32,38.55,39.09,8116956.0,0.0,1.0,38.343793271575,39.099531935641,38.333849341784,38.870821550463,8116956.0
2015-01-08,38.88,39.27,38.7045,39.11,8428739.0,0.0,1.0,38.661999024866,39.049812286689,38.487483057045,38.890709410044,8428739.0
2015-01-06,37.67,37.98,36.64,37.45,6754661.0,0.0,1.0,37.458783520234,37.767045343735,36.434558751828,37.240017064846,6754661.0
2015-01-05,38.52,38.71,37.73,37.79,4827670.0,0.0,1.0,38.304017552413,38.49295221843,37.518447098976,37.578110677718,4827670.0
2015-01-02,39.13,39.3199,38.17,38.79,3882585.0,0.0,1.0,38.910597269625,39.099432496343,37.955980009751,38.572503656753,3882585.0
2014-12-31,39.39,39.61,38.96,38.98,2829501.0,0.0,1.0,39.169139444174,39.387905899561,38.741550463189,38.761438322769,2829501.0
