Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,168.88,171.04,168.24,170.87,780944.0,0.0,1.0,168.88,171.04,168.24,170.87,780944.0
2015-04-15,170.38,170.58,169.21,169.34,341472.0,0.0,1.0,170.38,170.58,169.21,169.34,341472.0
2015-04-14,170.93,171.68,169.5,170.13,323675.0,0.0,1.0,170.93,171.68,169.5,170.13,323675.0
2015-04-13,170.45,172.0,169.71,171.28,490767.0,0.0,1.0,170.45,172.0,169.71,171.28,490767.0
2015-04-10,169.93,171.39,169.78,170.48,641361.0,0.0,1.0,169.93,171.39,169.78,170.48,641361.0
2015-04-09,169.46,170.92,168.39,170.51,879514.0,0.0,1.0,169.46,170.92,168.39,170.51,879514.0
2015-04-08,169.35,170.2646,168.04,168.93,609788.0,0.0,1.0,169.35,170.2646,168.04,168.93,609788.0
2015-04-07,167.68,170.17,167.2855,169.25,529979.0,0.0,1.0,167.68,170.17,167.2855,169.25,529979.0
2015-04-06,166.58,169.57,166.09,167.92,569239.0,0.0,1.0,166.58,169.57,166.09,167.92,569239.0
2015-04-02,165.51,168.33,164.62,167.93,504158.0,0.0,1.0,165.51,168.33,164.62,167.93,504158.0
2015-04-01,167.17,167.17,163.81,165.24,715775.0,0.0,1.0,167.17,167.17,163.81,165.24,715775.0
2015-03-31,168.49,170.34,166.866,167.35,533060.0,0.0,1.0,168.49,170.34,166.866,167.35,533060.0
2015-03-30,168.59,170.22,167.67,169.37,353292.0,0.0,1.0,168.59,170.22,167.67,169.37,353292.0
2015-03-27,167.3,168.46,166.25,167.71,466261.0,0.0,1.0,167.3,168.46,166.25,167.71,466261.0
2015-03-26,166.62,168.28,165.2,166.66,576616.0,0.0,1.0,166.62,168.28,165.2,166.66,576616.0
2015-03-25,169.05,170.56,166.57,166.65,577821.0,0.0,1.0,169.05,170.56,166.57,166.65,577821.0
2015-03-24,168.89,170.81,168.45,168.47,515283.0,0.0,1.0,168.89,170.81,168.45,168.47,515283.0
2015-03-23,171.48,173.04,169.45,169.46,794364.0,0.0,1.0,171.48,173.04,169.45,169.46,794364.0
2015-03-20,172.0,172.87,171.34,171.48,774597.0,0.0,1.0,172.0,172.87,171.34,171.48,774597.0
2015-03-19,168.01,170.98,167.42,170.69,561846.0,0.0,1.0,168.01,170.98,167.42,170.69,561846.0
2015-03-18,166.81,169.32,164.89,168.28,689459.0,0.0,1.0,166.81,169.32,164.89,168.28,689459.0
2015-03-17,167.54,168.42,166.32,166.9,433387.0,0.0,1.0,167.54,168.42,166.32,166.9,433387.0
2015-03-16,166.71,169.66,166.71,168.7,454952.0,0.0,1.0,166.71,169.66,166.71,168.7,454952.0
2015-03-13,166.79,167.79,164.6,165.7,325005.0,0.0,1.0,166.79,167.79,164.6,165.7,325005.0
2015-03-12,164.73,167.02,164.524,166.76,462689.0,0.0,1.0,164.73,167.02,164.524,166.76,462689.0
2015-03-11,165.52,167.28,164.04,164.52,690586.0,0.0,1.0,165.52,167.28,164.04,164.52,690586.0
2015-03-10,166.17,166.72,165.19,165.43,546527.0,0.0,1.0,166.17,166.72,165.19,165.43,546527.0
2015-03-09,166.53,167.84,165.96,167.44,508514.0,0.0,1.0,166.53,167.84,165.96,167.44,508514.0
