Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,52.5,52.76,52.035,52.63,1233404.0,0.0,1.0,52.5,52.76,52.035,52.63,1233404.0
2015-04-15,52.34,52.63,52.29,52.49,1998348.0,0.0,1.0,52.34,52.63,52.29,52.49,1998348.0
2015-04-14,52.02,52.38,51.67,52.26,1250753.0,0.0,1.0,52.02,52.38,51.67,52.26,1250753.0
2015-04-13,51.73,52.36,51.7,51.91,1278098.0,0.0,1.0,51.73,52.36,51.7,51.91,1278098.0
2015-04-10,52.01,52.01,51.56,51.73,1562629.0,0.0,1.0,52.01,52.01,51.56,51.73,1562629.0
2015-04-09,51.76,52.27,51.47,52.14,1740187.0,0.0,1.0,51.76,52.27,51.47,52.14,1740187.0
2015-04-08,51.49,51.91,51.37,51.8,1175680.0,0.0,1.0,51.49,51.91,51.37,51.8,1175680.0
2015-04-07,51.51,52.01,51.46,51.5,1335609.0,0.0,1.0,51.51,52.01,51.46,51.5,1335609.0
2015-04-06,51.1,51.74,51.03,51.57,2871664.0,0.0,1.0,51.1,51.74,51.03,51.57,2871664.0
2015-04-02,51.25,51.81,51.18,51.59,1460899.0,0.0,1.0,51.25,51.81,51.18,51.59,1460899.0
2015-04-01,51.28,51.67,50.94,51.36,2242373.0,0.0,1.0,51.28,51.67,50.94,51.36,2242373.0
2015-03-31,51.28,51.645,51.215,51.32,1923897.0,0.0,1.0,51.28,51.645,51.215,51.32,1923897.0
2015-03-30,51.51,51.88,51.39,51.77,1856314.0,0.0,1.0,51.51,51.88,51.39,51.77,1856314.0
2015-03-27,51.33,51.48,50.89,51.08,1643856.0,0.15,1.0,51.33,51.48,50.89,51.08,1643856.0
2015-03-26,51.39,52.255,51.24,51.75,2122450.0,0.0,1.0,51.239531524497,52.101998828811,51.089970720281,51.598477454616,2122450.0
2015-03-25,52.85,52.884,51.68,51.7,1141212.0,0.0,1.0,52.695256685536,52.729157134492,51.528682412649,51.548623853211,1141212.0
2015-03-24,53.56,53.69,52.78,52.79,1063046.0,0.0,1.0,53.403177825493,53.532797189147,52.625461643568,52.635432363849,1063046.0
2015-03-23,53.49,54.04,53.455,53.7,1538460.0,0.0,1.0,53.333382783525,53.881772398985,53.298485262541,53.542767909428,1538460.0
2015-03-20,52.75,53.68,52.63,53.35,5045148.0,0.0,1.0,52.595549482725,53.522826468866,52.475900839352,53.19379269959,5045148.0
2015-03-19,53.03,53.09,52.29,52.66,1852133.0,0.0,1.0,52.874729650595,52.934553972282,52.136896349795,52.505813000195,1852133.0
2015-03-18,52.55,53.55,51.8,53.3,3526805.0,0.0,1.0,52.396135077103,53.393207105212,51.648331056022,53.143939098185,3526805.0
2015-03-17,52.82,53.08,52.325,52.69,1889775.0,0.0,1.0,52.665344524693,52.924583252001,52.171793870779,52.535725161038,1889775.0
2015-03-16,53.0,53.52,52.88,53.4,2068050.0,0.0,1.0,52.844817489752,53.363294944369,52.725168846379,53.243646300996,2068050.0
2015-03-13,53.0,53.05,51.84,52.52,2587758.0,0.0,1.0,52.844817489752,52.894671091158,51.688213937146,52.36622291626,2587758.0
2015-03-12,52.19,53.15,52.19,53.12,1945576.0,0.0,1.0,52.037189146984,52.994378293968,52.037189146984,52.964466133125,1945576.0
2015-03-11,51.62,52.06,51.53,51.8,1553699.0,0.0,1.0,51.468858090962,51.90756978333,51.379121608433,51.648331056022,1553699.0
2015-03-10,52.62,52.62,51.56,51.58,2591625.0,0.0,1.0,52.465930119071,52.465930119071,51.409033769276,51.428975209838,2591625.0
2015-03-09,53.2,53.43,52.97,53.3,2038737.0,0.0,1.0,53.044231895374,53.273558461839,52.814905328909,53.143939098185,2038737.0
2015-03-06,53.93,54.85,53.0,53.05,2487258.0,0.0,1.0,53.772094475893,54.689400741753,52.844817489752,52.894671091158,2487258.0
2015-03-05,53.43,54.13,53.19,54.07,1582510.0,0.0,1.0,53.273558461839,53.971508881515,53.034261175093,53.911684559828,1582510.0
2015-03-04,53.5,53.61,53.05,53.33,1326562.0,0.0,1.0,53.343353503806,53.453031426898,52.894671091158,53.173851259028,1326562.0
2015-03-03,54.09,54.44,53.52,53.84,1246908.0,0.0,1.0,53.93162600039,54.280601210228,53.363294944369,53.682357993363,1246908.0
2015-03-02,53.76,54.43,53.63,54.4,1132089.0,0.0,1.0,53.602592231115,54.270630489947,53.47297286746,54.240718329104,1132089.0
2015-02-27,54.67,54.72,53.81,53.83,1647254.0,0.0,1.0,54.509927776693,54.559781378099,53.65244583252,53.672387273082,1647254.0
2015-02-26,54.21,54.64,54.12,54.52,1631222.0,0.0,1.0,54.051274643763,54.48001561585,53.961538161234,54.360366972477,1631222.0
2015-02-25,53.89,54.4601,53.87,54.23,2860883.0,0.0,1.0,53.732211594769,54.300642357993,53.712270154207,54.071216084326,2860883.0
2015-02-24,53.97,54.25,53.78,53.84,3683277.0,0.0,1.0,53.811977357017,54.091157524888,53.622533671677,53.682357993363,3683277.0
2015-02-23,54.08,54.08,53.73,53.94,1347393.0,0.0,1.0,53.921655280109,53.921655280109,53.572680070271,53.782065196174,1347393.0
2015-02-20,53.59,54.22,53.29,54.16,2100569.0,0.0,1.0,53.433089986336,54.061245364045,53.133968377904,54.001421042358,2100569.0
2015-02-19,53.75,54.02,53.45,53.86,1492883.0,0.0,1.0,53.592621510834,53.861830958423,53.293499902401,53.702299433925,1492883.0
2015-02-18,53.88,54.17,53.54,53.77,1149628.0,0.0,1.0,53.722240874488,54.011391762639,53.383236384931,53.612562951396,1149628.0
2015-02-17,53.86,54.18,53.69,54.11,1256190.0,0.0,1.0,53.702299433925,54.02136248292,53.532797189147,53.951567440953,1256190.0
2015-02-13,53.8,54.16,53.61,53.91,1283367.0,0.0,1.0,53.642475112239,54.001421042358,53.453031426898,53.752153035331,1283367.0
2015-02-12,53.55,53.83,53.38,53.68,1152994.0,0.0,1.0,53.393207105212,53.672387273082,53.223704860433,53.522826468866,1152994.0
2015-02-11,53.42,53.59,53.02,53.4,1139216.0,0.0,1.0,53.263587741558,53.433089986336,52.864758930314,53.243646300996,1139216.0
2015-02-10,53.31,53.73,52.84,53.54,1698914.0,0.0,1.0,53.153909818466,53.572680070271,52.685285965255,53.383236384931,1698914.0
2015-02-09,53.21,53.37,52.82,53.04,1681409.0,0.0,1.0,53.054202615655,53.213734140152,52.665344524693,52.884700370876,1681409.0
2015-02-06,53.68,54.0,53.31,53.48,1728027.0,0.0,1.0,53.522826468866,53.841889517861,53.153909818466,53.323412063244,1728027.0
2015-02-05,53.39,53.53,53.1,53.45,1521838.0,0.0,1.0,53.233675580714,53.37326566465,52.944524692563,53.293499902401,1521838.0
2015-02-04,53.16,53.52,52.86,52.94,1611661.0,0.0,1.0,53.004349014249,53.363294944369,52.705227405817,52.784993168066,1611661.0
2015-02-03,52.66,53.62,52.34,53.57,1862964.0,0.0,1.0,52.505813000195,53.463002147179,52.1867499512,53.413148545774,1862964.0
2015-02-02,51.29,52.38,51.01,52.32,3057436.0,0.0,1.0,51.139824321687,52.226632832325,50.860644153816,52.166808510638,3057436.0
2015-01-30,51.48,52.68,50.63,51.53,3165819.0,0.0,1.0,51.329268007027,52.525754440757,50.481756783135,51.379121608433,3165819.0
2015-01-29,52.15,52.75,51.76,52.65,2381844.0,0.0,1.0,51.99730626586,52.595549482725,51.608448174898,52.495842279914,2381844.0
