Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,68.5,69.28,67.96,68.23,2549701.0,0.0,1.0,68.5,69.28,67.96,68.23,2549701.0
2015-04-15,67.08,69.17,66.6,68.92,4184782.0,0.0,1.0,67.08,69.17,66.6,68.92,4184782.0
2015-04-14,66.03,66.71,65.82,66.63,2625777.0,0.0,1.0,66.03,66.71,65.82,66.63,2625777.0
2015-04-13,66.59,66.8,65.37,65.6,1595165.0,0.0,1.0,66.59,66.8,65.37,65.6,1595165.0
2015-04-10,65.87,66.62,65.7,66.54,2661325.0,0.0,1.0,65.87,66.62,65.7,66.54,2661325.0
2015-04-09,64.43,66.45,64.425,65.88,4114515.0,0.0,1.0,64.43,66.45,64.425,65.88,4114515.0
2015-04-08,64.51,65.0,63.8,64.22,2720464.0,0.0,1.0,64.51,65.0,63.8,64.22,2720464.0
2015-04-07,65.73,66.1,64.17,64.33,2975205.0,0.0,1.0,65.73,66.1,64.17,64.33,2975205.0
2015-04-06,64.18,66.331,63.94,65.66,3422876.0,0.0,1.0,64.18,66.331,63.94,65.66,3422876.0
2015-04-02,63.5,64.45,63.39,63.76,4321669.0,0.0,1.0,63.5,64.45,63.39,63.76,4321669.0
2015-04-01,63.86,64.305,63.31,63.83,3732279.0,0.0,1.0,63.86,64.305,63.31,63.83,3732279.0
2015-03-31,63.15,63.97,62.85,63.58,2966052.0,0.0,1.0,63.15,63.97,62.85,63.58,2966052.0
2015-03-30,63.05,63.75,62.93,63.48,2241717.0,0.0,1.0,63.05,63.75,62.93,63.48,2241717.0
2015-03-27,62.78,63.21,62.17,62.79,2547885.0,0.0,1.0,62.78,63.21,62.17,62.79,2547885.0
2015-03-26,64.03,64.5,62.77,62.84,5035864.0,0.0,1.0,64.03,64.5,62.77,62.84,5035864.0
2015-03-25,62.66,64.09,62.46,63.3,4878568.0,0.0,1.0,62.66,64.09,62.46,63.3,4878568.0
2015-03-24,62.11,62.64,61.8804,62.3,2790507.0,0.0,1.0,62.11,62.64,61.8804,62.3,2790507.0
2015-03-23,62.51,63.2,62.04,62.05,2516909.0,0.0,1.0,62.51,63.2,62.04,62.05,2516909.0
2015-03-20,61.62,62.74,61.46,62.47,5751475.0,0.0,1.0,61.62,62.74,61.46,62.47,5751475.0
2015-03-19,59.89,61.05,59.69,60.93,2696623.0,0.0,1.0,59.89,61.05,59.69,60.93,2696623.0
2015-03-18,58.89,60.79,58.82,60.76,4356721.0,0.0,1.0,58.89,60.79,58.82,60.76,4356721.0
2015-03-17,59.79,59.9195,59.09,59.25,3751223.0,0.0,1.0,59.79,59.9195,59.09,59.25,3751223.0
2015-03-16,58.15,59.99,57.791,59.94,5047451.0,0.0,1.0,58.15,59.99,57.791,59.94,5047451.0
2015-03-13,59.11,59.2,58.41,58.87,3801083.0,0.0,1.0,59.11,59.2,58.41,58.87,3801083.0
2015-03-12,60.38,60.44,59.69,59.73,3319839.0,0.0,1.0,60.38,60.44,59.69,59.73,3319839.0
2015-03-11,59.85,60.595,59.6,60.17,3875393.0,0.0,1.0,59.85,60.595,59.6,60.17,3875393.0
2015-03-10,59.9,60.86,59.69,60.07,4137044.0,0.0,1.0,59.9,60.86,59.69,60.07,4137044.0
2015-03-09,60.75,61.52,60.52,60.61,4072346.0,0.0,1.0,60.75,61.52,60.52,60.61,4072346.0
2015-03-06,61.58,62.01,60.79,60.92,5552109.0,0.0,1.0,61.58,62.01,60.79,60.92,5552109.0
2015-03-05,62.09,62.29,61.82,62.1,3199223.0,0.0,1.0,62.09,62.29,61.82,62.1,3199223.0
2015-03-04,62.55,62.64,61.95,62.46,3171538.0,0.0,1.0,62.55,62.64,61.95,62.46,3171538.0
2015-03-03,62.47,63.13,62.12,62.65,3182549.0,0.0,1.0,62.47,63.13,62.12,62.65,3182549.0
2015-03-02,61.93,62.635,61.49,62.55,2638251.0,0.0,1.0,61.93,62.635,61.49,62.55,2638251.0
2015-02-27,62.7,63.09,62.45,62.51,2654626.0,0.0,1.0,62.7,63.09,62.45,62.51,2654626.0
2015-02-26,63.13,63.31,62.3,62.5,2946126.0,0.0,1.0,63.13,63.31,62.3,62.5,2946126.0
2015-02-25,63.08,63.74,62.61,63.68,3093938.0,0.0,1.0,62.738294263383,63.39471902898,62.27084026364,63.335044050289,3093938.0
2015-02-24,63.38,63.61,61.31,63.03,6579242.0,0.0,1.0,63.036669156836,63.265423241817,60.97788239201,62.688565114474,6579242.0
2015-02-23,62.7,63.32,62.41,62.92,3901818.0,0.0,1.0,62.360352731676,62.976994178145,62.071923668005,62.579160986875,3901818.0
2015-02-20,64.27,64.34,63.32,63.49,4276718.0,0.0,1.0,63.921848007413,63.991468815886,62.976994178145,63.146073284435,4276718.0
2015-02-19,62.8,64.89,62.75,64.27,5210705.0,0.0,1.0,62.459811029494,64.538489453883,62.410081880585,63.921848007413,5210705.0
2015-02-18,64.36,64.99,64.01,64.45,3167756.0,0.0,1.0,64.011360475449,64.6379477517,63.663256433087,64.100872943485,3167756.0
2015-02-17,64.57,65.04,63.5,65.04,4752699.0,0.0,1.0,64.220222900866,64.687676900609,63.156019114217,64.687676900609,4752699.0
2015-02-13,63.29,64.41,63.0,64.31,4672171.0,0.0,1.0,62.9471566888,64.061089624358,62.658727625129,63.96163132654,4672171.0
2015-02-12,62.58,62.95,62.03,62.38,4080252.0,0.0,1.0,62.241002774295,62.60899847622,61.693982136297,62.042086178659,4080252.0
2015-02-11,61.27,61.62,60.7,61.59,3683320.0,0.0,1.0,60.938099072883,61.286203115245,60.371186775323,61.2563656259,3683320.0
2015-02-10,62.71,62.77,61.14,62.06,4500862.0,0.0,1.0,62.370298561458,62.429973540148,60.80880328572,61.723819625643,4500862.0
