Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,41.1,41.165,40.875,41.06,2975990.0,0.0,1.0,41.1,41.165,40.875,41.06,2975990.0
2015-04-15,41.1,41.29,40.99,41.13,3481905.0,0.0,1.0,41.1,41.29,40.99,41.13,3481905.0
2015-04-14,40.95,41.125,40.73,41.06,4649095.0,0.0,1.0,40.95,41.125,40.73,41.06,4649095.0
2015-04-13,40.69,41.14,40.65,40.95,3611569.0,0.0,1.0,40.69,41.14,40.65,40.95,3611569.0
2015-04-10,40.8,40.88,40.6,40.86,2085803.0,0.0,1.0,40.8,40.88,40.6,40.86,2085803.0
2015-04-09,40.69,40.88,40.47,40.84,2891717.0,0.0,1.0,40.69,40.88,40.47,40.84,2891717.0
2015-04-08,40.68,40.98,40.5,40.69,3299118.0,0.0,1.0,40.68,40.98,40.5,40.69,3299118.0
2015-04-07,40.51,40.83,40.36,40.57,4371210.0,0.0,1.0,40.51,40.83,40.36,40.57,4371210.0
2015-04-06,40.14,40.605,39.96,40.49,3883008.0,0.0,1.0,40.14,40.605,39.96,40.49,3883008.0
2015-04-02,40.22,40.56,40.01,40.55,3525987.0,0.0,1.0,40.22,40.56,40.01,40.55,3525987.0
2015-04-01,40.22,40.41,39.87,40.21,4675193.0,0.0,1.0,40.22,40.41,39.87,40.21,4675193.0
2015-03-31,40.0,40.32,39.86,40.24,3584644.0,0.0,1.0,40.0,40.32,39.86,40.24,3584644.0
2015-03-30,39.95,40.4835,39.86,40.29,3697291.0,0.0,1.0,39.95,40.4835,39.86,40.29,3697291.0
2015-03-27,39.65,39.79,39.385,39.75,4787522.0,0.0,1.0,39.65,39.79,39.385,39.75,4787522.0
2015-03-26,39.2,39.94,39.2,39.81,5289487.0,0.0,1.0,39.2,39.94,39.2,39.81,5289487.0
2015-03-25,40.08,40.1,39.39,39.52,4751390.0,0.0,1.0,40.08,40.1,39.39,39.52,4751390.0
2015-03-24,40.29,40.415,39.81,40.1,4390038.0,0.0,1.0,40.29,40.415,39.81,40.1,4390038.0
2015-03-23,40.57,40.74,40.35,40.42,4376419.0,0.0,1.0,40.57,40.74,40.35,40.42,4376419.0
2015-03-20,40.42,40.66,40.24,40.57,9356834.0,0.0,1.0,40.42,40.66,40.24,40.57,9356834.0
2015-03-19,40.7,40.81,40.09,40.3,6726257.0,0.0,1.0,40.7,40.81,40.09,40.3,6726257.0
2015-03-18,41.06,41.445,40.65,40.83,7114510.0,0.0,1.0,41.06,41.445,40.65,40.83,7114510.0
2015-03-17,40.78,41.22,40.615,41.14,4596685.0,0.0,1.0,40.78,41.22,40.615,41.14,4596685.0
2015-03-16,41.1,41.27,40.845,41.05,5215511.0,0.0,1.0,41.1,41.27,40.845,41.05,5215511.0
2015-03-13,40.3,40.99,40.15,40.94,11528852.0,0.0,1.0,40.3,40.99,40.15,40.94,11528852.0
2015-03-12,40.38,40.66,39.98,40.44,7144352.0,0.0,1.0,40.38,40.66,39.98,40.44,7144352.0
2015-03-11,39.21,39.65,39.2,39.42,8878554.0,0.0,1.0,39.21,39.65,39.2,39.42,8878554.0
2015-03-10,39.39,39.49,38.88,39.19,10109692.0,0.0,1.0,39.39,39.49,38.88,39.19,10109692.0
2015-03-09,39.78,39.9,39.4,39.79,7136835.0,0.0,1.0,39.78,39.9,39.4,39.79,7136835.0
2015-03-06,39.02,40.44,39.02,39.28,9012357.0,0.0,1.0,39.02,40.44,39.02,39.28,9012357.0
2015-03-05,39.4,39.45,39.03,39.19,4391336.0,0.0,1.0,39.4,39.45,39.03,39.19,4391336.0
2015-03-04,39.54,39.63,39.22,39.44,4402826.0,0.0,1.0,39.54,39.63,39.22,39.44,4402826.0
2015-03-03,39.59,39.85,39.46,39.65,6037502.0,0.0,1.0,39.59,39.85,39.46,39.65,6037502.0
2015-03-02,39.2,39.655,39.1,39.65,5177321.0,0.0,1.0,39.2,39.655,39.1,39.65,5177321.0
2015-02-27,39.26,39.41,39.07,39.14,5030071.0,0.0,1.0,39.26,39.41,39.07,39.14,5030071.0
2015-02-26,39.79,39.91,39.24,39.44,5559076.0,0.0,1.0,39.79,39.91,39.24,39.44,5559076.0
2015-02-25,39.78,40.03,39.45,39.86,9407617.0,0.0,1.0,39.78,40.03,39.45,39.86,9407617.0
2015-02-24,39.09,39.98,39.045,39.78,6434396.0,0.0,1.0,39.09,39.98,39.045,39.78,6434396.0
2015-02-23,39.21,39.29,38.93,39.17,3425711.0,0.0,1.0,39.21,39.29,38.93,39.17,3425711.0
2015-02-20,39.0,39.465,38.66,39.44,4241833.0,0.0,1.0,39.0,39.465,38.66,39.44,4241833.0
2015-02-19,38.86,39.24,38.74,39.12,3483783.0,0.0,1.0,38.86,39.24,38.74,39.12,3483783.0
2015-02-18,39.31,39.49,38.85,38.99,4892410.0,0.0,1.0,39.31,39.49,38.85,38.99,4892410.0
2015-02-17,38.995,39.47,38.95,39.46,4682474.0,0.0,1.0,38.995,39.47,38.95,39.46,4682474.0
2015-02-13,39.34,39.59,39.13,39.2,5449272.0,0.0,1.0,39.34,39.59,39.13,39.2,5449272.0
2015-02-12,39.22,39.555,39.2,39.41,7692365.0,0.0,1.0,39.22,39.555,39.2,39.41,7692365.0
2015-02-11,39.05,39.31,38.81,39.13,3849545.0,0.0,1.0,39.05,39.31,38.81,39.13,3849545.0
