Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,378.52,378.7899,364.37,372.18,901378.0,0.0,1.0,378.52,378.7899,364.37,372.18,901378.0
2015-04-15,374.38,377.28,373.45,376.66,707609.0,0.0,1.0,374.38,377.28,373.45,376.66,707609.0
2015-04-14,369.85,374.19,367.09,373.66,581142.0,0.0,1.0,369.85,374.19,367.09,373.66,581142.0
2015-04-13,369.95,373.0,369.65,369.69,415283.0,0.0,1.0,369.95,373.0,369.65,369.69,415283.0
2015-04-10,372.52,372.99,368.02,369.45,348300.0,0.0,1.0,372.52,372.99,368.02,369.45,348300.0
2015-04-09,370.0,371.78,367.68,371.53,392284.0,0.0,1.0,370.0,371.78,367.68,371.53,392284.0
2015-04-08,370.05,371.45,367.45,369.71,567499.0,0.0,1.0,370.05,371.45,367.45,369.71,567499.0
2015-04-07,366.75,370.9,366.33,368.62,446406.0,0.0,1.0,366.75,370.9,366.33,368.62,446406.0
2015-04-06,362.86,369.12,361.55,366.98,344546.0,0.0,1.0,362.86,369.12,361.55,366.98,344546.0
2015-04-02,363.32,367.15,362.67,366.4,349167.0,0.0,1.0,363.32,367.15,362.67,366.4,349167.0
2015-04-01,364.51,366.93,361.84,362.57,592559.0,0.0,1.0,364.51,366.93,361.84,362.57,592559.0
2015-03-31,366.21,368.14,364.7,365.84,426646.0,0.0,1.0,366.21,368.14,364.7,365.84,426646.0
2015-03-30,363.1,369.62,363.1,368.1,470201.0,0.0,1.0,363.1,369.62,363.1,368.1,470201.0
2015-03-27,361.84,363.74,360.25,361.63,341540.0,0.0,1.0,361.84,363.74,360.25,361.63,341540.0
2015-03-26,360.74,364.8149,360.01,362.15,417601.0,0.0,1.0,360.74,364.8149,360.01,362.15,417601.0
2015-03-25,369.89,372.05,363.76,363.92,390653.0,0.0,1.0,369.89,372.05,363.76,363.92,390653.0
2015-03-24,373.32,373.9299,369.1,369.1,448417.0,0.0,1.0,373.32,373.9299,369.1,369.1,448417.0
2015-03-23,377.92,380.815,374.0203,374.33,452519.0,0.0,1.0,377.92,380.815,374.0203,374.33,452519.0
2015-03-20,370.62,379.59,370.42,378.64,663506.0,0.0,1.0,370.62,379.59,370.42,378.64,663506.0
2015-03-19,376.0,376.45,369.12,369.95,629367.0,0.0,1.0,376.0,376.45,369.12,369.95,629367.0
2015-03-18,373.97,380.99,371.45,377.76,595632.0,0.0,1.0,373.97,380.99,371.45,377.76,595632.0
2015-03-17,373.04,376.14,371.53,374.26,530652.0,0.0,1.0,373.04,376.14,371.53,374.26,530652.0
2015-03-16,370.67,374.74,369.72,374.08,484213.0,0.0,1.0,370.67,374.74,369.72,374.08,484213.0
2015-03-13,368.99,369.98,364.2,367.74,520430.0,0.0,1.0,368.99,369.98,364.2,367.74,520430.0
2015-03-12,360.6,368.93,360.6,368.71,469762.0,0.0,1.0,360.6,368.93,360.6,368.71,469762.0
2015-03-11,357.15,359.84,356.625,358.41,464714.0,0.0,1.0,357.15,359.84,356.625,358.41,464714.0
2015-03-10,361.24,362.75,356.07,356.19,531248.0,0.0,1.0,361.24,362.75,356.07,356.19,531248.0
2015-03-09,365.47,367.972,363.54,364.59,519328.0,0.0,1.0,365.47,367.972,363.54,364.59,519328.0
2015-03-06,369.53,375.54,364.85,365.47,538753.0,0.0,1.0,369.53,375.54,364.85,365.47,538753.0
2015-03-05,370.0,371.4799,367.34,369.94,366051.0,0.0,1.0,370.0,371.4799,367.34,369.94,366051.0
2015-03-04,369.05,370.9099,367.205,369.14,371053.0,0.0,1.0,369.05,370.9099,367.205,369.14,371053.0
2015-03-03,374.28,375.6499,370.85,373.66,428941.0,0.0,1.0,374.28,375.6499,370.85,373.66,428941.0
2015-03-02,367.88,376.69,367.88,376.42,478004.0,0.0,1.0,367.88,376.69,367.88,376.42,478004.0
2015-02-27,375.02,376.85,371.38,371.42,702198.0,0.0,1.0,375.02,376.85,371.38,371.42,702198.0
2015-02-26,374.79,377.01,373.25,375.02,397610.0,0.0,1.0,374.79,377.01,373.25,375.02,397610.0
2015-02-25,377.74,378.65,375.56,375.92,443439.0,0.0,1.0,375.53584261242,376.44053265525,373.36856316916,373.72646252677,443439.0
2015-02-24,377.71,379.88,377.0,378.11,451672.0,0.0,1.0,375.50601766595,377.66335546039,374.80016059957,375.90368361884,451672.0
2015-02-23,377.23,378.0,373.6956,376.43,443520.0,0.0,1.0,375.02881852248,375.7943254818,371.51504216274,374.2334866167,443520.0
2015-02-20,375.96,377.67,373.15,376.64,773679.0,0.0,1.0,373.76622912206,375.46625107066,370.972625803,374.44226124197,773679.0
2015-02-19,376.96,379.4299,376.05,377.61,498799.0,0.0,1.0,374.76039400428,377.2158818469,373.85570396146,375.40660117773,498799.0
2015-02-18,380.33,381.165,376.79,377.86,582677.0,0.0,1.0,378.11072965739,378.94085733405,374.5913859743,375.65514239829,582677.0
2015-02-17,379.52,382.84,377.8,380.33,1122264.0,0.0,1.0,377.30545610278,380.60608351178,375.59549250535,378.11072965739,1122264.0
2015-02-13,375.0,378.03,373.8,376.04,551182.0,0.0,1.0,372.81183083512,375.82415042827,371.61883297645,373.84576231263,551182.0
2015-02-12,370.41,375.46,370.0,374.88,445429.0,0.0,1.0,368.2486140257,373.26914668094,367.84100642398,372.69253104925,445429.0
2015-02-11,369.45,372.25,367.29,369.9,460767.0,0.0,1.0,367.29421573876,370.07787740899,365.14681959315,367.74158993576,460767.0
2015-02-10,364.88,372.05,364.3364,370.67,726706.0,0.0,1.0,362.75088222698,369.87904443255,362.210454197,368.50709689507,726706.0
2015-02-09,360.2,362.59,358.83,360.87,402934.0,0.0,1.0,358.09819057816,360.47424464668,356.73618468951,358.76428104925,402934.0
2015-02-06,359.69,367.47,360.15,362.43,648184.0,0.0,1.0,357.59116648822,365.32576927195,358.04848233405,360.31517826552,648184.0
2015-02-04,348.41,354.3275,344.95,350.78,543785.0,0.0,1.0,346.3769866167,352.25995730728,342.9371761242,348.73315738758,543785.0
2015-02-03,349.49,353.4,348.06,352.95,654969.0,0.0,1.0,347.45068468951,351.33786937901,346.02902890792,350.89049518201,654969.0
2015-02-02,342.48,348.1,339.44,347.64,609599.0,0.0,1.0,340.4815888651,346.06879550321,337.45932762313,345.61147965739,609599.0
2015-01-30,346.72,347.96,340.27,340.51,662600.0,0.0,1.0,344.69684796574,345.9296124197,338.28448447537,338.52308404711,662600.0
2015-01-29,345.79,348.16,342.77,346.94,593171.0,0.0,1.0,343.77227462527,346.12844539615,340.76989668094,344.91556423983,593171.0
2015-01-28,353.54,354.71,344.77,345.03,561699.0,0.0,1.0,351.47705246253,352.64022537473,342.7582264454,343.01670931478,561699.0
2015-01-26,354.0,358.45,352.65,357.39,469958.0,0.0,1.0,351.93436830835,356.35840203426,350.59224571734,355.3045872591,469958.0
2015-01-23,361.27,361.72,355.11,355.12,418521.0,0.0,1.0,359.16194700214,359.60932119914,353.03789132762,353.04783297645,418521.0
2015-01-22,354.0,362.0346,348.47,360.79,716518.0,0.0,1.0,351.93436830835,359.92208547109,346.43663650964,358.68474785867,716518.0
2015-01-21,344.78,351.0,342.51,349.5,821853.0,0.0,1.0,342.76816809422,348.95187366167,340.51141381156,347.46062633833,821853.0
2015-01-20,350.07,351.6,344.67,346.59,939612.0,0.0,1.0,348.0273003212,349.54837259101,342.65880995717,344.56760653105,939612.0
2015-01-15,349.96,349.58,340.57,342.45,661926.0,0.0,1.0,347.91794218415,347.54015952891,338.58273394004,340.45176391863,661926.0
