Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,60.62,61.18,60.427,60.89,757876.0,0.0,1.0,60.62,61.18,60.427,60.89,757876.0
2015-04-15,60.74,61.04,60.32,60.74,1099669.0,0.0,1.0,60.74,61.04,60.32,60.74,1099669.0
2015-04-14,60.59,60.87,60.18,60.54,927153.0,0.0,1.0,60.59,60.87,60.18,60.54,927153.0
2015-04-13,61.25,61.49,60.428,60.51,681173.0,0.0,1.0,61.25,61.49,60.428,60.51,681173.0
2015-04-10,61.75,61.79,60.905,61.31,984309.0,0.0,1.0,61.75,61.79,60.905,61.31,984309.0
2015-04-09,61.4,61.92,61.26,61.71,700488.0,0.0,1.0,61.4,61.92,61.26,61.71,700488.0
2015-04-08,61.09,61.6,60.83,61.57,1039024.0,0.0,1.0,61.09,61.6,60.83,61.57,1039024.0
2015-04-07,61.9,62.0,60.87,60.99,1130841.0,0.0,1.0,61.9,62.0,60.87,60.99,1130841.0
2015-04-06,60.86,62.7,60.61,62.08,2511625.0,0.0,1.0,60.86,62.7,60.61,62.08,2511625.0
2015-04-02,60.26,61.25,60.0,61.09,1012460.0,0.0,1.0,60.26,61.25,60.0,61.09,1012460.0
2015-04-01,60.52,60.75,59.5,60.09,1808173.0,0.0,1.0,60.52,60.75,59.5,60.09,1808173.0
2015-03-31,60.7,61.22,60.455,60.48,1230662.0,0.0,1.0,60.7,61.22,60.455,60.48,1230662.0
2015-03-30,60.01,61.32,59.93,61.1,1294378.0,0.0,1.0,60.01,61.32,59.93,61.1,1294378.0
2015-03-27,59.27,59.845,58.95,59.39,1384862.0,0.0,1.0,59.27,59.845,58.95,59.39,1384862.0
2015-03-26,58.81,59.45,58.72,59.13,2323504.0,0.0,1.0,58.81,59.45,58.72,59.13,2323504.0
2015-03-25,59.99,60.23,59.02,59.04,1745502.0,0.0,1.0,59.99,60.23,59.02,59.04,1745502.0
2015-03-24,60.31,60.68,59.98,59.99,1104793.0,0.0,1.0,60.31,60.68,59.98,59.99,1104793.0
2015-03-23,60.46,60.81,60.28,60.53,833050.0,0.0,1.0,60.46,60.81,60.28,60.53,833050.0
2015-03-20,60.42,61.34,60.42,60.46,1582062.0,0.0,1.0,60.42,61.34,60.42,60.46,1582062.0
2015-03-19,60.27,60.31,59.76,60.14,1114884.0,0.0,1.0,60.27,60.31,59.76,60.14,1114884.0
2015-03-18,58.9,60.98,58.508,60.69,1609605.0,0.0,1.0,58.9,60.98,58.508,60.69,1609605.0
2015-03-17,59.72,60.09,59.36,59.43,1225442.0,0.0,1.0,59.72,60.09,59.36,59.43,1225442.0
2015-03-16,59.24,60.19,59.15,60.18,1586614.0,0.0,1.0,59.24,60.19,59.15,60.18,1586614.0
2015-03-13,59.78,59.96,58.33,58.8,1344644.0,0.0,1.0,59.78,59.96,58.33,58.8,1344644.0
2015-03-12,58.86,60.13,58.76,60.08,1499631.0,0.0,1.0,58.86,60.13,58.76,60.08,1499631.0
2015-03-11,59.26,59.46,58.56,58.62,1759763.0,0.0,1.0,59.26,59.46,58.56,58.62,1759763.0
2015-03-10,60.14,60.37,59.41,59.41,1509971.0,0.0,1.0,60.14,60.37,59.41,59.41,1509971.0
2015-03-09,60.64,61.09,60.58,60.73,1339454.0,0.0,1.0,60.64,61.09,60.58,60.73,1339454.0
2015-03-06,61.84,61.91,60.27,60.66,2164504.0,0.0,1.0,61.84,61.91,60.27,60.66,2164504.0
2015-03-05,62.27,62.68,61.93,62.04,1893772.0,0.0,1.0,62.27,62.68,61.93,62.04,1893772.0
2015-03-04,62.97,63.1497,61.99,62.17,2541798.0,0.0,1.0,62.97,63.1497,61.99,62.17,2541798.0
