Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,31.64,31.9,31.43,31.855,1939349.0,0.0,1.0,31.64,31.9,31.43,31.855,1939349.0
2015-04-15,31.26,31.91,31.23,31.81,2571414.0,0.0,1.0,31.26,31.91,31.23,31.81,2571414.0
2015-04-14,31.03,31.36,30.7201,31.275,2103067.0,0.0,1.0,31.03,31.36,30.7201,31.275,2103067.0
2015-04-13,31.49,31.62,31.0,31.06,3573036.0,0.0,1.0,31.49,31.62,31.0,31.06,3573036.0
2015-04-10,31.41,31.685,31.31,31.545,3172728.0,0.0,1.0,31.41,31.685,31.31,31.545,3172728.0
2015-04-09,32.18,32.3,30.65,31.44,5224819.0,0.0,1.0,32.18,32.3,30.65,31.44,5224819.0
2015-04-08,32.28,32.5,32.11,32.3,1801294.0,0.0,1.0,32.28,32.5,32.11,32.3,1801294.0
2015-04-07,32.36,32.56,32.24,32.27,1467679.0,0.0,1.0,32.36,32.56,32.24,32.27,1467679.0
2015-04-06,31.69,32.565,31.3902,32.39,2239429.0,0.0,1.0,31.69,32.565,31.3902,32.39,2239429.0
2015-04-02,32.22,32.42,31.875,31.93,2004516.0,0.0,1.0,32.22,32.42,31.875,31.93,2004516.0
2015-04-01,31.14,32.15,31.12,32.13,5010114.0,0.0,1.0,31.14,32.15,31.12,32.13,5010114.0
2015-03-31,32.46,32.835,32.37,32.61,1960189.0,0.0,1.0,32.46,32.835,32.37,32.61,1960189.0
2015-03-30,32.44,32.785,32.42,32.71,1762000.0,0.0,1.0,32.44,32.785,32.42,32.71,1762000.0
2015-03-27,31.91,32.35,31.86,32.29,2391496.0,0.0,1.0,31.91,32.35,31.86,32.29,2391496.0
2015-03-26,31.61,32.02,31.49,31.83,2425474.0,0.0,1.0,31.61,32.02,31.49,31.83,2425474.0
2015-03-25,32.86,32.953,31.87,31.875,3316564.0,0.0,1.0,32.86,32.953,31.87,31.875,3316564.0
2015-03-24,33.0,33.42,32.81,32.89,2764869.0,0.0,1.0,33.0,33.42,32.81,32.89,2764869.0
