Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,45.15,45.68,45.08,45.44,1562536.0,0.0,1.0,45.15,45.68,45.08,45.44,1562536.0
2015-04-15,44.9,45.23,44.7164,45.21,1897909.0,0.0,1.0,44.9,45.23,44.7164,45.21,1897909.0
2015-04-14,44.97,45.114,44.38,44.69,2159586.0,0.0,1.0,44.97,45.114,44.38,44.69,2159586.0
2015-04-13,45.46,45.52,45.11,45.15,1638416.0,0.0,1.0,45.46,45.52,45.11,45.15,1638416.0
2015-04-10,46.0,46.14,45.415,45.72,2629944.0,0.0,1.0,46.0,46.14,45.415,45.72,2629944.0
2015-04-09,45.73,46.25,45.7,46.14,1579943.0,0.0,1.0,45.73,46.25,45.7,46.14,1579943.0
2015-04-08,45.78,46.2,45.51,45.72,2102744.0,0.0,1.0,45.78,46.2,45.51,45.72,2102744.0
2015-04-07,45.66,46.025,45.48,45.76,1828459.0,0.0,1.0,45.66,46.025,45.48,45.76,1828459.0
2015-04-06,44.69,45.88,44.58,45.7,2213662.0,0.0,1.0,44.69,45.88,44.58,45.7,2213662.0
2015-04-02,44.37,44.89,44.25,44.78,2942931.0,0.0,1.0,44.37,44.89,44.25,44.78,2942931.0
2015-04-01,44.16,44.48,43.96,44.47,1500611.0,0.0,1.0,44.16,44.48,43.96,44.47,1500611.0
2015-03-31,44.55,44.63,44.13,44.2,1621466.0,0.0,1.0,44.55,44.63,44.13,44.2,1621466.0
2015-03-30,44.15,44.76,43.94,44.71,1747270.0,0.0,1.0,44.15,44.76,43.94,44.71,1747270.0
2015-03-27,43.61,44.04,43.5,44.0,1761160.0,0.0,1.0,43.61,44.04,43.5,44.0,1761160.0
2015-03-26,43.86,44.0232,43.34,43.71,3134885.0,0.0,1.0,43.86,44.0232,43.34,43.71,3134885.0
2015-03-25,44.38,44.4,43.79,44.05,2870590.0,0.0,1.0,44.38,44.4,43.79,44.05,2870590.0
2015-03-24,44.18,44.42,43.82,44.06,3588281.0,0.0,1.0,44.18,44.42,43.82,44.06,3588281.0
2015-03-23,43.25,43.585,43.17,43.43,1852926.0,0.0,1.0,43.25,43.585,43.17,43.43,1852926.0
2015-03-20,43.1,43.43,42.885,43.27,3294993.0,0.0,1.0,43.1,43.43,42.885,43.27,3294993.0
2015-03-19,42.62,43.02,42.36,42.8,2809592.0,0.0,1.0,42.62,43.02,42.36,42.8,2809592.0
2015-03-18,41.72,42.8,41.03,42.65,4023578.0,0.0,1.0,41.72,42.8,41.03,42.65,4023578.0
2015-03-17,42.08,42.17,41.52,41.75,4397103.0,0.0,1.0,42.08,42.17,41.52,41.75,4397103.0
2015-03-16,42.18,42.4,41.9,42.4,2134801.0,0.0,1.0,42.18,42.4,41.9,42.4,2134801.0
2015-03-13,42.57,42.698,41.625,41.85,2692150.0,0.0,1.0,42.57,42.698,41.625,41.85,2692150.0
2015-03-12,42.64,42.97,42.49,42.75,2288539.0,0.0,1.0,42.64,42.97,42.49,42.75,2288539.0
2015-03-11,42.75,42.78,42.16,42.44,2202558.0,0.0,1.0,42.75,42.78,42.16,42.44,2202558.0
2015-03-10,43.04,43.42,42.75,42.8,2723211.0,0.0,1.0,43.04,43.42,42.75,42.8,2723211.0
2015-03-09,43.86,43.87,43.29,43.53,2608399.0,0.0,1.0,43.86,43.87,43.29,43.53,2608399.0
2015-03-06,43.98,44.26,43.15,43.64,3625182.0,0.0,1.0,43.98,44.26,43.15,43.64,3625182.0
2015-03-05,45.1,45.1,44.38,44.39,2345805.0,0.0,1.0,45.1,45.1,44.38,44.39,2345805.0
2015-03-04,45.36,45.47,44.55,44.85,2497638.0,0.0,1.0,45.36,45.47,44.55,44.85,2497638.0
2015-03-03,46.27,46.4,45.85,45.88,2485238.0,0.0,1.0,46.27,46.4,45.85,45.88,2485238.0
2015-03-02,46.22,46.4,46.08,46.4,2888109.0,0.0,1.0,46.22,46.4,46.08,46.4,2888109.0
2015-02-27,46.14,46.3,45.87,46.2,4115128.0,0.0,1.0,46.14,46.3,45.87,46.2,4115128.0
2015-02-26,45.88,46.22,45.7,46.16,3911909.0,0.0,1.0,45.88,46.22,45.7,46.16,3911909.0
2015-02-25,45.38,45.91,45.26,45.85,3614393.0,0.0,1.0,45.106626506024,45.63343373494,44.98734939759,45.573795180723,3614393.0
2015-02-24,44.94,45.52,44.86,45.33,3231625.0,0.0,1.0,44.669277108434,45.24578313253,44.589759036145,45.056927710843,3231625.0
2015-02-23,44.66,45.01,44.41,44.83,2109659.0,0.0,1.0,44.390963855422,44.738855421687,44.142469879518,44.559939759036,2109659.0
2015-02-20,44.25,44.9,44.01,44.71,2016651.0,0.0,1.0,43.98343373494,44.629518072289,43.744879518072,44.440662650602,2016651.0
2015-02-19,44.165,44.72,44.1,44.47,2793208.0,0.0,1.0,43.898945783133,44.450602409639,43.834337349398,44.202108433735,2793208.0
2015-02-18,43.71,44.24,43.54,44.19,4031214.0,0.0,1.0,43.446686746988,43.973493975904,43.277710843373,43.923795180723,4031214.0
2015-02-17,43.67,44.08,43.52,43.88,3080485.0,0.0,1.0,43.406927710843,43.814457831325,43.257831325301,43.615662650602,3080485.0
2015-02-13,44.19,44.21,43.27,43.69,4058672.0,0.0,1.0,43.923795180723,43.943674698795,43.009337349398,43.426807228916,4058672.0
2015-02-12,43.96,44.45,43.16,44.35,5050145.0,0.0,1.0,43.695180722892,44.182228915663,42.9,44.082831325301,5050145.0
