Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,85.43,86.13,84.79,86.0,1795996.0,0.0,1.0,85.43,86.13,84.79,86.0,1795996.0
2015-04-15,85.82,86.1,85.59,85.85,1730835.0,0.0,1.0,85.82,86.1,85.59,85.85,1730835.0
2015-04-14,84.92,85.58,84.6101,85.39,2164890.0,0.0,1.0,84.92,85.58,84.6101,85.39,2164890.0
2015-04-13,84.66,87.14,84.39,85.0,2496016.0,0.0,1.0,84.66,87.14,84.39,85.0,2496016.0
2015-04-10,85.25,85.7,84.45,84.69,1018575.0,0.0,1.0,85.25,85.7,84.45,84.69,1018575.0
2015-04-09,85.26,85.43,84.58,85.14,2263751.0,0.0,1.0,85.26,85.43,84.58,85.14,2263751.0
2015-04-08,85.6,85.86,84.79,85.37,1931136.0,0.0,1.0,85.6,85.86,84.79,85.37,1931136.0
2015-04-07,85.84,86.18,85.42,85.67,1935228.0,0.0,1.0,85.84,86.18,85.42,85.67,1935228.0
2015-04-06,83.99,85.06,83.88,84.94,1294609.0,0.0,1.0,83.99,85.06,83.88,84.94,1294609.0
2015-04-02,83.76,84.3657,83.55,84.15,1145462.0,0.0,1.0,83.76,84.3657,83.55,84.15,1145462.0
2015-04-01,82.88,83.92,82.85,83.72,2064534.0,0.0,1.0,82.88,83.92,82.85,83.72,2064534.0
2015-03-31,84.01,84.46,82.54,82.54,3284054.0,0.0,1.0,84.01,84.46,82.54,82.54,3284054.0
2015-03-30,84.85,85.14,84.27,84.39,1529976.0,0.0,1.0,84.85,85.14,84.27,84.39,1529976.0
2015-03-27,84.61,85.07,83.86,84.81,2877470.0,0.0,1.0,84.61,85.07,83.86,84.81,2877470.0
2015-03-26,84.25,85.09,83.91,84.61,2304740.0,0.0,1.0,84.25,85.09,83.91,84.61,2304740.0
2015-03-25,85.83,86.11,84.6,84.64,1414412.0,0.0,1.0,85.83,86.11,84.6,84.64,1414412.0
2015-03-24,86.26,86.77,85.81,85.84,1853705.0,0.0,1.0,86.26,86.77,85.81,85.84,1853705.0
2015-03-23,86.83,86.83,86.25,86.25,1718093.0,0.0,1.0,86.83,86.83,86.25,86.25,1718093.0
2015-03-20,86.29,87.31,86.01,86.8,2887992.0,0.0,1.0,86.29,87.31,86.01,86.8,2887992.0
2015-03-19,85.85,86.39,85.48,85.85,2222597.0,0.0,1.0,85.85,86.39,85.48,85.85,2222597.0
2015-03-18,84.8,86.99,84.47,86.44,3411399.0,0.82,1.0,84.8,86.99,84.47,86.44,3411399.0
2015-03-17,85.41,85.77,85.13,85.52,1460132.0,0.0,1.0,84.607384826954,84.964001833601,84.330016044006,84.71635113454,1460132.0
2015-03-16,85.17,85.96,84.92,85.8,1430022.0,0.0,1.0,84.369640155856,85.152216364887,84.121989456796,84.993719917488,1430022.0
2015-03-13,85.66,85.66,84.38,84.91,1406977.0,0.0,1.0,84.855035526014,84.855035526014,83.587063946826,84.112083428833,1406977.0
2015-03-12,85.38,86.0,84.97,85.95,1213714.0,0.0,1.0,84.577666743067,85.191840476736,84.171519596608,85.142310336924,1213714.0
2015-03-11,84.47,85.27,84.21,84.92,1688948.0,0.0,1.0,83.676218198487,84.46870043548,83.418661471465,84.121989456796,1688948.0
2015-03-10,85.21,85.42,84.56,84.57,1689382.0,0.0,1.0,84.409264267706,84.617290854916,83.765372450149,83.775278478111,1689382.0
2015-03-09,85.27,85.7,84.86,85.5,1412606.0,0.0,1.0,84.46870043548,84.894659637864,84.062553289021,84.696539078616,1412606.0
2015-03-06,85.7,85.9,84.91,85.04,2772398.0,0.0,1.0,84.894659637864,85.092780197112,84.112083428833,84.240861792345,2772398.0
2015-03-05,86.23,86.46,85.91,86.26,1181683.0,0.0,1.0,85.419679119872,85.647517763007,85.102686225074,85.449397203759,1181683.0
2015-03-04,86.2,86.26,85.58,85.82,1896935.0,0.0,1.0,85.389961035984,85.449397203759,84.775787302315,85.013531973413,1896935.0
2015-03-03,86.15,86.56,85.99,86.3,2192703.0,0.0,1.0,85.340430896172,85.746578042631,85.181934448774,85.489021315609,2192703.0
2015-03-02,86.6,87.51,86.15,86.39,3098180.0,0.0,1.0,85.786202154481,86.68765069906,85.340430896172,85.57817556727,3098180.0
2015-02-27,86.32,86.46,85.71,86.31,2587840.0,0.0,1.0,85.508833371533,85.647517763007,84.904565665826,85.498927343571,2587840.0
2015-02-26,86.54,86.54,85.22,86.09,2773138.0,0.0,1.0,85.726765986706,85.726765986706,84.419170295668,85.280994728398,2773138.0
2015-02-25,86.81,87.95,86.44,86.58,3061341.0,0.0,1.0,85.994228741692,87.123515929406,85.627705707082,85.766390098556,3061341.0
2015-02-24,87.71,87.91,85.79,86.81,3752802.0,0.0,1.0,86.885771258309,87.083891817557,84.983813889526,85.994228741692,3752802.0
2015-02-23,88.82,89.04,87.27,87.9,3377034.0,0.0,1.0,87.985340362136,88.203272977309,86.449906027962,87.073985789594,3377034.0
2015-02-20,87.89,89.01,87.66,88.71,3215380.0,0.0,1.0,87.064079761632,88.173554893422,86.836241118496,87.87637405455,3215380.0
2015-02-19,87.93,88.3,87.57,87.79,2800617.0,0.0,1.0,87.103703873482,87.470226908091,86.747086866835,86.965019482008,2800617.0
2015-02-18,87.52,88.235,87.4,88.2,4114898.0,0.0,1.0,86.697556727023,87.405837726335,86.578684391474,87.371166628467,4114898.0
2015-02-17,88.575,89.435,87.5668,87.6,4075946.0,0.0,1.0,87.742642677057,88.594561081824,86.743916937887,86.776804950722,4075946.0
2015-02-13,87.66,88.01,87.03,88.0,2787736.0,0.0,1.0,86.836241118496,87.182952097181,86.212161356865,87.173046069218,2787736.0
2015-02-12,87.41,87.735,86.82,87.59,1873103.0,0.0,1.0,86.588590419436,86.910536328215,86.004134769654,86.76689892276,1873103.0
2015-02-11,87.18,87.45,86.26,87.18,2236929.0,0.0,1.0,86.360751776301,86.628214531286,85.449397203759,86.360751776301,2236929.0
2015-02-10,86.66,87.35,86.32,87.17,5151335.0,0.0,1.0,85.845638322255,86.529154251662,85.508833371533,86.350845748338,5151335.0
