Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,284.98,295.79,284.02,292.96,757903.0,0.0,1.0,284.98,295.79,284.02,292.96,757903.0
2015-04-15,282.34,288.42,282.34,286.68,597131.0,0.0,1.0,282.34,288.42,282.34,286.68,597131.0
2015-04-14,283.72,283.97,278.98,282.4,499247.0,0.0,1.0,283.72,283.97,278.98,282.4,499247.0
2015-04-13,286.24,287.885,283.31,284.01,426938.0,0.0,1.0,286.24,287.885,283.31,284.01,426938.0
2015-04-10,284.81,286.46,281.63,284.52,597952.0,0.0,1.0,284.81,286.46,281.63,284.52,597952.0
2015-04-09,283.12,287.65,283.12,284.81,599765.0,0.0,1.0,283.12,287.65,283.12,284.81,599765.0
2015-04-08,281.5,286.82,281.5,284.95,734570.0,0.0,1.0,281.5,286.82,281.5,284.95,734570.0
2015-04-07,281.52,284.9999,280.61,281.25,459232.0,0.0,1.0,281.52,284.9999,280.61,281.25,459232.0
2015-04-06,279.46,283.56,278.0,281.32,565691.0,0.0,1.0,279.46,283.56,278.0,281.32,565691.0
2015-04-02,282.39,285.9,278.5,280.22,547574.0,0.0,1.0,282.39,285.9,278.5,280.22,547574.0
2015-04-01,284.69,285.88,280.44,284.14,684243.0,0.0,1.0,284.69,285.88,280.44,284.14,684243.0
2015-03-31,287.94,290.19,282.74,283.68,823730.0,0.0,1.0,287.94,290.19,282.74,283.68,823730.0
2015-03-30,289.68,293.15,289.68,290.98,404887.0,0.0,1.0,289.68,293.15,289.68,290.98,404887.0
2015-03-27,293.54,294.25,287.96,288.66,503875.0,0.0,1.0,293.54,294.25,287.96,288.66,503875.0
2015-03-26,293.37,298.12,292.64,294.25,673884.0,0.0,1.0,293.37,298.12,292.64,294.25,673884.0
2015-03-25,296.41,300.59,293.69,293.75,498794.0,0.0,1.0,296.41,300.59,293.69,293.75,498794.0
2015-03-24,288.56,295.68,288.0001,295.01,787586.0,0.0,1.0,288.56,295.68,288.0001,295.01,787586.0
2015-03-23,291.0,292.83,289.66,289.99,558394.0,0.0,1.0,291.0,292.83,289.66,289.99,558394.0
2015-03-20,292.29,293.09,288.29,290.23,1116235.0,0.0,1.0,292.29,293.09,288.29,290.23,1116235.0
2015-03-19,292.62,294.59,290.0,290.03,686750.0,0.0,1.0,292.62,294.59,290.0,290.03,686750.0
2015-03-18,287.77,296.25,284.851,294.8,790492.0,0.0,1.0,287.77,296.25,284.851,294.8,790492.0
2015-03-17,291.01,293.22,288.93,289.43,629409.0,0.0,1.0,291.01,293.22,288.93,289.43,629409.0
2015-03-16,292.72,295.02,291.6732,293.01,437726.0,0.0,1.0,292.72,295.02,291.6732,293.01,437726.0
2015-03-13,290.63,293.36,289.01,292.64,460225.0,0.0,1.0,290.63,293.36,289.01,292.64,460225.0
2015-03-12,293.47,295.2,289.609,291.9,469005.0,0.0,1.0,293.47,295.2,289.609,291.9,469005.0
2015-03-11,294.84,295.95,290.45,290.77,1163062.0,0.0,1.0,294.84,295.95,290.45,290.77,1163062.0
2015-03-10,299.45,301.16,291.98,292.92,1074499.0,0.0,1.0,299.45,301.16,291.98,292.92,1074499.0
2015-03-09,299.39,305.255,298.57,304.27,482207.0,0.0,1.0,299.39,305.255,298.57,304.27,482207.0
2015-03-06,301.37,302.0,297.0,298.04,667225.0,0.0,1.0,301.37,302.0,297.0,298.04,667225.0
2015-03-05,304.99,306.46,302.42,303.29,446301.0,0.0,1.0,304.99,306.46,302.42,303.29,446301.0
2015-03-04,310.52,313.62,304.18,304.94,648731.0,0.0,1.0,310.52,313.62,304.18,304.94,648731.0
2015-03-03,310.5,312.69,308.8,311.23,631773.0,0.0,1.0,310.5,312.69,308.8,311.23,631773.0
2015-03-02,305.65,313.095,303.305,311.37,862023.0,0.0,1.0,305.65,313.095,303.305,311.37,862023.0
2015-02-27,306.98,308.72,304.88,306.23,664801.0,0.0,1.0,306.98,308.72,304.88,306.23,664801.0
2015-02-26,306.95,308.9,301.63,306.61,491989.0,0.0,1.0,306.95,308.9,301.63,306.61,491989.0
2015-02-25,312.32,313.13,305.88,307.24,612195.0,0.0,1.0,312.32,313.13,305.88,307.24,612195.0
2015-02-24,311.2,314.432,308.32,311.88,480442.0,0.0,1.0,311.2,314.432,308.32,311.88,480442.0
2015-02-23,308.5,313.69,308.89,312.68,582297.0,0.0,1.0,308.5,313.69,308.89,312.68,582297.0
2015-02-20,304.22,308.65,300.95,308.39,592192.0,0.0,1.0,304.22,308.65,300.95,308.39,592192.0
2015-02-19,294.65,306.59,295.0,304.38,773039.0,0.0,1.0,294.65,306.59,295.0,304.38,773039.0
2015-02-18,292.82,299.92,291.26,296.2,1216613.0,0.0,1.0,292.82,299.92,291.26,296.2,1216613.0
2015-02-17,301.17,302.41,296.52,298.71,786447.0,0.0,1.0,301.17,302.41,296.52,298.71,786447.0
2015-02-13,301.81,304.48,300.01,301.4,516138.0,0.0,1.0,301.81,304.48,300.01,301.4,516138.0
2015-02-12,299.33,303.98,297.52,302.6,483108.0,1.5,1.0,299.33,303.98,297.52,302.6,483108.0
2015-02-11,297.38,300.795,296.87,298.79,626834.0,0.0,1.0,295.91314699112,299.31130220322,295.40566261098,297.31619204209,626834.0
2015-02-10,296.22,300.16,293.29,298.04,473393.0,0.0,1.0,294.75886879316,298.67943439658,291.8433212759,296.56989148306,473393.0
2015-02-09,295.75,298.61,294.0,297.01,453818.0,0.0,1.0,294.2911871095,297.13707990793,292.54981913844,295.54497204867,453818.0
2015-02-06,299.79,299.79,292.0205,296.64,745662.0,0.0,1.0,298.31125945413,298.31125945413,290.58008319632,295.17679710622,745662.0
2015-02-05,299.64,301.81,296.3,299.6,623974.0,0.0,1.0,298.16199934232,300.32129562644,294.83847418612,298.12219664584,623974.0
2015-02-04,299.15,301.85,296.21,297.06,762217.0,0.0,1.0,297.67441631042,300.36109832292,294.74891811904,295.59472541927,762217.0
2015-02-03,306.93,306.95,298.07,301.04,784488.0,0.0,1.0,305.41604077606,305.4359421243,296.59974350543,299.55509371917,784488.0
2015-02-02,306.82,308.0,299.57,304.77,473855.0,0.0,1.0,305.30658336074,306.48076290694,298.09234462348,303.26669516606,473855.0
2015-01-30,303.81,310.615,303.08,305.38,499823.0,0.0,1.0,302.31143045051,309.08286418941,301.58503123972,303.87368628741,499823.0
2015-01-29,301.44,307.01,297.79,306.79,528685.0,0.0,1.0,299.95312068399,305.49564616902,296.32112463006,305.27673133838,528685.0
2015-01-28,308.21,308.31,300.64,301.15,274024.0,0.0,1.0,306.68972706347,306.78923380467,299.15706675436,299.6645511345,274024.0
2015-01-26,300.89,304.75,299.62,303.82,304153.0,0.0,1.0,299.40583360737,303.24679381782,298.14209799408,302.32138112463,304153.0
2015-01-23,307.11,307.94,301.45,301.75,587811.0,0.0,1.0,305.59515291023,306.42105886222,299.96307135811,300.26159158172,587811.0
2015-01-22,304.0,307.55,302.0,307.25,578713.0,0.0,1.0,302.5004932588,306.03298257152,300.51035843473,305.73446234791,578713.0
2015-01-21,303.4,304.05,299.78,302.26,387367.0,0.0,1.0,301.90345281158,302.5502466294,298.30130878001,300.76907596185,387367.0
2015-01-20,301.23,306.395,298.39,303.31,1078483.0,0.0,1.0,299.74415652746,304.88367971062,296.91816507728,301.81389674449,1078483.0
2015-01-15,293.23,296.21,288.0,288.74,1235538.0,0.0,1.0,291.78361723117,294.74891811904,286.57941466623,287.31576455113,1235538.0
2015-01-14,298.27,298.41,286.0,289.34,1116448.0,0.0,1.0,296.79875698783,296.93806642552,284.58927984216,287.91280499836,1116448.0
2015-01-13,299.89,303.09,295.01,299.24,986763.0,0.0,1.0,298.41076619533,301.59498191384,293.5548372246,297.76397237751,986763.0
2015-01-12,297.09,300.8,291.01,297.62,1022600.0,0.0,1.0,295.62457744163,299.31627754028,289.57456757646,296.15196317001,1022600.0
2015-01-08,292.79,295.13,290.32,294.78,786052.0,0.0,1.0,291.34578756988,293.67424531404,288.88797106215,293.32597171983,786052.0
2015-01-06,280.02,286.52,279.65,282.68,1113547.0,0.0,1.0,278.63877671818,285.10671489642,278.27060177573,281.2856560342,1113547.0
2015-01-05,279.59,281.94,275.155,276.95,795290.0,0.0,1.0,278.21089773101,280.54930614929,273.79777375863,275.58391976324,795290.0
2015-01-02,274.41,278.72,272.99,277.9,738251.0,0.0,1.0,273.05644853667,277.34518908254,271.64345281158,276.52923380467,738251.0
2014-12-31,273.73,276.348,271.5,272.54,395338.0,0.0,1.0,272.37980269648,274.98488918119,270.16080236764,271.19567247616,395338.0
2014-12-30,272.16,275.88,271.09,273.52,360399.0,0.0,1.0,270.81754685959,274.51919763236,269.75282472871,272.17083853995,360399.0
2014-12-26,275.81,278.06,273.32,274.61,448190.0,0.0,1.0,274.44954291352,276.6884445906,271.97182505755,273.25546201907,448190.0
2014-12-24,277.71,278.67,274.52,275.49,469732.0,0.0,1.0,276.34017099638,277.29543571194,273.16590595199,274.13112134166,469732.0
2014-12-23,271.96,279.4,271.78,278.65,951315.0,0.0,1.0,270.61853337718,278.02183492272,270.43942124301,277.2755343637,951315.0
2014-12-22,267.18,270.97,264.89,270.47,555604.0,0.0,1.0,265.86211114765,269.63341663926,263.58340677409,269.13588293325,555604.0
2014-12-19,260.99,267.45,260.02,265.95,852200.0,0.0,1.0,259.70264386715,266.1307793489,258.73742847747,264.63817823085,852200.0
2014-12-18,260.3,260.95,255.18,259.36,590895.0,0.0,1.0,259.01604735284,259.66284117067,253.92130220322,258.08068398553,590895.0
2014-12-17,250.45,257.295,248.93,256.76,712549.0,0.0,1.0,249.21463334429,256.02586977968,247.702130878,255.49350871424,712549.0
2014-12-16,245.37,252.06,244.81,248.87,963158.0,0.0,1.0,244.15969089115,250.81669187767,243.60245314041,247.64242683328,963158.0
2014-12-15,251.18,253.01,246.42,247.99,849111.0,0.0,1.0,249.94103255508,251.76200591911,245.20451167379,246.76676751069,849111.0
2014-12-12,251.24,252.44,247.9,248.8,632443.0,0.0,1.0,250.0007365998,251.19481749425,246.6772114436,247.57277211444,632443.0
2014-12-10,259.34,259.92,252.02,252.46,886537.0,0.0,1.0,258.06078263729,258.63792173627,250.77688918119,251.21471884249,886537.0
2014-12-09,259.05,261.44,255.36,260.71,947948.0,0.0,1.0,257.7722130878,260.15042420256,254.10041433739,259.42402499178,947948.0
2014-12-05,271.14,271.9699,267.53,268.33,488125.0,0.0,1.0,269.80257809931,270.62838454456,266.21038474186,267.00643867149,488125.0
2014-12-04,269.02,271.83,267.13,269.96,548718.0,0.0,1.0,267.69303518579,270.48917461361,265.81235777705,268.62839855311,548718.0
2014-12-02,267.03,270.93,265.02,268.22,534232.0,0.0,1.0,265.71285103584,269.59361394278,263.71276553765,266.89698125617,534232.0
2014-12-01,268.2,270.99,264.68,267.11,653549.0,0.0,1.0,266.87707990793,269.6533179875,263.37444261756,265.79245642881,653549.0
2014-11-28,269.23,271.41,267.07,268.15,544736.0,0.0,1.0,267.90199934232,270.07124630056,265.75265373232,266.82732653732,544736.0
2014-11-26,273.2,273.3,266.501,271.64,583117.0,0.0,1.0,271.8524169681,271.95192370931,265.18646037488,270.30011180533,583117.0
2014-11-25,277.31,278.09,272.56,272.56,815156.0,0.0,1.0,275.94214403157,276.71829661296,271.2155738244,271.2155738244,815156.0
2014-11-24,278.2,278.84,275.425,277.13,655022.0,0.0,1.0,276.82775402828,277.46459717198,274.06644195988,275.7630318974,655022.0
2014-11-21,277.82,280.28,275.06,278.38,975050.0,0.0,1.0,276.44962841171,278.89749424531,273.70324235449,277.00686616245,975050.0
2014-11-20,271.6,274.7999,270.38,273.07,540200.0,0.0,1.0,270.26030910885,273.44442532062,269.04632686616,271.72305820454,540200.0
2014-11-19,275.7,278.64,270.07,272.03,684167.0,0.0,1.0,274.34008549819,277.26558368958,268.73785596843,270.68818809602,684167.0
2014-11-18,270.81,273.36,267.885,269.69,625086.0,0.0,1.0,269.47420585334,272.01162775403,266.56363367313,268.35973035186,625086.0
2014-11-17,265.85,271.95,265.78,270.01,562510.0,0.0,1.0,264.53867148964,270.60858270306,264.4690167708,268.67815192371,562510.0
2014-11-14,266.99,268.95,263.87,266.11,620251.0,0.0,1.0,265.67304833936,267.62338046695,262.56843801381,264.79738901677,620251.0
2014-11-13,265.71,268.7,265.624,267.12,590097.0,0.0,1.0,264.39936205196,267.37461361394,264.31378625452,265.80240710293,590097.0
2014-11-12,265.2,267.66,263.44,266.38,670615.0,0.0,1.0,263.89187767182,266.33974350543,262.14055902664,265.06605721802,670615.0
2014-11-11,254.4,268.79,254.4,266.81,1251207.0,0.0,1.0,253.14514962183,267.46416968103,253.14514962183,265.4939362052,1251207.0
2014-11-10,251.98,256.23,248.09,254.4,1006975.0,0.0,1.0,250.73708648471,254.96612298586,246.86627425189,253.14514962183,1006975.0
2014-11-07,253.3,255.5,249.67,250.92,762379.0,0.0,1.0,252.0505754686,254.23972377507,248.43848076291,249.68231502795,762379.0
2014-11-06,238.68,256.16,241.03,251.52,1232851.0,0.0,1.0,237.50268990464,254.89646826702,239.84109832292,250.27935547517,1232851.0
2014-11-04,255.19,256.77,251.45,252.47,922784.0,0.0,1.0,253.93125287734,255.50345938836,250.20970075633,251.22466951661,922784.0
2014-11-03,260.54,261.72,255.02,256.1,760069.0,0.0,1.0,259.25486353173,260.42904307793,253.7620914173,254.8367642223,760069.0
2014-10-31,265.16,265.18,257.2,260.0,805291.0,0.0,1.0,263.85207497534,263.87197632358,255.93133837553,258.71752712923,805291.0
2014-10-30,255.37,261.165,254.58,259.24,625471.0,0.0,1.0,254.11036501151,259.87678066426,253.324261756,257.96127589609,625471.0
2014-10-29,260.26,261.655,254.62,257.39,954102.0,0.0,1.0,258.97624465636,260.36436369615,253.36406445248,256.12040118382,954102.0
2014-10-28,256.72,260.66,256.3,260.34,612386.0,0.0,1.0,255.45370601776,259.37427162118,255.0357777047,259.05585004933,612386.0
2014-10-27,258.32,258.06,253.085,255.02,744875.0,0.0,1.0,257.04581387701,256.78709634988,251.83663597501,253.7620914173,744875.0
2014-10-24,256.84,261.38,255.3,260.41,625001.0,0.0,1.0,255.5731141072,260.09072015784,254.04071029267,259.12550476817,625001.0
2014-10-23,258.43,267.71,254.57,255.7,612355.0,0.0,1.0,257.15527129234,266.38949687603,253.31431108188,254.43873725748,612355.0
2014-10-22,253.45,258.3,253.02,254.53,925407.0,0.0,1.0,252.1998355804,257.02591252877,251.77195659323,253.2745083854,925407.0
2014-10-21,250.48,253.79,248.55,252.91,741971.0,0.0,1.0,249.24448536666,252.53815850049,247.32400526143,251.6624991779,741971.0
2014-10-20,245.6,249.7,244.11,248.3,744315.0,0.0,1.0,244.38855639592,248.46833278527,242.90590595199,247.07523840842,744315.0
2014-10-17,248.505,252.7197,243.48,244.96,2255777.0,0.0,1.0,247.27922722789,251.47313784939,242.27901348241,243.75171325222,2255777.0
2014-10-16,248.71,257.23,247.3,253.85,930768.0,0.0,1.0,247.48321604735,255.9611903979,246.08017099638,252.59786254522,930768.0
2014-10-15,248.82,256.58,239.46,254.27,1444651.0,0.0,1.0,247.59267346268,255.31439658007,238.27884248602,253.01579085827,1444651.0
2014-10-14,251.56,253.87,243.805,252.64,1118821.0,0.0,1.0,250.31915817165,252.61776389346,242.60241039132,251.39383097665,1118821.0
2014-10-13,266.97,267.57,252.3,252.82,861722.0,0.0,1.0,265.65314699112,266.25018743834,251.05550805656,251.57294311082,861722.0
2014-10-10,269.96,272.2,262.99,266.11,948502.0,0.0,1.0,268.62839855311,270.85734955607,261.69277869122,264.79738901677,948502.0
2014-10-09,280.58,281.21,268.89,271.05,1007233.0,0.0,1.0,279.19601446892,279.82290693851,267.56367642223,269.71302203223,1007233.0
2014-10-08,282.61,283.03,270.28,280.28,1243954.0,0.0,1.0,281.21600131536,281.63392962841,268.94682012496,278.89749424531,1243954.0
2014-10-07,272.51,290.29,272.5,282.76,1586340.0,0.0,1.0,271.1658204538,288.85811903979,271.15586977968,281.36526142716,1586340.0
2014-10-06,276.59,276.61,271.33,273.11,598751.0,0.0,1.0,275.2256954949,275.24559684314,269.9916409076,271.76286090102,598751.0
2014-10-03,277.0,279.0,274.91,275.02,772397.0,0.0,1.0,275.63367313384,277.62380795791,273.55398224268,273.66343965801,772397.0
2014-10-01,277.99,281.95,269.24,269.25,1310674.0,0.0,1.0,276.61878987175,280.55925682341,267.91195001644,267.92190069056,1310674.0
2014-09-30,278.095,279.82,276.0,279.22,1091087.0,0.0,1.0,276.72327195002,278.43976323578,274.6386057218,277.84272278856,1091087.0
2014-09-29,275.77,280.34,274.0,278.62,1294459.0,0.0,1.0,274.40974021703,278.95719829004,272.64847089773,277.24568234134,1294459.0
2014-09-26,271.0,280.08,269.86,277.86,992051.0,0.0,1.0,269.66326866162,278.69848076291,268.5288918119,276.48943110819,992051.0
2014-09-25,272.06,273.55,269.32,271.05,783628.0,0.0,1.0,270.71804011838,272.20069056232,267.9915554094,269.71302203223,783628.0
2014-09-24,267.65,274.8,266.18,272.33,1288369.0,0.0,1.0,266.32979283131,273.44452482736,264.86704373561,270.98670831963,1288369.0
2014-09-23,267.25,275.14,260.33,269.37,3562048.0,0.0,1.0,265.93176586649,273.78284774745,259.04589937521,268.04130878001,3562048.0
2014-09-22,258.8,258.775,254.76,255.78,725914.0,0.0,1.0,257.52344623479,257.49856954949,253.50337389017,254.51834265044,725914.0
2014-09-19,261.02,262.51,258.38,258.38,1068067.0,0.0,1.0,259.73249588951,261.21514633344,257.10551792174,257.10551792174,1068067.0
2014-09-18,257.42,260.25,256.7,259.71,555883.0,0.0,1.0,256.15025320618,258.96629398224,255.43380466952,258.42895757974,555883.0
2014-09-17,254.87,257.97,254.5,256.31,609707.0,0.0,1.0,253.61283130549,256.6975402828,253.24465636304,255.04572837882,609707.0
2014-09-16,251.51,255.5,251.24,254.46,504102.0,0.0,1.0,250.26940480105,254.23972377507,250.0007365998,253.20485366656,504102.0
2014-09-15,250.5,252.44,250.06,252.04,589314.0,0.0,1.0,249.2643867149,251.19481749425,248.8265570536,250.79679052943,589314.0
2014-09-12,249.89,251.79,249.21,250.64,430596.0,0.0,1.0,248.65739559355,250.54802367642,247.98074975337,249.40369615258,430596.0
2014-09-11,248.81,252.34,248.62,250.77,370505.0,0.0,1.0,247.58272278856,251.09531075304,247.39365998027,249.53305491615,370505.0
2014-09-10,251.27,251.74,248.21,251.5,706506.0,0.0,1.0,250.03058862216,250.49827030582,246.98568234134,250.25945412693,706506.0
2014-09-09,254.2,254.34,250.33,250.97,674600.0,0.0,1.0,252.94613613943,253.08544557711,249.09522525485,249.73206839855,674600.0
