Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,70.03,70.1725,69.38,69.51,1101443.0,0.0,1.0,70.03,70.1725,69.38,69.51,1101443.0
2015-04-15,70.75,71.22,69.84,70.23,1575568.0,0.0,1.0,70.75,71.22,69.84,70.23,1575568.0
2015-04-14,70.13,71.1,69.58,70.78,1560723.0,0.0,1.0,70.13,71.1,69.58,70.78,1560723.0
2015-04-13,71.85,71.9,70.23,70.37,1478161.0,0.0,1.0,71.85,71.9,70.23,70.37,1478161.0
2015-04-10,71.83,72.27,71.51,72.06,1037255.0,0.0,1.0,71.83,72.27,71.51,72.06,1037255.0
2015-04-09,71.19,71.87,71.19,71.64,1138704.0,0.0,1.0,71.19,71.87,71.19,71.64,1138704.0
2015-04-08,71.11,71.883,70.34,71.22,1212131.0,0.0,1.0,71.11,71.883,70.34,71.22,1212131.0
2015-04-07,71.43,72.025,71.16,71.41,1151054.0,0.0,1.0,71.43,72.025,71.16,71.41,1151054.0
2015-04-06,70.84,71.62,70.65,71.28,1444825.0,0.0,1.0,70.84,71.62,70.65,71.28,1444825.0
2015-04-02,72.15,72.33,71.25,71.335,2019030.0,0.0,1.0,72.15,72.33,71.25,71.335,2019030.0
2015-04-01,72.85,73.09,71.92,71.99,1433910.0,0.0,1.0,72.85,73.09,71.92,71.99,1433910.0
2015-03-31,73.09,73.79,72.65,73.22,1405733.0,0.0,1.0,73.09,73.79,72.65,73.22,1405733.0
2015-03-30,73.11,73.7,72.801,73.2,1694710.0,0.0,1.0,73.11,73.7,72.801,73.2,1694710.0
2015-03-27,73.06,73.255,72.77,73.025,1202098.0,0.0,1.0,73.06,73.255,72.77,73.025,1202098.0
2015-03-26,72.88,73.56,72.43,73.14,1580243.0,0.0,1.0,72.88,73.56,72.43,73.14,1580243.0
2015-03-25,75.06,75.23,73.3,73.31,1546626.0,0.0,1.0,75.06,75.23,73.3,73.31,1546626.0
2015-03-24,75.59,76.01,74.81,75.06,2776617.0,0.0,1.0,75.59,76.01,74.81,75.06,2776617.0
2015-03-23,75.96,76.1799,75.67,75.74,2061206.0,0.0,1.0,75.96,76.1799,75.67,75.74,2061206.0
2015-03-20,75.65,76.06,75.05,75.4,3172743.0,0.0,1.0,75.65,76.06,75.05,75.4,3172743.0
2015-03-19,75.14,75.458,74.78,75.16,1409883.0,0.0,1.0,75.14,75.458,74.78,75.16,1409883.0
2015-03-18,74.23,75.39,73.7601,75.19,1176770.0,0.0,1.0,74.23,75.39,73.7601,75.19,1176770.0
2015-03-17,74.69,75.09,74.21,74.66,1158002.0,0.0,1.0,74.69,75.09,74.21,74.66,1158002.0
2015-03-16,74.7,75.43,73.99,75.35,1963889.0,0.0,1.0,74.7,75.43,73.99,75.35,1963889.0
2015-03-13,73.82,74.02,73.02,73.45,1140241.0,0.0,1.0,73.82,74.02,73.02,73.45,1140241.0
2015-03-12,72.66,74.07,72.61,73.97,1109576.0,0.0,1.0,72.66,74.07,72.61,73.97,1109576.0
2015-03-11,72.02,72.55,71.66,72.48,1676582.0,0.0,1.0,72.02,72.55,71.66,72.48,1676582.0
2015-03-10,73.16,73.17,72.32,72.49,1662287.0,0.0,1.0,73.16,73.17,72.32,72.49,1662287.0
2015-03-09,73.52,74.19,73.37,73.91,973171.0,0.0,1.0,73.52,74.19,73.37,73.91,973171.0
2015-03-06,73.56,74.11,73.39,73.58,1139675.0,0.0,1.0,73.56,74.11,73.39,73.58,1139675.0
2015-03-05,74.01,74.31,73.6,74.12,932294.0,0.0,1.0,74.01,74.31,73.6,74.12,932294.0
2015-03-04,74.16,74.23,73.73,73.96,1301101.0,0.0,1.0,74.16,74.23,73.73,73.96,1301101.0
2015-03-03,74.52,75.21,74.25,74.67,3108826.0,0.0,1.0,74.52,75.21,74.25,74.67,3108826.0
2015-03-02,74.4,74.46,73.41,73.6,2058250.0,0.0,1.0,74.4,74.46,73.41,73.6,2058250.0
2015-02-27,74.1,74.59,73.76,74.3,1620513.0,0.0,1.0,74.1,74.59,73.76,74.3,1620513.0
2015-02-26,73.62,74.26,73.15,74.21,1289124.0,0.0,1.0,73.62,74.26,73.15,74.21,1289124.0
2015-02-25,74.16,74.55,73.48,73.55,1105629.0,0.0,1.0,73.782645956079,74.17066148902,73.106106052491,73.175749866095,1105629.0
2015-02-24,73.05,74.0,72.78,73.98,1182146.0,0.0,1.0,72.678294054633,73.623460096411,72.409667916443,73.603561863953,1182146.0
2015-02-23,72.53,73.2,72.35,73.14,884746.0,0.0,1.0,72.160940010712,72.827530798072,71.981855918586,72.767836100696,884746.0
2015-02-20,71.61,72.6,71.05,72.5,965220.0,0.0,1.0,71.245621317622,72.230583824317,70.688470808784,72.131092662025,965220.0
2015-02-19,71.38,72.39,70.99,71.84,903588.0,0.0,1.0,71.016791644349,72.021652383503,70.628776111409,71.474450990894,903588.0
2015-02-18,71.49,72.4,70.62,71.38,1236657.0,0.0,1.0,71.126231922871,72.031601499732,70.260658810927,71.016791644349,1236657.0
2015-02-17,72.32,72.47,71.65,71.81,999544.0,0.0,1.0,71.952008569898,72.101245313337,71.285417782539,71.444603642207,999544.0
2015-02-13,72.09,72.74,71.93,72.58,1366167.0,0.0,1.0,71.723178896626,72.369871451527,71.563993036958,72.210685591859,1366167.0
2015-02-12,71.55,72.13,71.325,71.83,1415009.0,0.0,1.0,71.185926620246,71.762975361543,70.962071505088,71.464501874665,1415009.0
2015-02-11,71.24,71.96,71.17,71.25,1824273.0,0.0,1.0,70.87750401714,71.593840385645,70.807860203535,70.887453133369,1824273.0
2015-02-10,70.9,71.48,70.36,71.15,1756396.0,0.0,1.0,70.539234065345,71.116282806642,70.001981788966,70.787961971077,1756396.0
2015-02-09,70.25,70.59,69.84,70.495,1913495.0,0.0,1.0,69.892541510445,70.230811462239,69.484627745046,70.136294858061,1913495.0
2015-02-06,71.2,71.21,70.34,70.51,2357821.0,0.0,1.0,70.837707552223,70.847656668452,69.982083556508,70.151218532405,2357821.0
2015-02-04,72.0,72.0,67.11,70.5,10220511.0,0.0,1.0,71.633636850562,71.633636850562,66.768519014462,70.141269416176,10220511.0
2015-02-03,74.64,75.49,73.25,75.23,9177013.0,0.0,1.0,74.260203535083,75.105878414569,72.877276379218,74.847201392608,9177013.0
2015-02-02,72.01,73.58,71.69,73.44,4346730.0,0.0,1.0,71.643585966792,73.205597214783,71.325214247456,73.066309587574,4346730.0
2015-01-30,72.66,73.11,70.98,71.22,2045128.0,0.0,1.0,72.290278521693,72.737988752009,70.618826995179,70.857605784681,2045128.0
2015-01-29,72.86,73.38,71.92,73.31,1588487.0,0.0,1.0,72.489260846277,73.006614890198,71.554043920728,72.936971076593,1588487.0
2015-01-28,74.09,74.42,72.87,72.94,992131.0,0.0,1.0,73.713002142475,74.04132297804,72.499209962507,72.568853776111,992131.0
2015-01-26,73.83,74.68,73.52,74.64,708073.0,0.0,1.0,73.454325120514,74.3,73.145902517408,74.260203535083,708073.0
2015-01-23,74.52,74.88,74.07,74.12,919747.0,0.0,1.0,74.140814140332,74.498982324585,73.693103910016,73.742849491162,919747.0
2015-01-22,73.29,74.9,73.04,74.73,1132539.0,0.0,1.0,72.917072844135,74.518880557043,72.668344938404,74.349745581146,1132539.0
2015-01-21,72.58,73.49,72.3101,72.82,931805.0,0.0,1.0,72.210685591859,73.11605516872,71.942158944831,72.44946438136,931805.0
2015-01-20,73.65,73.82,72.33,72.87,1150483.0,0.0,1.0,73.275241028388,73.444376004285,71.961957686127,72.499209962507,1150483.0
2015-01-15,73.08,73.52,72.29,72.51,1141514.0,0.0,1.0,72.708141403321,73.145902517408,71.922161221211,72.141041778254,1141514.0
2015-01-14,73.02,73.47,72.38,72.97,1197715.0,0.0,1.0,72.648446705945,73.096156936261,72.011703267274,72.598701124799,1197715.0
2015-01-13,73.36,74.69,73.03,73.61,1763816.0,0.0,1.0,72.98671665774,74.309949116229,72.658395822175,73.235444563471,1763816.0
2015-01-12,72.46,73.555,71.98,72.9,1419775.0,0.0,1.0,72.091296197108,73.18072442421,71.613738618104,72.529057311194,1419775.0
2015-01-08,70.67,72.9,70.63,72.84,3019666.0,0.0,1.0,70.310404392073,72.529057311194,70.270607927156,72.469362613819,3019666.0
2015-01-06,71.55,71.95,69.23,69.68,3887476.0,0.0,1.0,71.185926620246,71.583891269416,68.877731655062,69.325441885378,3887476.0
2015-01-05,72.61,73.37,70.32,70.6,8416936.0,0.0,1.0,72.240532940546,72.996665773969,69.962185324049,70.240760578468,8416936.0
2015-01-02,74.85,75.24,73.021,73.85,1978028.0,0.0,1.0,74.469134975897,74.857150508838,72.649441617568,73.474223352973,1978028.0
2014-12-31,76.04,76.25,74.85,74.89,1060791.0,0.0,1.0,75.653079807177,75.862011247991,74.469134975897,74.508931440814,1060791.0
2014-12-30,76.0,76.43,75.62,75.69,1061749.0,0.0,1.0,75.61328334226,76.041095340118,75.235216925549,75.304860739154,1061749.0
2014-12-26,77.25,77.49,76.67,76.75,652981.0,0.0,1.0,76.856922870916,77.095701660418,76.27987412962,76.359467059454,652981.0
2014-12-24,77.13,77.38,76.69,77.16,426887.0,0.0,1.0,76.737533476165,76.986261381896,76.299772362078,76.767380824853,426887.0
2014-12-23,77.11,77.37,76.74,77.02,701678.0,0.0,1.0,76.717635243706,76.976312265667,76.349517943224,76.628093197643,701678.0
2014-12-22,76.28,76.83,75.73,76.81,1647284.0,0.0,1.0,75.891858596679,76.439059989288,75.344657204071,76.419161756829,1647284.0
2014-12-19,74.17,76.38,74.17,76.31,3351212.0,0.0,1.0,73.792595072309,75.991349758972,73.792595072309,75.921705945367,3351212.0
2014-12-18,72.64,74.15,72.21,74.07,1413659.0,0.0,1.0,72.270380289234,73.77269683985,71.842568291377,73.693103910016,1413659.0
2014-12-17,71.65,71.94,69.14,71.88,2192409.0,0.0,1.0,71.285417782539,71.573942153187,68.788189608998,71.514247455811,2192409.0
2014-12-16,72.26,73.15,71.9,71.92,831912.0,0.0,1.0,71.892313872523,72.777785216926,71.53414568827,71.554043920728,831912.0
2014-12-15,72.78,73.23,72.05,72.18,1167247.0,0.0,1.0,72.409667916443,72.85737814676,71.683382431709,71.812720942689,1167247.0
2014-12-12,71.93,72.84,71.8801,72.285,1366959.0,0.0,1.0,71.563993036958,72.469362613819,71.514346946974,71.917186663096,1366959.0
2014-12-10,72.84,73.18,71.75,71.81,1777724.0,0.0,1.0,72.469362613819,72.807632565613,71.384908944831,71.444603642207,1777724.0
2014-12-09,73.57,73.76,72.55,73.25,1553055.0,0.0,1.0,73.195648098554,73.384681306909,72.180838243171,72.877276379218,1553055.0
2014-12-05,74.65,75.2,74.3701,74.63,1448677.0,0.0,1.0,74.270152651312,74.817354043921,73.991676888056,74.250254418854,1448677.0
2014-12-04,74.57,74.9,73.99,74.45,1144441.0,0.0,1.0,74.190559721478,74.518880557043,73.613510980182,74.071170326727,1144441.0
2014-12-02,73.1,73.94,72.71,73.61,1512114.0,0.0,1.0,72.728039635779,73.563765399036,72.340024102839,73.235444563471,1512114.0
2014-12-01,73.39,73.67,72.31,72.51,1035339.0,0.0,1.0,73.016564006427,73.295139260846,71.942059453669,72.141041778254,1035339.0
2014-11-28,74.44,74.92,73.475,73.74,856469.0,0.0,1.0,74.061221210498,74.538778789502,73.101131494376,73.364783074451,856469.0
2014-11-26,73.11,73.68,73.02,73.4,834200.0,0.0,1.0,72.737988752009,73.305088377076,72.648446705945,73.026513122657,834200.0
2014-11-25,72.82,73.335,72.7,73.04,1002131.0,0.0,1.0,72.44946438136,72.961843867167,72.33007498661,72.668344938404,1002131.0
2014-11-24,72.87,73.05,72.48,72.62,1022205.0,0.0,1.0,72.499209962507,72.678294054633,72.111194429566,72.250482056776,1022205.0
2014-11-21,73.22,73.33,72.66,72.82,1286643.0,0.0,1.0,72.84742903053,72.956869309052,72.290278521693,72.44946438136,1286643.0
2014-11-20,71.4,72.49,71.25,72.29,1792561.0,0.0,1.0,71.036689876808,72.121143545795,70.887453133369,71.922161221211,1792561.0
2014-11-19,72.37,72.6399,71.43,71.48,1439867.0,0.0,1.0,72.001754151044,72.270280798072,71.066537225495,71.116282806642,1439867.0
2014-11-18,72.63,72.96,72.35,72.54,1147917.0,0.0,1.0,72.260431173005,72.58875200857,71.981855918586,72.170889126942,1147917.0
2014-11-17,72.78,73.1699,72.485,72.515,988122.0,0.0,1.0,72.409667916443,72.797583958222,72.116168987681,72.146016336369,988122.0
2014-11-14,73.21,73.76,72.81,73.07,1150464.0,0.0,1.0,72.837479914301,73.384681306909,72.439515265131,72.698192287092,1150464.0
2014-11-13,72.275,73.12,72.275,73.105,1126874.0,0.0,1.0,71.907237546867,72.747937868238,71.907237546867,72.733014193894,1126874.0
2014-11-12,71.61,73.01,71.43,72.86,1485974.0,0.0,1.0,71.245621317622,72.638497589716,71.066537225495,72.489260846277,1485974.0
2014-11-11,72.12,72.154,71.4236,71.75,798322.0,0.0,1.0,71.753026245313,71.786853240493,71.060169791109,71.384908944831,798322.0
2014-11-10,71.41,72.23,70.95,72.17,1301319.0,0.0,1.0,71.046638993037,71.862466523835,70.588979646492,71.80277182646,1301319.0
2014-11-07,71.91,71.91,70.92,71.46,1012659.0,0.0,1.0,71.544094804499,71.544094804499,70.559132297804,71.096384574183,1012659.0
2014-11-06,71.34,71.98,70.835,71.595,1706015.0,0.0,1.0,70.976995179432,71.613738618104,70.474564809855,71.230697643278,1706015.0
2014-11-04,68.93,70.62,68.8367,70.12,3033315.0,0.0,1.0,68.579258168184,70.260658810927,68.486432913765,69.763202999464,3033315.0
2014-11-03,69.28,69.438,67.88,68.69,1954860.0,0.0,1.0,68.927477236208,69.08467327263,67.534600964114,68.340479378682,1954860.0
2014-10-31,70.1,70.18,68.28,69.21,2355510.0,0.0,1.0,69.743304767006,69.82289769684,67.932565613283,68.857833422603,2355510.0
2014-10-30,70.57,70.65,68.57,69.22,3318706.0,0.0,1.0,70.21091322978,70.290506159614,68.221089983931,68.867782538832,3318706.0
2014-10-29,74.35,74.95,71.77,72.1,3910738.0,0.0,1.0,73.971679164435,74.56862613819,71.40480717729,71.733128012855,3910738.0
2014-10-28,71.7,72.57,71.595,72.34,2794990.0,0.0,1.0,71.335163363685,72.200736475629,71.230697643278,71.971906802357,2794990.0
2014-10-27,70.39,72.14,69.7972,71.7,2279032.0,0.0,1.0,70.031829137654,71.772924477772,69.442045527584,71.335163363685,2279032.0
2014-10-24,71.01,71.31,70.49,71.15,1081577.0,0.0,1.0,70.648674343867,70.947147830745,70.131320299946,70.787961971077,1081577.0
2014-10-23,70.42,71.2243,69.99,70.61,1058837.0,0.0,1.0,70.061676486342,70.86188390466,69.633864488484,70.250709694697,1058837.0
2014-10-22,70.11,70.5,69.51,69.53,1365466.0,0.0,1.0,69.753253883235,70.141269416176,69.15630690948,69.176205141939,1365466.0
2014-10-21,69.19,70.15,68.85,69.93,1113595.0,0.0,1.0,68.837935190145,69.793050348152,68.49966523835,69.574169791109,1113595.0
2014-10-20,67.7,69.0,67.7,68.99,1542828.0,0.0,1.0,67.355516871987,68.648901981789,67.355516871987,68.63895286556,1542828.0
2014-10-17,67.46,68.15,67.21,67.98,1247167.0,0.0,1.0,67.116738082485,67.803227102303,66.868010176754,67.634092126406,1247167.0
2014-10-16,66.23,67.4447,65.52,66.86,1457985.0,0.0,1.0,65.892996786288,67.101515934655,65.186609534012,66.519791108731,1457985.0
2014-10-15,65.46,67.31,64.79,67.11,2171755.0,0.0,1.0,65.126914836636,66.967501339047,64.460324049277,66.768519014462,2171755.0
2014-10-14,64.95,66.195,64.63,65.58,1512252.0,0.0,1.0,64.619509908945,65.858174879486,64.301138189609,65.246304231387,1512252.0
2014-10-13,64.15,65.17,63.42,63.445,1490948.0,0.0,1.0,63.823580610605,64.838390465988,63.09729512587,63.122167916444,1490948.0
2014-10-10,65.17,65.38,64.18,64.62,1202439.0,0.0,1.0,64.838390465988,65.047321906802,63.853427959293,64.29118907338,1202439.0
2014-10-09,66.25,66.65,65.03,65.2,957010.0,0.0,1.0,65.912895018747,66.310859667916,64.699102838779,64.868237814676,957010.0
2014-10-08,65.23,66.33,64.81,66.28,845664.0,0.0,1.0,64.898085163364,65.992487948581,64.480222281735,65.942742367434,845664.0
2014-10-07,66.48,66.48,65.42,65.43,836950.0,0.0,1.0,66.141724692019,66.141724692019,65.087118371719,65.097067487949,836950.0
2014-10-06,67.4,68.02,66.675,66.73,797704.0,0.0,1.0,67.05704338511,67.673888591323,66.33573245849,66.39045259775,797704.0
2014-10-03,66.52,67.45,66.41,67.24,1414440.0,0.0,1.0,66.181521156936,67.106788966256,66.072080878415,66.897857525442,1414440.0
2014-10-01,66.18,66.32,65.15,65.19,1616347.0,0.0,1.0,65.843251205142,65.982538832351,64.81849223353,64.858288698447,1616347.0
2014-09-30,66.29,66.7,66.04,66.32,1404906.0,0.0,1.0,65.952691483664,66.360605249063,65.703963577933,65.982538832351,1404906.0
2014-09-29,65.86,66.63,65.63,66.45,1220651.0,0.0,1.0,65.524879485806,66.290961435458,65.296049812533,66.111877343332,1220651.0
2014-09-26,65.61,66.37,65.6,66.35,1011403.0,0.0,1.0,65.276151580075,66.032284413498,65.266202463846,66.012386181039,1011403.0
2014-09-25,66.5,66.62,65.49,65.56,1106430.0,0.0,1.0,66.161622924478,66.281012319229,65.156762185324,65.226405998929,1106430.0
2014-09-24,66.36,66.77,66.05,66.69,1034153.0,0.0,1.0,66.022335297268,66.430249062667,65.713912694162,66.350656132833,1034153.0
2014-09-23,66.63,66.815,66.27,66.44,938671.0,0.0,1.0,66.290961435458,66.475020085699,65.932793251205,66.101928227102,938671.0
2014-09-22,67.58,67.58,66.67,66.74,782193.0,0.0,1.0,67.236127477236,67.236127477236,66.330757900375,66.40040171398,782193.0
2014-09-19,68.47,68.57,67.3555,67.82,1714139.0,0.0,1.0,68.121598821639,68.221089983931,67.01276981789,67.474906266738,1714139.0
2014-09-18,68.08,68.28,67.84,68.23,1185418.0,0.0,1.0,67.733583288698,67.932565613283,67.494804499197,67.882820032137,1185418.0
2014-09-17,67.41,68.22,67.25,68.08,1305507.0,0.0,1.0,67.066992501339,67.872870915908,66.907806641671,67.733583288698,1305507.0
2014-09-16,67.09,67.3,66.86,67.2,1154783.0,0.0,1.0,66.748620782003,66.957552222817,66.519791108731,66.858061060525,1154783.0
2014-09-15,67.14,67.28,66.6,67.05,777325.0,0.0,1.0,66.798366363149,66.937653990359,66.26111408677,66.708824317086,777325.0
2014-09-12,67.07,67.2843,66.83,67.17,856849.0,0.0,1.0,66.728722549545,66.941932110337,66.489943760043,66.828213711837,856849.0
2014-09-11,66.57,67.03,66.43,66.99,1336267.0,0.0,1.0,66.231266738082,66.688926084628,66.091979110873,66.649129619711,1336267.0
2014-09-10,66.74,67.02,66.46,66.73,777022.0,0.0,1.0,66.40040171398,66.678976968399,66.121826459561,66.39045259775,777022.0
2014-09-09,67.51,67.69,66.72,66.91,1099635.0,0.0,1.0,67.166483663632,67.345567755758,66.380503481521,66.569536689877,1099635.0
2014-09-08,67.84,68.12,67.385,67.51,678079.0,0.0,1.0,67.494804499197,67.773379753615,67.042119710766,67.166483663632,678079.0
2014-09-05,67.48,67.85,66.94,67.76,1047140.0,0.0,1.0,67.136636314944,67.504753615426,66.599384038565,67.415211569363,1047140.0
2014-09-04,66.97,67.47,66.92,67.33,1473579.0,0.0,1.0,66.629231387252,67.126687198715,66.579485806106,66.987399571505,1473579.0
2014-09-03,67.57,67.57,66.63,66.9,2885253.0,0.35,1.0,67.226178361007,67.226178361007,66.290961435458,66.559587573648,2885253.0
2014-09-02,68.34,68.5,68.08,68.37,986989.0,0.0,1.0,67.638397245845,67.79675462892,67.381066498348,67.668089255172,986989.0
2014-08-29,68.49,68.58,68.0875,68.26,795364.0,0.0,1.0,67.786857292478,67.875933320457,67.38848950068,67.559218554308,795364.0
2014-08-28,68.1,68.305,67.73,68.06,994645.0,0.0,1.0,67.400861171233,67.603756568297,67.034659722872,67.361271825464,994645.0
