Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,134.49,135.0,132.4401,132.8,1919528.0,0.0,1.0,134.49,135.0,132.4401,132.8,1919528.0
2015-04-15,133.14,133.59,129.79,130.22,3103667.0,0.0,1.0,133.14,133.59,129.79,130.22,3103667.0
2015-04-14,132.92,133.25,131.42,132.9,1585812.0,0.0,1.0,132.92,133.25,131.42,132.9,1585812.0
2015-04-13,133.51,134.96,132.72,132.8,1339581.0,0.0,1.0,133.51,134.96,132.72,132.8,1339581.0
2015-04-10,132.45,133.32,131.45,133.31,1667328.0,0.0,1.0,132.45,133.32,131.45,133.31,1667328.0
2015-04-09,131.41,132.56,131.19,132.18,1378281.0,0.0,1.0,131.41,132.56,131.19,132.18,1378281.0
2015-04-08,130.29,131.5499,130.02,131.49,1390972.0,0.0,1.0,130.29,131.5499,130.02,131.49,1390972.0
2015-04-07,132.85,133.46,129.88,129.88,1590664.0,0.0,1.0,132.85,133.46,129.88,129.88,1590664.0
2015-04-06,129.81,132.37,129.62,131.81,1485630.0,0.0,1.0,129.81,132.37,129.62,131.81,1485630.0
2015-04-02,130.49,131.58,129.8,130.47,1461683.0,0.0,1.0,130.49,131.58,129.8,130.47,1461683.0
2015-04-01,129.65,130.38,128.04,130.37,1998621.0,0.0,1.0,129.65,130.38,128.04,130.37,1998621.0
2015-03-31,129.1,130.41,128.78,129.44,1859682.0,0.0,1.0,129.1,130.41,128.78,129.44,1859682.0
2015-03-30,130.87,131.13,129.53,129.96,1433767.0,0.0,1.0,130.87,131.13,129.53,129.96,1433767.0
2015-03-27,126.61,129.24,126.61,128.98,1495058.0,0.0,1.0,126.61,129.24,126.61,128.98,1495058.0
2015-03-26,125.87,127.53,125.06,126.21,1636741.0,0.0,1.0,125.87,127.53,125.06,126.21,1636741.0
2015-03-25,130.03,131.06,126.89,126.91,1582751.0,0.0,1.0,130.03,131.06,126.89,126.91,1582751.0
2015-03-24,128.52,130.02,128.32,129.57,1969256.0,0.0,1.0,128.52,130.02,128.32,129.57,1969256.0
2015-03-23,128.38,129.43,128.21,128.42,1224283.0,0.0,1.0,128.38,129.43,128.21,128.42,1224283.0
2015-03-20,129.22,129.31,127.95,128.38,1940209.0,0.0,1.0,129.22,129.31,127.95,128.38,1940209.0
2015-03-19,127.48,128.86,127.05,128.1,1287340.0,0.0,1.0,127.48,128.86,127.05,128.1,1287340.0
2015-03-18,125.0,128.0,124.6,127.49,1553648.0,0.0,1.0,125.0,128.0,124.6,127.49,1553648.0
2015-03-17,124.62,125.17,123.77,124.85,1261359.0,0.0,1.0,124.62,125.17,123.77,124.85,1261359.0
2015-03-16,123.29,126.2599,123.0101,125.01,1827455.0,0.0,1.0,123.29,126.2599,123.0101,125.01,1827455.0
2015-03-13,122.23,123.2,121.29,122.89,1026279.0,0.0,1.0,122.23,123.2,121.29,122.89,1026279.0
2015-03-12,121.02,122.87,121.015,122.75,1038432.0,0.0,1.0,121.02,122.87,121.015,122.75,1038432.0
2015-03-11,120.7,121.135,119.94,120.45,1293288.0,0.0,1.0,120.7,121.135,119.94,120.45,1293288.0
2015-03-10,120.92,121.03,119.81,119.81,1034223.0,0.0,1.0,120.92,121.03,119.81,119.81,1034223.0
2015-03-09,120.64,122.29,120.34,122.01,1617230.0,0.0,1.0,120.64,122.29,120.34,122.01,1617230.0
2015-03-06,122.02,122.09,119.82,120.57,2516791.0,0.0,1.0,122.02,122.09,119.82,120.57,2516791.0
2015-03-05,121.86,123.0,121.67,122.51,1605335.0,0.0,1.0,121.86,123.0,121.67,122.51,1605335.0
2015-03-04,119.25,122.35,118.7,121.86,2901707.0,0.0,1.0,119.25,122.35,118.7,121.86,2901707.0
2015-03-03,122.21,122.45,120.17,121.11,2265480.0,0.0,1.0,122.21,122.45,120.17,121.11,2265480.0
2015-03-02,121.42,123.0,121.0199,122.48,2077450.0,0.0,1.0,121.42,123.0,121.0199,122.48,2077450.0
2015-02-27,121.58,122.42,121.58,121.63,1557253.0,0.0,1.0,121.58,122.42,121.58,121.63,1557253.0
2015-02-26,120.82,121.89,120.81,121.59,1524048.0,0.0,1.0,120.82,121.89,120.81,121.59,1524048.0
2015-02-25,121.0,121.47,120.31,121.18,1438136.0,0.0,1.0,121.0,121.47,120.31,121.18,1438136.0
