Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,110.47,110.98,109.995,110.36,392459.0,0.0,1.0,110.47,110.98,109.995,110.36,392459.0
2015-04-15,110.94,111.91,110.38,110.48,522207.0,0.0,1.0,110.94,111.91,110.38,110.48,522207.0
2015-04-14,110.64,111.45,110.36,110.99,459526.0,0.0,1.0,110.64,111.45,110.36,110.99,459526.0
2015-04-13,110.24,111.12,110.0,110.75,479062.0,0.0,1.0,110.24,111.12,110.0,110.75,479062.0
2015-04-10,110.89,111.19,110.37,110.67,568279.0,0.0,1.0,110.89,111.19,110.37,110.67,568279.0
2015-04-09,110.61,110.98,109.89,110.89,651301.0,0.0,1.0,110.61,110.98,109.89,110.89,651301.0
2015-04-08,110.7,110.99,109.92,110.5,582440.0,0.0,1.0,110.7,110.99,109.92,110.5,582440.0
2015-04-07,111.05,112.09,110.6,110.63,594651.0,0.0,1.0,111.05,112.09,110.6,110.63,594651.0
2015-04-06,112.4,112.7,110.36,111.37,1117567.0,0.0,1.0,112.4,112.7,110.36,111.37,1117567.0
2015-04-02,109.72,110.77,109.5,110.2,886277.0,0.0,1.0,109.72,110.77,109.5,110.2,886277.0
2015-04-01,109.82,110.15,109.09,109.93,831511.0,0.0,1.0,109.82,110.15,109.09,109.93,831511.0
2015-03-31,110.34,111.47,110.34,110.39,684987.0,0.0,1.0,110.34,111.47,110.34,110.39,684987.0
2015-03-30,110.0,111.37,109.48,110.76,664752.0,0.0,1.0,110.0,111.37,109.48,110.76,664752.0
2015-03-27,109.71,110.13,109.26,110.02,534211.0,0.0,1.0,109.71,110.13,109.26,110.02,534211.0
2015-03-26,109.98,110.06,109.19,109.64,755581.0,0.0,1.0,109.98,110.06,109.19,109.64,755581.0
2015-03-25,111.78,112.0,110.01,110.04,677704.0,0.0,1.0,111.78,112.0,110.01,110.04,677704.0
2015-03-24,111.82,112.6,111.1,111.14,693379.0,0.0,1.0,111.82,112.6,111.1,111.14,693379.0
2015-03-23,111.43,112.65,111.29,111.93,1040602.0,0.0,1.0,111.43,112.65,111.29,111.93,1040602.0
2015-03-20,110.18,112.03,109.94,111.89,2425140.0,0.0,1.0,110.18,112.03,109.94,111.89,2425140.0
2015-03-19,109.58,109.97,109.19,109.59,746958.0,0.0,1.0,109.58,109.97,109.19,109.59,746958.0
2015-03-18,109.22,110.15,107.47,109.84,1021128.0,0.0,1.0,109.22,110.15,107.47,109.84,1021128.0
2015-03-17,109.2,109.36,108.23,109.03,796991.0,0.0,1.0,109.2,109.36,108.23,109.03,796991.0
2015-03-16,109.19,110.15,108.915,109.4,1107668.0,0.0,1.0,109.19,110.15,108.915,109.4,1107668.0
2015-03-13,108.85,109.07,108.04,108.77,744411.0,0.0,1.0,108.85,109.07,108.04,108.77,744411.0
2015-03-12,107.7,109.32,107.47,109.21,732002.0,0.0,1.0,107.7,109.32,107.47,109.21,732002.0
2015-03-11,107.7,108.13,106.53,107.43,961276.0,0.0,1.0,107.7,108.13,106.53,107.43,961276.0
2015-03-10,108.67,109.13,107.79,107.83,676504.0,0.0,1.0,108.67,109.13,107.79,107.83,676504.0
2015-03-09,108.66,109.7,108.39,109.39,685330.0,0.0,1.0,108.66,109.7,108.39,109.39,685330.0
2015-03-06,109.65,109.79,108.43,108.69,849928.0,0.0,1.0,109.65,109.79,108.43,108.69,849928.0
2015-03-05,110.0,110.36,109.45,110.16,753130.0,0.0,1.0,110.0,110.36,109.45,110.16,753130.0
2015-03-04,110.48,110.65,109.08,109.93,952139.0,0.0,1.0,110.48,110.65,109.08,109.93,952139.0
2015-03-03,109.89,110.86,109.4,110.84,1125731.0,0.0,1.0,109.89,110.86,109.4,110.84,1125731.0
2015-03-02,108.63,110.15,108.51,109.92,899095.0,0.0,1.0,108.63,110.15,108.51,109.92,899095.0
2015-02-27,109.23,109.23,108.5,108.64,603534.0,0.0,1.0,109.23,109.23,108.5,108.64,603534.0
2015-02-26,109.03,109.46,108.6,109.1,547640.0,0.0,1.0,109.03,109.46,108.6,109.1,547640.0
2015-02-25,109.37,109.48,108.89,108.99,730094.0,0.0,1.0,109.37,109.48,108.89,108.99,730094.0
2015-02-24,109.4,109.85,108.86,109.37,885495.0,0.0,1.0,109.4,109.85,108.86,109.37,885495.0
2015-02-23,109.1,109.78,108.83,109.73,694647.0,0.0,1.0,109.1,109.78,108.83,109.73,694647.0
2015-02-20,109.14,109.4,108.38,108.94,823197.0,0.0,1.0,109.14,109.4,108.38,108.94,823197.0
2015-02-19,109.5,109.64,108.81,109.28,707670.0,0.0,1.0,109.5,109.64,108.81,109.28,707670.0
2015-02-18,108.66,109.94,108.5168,109.77,719854.0,0.0,1.0,108.66,109.94,108.5168,109.77,719854.0
2015-02-17,109.01,109.37,108.27,108.86,657876.0,0.0,1.0,109.01,109.37,108.27,108.86,657876.0
2015-02-13,108.09,109.08,107.82,109.0,704482.0,0.0,1.0,108.09,109.08,107.82,109.0,704482.0
2015-02-12,107.98,108.3497,107.59,108.26,736665.0,0.0,1.0,107.98,108.3497,107.59,108.26,736665.0
2015-02-11,108.18,108.49,107.31,107.94,551830.0,0.0,1.0,108.18,108.49,107.31,107.94,551830.0
2015-02-10,107.07,108.36,106.72,108.1,957238.0,0.0,1.0,107.07,108.36,106.72,108.1,957238.0
2015-02-09,106.75,107.19,106.37,106.91,1096644.0,0.0,1.0,106.75,107.19,106.37,106.91,1096644.0
2015-02-06,107.54,108.2,106.294,106.93,1241519.0,0.0,1.0,107.54,108.2,106.294,106.93,1241519.0
2015-02-05,109.43,110.11,107.57,108.05,1826157.0,0.0,1.0,109.43,110.11,107.57,108.05,1826157.0
2015-02-04,111.67,112.44,108.0,109.61,2328604.0,0.0,1.0,111.67,112.44,108.0,109.61,2328604.0
2015-02-03,107.49,108.43,106.91,107.69,1917474.0,0.0,1.0,107.49,108.43,106.91,107.69,1917474.0
2015-02-02,106.7,107.88,106.0,107.83,889600.0,0.0,1.0,106.7,107.88,106.0,107.83,889600.0
2015-01-30,107.79,108.63,106.6,106.71,1668696.0,0.0,1.0,107.79,108.63,106.6,106.71,1668696.0
2015-01-29,107.69,108.84,107.23,108.65,1307273.0,0.0,1.0,107.69,108.84,107.23,108.65,1307273.0
2015-01-28,108.4,108.81,106.92,107.1,1137598.0,0.0,1.0,108.4,108.81,106.92,107.1,1137598.0
2015-01-26,107.78,108.29,107.345,108.15,1273618.0,0.0,1.0,107.78,108.29,107.345,108.15,1273618.0
2015-01-23,109.87,109.96,107.92,108.4,1646139.0,0.0,1.0,109.87,109.96,107.92,108.4,1646139.0
2015-01-22,109.13,110.16,108.51,110.11,1194985.0,0.0,1.0,109.13,110.16,108.51,110.11,1194985.0
2015-01-21,108.45,109.6,107.91,108.82,1373832.0,0.0,1.0,108.45,109.6,107.91,108.82,1373832.0
2015-01-20,109.515,109.94,107.73,108.6,1438434.0,0.0,1.0,109.515,109.94,107.73,108.6,1438434.0
2015-01-15,107.79,108.97,107.08,107.39,1172345.0,0.0,1.0,107.79,108.97,107.08,107.39,1172345.0
2015-01-14,106.13,107.02,105.46,106.95,707950.0,0.0,1.0,106.13,107.02,105.46,106.95,707950.0
2015-01-13,107.22,107.886,106.1,106.78,816001.0,0.0,1.0,107.22,107.886,106.1,106.78,816001.0
2015-01-12,107.0,107.1,105.865,106.36,914419.0,0.0,1.0,107.0,107.1,105.865,106.36,914419.0
2015-01-08,106.21,107.45,106.17,107.31,1646910.0,0.0,1.0,106.21,107.45,106.17,107.31,1646910.0
2015-01-06,104.43,105.5,103.825,104.33,1524125.0,0.0,1.0,104.43,105.5,103.825,104.33,1524125.0
2015-01-05,103.86,104.9,103.2,103.89,1307205.0,0.0,1.0,103.86,104.9,103.2,103.89,1307205.0
2015-01-02,103.95,104.223,102.95,103.87,859319.0,0.0,1.0,103.95,104.223,102.95,103.87,859319.0
2014-12-31,105.7,106.06,104.14,104.21,598395.0,0.0,1.0,105.7,106.06,104.14,104.21,598395.0
2014-12-30,105.19,105.91,105.19,105.58,500108.0,0.0,1.0,105.19,105.91,105.19,105.58,500108.0
2014-12-26,105.55,105.98,105.23,105.65,265902.0,0.0,1.0,105.55,105.98,105.23,105.65,265902.0
2014-12-24,106.3,106.36,105.43,105.46,365254.0,0.0,1.0,106.3,106.36,105.43,105.46,365254.0
2014-12-23,104.7,106.23,104.14,106.08,798307.0,0.0,1.0,104.7,106.23,104.14,106.08,798307.0
2014-12-22,104.29,104.72,103.7,104.28,917189.0,0.0,1.0,104.29,104.72,103.7,104.28,917189.0
2014-12-19,103.85,104.6,103.65,104.41,1354138.0,0.0,1.0,103.85,104.6,103.65,104.41,1354138.0
2014-12-18,102.93,103.83,102.12,103.82,1033770.0,0.0,1.0,102.93,103.83,102.12,103.82,1033770.0
2014-12-17,100.55,102.11,100.115,102.0,1161397.0,0.0,1.0,100.55,102.11,100.115,102.0,1161397.0
2014-12-16,99.6,101.04,98.8,100.12,1187145.0,0.0,1.0,99.6,101.04,98.8,100.12,1187145.0
2014-12-15,99.76,100.31,99.1,99.62,700964.0,0.0,1.0,99.76,100.31,99.1,99.62,700964.0
2014-12-12,100.4,101.31,99.43,99.47,1110617.0,0.0,1.0,100.4,101.31,99.43,99.47,1110617.0
2014-12-10,99.41,100.19,99.03,99.49,1090945.0,0.0,1.0,99.41,100.19,99.03,99.49,1090945.0
2014-12-09,99.01,99.58,98.71,99.12,981596.0,0.0,1.0,99.01,99.58,98.71,99.12,981596.0
2014-12-05,99.62,99.72,98.3,98.86,1629290.0,0.0,1.0,99.62,99.72,98.3,98.86,1629290.0
2014-12-04,99.3,99.91,98.29,99.61,2177255.0,0.0,1.0,99.3,99.91,98.29,99.61,2177255.0
2014-12-02,101.29,101.42,100.31,100.53,1456918.0,0.0,1.0,101.29,101.42,100.31,100.53,1456918.0
2014-12-01,101.17,102.2,100.28,101.3,1099212.0,0.0,1.0,101.17,102.2,100.28,101.3,1099212.0
2014-11-28,100.45,102.29,100.4,101.62,651571.0,0.0,1.0,100.45,102.29,100.4,101.62,651571.0
2014-11-26,99.56,99.95,99.3001,99.9,782005.0,0.0,1.0,99.56,99.95,99.3001,99.9,782005.0
2014-11-25,99.34,99.92,99.13,99.78,1581693.0,0.0,1.0,99.34,99.92,99.13,99.78,1581693.0
2014-11-24,99.99,100.01,99.16,99.34,1234119.0,0.0,1.0,99.99,100.01,99.16,99.34,1234119.0
2014-11-21,100.71,100.85,99.5,99.71,1302487.0,0.0,1.0,100.71,100.85,99.5,99.71,1302487.0
2014-11-20,100.56,100.96,100.15,100.24,797398.0,0.0,1.0,100.56,100.96,100.15,100.24,797398.0
2014-11-19,100.71,101.0,100.2,100.8,940142.0,0.0,1.0,100.71,101.0,100.2,100.8,940142.0
2014-11-18,101.05,101.22,100.13,100.77,931408.0,0.0,1.0,101.05,101.22,100.13,100.77,931408.0
2014-11-17,100.06,101.125,99.83,101.02,1000434.0,0.0,1.0,100.06,101.125,99.83,101.02,1000434.0
2014-11-14,101.63,101.76,99.725,100.12,1291822.0,0.0,1.0,101.63,101.76,99.725,100.12,1291822.0
2014-11-13,101.9,102.24,101.59,101.91,938234.0,0.0,1.0,101.9,102.24,101.59,101.91,938234.0
2014-11-12,101.43,101.64,101.11,101.52,812362.0,0.0,1.0,101.43,101.64,101.11,101.52,812362.0
2014-11-11,101.42,101.98,100.9,101.35,968044.0,0.0,1.0,101.42,101.98,100.9,101.35,968044.0
2014-11-10,101.0,101.69,100.58,101.67,904972.0,0.0,1.0,101.0,101.69,100.58,101.67,904972.0
2014-11-07,100.18,101.0,99.91,100.79,825942.0,0.0,1.0,100.18,101.0,99.91,100.79,825942.0
2014-11-06,100.9,101.21,100.13,100.36,1180127.0,0.0,1.0,100.9,101.21,100.13,100.36,1180127.0
2014-11-04,99.68,102.18,99.59,100.93,1241817.0,0.0,1.0,99.68,102.18,99.59,100.93,1241817.0
2014-11-03,99.98,100.47,98.86,99.83,1202969.0,0.0,1.0,99.98,100.47,98.86,99.83,1202969.0
2014-10-31,99.99,100.0,98.4,99.5,1089539.0,0.0,1.0,99.99,100.0,98.4,99.5,1089539.0
2014-10-30,97.68,98.63,97.34,98.6,897318.0,0.0,1.0,97.68,98.63,97.34,98.6,897318.0
2014-10-29,97.93,98.23,97.01,97.73,1362056.0,0.0,1.0,97.93,98.23,97.01,97.73,1362056.0
2014-10-28,98.74,98.9,97.51,97.8,1226313.0,0.0,1.0,98.74,98.9,97.51,97.8,1226313.0
2014-10-27,99.01,99.5,98.325,98.37,829169.0,0.74,1.0,99.01,99.5,98.325,98.37,829169.0
