Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,46.1,46.49,45.56,46.2,1592071.0,0.0,1.0,46.1,46.49,45.56,46.2,1592071.0
2015-04-15,45.47,46.55,45.41,46.2,1197736.0,0.0,1.0,45.47,46.55,45.41,46.2,1197736.0
2015-04-14,45.62,45.86,45.125,45.5,1004801.0,0.0,1.0,45.62,45.86,45.125,45.5,1004801.0
2015-04-13,45.46,46.0,45.46,45.98,926048.0,0.0,1.0,45.46,46.0,45.46,45.98,926048.0
2015-04-10,45.98,46.01,45.55,45.6,772839.0,0.0,1.0,45.98,46.01,45.55,45.6,772839.0
2015-04-09,45.61,46.055,45.4,46.02,951944.0,0.0,1.0,45.61,46.055,45.4,46.02,951944.0
2015-04-08,45.79,46.28,45.48,45.66,1200794.0,0.0,1.0,45.79,46.28,45.48,45.66,1200794.0
2015-04-07,45.66,46.13,45.46,45.8,1308392.0,0.0,1.0,45.66,46.13,45.46,45.8,1308392.0
2015-04-06,45.01,45.73,44.38,45.55,1445348.0,0.0,1.0,45.01,45.73,44.38,45.55,1445348.0
2015-04-02,45.05,45.69,44.72,45.63,1025727.0,0.0,1.0,45.05,45.69,44.72,45.63,1025727.0
2015-04-01,45.08,45.21,44.51,45.11,1245047.0,0.0,1.0,45.08,45.21,44.51,45.11,1245047.0
2015-03-31,45.16,45.35,44.9,45.13,1668459.0,0.0,1.0,45.16,45.35,44.9,45.13,1668459.0
2015-03-30,45.02,45.86,45.01,45.41,1342053.0,0.0,1.0,45.02,45.86,45.01,45.41,1342053.0
2015-03-27,44.95,45.045,44.4,44.73,971073.0,0.0,1.0,44.95,45.045,44.4,44.73,971073.0
2015-03-26,44.8,45.2,44.36,45.05,1181951.0,0.0,1.0,44.8,45.2,44.36,45.05,1181951.0
2015-03-25,45.8,45.93,44.77,44.81,1177347.0,0.0,1.0,45.8,45.93,44.77,44.81,1177347.0
2015-03-24,46.19,46.25,45.8,45.81,929386.0,0.0,1.0,46.19,46.25,45.8,45.81,929386.0
2015-03-23,46.56,46.83,46.17,46.29,1077239.0,0.0,1.0,46.56,46.83,46.17,46.29,1077239.0
2015-03-20,45.91,46.69,45.8,46.63,1801098.0,0.0,1.0,45.91,46.69,45.8,46.63,1801098.0
2015-03-19,46.13,46.31,45.2,45.55,1758854.0,0.0,1.0,46.13,46.31,45.2,45.55,1758854.0
2015-03-18,46.57,47.16,45.94,46.41,2158055.0,0.0,1.0,46.57,47.16,45.94,46.41,2158055.0
2015-03-17,45.93,46.84,45.76,46.83,2299286.0,0.0,1.0,45.93,46.84,45.76,46.83,2299286.0
2015-03-16,46.45,46.46,45.72,46.11,1324265.0,0.0,1.0,46.45,46.46,45.72,46.11,1324265.0
2015-03-13,46.77,46.77,45.64,45.99,1467180.0,0.0,1.0,46.77,46.77,45.64,45.99,1467180.0
2015-03-12,46.18,47.08,46.18,46.88,2124207.0,0.0,1.0,46.18,47.08,46.18,46.88,2124207.0
2015-03-11,45.51,45.7,45.37,45.63,845497.0,0.0,1.0,45.51,45.7,45.37,45.63,845497.0
2015-03-10,46.32,46.35,45.54,45.54,1056038.0,0.0,1.0,46.32,46.35,45.54,45.54,1056038.0
2015-03-09,46.96,47.19,46.76,46.98,1137857.0,0.0,1.0,46.96,47.19,46.76,46.98,1137857.0
2015-03-06,46.11,47.94,45.99,47.1,2359772.0,0.0,1.0,46.11,47.94,45.99,47.1,2359772.0
2015-03-05,45.65,46.04,45.32,45.98,1076281.0,0.0,1.0,45.65,46.04,45.32,45.98,1076281.0
2015-03-04,45.42,45.815,45.22,45.68,2100638.0,0.0,1.0,45.42,45.815,45.22,45.68,2100638.0
2015-03-03,45.81,46.27,45.51,45.7,1248248.0,0.0,1.0,45.81,46.27,45.51,45.7,1248248.0
2015-03-02,45.9,46.22,45.55,46.14,1039883.0,0.0,1.0,45.9,46.22,45.55,46.14,1039883.0
2015-02-27,45.84,46.08,45.64,45.78,1069485.0,0.0,1.0,45.84,46.08,45.64,45.78,1069485.0
2015-02-26,45.99,46.18,45.63,45.96,785638.0,0.0,1.0,45.99,46.18,45.63,45.96,785638.0
2015-02-25,46.04,46.26,45.81,46.07,909158.0,0.0,1.0,46.04,46.26,45.81,46.07,909158.0
2015-02-24,45.68,46.11,45.51,45.99,1232806.0,0.0,1.0,45.68,46.11,45.51,45.99,1232806.0
2015-02-23,45.59,45.745,45.37,45.65,1379680.0,0.0,1.0,45.59,45.745,45.37,45.65,1379680.0
2015-02-20,45.07,45.86,44.7,45.83,1544084.0,0.0,1.0,45.07,45.86,44.7,45.83,1544084.0
2015-02-19,45.23,45.56,44.47,45.44,1931313.0,0.0,1.0,45.23,45.56,44.47,45.44,1931313.0
2015-02-18,46.39,46.56,45.42,45.57,2099466.0,0.0,1.0,46.39,46.56,45.42,45.57,2099466.0
2015-02-17,46.37,46.63,45.91,46.63,2080185.0,0.0,1.0,46.37,46.63,45.91,46.63,2080185.0
2015-02-13,46.51,47.0,46.23,46.42,1698526.0,0.0,1.0,46.51,47.0,46.23,46.42,1698526.0
2015-02-12,45.51,46.6,45.45,46.52,1760202.0,0.0,1.0,45.51,46.6,45.45,46.52,1760202.0
2015-02-11,45.07,45.39,44.79,45.25,1411019.0,0.0,1.0,45.07,45.39,44.79,45.25,1411019.0
2015-02-10,45.47,45.62,44.82,45.41,1222490.0,0.0,1.0,45.47,45.62,44.82,45.41,1222490.0
2015-02-09,45.63,45.73,44.97,45.15,2185153.0,0.0,1.0,45.63,45.73,44.97,45.15,2185153.0
2015-02-06,45.02,46.555,45.02,46.14,2626649.0,0.0,1.0,45.02,46.555,45.02,46.14,2626649.0
2015-02-05,43.98,44.82,43.94,44.73,2278098.0,0.0,1.0,43.98,44.82,43.94,44.73,2278098.0
