Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,34.67,34.76,34.125,34.52,2823179.0,0.0,1.0,34.67,34.76,34.125,34.52,2823179.0
2015-04-15,34.88,35.23,34.76,34.78,1785306.0,0.0,1.0,34.88,35.23,34.76,34.78,1785306.0
2015-04-14,34.67,34.95,34.62,34.79,1509083.0,0.0,1.0,34.67,34.95,34.62,34.79,1509083.0
2015-04-13,34.77,34.98,34.63,34.64,1522286.0,0.0,1.0,34.77,34.98,34.63,34.64,1522286.0
2015-04-10,34.57,34.94,34.505,34.84,1866509.0,0.0,1.0,34.57,34.94,34.505,34.84,1866509.0
2015-04-09,34.79,34.84,34.28,34.45,2642404.0,0.0,1.0,34.79,34.84,34.28,34.45,2642404.0
2015-04-08,34.92,34.9662,34.65,34.86,2112249.0,0.0,1.0,34.92,34.9662,34.65,34.86,2112249.0
2015-04-07,35.55,35.55,34.89,34.89,2751642.0,0.0,1.0,35.55,35.55,34.89,34.89,2751642.0
2015-04-06,35.37,35.83,35.32,35.57,1558706.0,0.0,1.0,35.37,35.83,35.32,35.57,1558706.0
2015-04-02,35.21,35.37,35.09,35.29,2368857.0,0.0,1.0,35.21,35.37,35.09,35.29,2368857.0
2015-04-01,34.86,35.25,34.31,35.2,3386388.0,0.0,1.0,34.86,35.25,34.31,35.2,3386388.0
2015-03-31,34.6,34.93,34.41,34.91,3518145.0,0.0,1.0,34.6,34.93,34.41,34.91,3518145.0
2015-03-30,34.4,34.74,34.23,34.64,4166735.0,0.0,1.0,34.4,34.74,34.23,34.64,4166735.0
2015-03-27,34.15,34.46,33.93,34.28,2615649.0,0.0,1.0,34.15,34.46,33.93,34.28,2615649.0
2015-03-26,34.37,34.65,34.0,34.11,3652794.0,0.0,1.0,34.37,34.65,34.0,34.11,3652794.0
