Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,21.12,21.13,20.63,20.86,5204635.0,0.0,1.0,21.12,21.13,20.63,20.86,5204635.0
2015-04-15,20.82,21.475,20.67,21.31,6226355.0,0.0,1.0,20.82,21.475,20.67,21.31,6226355.0
2015-04-14,20.56,20.75,20.56,20.72,1936289.0,0.0,1.0,20.56,20.75,20.56,20.72,1936289.0
2015-04-13,20.72,20.74,20.54,20.56,2313457.0,0.0,1.0,20.72,20.74,20.54,20.56,2313457.0
2015-04-10,20.54,20.875,20.54,20.76,1962906.0,0.0,1.0,20.54,20.875,20.54,20.76,1962906.0
2015-04-09,20.66,20.7,20.46,20.52,3707544.0,0.0,1.0,20.66,20.7,20.46,20.52,3707544.0
2015-04-08,20.87,20.93,20.63,20.69,4116206.0,0.0,1.0,20.87,20.93,20.63,20.69,4116206.0
2015-04-07,20.98,21.07,20.81,20.87,2731786.0,0.0,1.0,20.98,21.07,20.81,20.87,2731786.0
2015-04-06,20.75,21.1,20.72,21.06,2772909.0,0.0,1.0,20.75,21.1,20.72,21.06,2772909.0
2015-04-02,20.77,20.845,20.56,20.72,2998527.0,0.0,1.0,20.77,20.845,20.56,20.72,2998527.0
2015-04-01,20.4,20.83,20.28,20.78,3397975.0,0.0,1.0,20.4,20.83,20.28,20.78,3397975.0
2015-03-31,20.6,20.74,20.25,20.41,5369097.0,0.0,1.0,20.6,20.74,20.25,20.41,5369097.0
2015-03-30,20.68,20.87,20.57,20.63,3090380.0,0.0,1.0,20.68,20.87,20.57,20.63,3090380.0
2015-03-27,20.42,20.66,20.325,20.62,3068576.0,0.0,1.0,20.42,20.66,20.325,20.62,3068576.0
2015-03-26,20.59,20.73,20.42,20.42,3288338.0,0.0,1.0,20.59,20.73,20.42,20.42,3288338.0
2015-03-25,20.85,20.93,20.57,20.58,2678482.0,0.0,1.0,20.85,20.93,20.57,20.58,2678482.0
2015-03-24,20.88,21.12,20.76,20.79,2905569.0,0.0,1.0,20.88,21.12,20.76,20.79,2905569.0
2015-03-23,21.19,21.29,20.9,20.91,3637685.0,0.0,1.0,21.19,21.29,20.9,20.91,3637685.0
2015-03-20,20.97,21.26,20.92,21.17,5781384.0,0.0,1.0,20.97,21.26,20.92,21.17,5781384.0
2015-03-19,21.2,21.26,20.83,20.84,4588256.0,0.0,1.0,21.2,21.26,20.83,20.84,4588256.0
2015-03-18,20.71,21.47,20.64,21.35,2922014.0,0.0,1.0,20.71,21.47,20.64,21.35,2922014.0
2015-03-17,20.67,20.79,20.52,20.7,3455349.0,0.0,1.0,20.67,20.79,20.52,20.7,3455349.0
2015-03-16,20.63,20.95,20.58,20.7,4156052.0,0.0,1.0,20.63,20.95,20.58,20.7,4156052.0
2015-03-13,20.71,20.75,20.23,20.54,3902457.0,0.0,1.0,20.71,20.75,20.23,20.54,3902457.0
2015-03-12,20.56,20.82,20.49,20.74,3543377.0,0.0,1.0,20.56,20.82,20.49,20.74,3543377.0
2015-03-11,20.62,20.7,20.395,20.46,3561995.0,0.0,1.0,20.62,20.7,20.395,20.46,3561995.0
2015-03-10,20.71,20.83,20.63,20.64,5046117.0,0.0,1.0,20.71,20.83,20.63,20.64,5046117.0
2015-03-09,20.65,20.88,20.61,20.73,4399730.0,0.0,1.0,20.65,20.88,20.61,20.73,4399730.0
2015-03-06,20.64,20.875,20.5,20.65,5344789.0,0.0,1.0,20.64,20.875,20.5,20.65,5344789.0
2015-03-05,20.94,21.12,20.84,20.96,4178090.0,0.0,1.0,20.94,21.12,20.84,20.96,4178090.0
2015-03-04,20.7,20.875,20.68,20.74,3900634.0,0.0,1.0,20.7,20.875,20.68,20.74,3900634.0
2015-03-03,20.68,20.91,20.54,20.78,4014349.0,0.0,1.0,20.68,20.91,20.54,20.78,4014349.0
2015-03-02,20.81,20.8729,20.53,20.69,5385599.0,0.0,1.0,20.81,20.8729,20.53,20.69,5385599.0
2015-02-27,21.0,21.04,20.63,20.79,6445055.0,0.0,1.0,21.0,21.04,20.63,20.79,6445055.0
2015-02-26,21.59,21.69,20.83,21.02,6704322.0,0.0,1.0,21.59,21.69,20.83,21.02,6704322.0
2015-02-25,21.98,21.99,21.51,21.57,4439022.0,0.0,1.0,21.98,21.99,21.51,21.57,4439022.0
2015-02-24,21.71,22.14,21.6,22.04,3994233.0,0.0,1.0,21.71,22.14,21.6,22.04,3994233.0
2015-02-23,21.74,21.81,21.48,21.68,2247345.0,0.0,1.0,21.74,21.81,21.48,21.68,2247345.0
2015-02-20,21.68,21.74,21.45,21.73,2834331.0,0.0,1.0,21.68,21.74,21.45,21.73,2834331.0
2015-02-19,21.81,21.96,21.5,21.61,3708191.0,0.0,1.0,21.81,21.96,21.5,21.61,3708191.0
2015-02-18,21.61,21.97,21.54,21.94,4457592.0,0.0,1.0,21.61,21.97,21.54,21.94,4457592.0
2015-02-17,21.67,21.79,21.505,21.6,5662287.0,0.0,1.0,21.67,21.79,21.505,21.6,5662287.0
2015-02-13,22.19,22.15,21.69,21.76,6205269.0,0.0,1.0,22.19,22.15,21.69,21.76,6205269.0
2015-02-12,21.79,22.12,21.6689,22.11,4691756.0,0.0,1.0,21.79,22.12,21.6689,22.11,4691756.0
2015-02-11,22.35,22.35,21.605,21.65,4696800.0,0.248,1.0,22.35,22.35,21.605,21.65,4696800.0
2015-02-10,22.2,22.72,22.11,22.67,3666775.0,0.0,1.0,21.948579778975,22.462690656681,21.859599050142,22.41325691844,3666775.0
2015-02-09,22.2,22.555,22.115,22.19,4016070.0,0.0,1.0,21.948579778975,22.299559320486,21.864542423966,21.938693031327,4016070.0
2015-02-06,23.13,23.15,22.11,22.22,4395724.0,0.0,1.0,22.868047310257,22.887820805553,21.859599050142,21.968353274272,4395724.0
2015-02-05,22.99,23.28,22.83,23.19,3555321.0,0.0,1.0,22.729632843182,23.016348524979,22.571444880811,22.927367796146,3555321.0
2015-02-04,22.73,22.92,22.52,22.8,4895030.0,0.0,1.0,22.472577404329,22.660425609645,22.264955703717,22.541784637866,4895030.0
2015-02-03,22.53,22.92,22.51,22.84,5475795.0,0.0,1.0,22.274842451365,22.660425609645,22.255068956069,22.581331628459,5475795.0
2015-02-02,23.13,23.3,22.685,22.9,4285780.0,0.0,1.0,22.868047310257,23.036122020276,22.428087039912,22.640652114348,4285780.0
2015-01-30,23.19,23.44,23.06,23.09,4884997.0,0.0,1.0,22.927367796146,23.17453648735,22.798840076719,22.828500319664,4884997.0
2015-01-29,22.81,23.46,22.7,23.37,4101155.0,0.0,1.0,22.551671385515,23.194309982647,22.442917161385,23.105329253813,4101155.0
2015-01-28,23.14,23.235,22.655,22.76,4314275.0,0.0,1.0,22.877934057905,22.971858160563,22.398426796968,22.502237647274,4314275.0
2015-01-26,22.77,23.01,22.4,23.0,2689752.0,0.0,1.0,22.512124394922,22.749406338478,22.146314731939,22.73951959083,2689752.0
2015-01-23,22.95,23.13,22.87,22.97,2328628.0,0.0,1.0,22.690085852589,22.868047310257,22.610991871404,22.709859347886,2328628.0
2015-01-22,23.23,23.33,22.74,22.89,3461976.0,0.0,1.0,22.966914786739,23.06578226322,22.482464151977,22.6307653667,3461976.0
2015-01-21,22.89,23.18,22.76,23.15,3244434.0,0.0,1.0,22.6307653667,22.917481048498,22.502237647274,22.887820805553,3244434.0
2015-01-20,23.08,23.12,22.62,22.89,3192750.0,0.0,1.0,22.818613572016,22.858160562608,22.363823180199,22.6307653667,3192750.0
2015-01-15,22.68,22.76,22.5,22.66,3747176.0,0.0,1.0,22.423143666088,22.502237647274,22.245182208421,22.403370170792,3747176.0
2015-01-14,22.39,22.645,22.21,22.62,4422562.0,0.0,1.0,22.136427984291,22.38854004932,21.958466526623,22.363823180199,4422562.0
2015-01-13,22.95,23.15,22.49,22.64,3035678.0,0.0,1.0,22.690085852589,22.887820805553,22.235295460773,22.383596675495,3035678.0
2015-01-12,22.72,22.82,22.37,22.76,2465918.0,0.0,1.0,22.462690656681,22.561558133163,22.116654488994,22.502237647274,2465918.0
2015-01-08,22.84,23.24,22.71,23.2,3425958.0,0.0,1.0,22.581331628459,22.976801534387,22.452803909033,22.937254543794,3425958.0
2015-01-06,22.91,23.02,22.21,22.37,4764637.0,0.0,1.0,22.650538861997,22.759293086127,21.958466526623,22.116654488994,4764637.0
2015-01-05,23.35,23.44,22.7,22.88,4121743.0,0.0,1.0,23.085555758517,23.17453648735,22.442917161385,22.620878619052,4121743.0
2015-01-02,23.47,23.66,23.3,23.63,2277896.0,0.0,1.0,23.204196730295,23.392044935611,23.036122020276,23.362384692666,2277896.0
2014-12-31,23.88,23.9,23.385,23.43,2303638.0,0.0,1.0,23.609553383871,23.629326879167,23.120159375285,23.164649739702,2303638.0
2014-12-30,24.31,24.375,23.795,23.82,2260577.0,0.0,1.0,24.034683532743,24.098947392456,23.525516028861,23.550232897982,2260577.0
2014-12-26,23.82,24.11,23.8,23.93,2806936.0,0.0,1.0,23.550232897982,23.836948579779,23.530459402685,23.658987122112,2806936.0
2014-12-24,23.465,23.8,23.43,23.76,1894171.0,0.0,1.0,23.199253356471,23.530459402685,23.164649739702,23.490912412092,1894171.0
2014-12-23,23.43,23.55,23.285,23.45,2711080.0,0.0,1.0,23.164649739702,23.283290711481,23.021291898804,23.184423234999,2711080.0
2014-12-22,23.12,23.29,22.88,23.27,3526741.0,0.0,1.0,22.858160562608,23.026235272628,22.620878619052,23.006461777331,3526741.0
2014-12-19,23.07,23.23,22.9101,23.1,6549293.0,0.0,1.0,22.808726824368,22.966914786739,22.650637729473,22.838387067312,6549293.0
2014-12-18,22.65,23.0,22.49,23.0,4684935.0,0.0,1.0,22.393483423144,22.73951959083,22.235295460773,22.73951959083,4684935.0
2014-12-17,21.86,22.53,21.7,22.49,5405364.0,0.0,1.0,21.612430358937,22.274842451365,21.454242396566,22.235295460773,5405364.0
2014-12-16,21.57,22.245,21.405,21.71,5647834.0,0.0,1.0,21.325714677139,21.993070143392,21.162583340944,21.464129144214,5647834.0
2014-12-15,22.11,22.12,21.48,21.54,5484432.0,0.0,1.0,21.859599050142,21.86948579779,21.236733948306,21.296054434195,5484432.0
2014-12-12,22.53,22.59,22.0,22.0,5679752.0,0.0,1.0,22.274842451365,22.334162937255,21.750844826012,21.750844826012,5679752.0
2014-12-10,23.49,23.48,22.515,22.65,6848312.0,0.0,1.0,23.223970225591,23.214083477943,22.260012329893,22.393483423144,6848312.0
2014-12-09,23.24,23.6,23.19,23.45,3911752.0,0.0,1.0,22.976801534387,23.332724449721,22.927367796146,23.184423234999,3911752.0
2014-12-05,23.78,23.93,23.48,23.55,3944514.0,0.0,1.0,23.510685907389,23.658987122112,23.214083477943,23.283290711481,3944514.0
2014-12-04,24.05,24.17,23.87,23.92,4792772.0,0.0,1.0,23.77762809389,23.896269065668,23.599666636222,23.649100374463,4792772.0
2014-12-02,23.48,23.9,23.41,23.77,5478246.0,0.0,1.0,23.214083477943,23.629326879167,23.144876244406,23.500799159741,5478246.0
2014-12-01,23.86,23.88,23.4,23.5,5459232.0,0.0,1.0,23.589779888574,23.609553383871,23.134989496758,23.23385697324,5459232.0
2014-11-28,24.27,24.37,23.845,23.94,3599949.0,0.0,1.0,23.99513654215,24.094004018632,23.574949767102,23.66887386976,3599949.0
2014-11-26,24.32,24.425,24.22,24.27,1886851.0,0.0,1.0,24.044570280391,24.148381130697,23.945702803909,23.99513654215,1886851.0
