Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,30.61,31.62,30.37,31.14,4492314.0,0.0,1.0,30.61,31.62,30.37,31.14,4492314.0
2015-04-15,28.71,30.93,28.65,30.78,5689743.0,0.0,1.0,28.71,30.93,28.65,30.78,5689743.0
2015-04-14,28.53,28.76,28.28,28.4,4286594.0,0.0,1.0,28.53,28.76,28.28,28.4,4286594.0
2015-04-13,28.86,29.04,28.01,28.56,2259700.0,0.0,1.0,28.86,29.04,28.01,28.56,2259700.0
2015-04-10,28.49,28.82,27.98,28.71,2595852.0,0.0,1.0,28.49,28.82,27.98,28.71,2595852.0
2015-04-09,29.12,29.4,27.81,28.48,4480258.0,0.0,1.0,29.12,29.4,27.81,28.48,4480258.0
2015-04-08,29.59,29.605,28.685,29.07,1980255.0,0.0,1.0,29.59,29.605,28.685,29.07,1980255.0
2015-04-07,28.88,29.79,28.76,29.42,2529026.0,0.0,1.0,28.88,29.79,28.76,29.42,2529026.0
2015-04-06,28.94,28.965,28.27,28.68,3546393.0,0.0,1.0,28.94,28.965,28.27,28.68,3546393.0
2015-04-02,27.59,29.29,27.59,29.09,3037611.0,0.0,1.0,27.59,29.29,27.59,29.09,3037611.0
2015-04-01,27.83,28.5,27.55,27.73,2332779.0,0.0,1.0,27.83,28.5,27.55,27.73,2332779.0
2015-03-31,27.58,28.0,27.51,27.89,2141399.0,0.0,1.0,27.58,28.0,27.51,27.89,2141399.0
2015-03-30,26.88,28.17,26.88,27.93,3077122.0,0.0,1.0,26.88,28.17,26.88,27.93,3077122.0
2015-03-27,27.05,27.15,26.58,26.76,3113897.0,0.0,1.0,27.05,27.15,26.58,26.76,3113897.0
2015-03-26,29.23,29.4,27.4,27.41,3269238.0,0.0,1.0,29.23,29.4,27.4,27.41,3269238.0
2015-03-25,28.58,29.2,28.46,29.02,3463262.0,0.0,1.0,28.58,29.2,28.46,29.02,3463262.0
2015-03-24,28.58,28.81,28.01,28.3,2071901.0,0.0,1.0,28.58,28.81,28.01,28.3,2071901.0
2015-03-23,28.3,28.79,28.23,28.62,1978148.0,0.0,1.0,28.3,28.79,28.23,28.62,1978148.0
2015-03-20,28.17,28.26,27.82,28.19,4539349.0,0.0,1.0,28.17,28.26,27.82,28.19,4539349.0
2015-03-19,27.03,27.98,26.99,27.9,4681903.0,0.0,1.0,27.03,27.98,26.99,27.9,4681903.0
2015-03-18,27.61,27.7,26.5,27.51,3926044.0,0.0,1.0,27.61,27.7,26.5,27.51,3926044.0
2015-03-17,26.92,27.18,26.68,27.0,3738417.0,0.0,1.0,26.92,27.18,26.68,27.0,3738417.0
2015-03-16,26.46,27.065,26.11,27.02,3616713.0,0.0,1.0,26.46,27.065,26.11,27.02,3616713.0
2015-03-13,27.29,27.39,26.1999,26.56,5246860.0,0.0,1.0,27.29,27.39,26.1999,26.56,5246860.0
2015-03-12,27.03,28.1,26.7,27.61,11433003.0,0.0,1.0,27.03,28.1,26.7,27.61,11433003.0
2015-03-11,28.0,28.7,27.66,28.7,3185539.0,0.0,1.0,28.0,28.7,27.66,28.7,3185539.0
2015-03-10,28.14,28.55,27.965,28.0,3969729.0,0.0,1.0,28.14,28.55,27.965,28.0,3969729.0
2015-03-09,29.39,29.51,28.13,28.55,5715620.0,0.0,1.0,29.39,29.51,28.13,28.55,5715620.0
2015-03-06,30.18,30.62,29.28,29.46,3632266.0,0.0,1.0,30.18,30.62,29.28,29.46,3632266.0
2015-03-05,30.29,30.41,29.55,30.37,3301707.0,0.0,1.0,30.29,30.41,29.55,30.37,3301707.0
2015-03-04,31.52,31.53,29.95,30.29,4546232.0,0.0,1.0,31.52,31.53,29.95,30.29,4546232.0
2015-03-03,31.57,31.83,31.22,31.78,3076064.0,0.0,1.0,31.57,31.83,31.22,31.78,3076064.0
2015-03-02,32.08,32.205,31.33,31.48,5658434.0,0.0,1.0,32.08,32.205,31.33,31.48,5658434.0
2015-02-27,32.52,32.6,31.99,32.2,2495863.0,0.0,1.0,32.52,32.6,31.99,32.2,2495863.0
2015-02-26,34.17,34.31,32.16,32.3,2491317.0,0.0,1.0,34.17,34.31,32.16,32.3,2491317.0
2015-02-25,34.33,34.56,33.95,34.32,1492705.0,0.0,1.0,34.33,34.56,33.95,34.32,1492705.0
2015-02-24,33.59,34.53,33.45,34.34,1937632.0,0.0,1.0,33.59,34.53,33.45,34.34,1937632.0
2015-02-23,33.41,33.84,33.085,33.34,2299710.0,0.0,1.0,33.41,33.84,33.085,33.34,2299710.0
