Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,82.62,83.21,82.52,83.01,2367056.0,0.0,1.0,82.62,83.21,82.52,83.01,2367056.0
2015-04-15,81.55,82.96,81.36,82.82,3688009.0,0.0,1.0,81.55,82.96,81.36,82.82,3688009.0
2015-04-14,81.09,81.47,80.77,81.35,2562788.0,0.0,1.0,81.09,81.47,80.77,81.35,2562788.0
2015-04-13,80.61,81.33,80.43,81.09,1619085.0,0.0,1.0,80.61,81.33,80.43,81.09,1619085.0
2015-04-10,80.23,80.66,80.01,80.61,2233180.0,0.0,1.0,80.23,80.66,80.01,80.61,2233180.0
2015-04-09,80.04,80.41,79.62,80.36,1849076.0,0.0,1.0,80.04,80.41,79.62,80.36,1849076.0
2015-04-08,79.66,81.04,79.65,80.19,2555877.0,0.0,1.0,79.66,81.04,79.65,80.19,2555877.0
2015-04-07,79.86,80.28,79.67,79.67,2193687.0,0.0,1.0,79.86,80.28,79.67,79.67,2193687.0
2015-04-06,79.43,80.84,79.14,80.32,2099331.0,0.0,1.0,79.43,80.84,79.14,80.32,2099331.0
2015-04-02,79.64,80.44,79.46,80.31,1949247.0,0.0,1.0,79.64,80.44,79.46,80.31,1949247.0
2015-04-01,78.83,80.04,78.57,79.87,3601353.0,0.0,1.0,78.83,80.04,78.57,79.87,3601353.0
2015-03-31,78.58,79.185,78.45,78.82,2593724.0,0.0,1.0,78.58,79.185,78.45,78.82,2593724.0
2015-03-30,79.19,79.61,79.06,79.2,1959231.0,0.0,1.0,79.19,79.61,79.06,79.2,1959231.0
2015-03-27,78.47,79.02,78.05,78.65,2553730.0,0.0,1.0,78.47,79.02,78.05,78.65,2553730.0
2015-03-26,78.8,78.9,77.89,78.51,2291083.0,0.0,1.0,78.8,78.9,77.89,78.51,2291083.0
2015-03-25,80.18,80.18,78.84,78.84,1873693.0,0.0,1.0,80.18,80.18,78.84,78.84,1873693.0
2015-03-24,80.94,80.96,80.13,80.14,2091143.0,0.0,1.0,80.94,80.96,80.13,80.14,2091143.0
2015-03-23,81.27,81.99,81.18,81.25,1727322.0,0.0,1.0,81.27,81.99,81.18,81.25,1727322.0
2015-03-20,80.97,81.45,80.76,81.13,3533724.0,0.0,1.0,80.97,81.45,80.76,81.13,3533724.0
2015-03-19,81.48,81.59,80.5301,80.62,2635479.0,0.0,1.0,81.48,81.59,80.5301,80.62,2635479.0
2015-03-18,80.97,81.91,80.51,81.62,2164555.0,0.0,1.0,80.97,81.91,80.51,81.62,2164555.0
2015-03-17,81.0,81.65,80.67,81.5,2197688.0,0.0,1.0,81.0,81.65,80.67,81.5,2197688.0
2015-03-16,80.64,81.77,80.53,81.47,2869973.0,0.0,1.0,80.64,81.77,80.53,81.47,2869973.0
2015-03-13,81.4,81.4,79.27,80.0,2765165.0,0.0,1.0,81.4,81.4,79.27,80.0,2765165.0
2015-03-12,79.04,81.515,79.04,81.45,4539414.0,0.0,1.0,79.04,81.515,79.04,81.45,4539414.0
2015-03-11,78.05,78.531,77.715,78.23,2259422.0,0.0,1.0,78.05,78.531,77.715,78.23,2259422.0
2015-03-10,79.02,79.115,77.7,77.72,2864719.0,0.0,1.0,79.02,79.115,77.7,77.72,2864719.0
2015-03-09,78.87,80.02,78.62,79.84,3048141.0,0.0,1.0,78.87,80.02,78.62,79.84,3048141.0
2015-03-06,79.55,80.71,78.76,78.98,3088665.0,0.0,1.0,79.55,80.71,78.76,78.98,3088665.0
2015-03-05,78.65,78.97,78.2,78.89,2043229.0,0.0,1.0,78.65,78.97,78.2,78.89,2043229.0
2015-03-04,78.95,78.9799,78.25,78.65,2340494.0,0.0,1.0,78.95,78.9799,78.25,78.65,2340494.0
2015-03-03,79.15,79.4199,78.78,79.14,2257001.0,0.0,1.0,79.15,79.4199,78.78,79.14,2257001.0
2015-03-02,78.34,79.28,78.27,79.15,3486426.0,0.0,1.0,78.34,79.28,78.27,79.15,3486426.0
2015-02-27,78.86,79.41,78.71,78.71,3329248.0,0.0,1.0,78.86,79.41,78.71,78.71,3329248.0
2015-02-26,79.48,79.97,78.72,79.15,2731679.0,0.0,1.0,79.48,79.97,78.72,79.15,2731679.0
2015-02-25,80.18,80.42,79.55,79.66,3103759.0,0.0,1.0,80.18,80.42,79.55,79.66,3103759.0
2015-02-24,79.84,80.82,79.62,80.5,2225269.0,0.0,1.0,79.84,80.82,79.62,80.5,2225269.0
2015-02-23,80.08,80.39,79.38,80.06,2395921.0,0.0,1.0,80.08,80.39,79.38,80.06,2395921.0
2015-02-20,79.49,80.42,78.57,80.39,2586636.0,0.0,1.0,79.49,80.42,78.57,80.39,2586636.0
2015-02-19,79.42,79.7499,79.09,79.42,2190218.0,0.0,1.0,79.42,79.7499,79.09,79.42,2190218.0
2015-02-18,79.73,79.99,79.27,79.34,2529673.0,0.0,1.0,79.73,79.99,79.27,79.34,2529673.0
2015-02-17,78.85,80.28,78.77,80.0,3467333.0,0.0,1.0,78.85,80.28,78.77,80.0,3467333.0
2015-02-13,79.28,79.71,78.645,78.88,3214049.0,0.0,1.0,79.28,79.71,78.645,78.88,3214049.0
2015-02-12,78.0,79.64,77.89,79.29,3961189.0,0.0,1.0,78.0,79.64,77.89,79.29,3961189.0
2015-02-11,77.05,77.575,76.9021,77.32,1919212.0,0.0,1.0,77.05,77.575,76.9021,77.32,1919212.0
2015-02-10,77.32,77.6,76.75,77.06,2063309.0,0.0,1.0,77.32,77.6,76.75,77.06,2063309.0
2015-02-09,75.63,77.04,75.29,76.72,2440136.0,0.0,1.0,75.63,77.04,75.29,76.72,2440136.0
2015-02-04,75.63,76.085,75.08,75.3,3125018.0,0.0,1.0,75.63,76.085,75.08,75.3,3125018.0
2015-02-03,74.56,75.6,74.54,75.51,2827575.0,0.0,1.0,74.56,75.6,74.54,75.51,2827575.0
2015-02-02,73.51,74.52,72.77,74.42,3546168.0,0.0,1.0,73.51,74.52,72.77,74.42,3546168.0
2015-01-30,74.35,74.91,73.11,73.21,4933548.0,0.0,1.0,74.35,74.91,73.11,73.21,4933548.0
2015-01-29,74.23,75.25,73.895,74.96,4570127.0,0.0,1.0,74.23,75.25,73.895,74.96,4570127.0
