Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,32.59,33.23,32.25,33.03,6353422.0,0.0,1.0,32.59,33.23,32.25,33.03,6353422.0
2015-04-15,31.66,32.81,31.46,32.78,6727348.0,0.0,1.0,31.66,32.81,31.46,32.78,6727348.0
2015-04-14,30.96,31.53,30.95,31.5,5725344.0,0.0,1.0,30.96,31.53,30.95,31.5,5725344.0
2015-04-13,31.27,31.31,30.69,30.75,3317976.0,0.0,1.0,31.27,31.31,30.69,30.75,3317976.0
2015-04-10,31.6,31.66,30.95,31.0,4432636.0,0.0,1.0,31.6,31.66,30.95,31.0,4432636.0
2015-04-09,30.83,31.69,30.63,31.58,5536085.0,0.0,1.0,30.83,31.69,30.63,31.58,5536085.0
2015-04-08,30.96,31.07,30.55,30.67,2706049.0,0.0,1.0,30.96,31.07,30.55,30.67,2706049.0
2015-04-07,30.61,31.03,30.51,30.79,4371621.0,0.0,1.0,30.61,31.03,30.51,30.79,4371621.0
2015-04-06,30.87,30.9,30.09,30.49,5262135.0,0.0,1.0,30.87,30.9,30.09,30.49,5262135.0
2015-04-02,29.83,30.81,29.802,30.76,5067872.0,0.0,1.0,29.83,30.81,29.802,30.76,5067872.0
2015-04-01,29.48,30.25,29.48,30.02,7318354.0,0.0,1.0,29.48,30.25,29.48,30.02,7318354.0
2015-03-31,28.97,29.825,28.77,29.53,4093843.0,0.0,1.0,28.97,29.825,28.77,29.53,4093843.0
2015-03-30,28.9,29.3,28.57,29.24,4328156.0,0.0,1.0,28.9,29.3,28.57,29.24,4328156.0
2015-03-27,28.82,29.07,28.58,28.66,4029322.0,0.0,1.0,28.82,29.07,28.58,28.66,4029322.0
2015-03-26,29.72,29.85,28.69,28.98,4313444.0,0.0,1.0,29.72,29.85,28.69,28.98,4313444.0
2015-03-25,29.12,29.5,28.59,29.3,5413113.0,0.0,1.0,29.12,29.5,28.59,29.3,5413113.0
2015-03-24,28.53,28.995,28.46,28.91,3722754.0,0.0,1.0,28.53,28.995,28.46,28.91,3722754.0
2015-03-23,28.65,28.73,28.3,28.5,4081444.0,0.0,1.0,28.65,28.73,28.3,28.5,4081444.0
2015-03-20,28.66,28.77,28.44,28.69,4851663.0,0.0,1.0,28.66,28.77,28.44,28.69,4851663.0
2015-03-19,28.05,28.51,27.92,28.32,5862468.0,0.0,1.0,28.05,28.51,27.92,28.32,5862468.0
2015-03-18,27.66,28.64,27.5,28.48,6853561.0,0.0,1.0,27.66,28.64,27.5,28.48,6853561.0
2015-03-17,28.88,28.88,27.95,28.07,6245086.0,0.0,1.0,28.88,28.88,27.95,28.07,6245086.0
2015-03-16,27.92,28.23,27.68,28.22,4738333.0,0.0,1.0,27.92,28.23,27.68,28.22,4738333.0
2015-03-13,27.6,28.165,27.21,28.12,5893444.0,0.0,1.0,27.6,28.165,27.21,28.12,5893444.0
2015-03-12,28.09,28.23,27.65,27.85,4910773.0,0.0,1.0,28.09,28.23,27.65,27.85,4910773.0
2015-03-11,26.95,28.05,26.83,27.92,4814818.0,0.0,1.0,26.95,28.05,26.83,27.92,4814818.0
2015-03-10,27.35,27.74,26.9,26.9,5120153.0,0.0,1.0,27.35,27.74,26.9,26.9,5120153.0
2015-03-09,27.84,27.91,27.3,27.53,9183222.0,0.0,1.0,27.84,27.91,27.3,27.53,9183222.0
2015-03-06,28.23,28.47,27.83,27.92,4120830.0,0.0,1.0,28.23,28.47,27.83,27.92,4120830.0
2015-03-05,28.52,28.74,27.81,28.52,5415435.0,0.0,1.0,28.52,28.74,27.81,28.52,5415435.0
2015-03-04,29.44,29.44,28.655,28.73,5799424.0,0.0,1.0,29.44,29.44,28.655,28.73,5799424.0
2015-03-03,29.16,29.56,28.86,29.19,5585676.0,0.0,1.0,29.16,29.56,28.86,29.19,5585676.0
2015-03-02,29.0,29.4,28.7,29.15,7599306.0,0.0,1.0,29.0,29.4,28.7,29.15,7599306.0
2015-02-27,29.02,29.31,28.61,29.0,7064281.0,0.0,1.0,29.02,29.31,28.61,29.0,7064281.0
2015-02-26,29.75,29.75,28.24,28.9,7433830.0,0.0,1.0,29.75,29.75,28.24,28.9,7433830.0
2015-02-25,28.41,30.01,28.4,29.91,8568323.0,0.0,1.0,28.41,30.01,28.4,29.91,8568323.0
2015-02-24,27.75,28.525,27.39,28.4,6617376.0,0.0,1.0,27.75,28.525,27.39,28.4,6617376.0
2015-02-23,27.64,28.15,27.315,27.58,6303303.0,0.0,1.0,27.64,28.15,27.315,27.58,6303303.0
