Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,96.93,97.41,96.43,97.14,457994.0,0.0,1.0,96.93,97.41,96.43,97.14,457994.0
2015-04-15,97.88,98.31,97.05,97.29,610898.0,0.0,1.0,97.88,98.31,97.05,97.29,610898.0
2015-04-14,97.84,98.19,97.1075,97.59,749546.0,0.0,1.0,97.84,98.19,97.1075,97.59,749546.0
2015-04-13,98.03,98.82,97.71,98.12,915694.0,0.0,1.0,98.03,98.82,97.71,98.12,915694.0
2015-04-10,97.31,98.31,96.91,98.28,678673.0,0.0,1.0,97.31,98.31,96.91,98.28,678673.0
2015-04-09,97.3,97.595,96.53,97.28,785509.0,0.0,1.0,97.3,97.595,96.53,97.28,785509.0
2015-04-08,96.89,97.84,96.61,97.34,719485.0,0.0,1.0,96.89,97.84,96.61,97.34,719485.0
2015-04-07,96.21,96.9,96.018,96.52,631049.0,0.0,1.0,96.21,96.9,96.018,96.52,631049.0
2015-04-06,95.24,96.88,95.24,96.47,703561.0,0.0,1.0,95.24,96.88,95.24,96.47,703561.0
2015-04-02,96.15,96.95,95.824,95.97,526173.0,0.0,1.0,96.15,96.95,95.824,95.97,526173.0
2015-04-01,96.12,96.12,94.3,96.06,892865.0,0.0,1.0,96.12,96.12,94.3,96.06,892865.0
2015-03-31,96.87,96.98,96.32,96.55,635254.0,0.0,1.0,96.87,96.98,96.32,96.55,635254.0
2015-03-30,96.22,97.49,96.0,96.99,608283.0,0.0,1.0,96.22,97.49,96.0,96.99,608283.0
2015-03-27,94.57,95.61,94.37,95.59,579917.0,0.0,1.0,94.57,95.61,94.37,95.59,579917.0
2015-03-26,93.12,94.72,92.125,94.54,917234.0,0.0,1.0,93.12,94.72,92.125,94.54,917234.0
2015-03-25,95.57,95.64,93.46,93.49,542401.0,0.0,1.0,95.57,95.64,93.46,93.49,542401.0
2015-03-24,95.6,96.4085,95.031,95.28,511397.0,0.0,1.0,95.6,96.4085,95.031,95.28,511397.0
2015-03-23,96.66,96.99,95.97,96.08,647791.0,0.0,1.0,96.66,96.99,95.97,96.08,647791.0
2015-03-20,96.54,96.91,95.81,96.54,792174.0,0.0,1.0,96.54,96.91,95.81,96.54,792174.0
2015-03-19,96.12,96.59,95.735,96.13,606515.0,0.0,1.0,96.12,96.59,95.735,96.13,606515.0
2015-03-18,94.34,96.7,93.86,96.26,1091593.0,0.0,1.0,94.34,96.7,93.86,96.26,1091593.0
2015-03-17,94.68,94.9,94.113,94.74,1006169.0,0.0,1.0,94.68,94.9,94.113,94.74,1006169.0
2015-03-16,93.58,94.98,93.47,94.92,875770.0,0.0,1.0,93.58,94.98,93.47,94.92,875770.0
2015-03-13,92.27,93.33,91.79,93.23,1315287.0,0.0,1.0,92.27,93.33,91.79,93.23,1315287.0
2015-03-12,90.86,91.72,90.81,91.63,533636.0,0.0,1.0,90.86,91.72,90.81,91.63,533636.0
2015-03-11,91.3,91.49,90.42,90.62,733756.0,0.0,1.0,91.3,91.49,90.42,90.62,733756.0
2015-03-10,92.57,93.72,91.29,91.3,1409406.0,0.0,1.0,92.57,93.72,91.29,91.3,1409406.0
2015-03-09,91.13,93.38,91.1,93.2,1492313.0,0.0,1.0,91.13,93.38,91.1,93.2,1492313.0
2015-03-06,90.5,91.47,90.44,91.12,1351661.0,0.0,1.0,90.5,91.47,90.44,91.12,1351661.0
2015-03-05,90.38,90.96,89.99,90.9,768804.0,0.0,1.0,90.38,90.96,89.99,90.9,768804.0
2015-03-04,90.0,90.61,89.97,90.38,801311.0,0.0,1.0,90.0,90.61,89.97,90.38,801311.0
2015-03-03,90.22,90.75,89.58,90.2,660079.0,0.0,1.0,90.22,90.75,89.58,90.2,660079.0
2015-03-02,89.22,90.89,88.83,90.72,859704.0,0.0,1.0,89.22,90.89,88.83,90.72,859704.0
2015-02-27,89.2,89.48,88.77,89.08,669929.0,0.0,1.0,89.2,89.48,88.77,89.08,669929.0
2015-02-26,89.69,89.852,88.94,89.34,653433.0,0.0,1.0,89.69,89.852,88.94,89.34,653433.0
2015-02-25,91.55,91.55,89.7,89.92,757143.0,0.0,1.0,91.55,91.55,89.7,89.92,757143.0
2015-02-24,90.98,91.71,90.5,91.42,801461.0,0.0,1.0,90.98,91.71,90.5,91.42,801461.0
2015-02-23,90.18,91.0,90.13,91.0,663260.0,0.0,1.0,90.18,91.0,90.13,91.0,663260.0
2015-02-20,89.54,90.86,89.49,90.86,636930.0,0.0,1.0,89.54,90.86,89.49,90.86,636930.0
2015-02-19,89.45,89.85,89.15,89.81,673955.0,0.0,1.0,89.45,89.85,89.15,89.81,673955.0
2015-02-18,88.8,89.48,88.6,89.47,488996.0,0.0,1.0,88.8,89.48,88.6,89.47,488996.0
2015-02-17,88.66,88.9,88.241,88.81,715542.0,0.0,1.0,88.66,88.9,88.241,88.81,715542.0
2015-02-13,88.45,89.02,88.304,88.81,530953.0,0.0,1.0,88.45,89.02,88.304,88.81,530953.0
2015-02-12,88.05,88.89,87.85,88.57,754588.0,0.3,1.0,88.05,88.89,87.85,88.57,754588.0
2015-02-11,88.42,88.63,87.6,88.03,445894.0,0.0,1.0,88.121519072803,88.330810172162,87.304287161022,87.732835602566,445894.0
2015-02-10,88.25,88.71,87.82,88.53,876313.0,0.0,1.0,87.952092944751,88.410540114774,87.523544503207,88.231147743896,876313.0
2015-02-09,87.33,88.2,87.15,87.78,1247216.0,0.0,1.0,87.035198604703,87.902261730618,86.855806233825,87.483679531901,1247216.0
2015-02-06,87.44,88.21,87.13,87.35,633181.0,0.0,1.0,87.144827275796,87.912227973444,86.835873748171,87.055131090357,633181.0
2015-02-04,86.78,87.74,86.6,87.29,920980.0,0.0,1.0,86.48705524924,87.443814560594,86.307662878362,86.995333633397,920980.0
2015-02-03,86.72,87.31,86.17,87.03,960781.0,0.0,1.0,86.427257792281,87.01526611905,85.879114436818,86.736211319905,960781.0
2015-02-02,86.01,86.33,84.71,86.28,749083.0,0.0,1.0,85.719654551592,86.038574322043,84.424042984134,85.98874310791,749083.0
2015-01-30,85.75,86.49,85.54,85.62,947906.0,0.0,1.0,85.460532238101,86.198034207269,85.251241138742,85.330971081355,947906.0
2015-01-29,86.27,86.89,85.28,86.71,771357.0,0.0,1.0,85.978776865084,86.596683920333,84.99211882525,86.417291549454,771357.0
2015-01-28,86.99,87.36,86.16,86.26,988354.0,0.0,1.0,86.696346348599,87.065097333183,85.869148193991,85.968810622257,988354.0
2015-01-26,87.84,88.0,86.87,87.15,722081.0,0.0,1.0,87.54347698886,87.702936874086,86.57675143468,86.855806233825,722081.0
2015-01-23,83.57,87.94,83.0,87.26,1948349.0,0.0,1.0,83.287891301902,87.643139417126,82.719815460785,86.965434904917,1948349.0
2015-01-22,86.03,87.14,85.71,86.98,1679957.0,0.0,1.0,85.739587037245,86.845839990998,85.420667266794,86.686380105772,1679957.0
2015-01-21,85.69,86.08,85.26,85.6,1347288.0,0.0,1.0,85.400734781141,85.789418251378,84.972186339597,85.311038595702,1347288.0
2015-01-20,86.47,86.71,85.43,86.0,1524621.0,0.0,1.0,86.178101721616,86.417291549454,85.141612467649,85.709688308766,1524621.0
2015-01-15,84.87,85.19,84.51,84.85,1065088.0,0.0,1.0,84.58350286936,84.902422639811,84.224718127602,84.563570383707,1065088.0
2015-01-14,83.51,84.47,83.3,84.4,605344.0,0.0,1.0,83.228093844942,84.184853156296,83.018802745583,84.11508945651,605344.0
2015-01-13,85.18,85.64,83.645,84.42,838080.0,0.0,1.0,84.892456396984,85.350903567008,83.362638123101,84.135021942163,838080.0
2015-01-12,84.92,85.0,83.64,84.15,639563.0,0.0,1.0,84.633334083493,84.713064026106,83.357655001688,83.865933385844,639563.0
2015-01-08,85.18,86.03,84.98,85.85,2585640.0,0.0,1.0,84.892456396984,85.739587037245,84.693131540452,85.560194666367,2585640.0
2015-01-06,84.12,84.84,83.01,83.77,1000252.0,0.0,1.0,83.836034657365,84.55360414088,82.729781703612,83.487216158434,1000252.0
2015-01-05,84.37,85.02,83.51,83.88,745976.0,0.0,1.0,84.08519072803,84.732996511759,83.228093844942,83.596844829526,745976.0
2015-01-02,84.88,84.91,83.82,84.62,458127.0,0.0,1.0,84.593469112186,84.623367840666,83.537047372567,84.334346798695,458127.0
