Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,68.99,69.72,68.21,69.01,8366624.0,0.0,1.0,68.99,69.72,68.21,69.01,8366624.0
2015-04-15,68.91,69.66,68.5,69.4,7606830.0,0.0,1.0,68.91,69.66,68.5,69.4,7606830.0
2015-04-14,66.82,68.55,66.74,68.36,8899437.0,0.0,1.0,66.82,68.55,66.74,68.36,8899437.0
2015-04-13,66.9,67.42,66.33,66.34,5680139.0,0.0,1.0,66.9,67.42,66.33,66.34,5680139.0
2015-04-10,67.36,67.4,66.385,66.53,6006738.0,0.0,1.0,67.36,67.4,66.385,66.53,6006738.0
2015-04-09,65.02,67.46,64.86,67.0,10953346.0,0.0,1.0,65.02,67.46,64.86,67.0,10953346.0
2015-04-08,66.07,66.23,64.8,64.81,8544887.0,0.0,1.0,66.07,66.23,64.8,64.81,8544887.0
2015-04-07,65.26,66.04,65.07,65.79,7156991.0,0.0,1.0,65.26,66.04,65.07,65.79,7156991.0
2015-04-06,63.42,65.88,63.4,65.39,10158504.0,0.0,1.0,63.42,65.88,63.4,65.39,10158504.0
2015-04-02,62.71,63.41,62.57,63.18,5886428.0,0.0,1.0,62.71,63.41,62.57,63.18,5886428.0
2015-04-01,62.71,63.49,62.6402,63.02,8926899.0,0.0,1.0,62.71,63.49,62.6402,63.02,8926899.0
2015-03-31,63.25,63.47,62.24,62.26,9152986.0,0.0,1.0,63.25,63.47,62.24,62.26,9152986.0
2015-03-30,63.48,64.15,63.4,64.0,5918639.0,0.0,1.0,63.48,64.15,63.4,64.0,5918639.0
2015-03-27,62.96,63.09,62.4605,62.93,5104857.0,0.0,1.0,62.96,63.09,62.4605,62.93,5104857.0
2015-03-26,63.95,64.14,62.9201,63.24,6869880.0,0.0,1.0,63.95,64.14,62.9201,63.24,6869880.0
2015-03-25,63.22,63.5,62.66,63.05,7441453.0,0.0,1.0,63.22,63.5,62.66,63.05,7441453.0
2015-03-24,63.45,63.62,62.525,62.55,6339516.0,0.0,1.0,63.45,63.62,62.525,62.55,6339516.0
2015-03-23,64.0,64.18,63.21,63.23,7368777.0,0.0,1.0,64.0,64.18,63.21,63.23,7368777.0
2015-03-20,63.15,64.12,63.0,63.84,9676700.0,0.0,1.0,63.15,64.12,63.0,63.84,9676700.0
2015-03-19,62.78,63.31,62.445,62.76,7494232.0,0.0,1.0,62.78,63.31,62.445,62.76,7494232.0
2015-03-18,61.54,64.31,61.51,63.64,9497563.0,0.0,1.0,61.54,64.31,61.51,63.64,9497563.0
2015-03-17,62.01,62.485,61.38,62.01,6476161.0,0.0,1.0,62.01,62.485,61.38,62.01,6476161.0
2015-03-16,61.21,62.46,60.832,62.4,6268742.0,0.0,1.0,61.21,62.46,60.832,62.4,6268742.0
2015-03-13,60.76,61.8,60.57,61.64,7883627.0,0.0,1.0,60.76,61.8,60.57,61.64,7883627.0
2015-03-12,61.58,61.91,61.32,61.36,5508021.0,0.0,1.0,61.58,61.91,61.32,61.36,5508021.0
2015-03-11,60.95,61.87,60.812,61.3,6339685.0,0.0,1.0,60.95,61.87,60.812,61.3,6339685.0
2015-03-10,60.99,61.72,60.69,60.87,8922397.0,0.0,1.0,60.99,61.72,60.69,60.87,8922397.0
2015-03-09,62.77,63.34,61.97,61.97,6492752.0,0.0,1.0,62.77,63.34,61.97,61.97,6492752.0
2015-03-06,63.0,63.68,62.67,62.79,6732813.0,0.0,1.0,63.0,63.68,62.67,62.79,6732813.0
2015-03-05,64.01,64.08,63.33,63.33,5987635.0,0.0,1.0,64.01,64.08,63.33,63.33,5987635.0
2015-03-04,64.79,64.79,63.67,64.25,5485316.0,0.0,1.0,64.79,64.79,63.67,64.25,5485316.0
2015-03-03,64.36,65.27,64.27,64.78,5410608.0,0.0,1.0,64.36,65.27,64.27,64.78,5410608.0
2015-03-02,65.36,65.36,63.83,64.4,8056985.0,0.0,1.0,65.36,65.36,63.83,64.4,8056985.0
2015-02-27,66.0,66.0986,65.13,65.2,6957103.0,0.0,1.0,66.0,66.0986,65.13,65.2,6957103.0
2015-02-26,66.89,66.89,65.59,65.85,7836059.0,0.0,1.0,66.89,66.89,65.59,65.85,7836059.0
2015-02-25,67.47,67.84,66.96,67.53,6146809.0,0.0,1.0,67.47,67.84,66.96,67.53,6146809.0
2015-02-24,67.47,67.48,66.76,67.09,4864019.0,0.0,1.0,67.47,67.48,66.76,67.09,4864019.0
2015-02-23,66.68,67.54,66.51,66.92,6067991.0,0.0,1.0,66.68,67.54,66.51,66.92,6067991.0
2015-02-20,67.19,67.42,66.33,67.38,8779325.0,0.0,1.0,67.19,67.42,66.33,67.38,8779325.0
2015-02-19,66.06,67.85,65.42,67.42,9021449.0,0.0,1.0,66.06,67.85,65.42,67.42,9021449.0
2015-02-18,68.25,69.06,67.61,67.73,8838077.0,0.0,1.0,68.25,69.06,67.61,67.73,8838077.0
2015-02-17,69.31,69.97,68.52,69.47,7643072.0,0.0,1.0,69.31,69.97,68.52,69.47,7643072.0
2015-02-13,68.97,70.11,68.7,69.88,8406408.0,0.0,1.0,68.97,70.11,68.7,69.88,8406408.0
2015-02-12,68.4,68.85,67.62,68.04,8633716.0,0.73,1.0,68.4,68.85,67.62,68.04,8633716.0
2015-02-11,67.25,68.47,66.8,67.88,8359488.0,0.0,1.0,66.536134942562,67.743184528137,66.090911734768,67.159447433474,8359488.0
2015-02-10,67.94,68.11,66.5,67.99,7868561.0,0.0,1.0,67.218810527846,67.387005961902,65.794096262905,67.268279773157,7868561.0
2015-02-09,67.97,68.61,67.64,67.85,8062515.0,0.0,1.0,67.248492075033,67.881698415007,66.921995055984,67.129765886288,8062515.0
2015-02-06,68.24,68.38,67.18,67.49,7651372.0,0.0,1.0,67.515625999709,67.654139886578,66.466877999128,66.773587320052,7651372.0
