Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,148.76,148.895,146.91,147.11,2661069.0,0.0,1.0,148.76,148.895,146.91,147.11,2661069.0
2015-04-15,149.58,150.67,149.05,149.07,1381974.0,0.0,1.0,149.58,150.67,149.05,149.07,1381974.0
2015-04-14,149.0,150.1,147.72,149.52,1532377.0,0.0,1.0,149.0,150.1,147.72,149.52,1532377.0
2015-04-13,149.44,150.34,148.93,149.02,1093813.0,0.0,1.0,149.44,150.34,148.93,149.02,1093813.0
2015-04-10,149.4,150.03,148.62,149.635,1563654.0,0.0,1.0,149.4,150.03,148.62,149.635,1563654.0
2015-04-09,150.57,151.0,148.27,148.8,3390743.0,0.0,1.0,150.57,151.0,148.27,148.8,3390743.0
2015-04-08,152.23,152.67,151.19,152.0,1459084.0,0.0,1.0,152.23,152.67,151.19,152.0,1459084.0
2015-04-07,152.53,152.95,151.72,151.78,1381046.0,0.0,1.0,152.53,152.95,151.72,151.78,1381046.0
2015-04-06,151.37,152.84,150.6,152.5,1767087.0,0.0,1.0,151.37,152.84,150.6,152.5,1767087.0
2015-04-02,150.47,152.0,150.36,151.63,1086428.0,0.0,1.0,150.47,152.0,150.36,151.63,1086428.0
2015-04-01,151.83,151.87,149.7,150.24,1782741.0,0.0,1.0,151.83,151.87,149.7,150.24,1782741.0
2015-03-31,151.84,153.0,151.25,151.495,1691883.0,0.0,1.0,151.84,153.0,151.25,151.495,1691883.0
2015-03-30,150.91,152.59,150.8,152.365,1440500.0,0.0,1.0,150.91,152.59,150.8,152.365,1440500.0
2015-03-27,150.21,151.22,150.02,150.47,1302204.0,0.0,1.0,150.21,151.22,150.02,150.47,1302204.0
2015-03-26,149.32,150.77,149.17,150.06,1536353.0,0.0,1.0,149.32,150.77,149.17,150.06,1536353.0
2015-03-25,153.55,153.96,151.09,151.09,2069940.0,0.0,1.0,153.55,153.96,151.09,151.09,2069940.0
2015-03-24,152.95,154.23,152.89,153.14,1623813.0,0.0,1.0,152.95,154.23,152.89,153.14,1623813.0
2015-03-23,153.15,153.56,152.7,152.93,1652357.0,0.0,1.0,153.15,153.56,152.7,152.93,1652357.0
2015-03-20,152.13,153.15,151.75,152.59,5461204.0,0.0,1.0,152.13,153.15,151.75,152.59,5461204.0
2015-03-19,151.0,151.5,150.32,151.31,1856831.0,0.0,1.0,151.0,151.5,150.32,151.31,1856831.0
2015-03-18,150.0,151.63,148.25,150.93,2523247.0,0.0,1.0,150.0,151.63,148.25,150.93,2523247.0
2015-03-17,149.39,150.2,148.43,150.03,1960339.0,0.0,1.0,149.39,150.2,148.43,150.03,1960339.0
2015-03-16,149.72,151.0,149.28,149.99,2487392.0,0.0,1.0,149.72,151.0,149.28,149.99,2487392.0
2015-03-13,149.09,149.91,148.15,149.26,1441784.0,0.0,1.0,149.09,149.91,148.15,149.26,1441784.0
2015-03-12,148.38,149.64,147.4,149.44,1522234.0,0.0,1.0,148.38,149.64,147.4,149.44,1522234.0
2015-03-11,148.33,148.99,147.34,147.4,1734275.0,0.0,1.0,148.33,148.99,147.34,147.4,1734275.0
2015-03-10,149.75,150.15,148.15,148.16,2128136.0,0.0,1.0,149.75,150.15,148.15,148.16,2128136.0
2015-03-09,149.79,150.99,149.55,150.68,1727892.0,0.0,1.0,149.79,150.99,149.55,150.68,1727892.0
2015-03-06,149.29,150.15,148.17,149.545,3014895.0,0.0,1.0,149.29,150.15,148.17,149.545,3014895.0
2015-03-05,150.77,151.75,149.0,151.17,4471066.0,0.0,1.0,150.77,151.75,149.0,151.17,4471066.0
2015-03-04,147.84,147.98,145.78,147.17,2206861.0,0.0,1.0,147.84,147.98,145.78,147.17,2206861.0
2015-03-03,147.94,148.14,146.66,147.37,1513306.0,0.0,1.0,147.94,148.14,146.66,147.37,1513306.0
2015-03-02,147.32,148.49,147.32,147.94,2108244.0,0.0,1.0,147.32,148.49,147.32,147.94,2108244.0
2015-02-27,147.56,147.56,145.8301,146.96,3035044.0,0.0,1.0,147.56,147.56,145.8301,146.96,3035044.0
2015-02-26,147.07,147.61,146.2,146.65,1891671.0,0.0,1.0,147.07,147.61,146.2,146.65,1891671.0
2015-02-25,147.7,148.6,147.19,147.48,1602745.0,0.0,1.0,147.7,148.6,147.19,147.48,1602745.0
2015-02-24,149.38,149.4,148.0,148.21,1843184.0,0.0,1.0,149.38,149.4,148.0,148.21,1843184.0
2015-02-23,148.0,148.46,147.03,148.39,1586298.0,0.0,1.0,148.0,148.46,147.03,148.39,1586298.0
2015-02-20,146.78,147.79,145.9,147.535,1594148.0,0.0,1.0,146.78,147.79,145.9,147.535,1594148.0
2015-02-19,146.9,147.51,146.46,146.665,1271833.0,0.0,1.0,146.9,147.51,146.46,146.665,1271833.0
2015-02-18,147.16,147.48,146.53,147.23,1532706.0,0.0,1.0,147.16,147.48,146.53,147.23,1532706.0
2015-02-17,147.0,147.61,145.66,147.53,1539699.0,0.0,1.0,147.0,147.61,145.66,147.53,1539699.0
2015-02-13,148.23,148.8,146.94,147.1,1924852.0,0.0,1.0,148.23,148.8,146.94,147.1,1924852.0
2015-02-12,148.01,148.39,146.86,147.76,1711532.0,0.0,1.0,148.01,148.39,146.86,147.76,1711532.0
2015-02-11,148.39,148.48,146.55,147.46,2292790.0,0.355,1.0,148.39,148.48,146.55,147.46,2292790.0
2015-02-10,147.99,148.48,147.0,148.22,1701445.0,0.0,1.0,147.63457971113,148.12340290228,146.64695734533,147.86402733146,1701445.0
2015-02-09,148.7,149.16,146.82,147.54,2736569.0,0.0,1.0,148.34287453912,148.80176977979,146.46738964246,147.18566045395,2736569.0
2015-02-06,149.21,149.95,148.1601,148.7,2924061.0,0.0,1.0,148.85164969726,149.58987247573,147.80427119034,148.34287453912,2924061.0
2015-02-05,149.5,151.1,147.52,149.09,6984262.0,0.0,1.0,149.14095321855,150.73711057741,147.16570848696,148.73193789534,6984262.0
2015-02-04,152.08,156.85,152.07,155.92,11003140.0,0.0,1.0,151.71475695971,156.47330108582,151.70478097622,155.54553462098,11003140.0
2015-02-03,146.36,153.89,144.77,153.75,10295294.0,0.0,1.0,146.00849440179,153.52040997192,144.42231302642,153.38074620302,10295294.0
2015-02-02,144.0,146.23,140.13,146.0,4765237.0,0.0,1.0,143.65416229747,145.87880661638,139.79345668572,145.64935899604,4765237.0
2015-01-30,143.5,143.8,141.34,142.99,5161999.0,0.0,1.0,143.15536312282,143.45464262761,141.00055068836,142.64658796469,5161999.0
2015-01-29,140.16,140.69,138.91,140.64,1867329.0,0.0,1.0,139.8233846362,140.35211176132,138.57638669959,140.30223184386,1867329.0
2015-01-28,141.6,142.45,139.56,139.62,2013693.0,0.0,1.0,141.25992625918,142.10788485607,139.22482562663,139.28468152759,2013693.0
2015-01-26,141.66,143.05,141.57,142.905,1483208.0,0.0,1.0,141.31978216013,142.70644386564,141.2299983087,142.561792105,1483208.0
2015-01-23,141.59,142.31,140.87,142.05,1700402.0,0.0,1.0,141.24995027568,141.96822108717,140.5316794642,141.70884551635,1700402.0
2015-01-22,139.5,141.28,138.39,141.27,1897527.0,0.0,1.0,139.16496972567,140.9406947874,138.05763555796,140.93071880391,1897527.0
2015-01-21,138.85,139.7,138.38,139.14,1680621.0,0.0,1.0,138.51653079863,139.36448939553,138.04765957447,138.80583431993,1680621.0
2015-01-20,140.72,141.27,138.3601,139.38,1834867.0,0.0,1.0,140.3820397118,140.93071880391,138.02780736732,139.04525792376,1834867.0
2015-01-15,139.95,140.17,138.62,139.31,1817433.0,0.0,1.0,139.61388898285,139.83336061969,138.2870831783,138.97542603931,1817433.0
2015-01-14,140.01,140.21,138.24,139.31,2201777.0,0.0,1.0,139.67374488381,139.87326455367,137.90799580557,138.97542603931,2201777.0
