Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,28.19,28.638,28.1,28.6,29677502.0,0.0,1.0,28.19,28.638,28.1,28.6,29677502.0
2015-04-15,28.1,28.42,27.97,28.25,29879326.0,0.0,1.0,28.1,28.42,27.97,28.25,29879326.0
2015-04-14,28.0,28.06,27.68,27.81,19130738.0,0.0,1.0,28.0,28.06,27.68,27.81,19130738.0
2015-04-13,27.99,28.28,27.94,27.9999,22278362.0,0.0,1.0,27.99,28.28,27.94,27.9999,22278362.0
2015-04-10,27.58,28.08,27.56,28.04,22992243.0,0.0,1.0,27.58,28.08,27.56,28.04,22992243.0
2015-04-09,27.59,27.74,27.42,27.63,16485643.0,0.0,1.0,27.59,27.74,27.42,27.63,16485643.0
2015-04-08,27.37,27.66,27.37,27.55,18625947.0,0.0,1.0,27.37,27.66,27.37,27.55,18625947.0
2015-04-07,27.2,27.56,27.13,27.39,16676495.0,0.0,1.0,27.2,27.56,27.13,27.39,16676495.0
2015-04-06,26.96,27.32,26.84,27.22,19895920.0,0.0,1.0,26.96,27.32,26.84,27.22,19895920.0
2015-04-02,27.22,27.5,27.13,27.13,19320309.0,0.0,1.0,27.22,27.5,27.13,27.13,19320309.0
2015-04-01,27.31,27.638,27.1,27.25,22159683.0,0.0,1.0,27.31,27.638,27.1,27.25,22159683.0
2015-03-31,27.34,27.69,27.28,27.525,27315552.0,0.21,1.0,27.34,27.69,27.28,27.525,27315552.0
2015-03-30,27.22,27.75,27.22,27.65,28528571.0,0.0,1.0,27.013899405084,27.539886425095,27.013899405084,27.44064359113,28528571.0
2015-03-27,27.07,27.21,26.94,27.13,19768822.0,0.0,1.0,26.865035154137,27.003975121687,26.736019469984,26.924580854516,19768822.0
2015-03-26,27.19,27.305,26.62,27.09,48285129.0,0.0,1.0,26.984126554895,27.098255813953,26.418442401298,26.88488372093,48285129.0
2015-03-25,27.92,28.09,27.46,27.46,26008123.0,0.0,1.0,27.708599242834,27.877312060573,27.252082206598,27.252082206598,26008123.0
2015-03-24,28.29,28.57,27.99,28.0,23081734.0,0.0,1.0,28.075797728502,28.353677663602,27.778069226609,27.787993510005,23081734.0
2015-03-23,28.44,28.69,28.36,28.405,19210182.0,0.0,1.0,28.224661979448,28.472769064359,28.145267712277,28.189926987561,19210182.0
2015-03-20,28.45,28.62,28.32,28.433,35542686.0,0.0,1.0,28.234586262845,28.403299080584,28.105570578691,28.217714981071,35542686.0
2015-03-19,28.1,28.54,28.03,28.26,27494960.0,0.0,1.0,27.88723634397,28.323904813413,27.817766360195,28.046024878313,27494960.0
2015-03-18,27.88,28.34,27.72,28.15,34718353.0,0.0,1.0,27.668902109248,28.125419145484,27.510113574905,27.936857760952,34718353.0
2015-03-17,28.19,28.28,27.95,28.15,21590486.0,0.0,1.0,27.976554894538,28.065873445105,27.738372093023,27.936857760952,21590486.0
2015-03-16,28.1,28.38,28.04,28.3,24834316.0,0.0,1.0,27.88723634397,28.16511627907,27.827690643591,28.085722011898,24834316.0
2015-03-13,28.02,28.26,27.565,27.94,35921463.0,0.0,1.0,27.807842076798,28.046024878313,27.356287182261,27.728447809627,35921463.0
2015-03-12,28.05,28.54,28.05,28.24,22595550.0,0.0,1.0,27.837614926988,28.323904813413,27.837614926988,28.02617631152,22595550.0
2015-03-11,28.68,28.76,28.21,28.26,25160166.0,0.0,1.0,28.462844780963,28.542239048134,27.99640346133,28.046024878313,25160166.0
2015-03-10,29.15,29.17,28.66,28.66,26542321.0,0.0,1.0,28.929286100595,28.949134667388,28.44299621417,28.44299621417,26542321.0
2015-03-09,28.9,29.45,28.76,29.36,23007718.0,0.0,1.0,28.681179015684,29.227014602488,28.542239048134,29.13769605192,23007718.0
2015-03-06,29.11,29.27,28.8,28.925,27035044.0,0.0,1.0,28.889588967009,29.048377501352,28.58193618172,28.705989724175,27035044.0
2015-03-05,29.47,29.49,29.12,29.3,17985026.0,0.0,1.0,29.246863169281,29.266711736074,28.899513250406,29.078150351541,17985026.0
2015-03-04,29.35,29.52,29.11,29.33,32843270.0,0.0,1.0,29.127771768524,29.296484586263,28.889588967009,29.107923201731,32843270.0
2015-03-03,30.1,30.12,29.47,29.54,32968250.0,0.0,1.0,29.872093023256,29.891941590049,29.246863169281,29.316333153056,32968250.0
2015-03-02,29.36,30.31,29.34,30.19,35882050.0,0.0,1.0,29.13769605192,30.080502974581,29.117847485127,29.961411573824,35882050.0
2015-02-27,29.89,29.91,29.38,29.51,29113520.0,0.0,1.0,29.663683071931,29.683531638724,29.157544618713,29.286560302866,29113520.0
2015-02-26,29.52,29.99,29.52,29.91,28285310.0,0.0,1.0,29.296484586263,29.762925905895,29.296484586263,29.683531638724,28285310.0
2015-02-25,29.44,29.57,29.32,29.49,17275100.0,0.0,1.0,29.217090319091,29.346106003245,29.097998918334,29.266711736074,17275100.0
2015-02-24,29.56,29.71,29.43,29.63,18474040.0,0.0,1.0,29.336181719849,29.485045970795,29.207166035695,29.405651703624,18474040.0
2015-02-23,29.61,29.65,29.42,29.63,20538518.0,0.0,1.0,29.385803136831,29.425500270416,29.197241752299,29.405651703624,20538518.0
2015-02-20,29.36,29.66,29.155,29.61,25894458.0,0.0,1.0,29.13769605192,29.435424553813,28.934248242293,29.385803136831,25894458.0
2015-02-19,29.32,29.39,29.13,29.31,21452490.0,0.0,1.0,29.097998918334,29.167468902109,28.909437533802,29.088074634938,21452490.0
