Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,32.52,32.64,31.95,32.42,11101467.0,0.0,1.0,32.52,32.64,31.95,32.42,11101467.0
2015-04-15,33.72,34.12,32.82,32.86,14146668.0,0.0,1.0,33.72,34.12,32.82,32.86,14146668.0
2015-04-14,31.87,33.26,31.87,33.21,18426815.0,0.0,1.0,31.87,33.26,31.87,33.21,18426815.0
2015-04-13,33.55,33.72,33.01,33.08,8212992.0,0.0,1.0,33.55,33.72,33.01,33.08,8212992.0
2015-04-10,33.95,34.08,33.72,33.75,7995760.0,0.0,1.0,33.95,34.08,33.72,33.75,7995760.0
2015-04-09,33.34,33.85,33.31,33.79,6494581.0,0.0,1.0,33.34,33.85,33.31,33.79,6494581.0
2015-04-08,33.56,33.66,33.21,33.25,6761082.0,0.0,1.0,33.56,33.66,33.21,33.25,6761082.0
2015-04-07,33.44,33.67,33.17,33.55,6555829.0,0.0,1.0,33.44,33.67,33.17,33.55,6555829.0
2015-04-06,32.98,33.43,32.98,33.24,6824634.0,0.0,1.0,32.98,33.43,32.98,33.24,6824634.0
2015-04-02,33.28,33.4,32.935,33.32,9248148.0,0.0,1.0,33.28,33.4,32.935,33.32,9248148.0
2015-04-01,33.2,33.6,32.96,33.45,9962156.0,0.0,1.0,33.2,33.6,32.96,33.45,9962156.0
2015-03-31,33.24,33.345,32.83,33.12,9078839.0,0.0,1.0,33.24,33.345,32.83,33.12,9078839.0
2015-03-30,33.34,33.6,33.25,33.35,7320425.0,0.0,1.0,33.34,33.6,33.25,33.35,7320425.0
2015-03-27,33.16,33.26,32.77,33.2,6583088.0,0.0,1.0,33.16,33.26,32.77,33.2,6583088.0
2015-03-26,33.09,33.43,32.71,33.27,9833867.0,0.0,1.0,33.09,33.43,32.71,33.27,9833867.0
2015-03-25,33.96,33.9899,33.3,33.31,7212272.0,0.0,1.0,33.96,33.9899,33.3,33.31,7212272.0
2015-03-24,33.65,34.15,33.47,33.76,9354598.0,0.0,1.0,33.65,34.15,33.47,33.76,9354598.0
2015-03-23,34.99,35.0,33.64,33.7,9355171.0,0.0,1.0,34.99,35.0,33.64,33.7,9355171.0
2015-03-20,34.89,35.35,34.89,35.16,12169329.0,0.0,1.0,34.89,35.35,34.89,35.16,12169329.0
2015-03-19,34.91,35.05,34.53,34.75,4708857.0,0.0,1.0,34.91,35.05,34.53,34.75,4708857.0
2015-03-18,34.5,35.19,34.3,35.06,5885626.0,0.0,1.0,34.5,35.19,34.3,35.06,5885626.0
2015-03-17,34.42,34.73,34.39,34.63,4376339.0,0.0,1.0,34.42,34.73,34.39,34.63,4376339.0
2015-03-16,34.37,34.68,34.22,34.66,5718328.0,0.0,1.0,34.37,34.68,34.22,34.66,5718328.0
2015-03-13,34.11,34.2,33.76,34.13,8160403.0,0.0,1.0,34.11,34.2,33.76,34.13,8160403.0
2015-03-12,33.8,34.31,33.8,34.18,5482471.0,0.0,1.0,33.8,34.31,33.8,34.18,5482471.0
2015-03-11,33.6,33.84,33.47,33.66,4563265.0,0.0,1.0,33.6,33.84,33.47,33.66,4563265.0
2015-03-10,33.56,33.74,33.43,33.43,7926222.0,0.0,1.0,33.56,33.74,33.43,33.43,7926222.0
2015-03-09,33.58,34.02,33.58,33.95,5559369.0,0.0,1.0,33.58,34.02,33.58,33.95,5559369.0
2015-03-06,33.6,33.95,33.55,33.68,6931604.0,0.0,1.0,33.6,33.95,33.55,33.68,6931604.0
2015-03-05,34.12,34.17,33.78,33.88,7065687.0,0.0,1.0,34.12,34.17,33.78,33.88,7065687.0
2015-03-04,34.0,34.28,33.6601,34.24,12541050.0,0.0,1.0,34.0,34.28,33.6601,34.24,12541050.0
2015-03-03,34.29,34.37,34.05,34.12,6730066.0,0.0,1.0,34.29,34.37,34.05,34.12,6730066.0
2015-03-02,34.44,34.71,34.31,34.67,8529832.0,0.0,1.0,34.44,34.71,34.31,34.67,8529832.0
2015-02-27,34.5,34.77,34.14,34.31,11347440.0,0.0,1.0,34.5,34.77,34.14,34.31,11347440.0
2015-02-26,35.29,35.39,34.28,34.31,9977829.0,0.0,1.0,35.29,35.39,34.28,34.31,9977829.0
2015-02-25,35.54,35.65,35.18,35.21,5886027.0,0.0,1.0,35.54,35.65,35.18,35.21,5886027.0
2015-02-24,35.74,35.81,35.515,35.57,2972749.0,0.0,1.0,35.74,35.81,35.515,35.57,2972749.0
2015-02-23,35.63,35.78,35.42,35.77,3859561.0,0.0,1.0,35.63,35.78,35.42,35.77,3859561.0
2015-02-20,35.45,35.685,35.16,35.55,5782754.0,0.0,1.0,35.45,35.685,35.16,35.55,5782754.0
2015-02-19,35.24,35.78,35.14,35.53,6119784.0,0.0,1.0,35.24,35.78,35.14,35.53,6119784.0
2015-02-18,35.85,35.9,35.29,35.39,7713871.0,0.0,1.0,35.85,35.9,35.29,35.39,7713871.0
2015-02-17,35.11,35.95,34.9,35.85,6706025.0,0.0,1.0,35.11,35.95,34.9,35.85,6706025.0
2015-02-13,36.64,36.95,35.88,36.08,7620142.0,0.0,1.0,36.64,36.95,35.88,36.08,7620142.0
2015-02-12,36.07,36.61,36.02,36.57,5183749.0,0.0,1.0,36.07,36.61,36.02,36.57,5183749.0
2015-02-11,35.4,36.24,35.39,35.94,6549966.0,0.0,1.0,35.4,36.24,35.39,35.94,6549966.0
2015-02-10,35.48,35.64,35.16,35.53,4045281.0,0.0,1.0,35.48,35.64,35.16,35.53,4045281.0
2015-02-09,35.3,35.58,35.2,35.3,4776366.0,0.0,1.0,35.3,35.58,35.2,35.3,4776366.0
2015-02-04,34.48,34.78,34.32,34.57,5665876.0,0.0,1.0,34.48,34.78,34.32,34.57,5665876.0
2015-02-03,33.85,34.71,33.81,34.66,6109075.0,0.0,1.0,33.85,34.71,33.81,34.66,6109075.0
2015-02-02,33.47,33.7,33.21,33.68,6145175.0,0.0,1.0,33.47,33.7,33.21,33.68,6145175.0
2015-01-30,33.53,33.87,33.25,33.3,7665545.0,0.0,1.0,33.53,33.87,33.25,33.3,7665545.0
2015-01-29,33.74,33.86,33.34,33.76,7441143.0,0.0,1.0,33.74,33.86,33.34,33.76,7441143.0
2015-01-28,34.65,34.75,33.621,33.7,8805268.0,0.0,1.0,34.65,34.75,33.621,33.7,8805268.0
2015-01-26,34.45,35.0,34.38,34.96,4828189.0,0.0,1.0,34.45,35.0,34.38,34.96,4828189.0
2015-01-23,35.02,35.07,34.42,34.47,5979659.0,0.0,1.0,35.02,35.07,34.42,34.47,5979659.0
2015-01-22,35.01,35.45,34.83,35.25,5676072.0,0.0,1.0,35.01,35.45,34.83,35.25,5676072.0
2015-01-21,34.44,35.0,34.37,34.7,4718934.0,0.0,1.0,34.44,35.0,34.37,34.7,4718934.0
2015-01-20,34.93,35.14,34.43,34.54,6275466.0,0.0,1.0,34.93,35.14,34.43,34.54,6275466.0
2015-01-15,33.85,34.63,33.72,34.11,9823711.0,0.0,1.0,33.85,34.63,33.72,34.11,9823711.0
2015-01-14,33.1,34.1599,33.01,33.65,11717766.0,0.0,1.0,33.1,34.1599,33.01,33.65,11717766.0
2015-01-13,34.05,34.29,33.09,33.55,9850116.0,0.0,1.0,34.05,34.29,33.09,33.55,9850116.0
2015-01-12,34.19,34.22,33.74,33.91,10437885.0,0.0,1.0,34.19,34.22,33.74,33.91,10437885.0
2015-01-08,34.09,34.71,33.85,34.47,9565560.0,0.0,1.0,34.09,34.71,33.85,34.47,9565560.0
2015-01-06,34.32,34.51,33.34,33.49,14487055.0,0.0,1.0,34.32,34.51,33.34,33.49,14487055.0
2015-01-05,35.4,35.54,34.78,34.88,8617472.0,0.0,1.0,35.4,35.54,34.78,34.88,8617472.0
2015-01-02,36.23,36.45,35.5,35.85,4687480.0,0.0,1.0,36.23,36.45,35.5,35.85,4687480.0
2014-12-31,36.52,36.57,36.16,36.23,4866069.0,0.0,1.0,36.52,36.57,36.16,36.23,4866069.0
2014-12-30,36.72,36.73,36.35,36.43,4032928.0,0.0,1.0,36.72,36.73,36.35,36.43,4032928.0
2014-12-26,36.75,36.85,36.62,36.68,1780997.0,0.0,1.0,36.75,36.85,36.62,36.68,1780997.0
2014-12-24,36.68,36.75,36.48,36.56,1570645.0,0.0,1.0,36.68,36.75,36.48,36.56,1570645.0
2014-12-23,36.7,36.76,36.3,36.63,3535561.0,0.0,1.0,36.7,36.76,36.3,36.63,3535561.0
