Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,82.09,82.3,81.55,82.13,522931.0,0.0,1.0,82.09,82.3,81.55,82.13,522931.0
2015-04-15,81.95,82.63,81.95,82.23,679853.0,0.0,1.0,81.95,82.63,81.95,82.23,679853.0
2015-04-14,81.04,81.8,80.4,81.68,636797.0,0.0,1.0,81.04,81.8,80.4,81.68,636797.0
2015-04-13,81.25,81.75,81.16,81.32,554282.0,0.0,1.0,81.25,81.75,81.16,81.32,554282.0
2015-04-10,81.85,82.49,81.6001,82.325,462240.0,0.0,1.0,81.85,82.49,81.6001,82.325,462240.0
2015-04-09,82.14,82.52,81.24,81.64,472383.0,0.0,1.0,82.14,82.52,81.24,81.64,472383.0
2015-04-08,82.11,82.66,81.32,82.13,688764.0,0.0,1.0,82.11,82.66,81.32,82.13,688764.0
2015-04-07,81.71,82.04,81.1,81.99,962358.0,0.0,1.0,81.71,82.04,81.1,81.99,962358.0
2015-04-06,82.1,82.58,81.69,81.82,726767.0,0.0,1.0,82.1,82.58,81.69,81.82,726767.0
2015-04-02,81.78,82.82,81.78,82.69,525854.0,0.0,1.0,81.78,82.82,81.78,82.69,525854.0
2015-04-01,81.79,82.02,80.66,81.71,691998.0,0.0,1.0,81.79,82.02,80.66,81.71,691998.0
2015-03-31,82.73,82.78,81.44,81.63,673521.0,0.0,1.0,82.73,82.78,81.44,81.63,673521.0
2015-03-30,82.83,83.24,82.53,82.74,444763.0,0.0,1.0,82.83,83.24,82.53,82.74,444763.0
2015-03-27,80.95,82.47,80.91,82.375,748084.0,0.0,1.0,80.95,82.47,80.91,82.375,748084.0
2015-03-26,81.33,81.79,80.76,81.13,685265.0,0.0,1.0,81.33,81.79,80.76,81.13,685265.0
2015-03-25,84.01,84.01,81.48,81.7,1043696.0,0.0,1.0,84.01,84.01,81.48,81.7,1043696.0
2015-03-24,83.94,84.07,83.41,83.725,519990.0,0.0,1.0,83.94,84.07,83.41,83.725,519990.0
2015-03-23,82.55,84.1,82.2,83.83,830831.0,0.0,1.0,82.55,84.1,82.2,83.83,830831.0
2015-03-20,84.3,84.34,82.55,82.55,1465261.0,0.0,1.0,84.3,84.34,82.55,82.55,1465261.0
2015-03-19,87.95,88.23,82.5592,83.96,1548872.0,0.0,1.0,87.95,88.23,82.5592,83.96,1548872.0
