Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,36.11,36.11,35.07,35.28,4545157.0,0.0,1.0,36.11,36.11,35.07,35.28,4545157.0
2015-04-15,35.7,36.375,35.66,36.19,4196696.0,0.0,1.0,35.7,36.375,35.66,36.19,4196696.0
2015-04-14,35.57,35.8,35.4896,35.68,1986463.0,0.0,1.0,35.57,35.8,35.4896,35.68,1986463.0
2015-04-13,35.77,35.8838,35.5,35.58,1793242.0,0.0,1.0,35.77,35.8838,35.5,35.58,1793242.0
2015-04-10,36.0,36.04,35.7,35.82,2779186.0,0.0,1.0,36.0,36.04,35.7,35.82,2779186.0
2015-04-09,35.51,35.92,35.38,35.87,2580763.0,0.0,1.0,35.51,35.92,35.38,35.87,2580763.0
2015-04-08,35.32,35.69,34.92,35.5,3201670.0,0.0,1.0,35.32,35.69,34.92,35.5,3201670.0
2015-04-07,35.56,35.82,35.41,35.41,2366423.0,0.0,1.0,35.56,35.82,35.41,35.41,2366423.0
2015-04-06,35.33,35.61,35.28,35.38,3339699.0,0.0,1.0,35.33,35.61,35.28,35.38,3339699.0
2015-04-02,35.55,35.675,35.42,35.43,3609920.0,0.0,1.0,35.55,35.675,35.42,35.43,3609920.0
2015-04-01,34.51,35.62,34.425,35.5,8217418.0,0.0,1.0,34.51,35.62,34.425,35.5,8217418.0
2015-03-31,34.37,34.82,34.1,34.55,6868589.0,0.0,1.0,34.37,34.82,34.1,34.55,6868589.0
2015-03-30,34.26,34.41,34.04,34.06,4771201.0,0.0,1.0,34.26,34.41,34.04,34.06,4771201.0
2015-03-27,34.59,34.62,34.05,34.1,3438576.0,0.0,1.0,34.59,34.62,34.05,34.1,3438576.0
2015-03-26,34.56,34.74,34.45,34.56,4241963.0,0.0,1.0,34.56,34.74,34.45,34.56,4241963.0
2015-03-25,35.27,35.3,34.64,34.64,2815493.0,0.0,1.0,35.27,35.3,34.64,34.64,2815493.0
2015-03-24,35.41,35.59,35.19,35.19,3335235.0,0.0,1.0,35.41,35.59,35.19,35.19,3335235.0
2015-03-23,35.36,35.65,35.2,35.32,5633335.0,0.0,1.0,35.36,35.65,35.2,35.32,5633335.0
2015-03-20,34.82,35.35,34.81,35.3,8880967.0,0.0,1.0,34.82,35.35,34.81,35.3,8880967.0
2015-03-19,35.07,35.22,34.7962,34.86,3216689.0,0.0,1.0,35.07,35.22,34.7962,34.86,3216689.0
2015-03-18,35.08,35.33,34.77,35.12,7404381.0,0.0,1.0,35.08,35.33,34.77,35.12,7404381.0
2015-03-17,34.36,35.2,34.36,35.13,6137241.0,0.0,1.0,34.36,35.2,34.36,35.13,6137241.0
2015-03-16,34.66,34.7,34.41,34.5,5723397.0,0.0,1.0,34.66,34.7,34.41,34.5,5723397.0
2015-03-13,35.07,35.07,34.2,34.42,7146849.0,0.0,1.0,35.07,35.07,34.2,34.42,7146849.0
2015-03-12,35.36,35.635,35.07,35.21,3962555.0,0.0,1.0,35.36,35.635,35.07,35.21,3962555.0
2015-03-11,35.08,35.45,34.95,35.29,3019831.0,0.0,1.0,35.08,35.45,34.95,35.29,3019831.0
2015-03-10,35.09,35.28,34.9,35.13,3482898.0,0.0,1.0,35.09,35.28,34.9,35.13,3482898.0
2015-03-09,35.45,35.51,35.12,35.23,3639731.0,0.0,1.0,35.45,35.51,35.12,35.23,3639731.0
2015-03-06,35.9,35.96,35.36,35.42,3920300.0,0.0,1.0,35.9,35.96,35.36,35.42,3920300.0
2015-03-05,36.37,36.395,35.58,36.13,4595649.0,0.0,1.0,36.37,36.395,35.58,36.13,4595649.0
2015-03-04,37.04,37.14,36.055,36.25,6423561.0,0.0,1.0,37.04,37.14,36.055,36.25,6423561.0
2015-03-03,37.64,37.96,37.51,37.68,3594411.0,0.0,1.0,37.64,37.96,37.51,37.68,3594411.0
2015-03-02,38.06,38.33,37.38,37.63,4453160.0,0.0,1.0,38.06,38.33,37.38,37.63,4453160.0
2015-02-27,37.4,37.99,37.3,37.86,4959886.0,0.0,1.0,37.4,37.99,37.3,37.86,4959886.0
2015-02-26,37.39,37.61,37.105,37.4,4527963.0,0.0,1.0,37.39,37.61,37.105,37.4,4527963.0
2015-02-25,37.28,37.47,37.09,37.3,3045561.0,0.0,1.0,36.75575,36.943078125,36.568421875,36.77546875,3045561.0
2015-02-24,36.55,37.19,36.21,37.06,3960731.0,0.0,1.0,36.036015625,36.667015625,35.700796875,36.53884375,3960731.0
