Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,101.78,101.92,101.02,101.17,4053381.0,0.0,1.0,101.78,101.92,101.02,101.17,4053381.0
2015-04-15,102.25,102.51,101.57,101.73,4363356.0,0.0,1.0,102.25,102.51,101.57,101.73,4363356.0
2015-04-14,102.23,102.7554,101.38,102.11,4654242.0,0.0,1.0,102.23,102.7554,101.38,102.11,4654242.0
2015-04-13,102.47,103.16,102.0,102.14,6392530.0,0.0,1.0,102.47,103.16,102.0,102.14,6392530.0
2015-04-10,102.56,102.8,102.02,102.54,3606387.0,0.0,1.0,102.56,102.8,102.02,102.54,3606387.0
2015-04-09,103.04,103.29,101.84,102.37,5601764.0,0.0,1.0,103.04,103.29,101.84,102.37,5601764.0
2015-04-08,103.25,103.88,102.75,102.93,3303075.0,0.0,1.0,103.25,103.88,102.75,102.93,3303075.0
2015-04-07,103.39,104.45,103.095,103.13,2918389.0,0.0,1.0,103.39,104.45,103.095,103.13,2918389.0
2015-04-06,102.1,103.95,102.03,103.43,3209875.0,0.0,1.0,102.1,103.95,102.03,103.43,3209875.0
2015-04-02,101.73,103.27,101.72,102.71,3028471.0,0.0,1.0,101.73,103.27,101.72,102.71,3028471.0
2015-04-01,102.66,102.73,101.3,102.26,4582687.0,0.0,1.0,102.66,102.73,101.3,102.26,4582687.0
2015-03-31,103.82,104.3,103.14,103.21,3761127.0,0.0,1.0,103.82,104.3,103.14,103.21,3761127.0
2015-03-30,102.39,104.1,101.96,103.83,3968112.0,0.0,1.0,102.39,104.1,101.96,103.83,3968112.0
2015-03-27,101.97,102.95,101.91,102.5,4515118.0,0.0,1.0,101.97,102.95,101.91,102.5,4515118.0
2015-03-26,102.46,102.89,101.7806,101.99,4264053.0,0.0,1.0,102.46,102.89,101.7806,101.99,4264053.0
2015-03-25,104.92,104.93,102.71,102.73,4063116.0,0.0,1.0,104.92,104.93,102.71,102.73,4063116.0
2015-03-24,104.63,105.4599,104.37,104.49,3516225.0,0.0,1.0,104.63,105.4599,104.37,104.49,3516225.0
2015-03-23,104.05,105.35,103.95,104.56,4162319.0,0.0,1.0,104.05,105.35,103.95,104.56,4162319.0
2015-03-20,104.0,104.69,103.49,103.86,8579770.0,0.0,1.0,104.0,104.69,103.49,103.86,8579770.0
2015-03-19,103.58,103.7271,103.12,103.34,3374128.0,0.0,1.0,103.58,103.7271,103.12,103.34,3374128.0
2015-03-18,102.77,103.85,101.76,103.49,6065775.0,0.0,1.0,102.77,103.85,101.76,103.49,6065775.0
2015-03-17,103.95,104.04,103.02,103.02,4606976.0,0.0,1.0,103.95,104.04,103.02,103.02,4606976.0
2015-03-16,103.66,104.52,103.51,104.39,4826233.0,0.0,1.0,103.66,104.52,103.51,104.39,4826233.0
2015-03-13,103.11,103.92,102.74,103.26,4595095.0,0.0,1.0,103.11,103.92,102.74,103.26,4595095.0
2015-03-12,101.98,103.17,101.87,102.96,3720475.0,0.0,1.0,101.98,103.17,101.87,102.96,3720475.0
2015-03-11,101.93,102.15,101.51,101.56,3319946.0,0.0,1.0,101.93,102.15,101.51,101.56,3319946.0
2015-03-10,101.59,102.34,101.5,101.53,3951269.0,0.0,1.0,101.59,102.34,101.5,101.53,3951269.0
2015-03-09,102.09,102.76,101.7854,102.5,4217182.0,0.0,1.0,102.09,102.76,101.7854,102.5,4217182.0
2015-03-06,102.43,102.6899,101.55,101.9,4639796.0,0.0,1.0,102.43,102.6899,101.55,101.9,4639796.0
2015-03-05,103.5,103.55,102.68,103.36,3619059.0,0.0,1.0,103.5,103.55,102.68,103.36,3619059.0
2015-03-04,103.06,103.445,102.77,103.08,3079494.0,0.0,1.0,103.06,103.445,102.77,103.08,3079494.0
2015-03-03,104.17,104.38,102.96,103.45,4044451.0,0.0,1.0,104.17,104.38,102.96,103.45,4044451.0
2015-03-02,104.1,104.84,104.01,104.19,3189154.0,0.0,1.0,104.1,104.84,104.01,104.19,3189154.0
2015-02-27,103.75,104.52,103.61,103.87,3808864.0,0.0,1.0,103.75,104.52,103.61,103.87,3808864.0
2015-02-26,103.5,104.48,103.47,104.17,3497576.0,0.0,1.0,103.5,104.48,103.47,104.17,3497576.0
2015-02-25,103.17,104.09,103.04,103.44,3655738.0,0.0,1.0,103.17,104.09,103.04,103.44,3655738.0
2015-02-24,103.49,103.55,102.72,103.36,3424010.0,0.0,1.0,103.49,103.55,102.72,103.36,3424010.0
2015-02-23,102.89,103.66,102.5,103.26,3619508.0,0.0,1.0,102.89,103.66,102.5,103.26,3619508.0
2015-02-20,102.31,102.72,101.87,102.7,4308539.0,0.0,1.0,102.31,102.72,101.87,102.7,4308539.0
2015-02-19,104.02,104.2547,102.45,102.62,3577130.0,0.0,1.0,104.02,104.2547,102.45,102.62,3577130.0
2015-02-18,103.31,104.17,103.015,104.1,3852741.0,0.0,1.0,103.31,104.17,103.015,104.1,3852741.0
2015-02-17,102.21,103.56,101.79,103.55,5327447.0,0.0,1.0,102.21,103.56,101.79,103.55,5327447.0
2015-02-13,103.18,103.13,102.23,102.63,4112038.0,0.0,1.0,103.18,103.13,102.23,102.63,4112038.0
2015-02-12,103.24,103.15,101.56,103.0,5276517.0,0.0,1.0,103.24,103.15,101.56,103.0,5276517.0
2015-02-11,101.59,103.29,101.55,102.59,6895095.0,0.0,1.0,101.59,103.29,101.55,102.59,6895095.0
2015-02-10,100.91,101.88,98.36,101.68,9773473.0,0.0,1.0,100.91,101.88,98.36,101.68,9773473.0
2015-02-09,100.6,100.765,99.05,99.56,5447855.0,0.0,1.0,100.6,100.765,99.05,99.56,5447855.0
2015-02-06,100.62,101.45,100.17,100.61,4571170.0,0.0,1.0,100.62,101.45,100.17,100.61,4571170.0
