Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,109.9,110.94,109.0,110.16,5870008.0,0.0,1.0,109.9,110.94,109.0,110.16,5870008.0
2015-04-15,109.59,110.69,109.38,110.41,6669199.0,0.0,1.0,109.59,110.69,109.38,110.41,6669199.0
2015-04-14,107.7,109.0899,107.26,108.84,6865033.0,0.0,1.0,107.7,109.0899,107.26,108.84,6865033.0
2015-04-13,107.35,107.9,106.44,106.5,4216747.0,0.0,1.0,107.35,107.9,106.44,106.5,4216747.0
2015-04-10,107.47,107.66,106.81,106.91,5005748.0,0.0,1.0,107.47,107.66,106.81,106.91,5005748.0
2015-04-09,106.8,107.24,106.1801,106.95,5750096.0,0.0,1.0,106.8,107.24,106.1801,106.95,5750096.0
2015-04-08,108.86,108.92,106.52,106.66,7888971.0,0.0,1.0,108.86,108.92,106.52,106.66,7888971.0
2015-04-07,106.97,109.09,106.62,108.54,8526943.0,0.0,1.0,106.97,109.09,106.62,108.54,8526943.0
2015-04-06,106.03,107.86,105.22,106.92,6701721.0,0.0,1.0,106.03,107.86,105.22,106.92,6701721.0
2015-04-02,104.45,105.6799,104.08,105.28,5077713.0,0.0,1.0,104.45,105.6799,104.08,105.28,5077713.0
2015-04-01,105.77,106.22,104.5,104.79,7323097.0,0.0,1.0,105.77,106.22,104.5,104.79,7323097.0
2015-03-31,105.62,106.07,104.88,104.98,7203310.0,0.0,1.0,105.62,106.07,104.88,104.98,7203310.0
2015-03-30,104.97,107.21,104.97,106.9,7152607.0,0.0,1.0,104.97,107.21,104.97,106.9,7152607.0
2015-03-27,104.99,104.99,103.67,104.28,5718688.0,0.0,1.0,104.99,104.99,103.67,104.28,5718688.0
2015-03-26,106.28,106.52,104.16,105.25,7249638.0,0.0,1.0,106.28,106.52,104.16,105.25,7249638.0
2015-03-25,104.66,106.195,104.33,105.67,8892149.0,0.0,1.0,104.66,106.195,104.33,105.67,8892149.0
2015-03-24,105.92,106.19,104.16,104.2,6509590.0,0.0,1.0,105.92,106.19,104.16,104.2,6509590.0
2015-03-23,107.51,107.69,105.92,105.92,6770172.0,0.0,1.0,107.51,107.69,105.92,105.92,6770172.0
2015-03-20,105.29,107.26,105.11,107.03,13072791.0,0.0,1.0,105.29,107.26,105.11,107.03,13072791.0
2015-03-19,105.1,105.4,104.65,104.75,7716176.0,0.0,1.0,105.1,105.4,104.65,104.75,7716176.0
2015-03-18,102.61,106.88,102.37,106.7,11026664.0,0.0,1.0,102.61,106.88,102.37,106.7,11026664.0
2015-03-17,102.3,103.545,102.1,103.17,7070421.0,0.0,1.0,102.3,103.545,102.1,103.17,7070421.0
2015-03-16,101.44,103.27,101.0,103.13,6613086.0,0.0,1.0,101.44,103.27,101.0,103.13,6613086.0
2015-03-13,101.84,101.84,100.66,101.62,8286047.0,0.0,1.0,101.84,101.84,100.66,101.62,8286047.0
2015-03-12,104.22,104.51,102.3,102.42,5824236.0,0.0,1.0,104.22,104.51,102.3,102.42,5824236.0
2015-03-11,103.52,103.89,102.45,103.54,8435424.0,0.0,1.0,103.52,103.89,102.45,103.54,8435424.0
2015-03-10,103.79,104.55,102.3301,102.91,10679023.0,0.0,1.0,103.79,104.55,102.3301,102.91,10679023.0
2015-03-09,103.6,105.63,103.5,103.95,7506197.0,0.0,1.0,103.6,105.63,103.5,103.95,7506197.0
2015-03-06,104.22,104.52,103.165,103.55,7213295.0,0.0,1.0,104.22,104.52,103.165,103.55,7213295.0
2015-03-05,105.01,105.31,104.33,104.73,5156898.0,0.0,1.0,105.01,105.31,104.33,104.73,5156898.0
2015-03-04,105.64,105.64,104.44,105.16,5784526.0,0.0,1.0,105.64,105.64,104.44,105.16,5784526.0
2015-03-03,105.88,106.215,104.8097,105.16,6890566.0,0.0,1.0,105.88,106.215,104.8097,105.16,6890566.0
2015-03-02,106.32,106.34,104.93,105.9,7308766.0,0.0,1.0,106.32,106.34,104.93,105.9,7308766.0
2015-02-27,107.52,107.73,106.57,106.68,6396479.0,0.0,1.0,107.52,107.73,106.57,106.68,6396479.0
2015-02-26,107.89,107.92,106.6,107.06,5899249.0,0.0,1.0,107.89,107.92,106.6,107.06,5899249.0
2015-02-25,108.12,108.78,107.76,108.58,4806219.0,0.0,1.0,108.12,108.78,107.76,108.58,4806219.0
2015-02-24,107.89,108.24,107.34,107.96,5705982.0,0.0,1.0,107.89,108.24,107.34,107.96,5705982.0
2015-02-23,107.77,108.5,107.35,107.86,6704166.0,0.0,1.0,107.77,108.5,107.35,107.86,6704166.0
2015-02-20,108.31,108.87,107.5,108.6,7579938.0,0.0,1.0,108.31,108.87,107.5,108.6,7579938.0
2015-02-19,108.0,109.58,107.24,108.35,9660981.0,0.0,1.0,108.0,109.58,107.24,108.35,9660981.0
