Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,71.89,72.68,71.6,72.25,3273344.0,0.0,1.0,71.89,72.68,71.6,72.25,3273344.0
2015-04-15,72.28,72.75,72.01,72.1,3380942.0,0.0,1.0,72.28,72.75,72.01,72.1,3380942.0
2015-04-14,72.0,72.441,71.63,72.26,1994282.0,0.0,1.0,72.0,72.441,71.63,72.26,1994282.0
2015-04-13,72.23,72.581,71.86,71.96,2427159.0,0.0,1.0,72.23,72.581,71.86,71.96,2427159.0
2015-04-10,72.0,72.25,71.67,72.23,2280413.0,0.0,1.0,72.0,72.25,71.67,72.23,2280413.0
2015-04-09,71.83,72.42,71.65,71.93,2221472.0,0.0,1.0,71.83,72.42,71.65,71.93,2221472.0
2015-04-08,71.95,72.3,71.19,71.74,2761841.0,0.0,1.0,71.95,72.3,71.19,71.74,2761841.0
2015-04-07,71.99,72.86,71.6,71.67,3644356.0,0.0,1.0,71.99,72.86,71.6,71.67,3644356.0
2015-04-06,70.64,72.14,70.62,72.0,5420307.0,0.0,1.0,70.64,72.14,70.62,72.0,5420307.0
2015-04-02,71.01,71.65,70.71,71.39,8861222.0,0.0,1.0,71.01,71.65,70.71,71.39,8861222.0
2015-04-01,71.54,71.605,70.58,70.98,5297390.0,0.0,1.0,71.54,71.605,70.58,70.98,5297390.0
2015-03-31,72.21,72.34,71.36,71.47,4746972.0,0.0,1.0,72.21,72.34,71.36,71.47,4746972.0
2015-03-30,72.05,73.2,72.05,72.58,4057419.0,0.0,1.0,72.05,73.2,72.05,72.58,4057419.0
2015-03-27,71.75,72.33,71.55,71.65,4145403.0,0.0,1.0,71.75,72.33,71.55,71.65,4145403.0
2015-03-26,71.71,72.04,71.26,71.76,4605797.0,0.0,1.0,71.71,72.04,71.26,71.76,4605797.0
2015-03-25,73.78,74.01,72.02,72.03,5038356.0,0.0,1.0,73.78,74.01,72.02,72.03,5038356.0
2015-03-24,74.11,74.56,73.59,73.6,3982006.0,0.0,1.0,74.11,74.56,73.59,73.6,3982006.0
2015-03-23,74.06,74.96,73.87,74.42,4291479.0,0.0,1.0,74.06,74.96,73.87,74.42,4291479.0
