Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,17.71,17.9,17.57,17.77,901418.0,0.0,1.0,17.71,17.9,17.57,17.77,901418.0
2015-04-15,17.6,17.84,17.58,17.73,1073824.0,0.0,1.0,17.6,17.84,17.58,17.73,1073824.0
2015-04-14,17.53,17.58,17.31,17.56,657968.0,0.0,1.0,17.53,17.58,17.31,17.56,657968.0
2015-04-13,17.34,17.54,17.28,17.51,720882.0,0.0,1.0,17.34,17.54,17.28,17.51,720882.0
2015-04-10,17.54,17.54,17.35,17.44,540190.0,0.0,1.0,17.54,17.54,17.35,17.44,540190.0
2015-04-09,17.5,17.53,17.27,17.47,587095.0,0.0,1.0,17.5,17.53,17.27,17.47,587095.0
2015-04-08,17.16,17.5,17.05,17.49,1167728.0,0.0,1.0,17.16,17.5,17.05,17.49,1167728.0
2015-04-07,17.07,17.23,16.975,17.16,967116.0,0.0,1.0,17.07,17.23,16.975,17.16,967116.0
2015-04-06,16.97,17.175,16.95,17.11,1724083.0,0.0,1.0,16.97,17.175,16.95,17.11,1724083.0
2015-04-02,16.77,17.15,16.73,17.07,1598953.0,0.0,1.0,16.77,17.15,16.73,17.07,1598953.0
2015-04-01,16.47,16.77,16.45,16.75,1536411.0,0.0,1.0,16.47,16.77,16.45,16.75,1536411.0
2015-03-31,16.6,16.77,16.46,16.53,1478891.0,0.0,1.0,16.6,16.77,16.46,16.53,1478891.0
2015-03-30,16.11,16.72,16.06,16.64,1352450.0,0.0,1.0,16.11,16.72,16.06,16.64,1352450.0
2015-03-27,15.87,16.1,15.72,16.03,1118837.0,0.0,1.0,15.87,16.1,15.72,16.03,1118837.0
2015-03-26,16.21,16.4,15.8,15.87,1149022.0,0.0,1.0,16.21,16.4,15.8,15.87,1149022.0
2015-03-25,16.58,16.8001,16.41,16.41,1919759.0,0.0,1.0,16.58,16.8001,16.41,16.41,1919759.0
