Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,58.84,59.48,58.71,59.42,2505836.0,0.0,1.0,58.84,59.48,58.71,59.42,2505836.0
2015-04-15,59.9,59.9,58.93,58.95,3439971.0,0.0,1.0,59.9,59.9,58.93,58.95,3439971.0
2015-04-14,58.04,58.62,57.84,58.43,2299922.0,0.0,1.0,58.04,58.62,57.84,58.43,2299922.0
2015-04-13,57.92,58.27,57.88,57.88,2100794.0,0.0,1.0,57.92,58.27,57.88,57.88,2100794.0
2015-04-10,57.5,58.02,57.4,57.96,2827574.0,0.0,1.0,57.5,58.02,57.4,57.96,2827574.0
2015-04-09,57.17,57.68,56.88,57.44,2863886.0,0.0,1.0,57.17,57.68,56.88,57.44,2863886.0
2015-04-08,57.39,58.0,57.22,57.48,2825292.0,0.0,1.0,57.39,58.0,57.22,57.48,2825292.0
2015-04-07,57.99,58.02,57.18,57.18,2999873.0,0.0,1.0,57.99,58.02,57.18,57.18,2999873.0
2015-04-06,57.49,58.23,57.19,57.8,2741855.0,0.0,1.0,57.49,58.23,57.19,57.8,2741855.0
2015-04-02,57.63,58.24,57.43,58.2,3057161.0,0.0,1.0,57.63,58.24,57.43,58.2,3057161.0
2015-04-01,56.19,57.735,56.17,57.63,4260012.0,0.0,1.0,56.19,57.735,56.17,57.63,4260012.0
2015-03-31,56.6,56.83,56.04,56.35,4236748.0,0.0,1.0,56.6,56.83,56.04,56.35,4236748.0
2015-03-30,56.76,57.23,56.76,56.79,2370165.0,0.0,1.0,56.76,57.23,56.76,56.79,2370165.0
2015-03-27,56.93,57.19,56.53,56.57,3086949.0,0.0,1.0,56.93,57.19,56.53,56.57,3086949.0
2015-03-26,56.82,57.2383,56.58,56.8,3650456.0,0.0,1.0,56.82,57.2383,56.58,56.8,3650456.0
2015-03-25,57.94,58.11,57.12,57.14,3220720.0,0.0,1.0,57.94,58.11,57.12,57.14,3220720.0
2015-03-24,58.7,58.76,57.73,57.77,4419884.0,0.0,1.0,58.7,58.76,57.73,57.77,4419884.0
2015-03-23,59.52,59.89,58.89,58.89,2496644.0,0.0,1.0,59.52,59.89,58.89,58.89,2496644.0
2015-03-20,58.78,59.62,58.61,59.41,3837550.0,0.0,1.0,58.78,59.62,58.61,59.41,3837550.0
2015-03-19,58.76,59.04,58.43,58.59,2437216.0,0.0,1.0,58.76,59.04,58.43,58.59,2437216.0
2015-03-18,58.81,59.09,58.01,58.95,4082562.0,0.0,1.0,58.81,59.09,58.01,58.95,4082562.0
2015-03-17,59.25,59.35,58.78,58.91,3001784.0,0.0,1.0,59.25,59.35,58.78,58.91,3001784.0
2015-03-16,59.48,59.67,59.06,59.5,2805616.0,0.0,1.0,59.48,59.67,59.06,59.5,2805616.0
2015-03-13,59.89,60.09,58.72,59.34,3144416.0,0.0,1.0,59.89,60.09,58.72,59.34,3144416.0
2015-03-12,59.24,60.17,59.01,59.88,5286011.0,0.0,1.0,59.24,60.17,59.01,59.88,5286011.0
2015-03-11,57.99,58.16,57.77,57.85,3595566.0,0.0,1.0,57.99,58.16,57.77,57.85,3595566.0
2015-03-10,58.32,58.54,57.76,57.76,3650681.0,0.0,1.0,58.32,58.54,57.76,57.76,3650681.0
2015-03-09,58.88,59.09,58.44,59.0,3676527.0,0.0,1.0,58.88,59.09,58.44,59.0,3676527.0
2015-03-06,59.1,60.1,58.77,58.9,4441154.0,0.0,1.0,59.1,60.1,58.77,58.9,4441154.0
2015-03-05,59.25,59.5,58.95,59.1,2713994.0,0.0,1.0,59.25,59.5,58.95,59.1,2713994.0
2015-03-04,59.8,59.87,59.03,59.31,3452773.0,0.0,1.0,59.8,59.87,59.03,59.31,3452773.0
2015-03-03,60.1,60.25,59.475,59.95,3609472.0,0.0,1.0,60.1,60.25,59.475,59.95,3609472.0
2015-03-02,60.94,61.23,60.0,60.26,4492904.0,0.0,1.0,60.94,61.23,60.0,60.26,4492904.0
2015-02-27,61.23,61.5,60.91,60.98,3209068.0,0.0,1.0,61.23,61.5,60.91,60.98,3209068.0
2015-02-26,61.05,61.455,60.97,61.26,3660138.0,0.0,1.0,61.05,61.455,60.97,61.26,3660138.0
2015-02-25,60.79,61.2,60.41,61.13,3210142.0,0.0,1.0,60.79,61.2,60.41,61.13,3210142.0
2015-02-24,60.53,60.97,60.41,60.76,3054849.0,0.0,1.0,60.53,60.97,60.41,60.76,3054849.0
2015-02-23,60.5,60.66,60.04,60.63,3452278.0,0.0,1.0,60.5,60.66,60.04,60.63,3452278.0
2015-02-20,59.52,60.58,59.3725,60.54,4553072.0,0.0,1.0,59.52,60.58,59.3725,60.54,4553072.0
2015-02-19,59.16,60.0,59.09,59.65,3010957.0,0.0,1.0,59.16,60.0,59.09,59.65,3010957.0
2015-02-18,58.87,59.5,58.575,59.26,3510085.0,0.0,1.0,58.87,59.5,58.575,59.26,3510085.0
2015-02-17,59.52,59.72,58.58,58.91,5672132.0,0.0,1.0,59.52,59.72,58.58,58.91,5672132.0
