Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,28.89,28.89,28.27,28.46,5447045.0,0.0,1.0,28.89,28.89,28.27,28.46,5447045.0
2015-04-15,28.86,29.25,28.73,29.04,3995107.0,0.0,1.0,28.86,29.25,28.73,29.04,3995107.0
2015-04-14,28.39,28.77,28.13,28.74,3030267.0,0.0,1.0,28.39,28.77,28.13,28.74,3030267.0
2015-04-13,28.55,28.7019,28.29,28.38,2066850.0,0.0,1.0,28.55,28.7019,28.29,28.38,2066850.0
2015-04-10,28.48,28.64,28.19,28.61,2520185.0,0.0,1.0,28.48,28.64,28.19,28.61,2520185.0
2015-04-09,28.43,28.69,27.87,28.48,3542458.0,0.0,1.0,28.43,28.69,27.87,28.48,3542458.0
2015-04-08,28.03,28.58,27.95,28.54,3600783.0,0.0,1.0,28.03,28.58,27.95,28.54,3600783.0
2015-04-07,28.73,28.775,27.95,28.03,4282247.0,0.0,1.0,28.73,28.775,27.95,28.03,4282247.0
2015-04-06,28.86,29.29,28.6,28.71,4472473.0,0.0,1.0,28.86,29.29,28.6,28.71,4472473.0
2015-04-02,28.34,29.08,28.27,29.01,5054416.0,0.0,1.0,28.34,29.08,28.27,29.01,5054416.0
2015-04-01,28.6,28.6,28.1,28.25,5172442.0,0.0,1.0,28.6,28.6,28.1,28.25,5172442.0
2015-03-31,28.18,28.77,27.8,28.48,6741800.0,0.0,1.0,28.18,28.77,27.8,28.48,6741800.0
2015-03-30,27.58,28.23,27.48,28.01,4347427.0,0.0,1.0,27.58,28.23,27.48,28.01,4347427.0
2015-03-27,26.79,27.53,26.72,27.43,3638371.0,0.0,1.0,26.79,27.53,26.72,27.43,3638371.0
2015-03-26,26.77,26.99,26.58,26.69,3049994.0,0.0,1.0,26.77,26.99,26.58,26.69,3049994.0
2015-03-25,27.45,27.81,26.85,26.91,4528625.0,0.0,1.0,27.45,27.81,26.85,26.91,4528625.0
2015-03-24,26.98,27.89,26.86,27.43,3908012.0,0.0,1.0,26.98,27.89,26.86,27.43,3908012.0
2015-03-23,27.28,27.5,27.12,27.12,2892868.0,0.0,1.0,27.28,27.5,27.12,27.12,2892868.0
2015-03-20,27.23,27.74,27.19,27.33,5470773.0,0.0,1.0,27.23,27.74,27.19,27.33,5470773.0
2015-03-19,27.32,27.61,26.59,26.95,4542904.0,0.0,1.0,27.32,27.61,26.59,26.95,4542904.0
2015-03-18,26.37,27.35,26.101,27.1,5365429.0,0.0,1.0,26.37,27.35,26.101,27.1,5365429.0
2015-03-17,26.48,26.55,26.17,26.36,3383179.0,0.0,1.0,26.48,26.55,26.17,26.36,3383179.0
2015-03-16,26.57,26.845,26.46,26.62,3584077.0,0.0,1.0,26.57,26.845,26.46,26.62,3584077.0
2015-03-13,26.48,26.76,26.14,26.35,2208528.0,0.0,1.0,26.48,26.76,26.14,26.35,2208528.0
2015-03-12,26.14,26.63,26.07,26.6,2685828.0,0.0,1.0,26.14,26.63,26.07,26.6,2685828.0
2015-03-11,25.94,26.26,25.77,25.99,2670442.0,0.0,1.0,25.94,26.26,25.77,25.99,2670442.0
2015-03-10,25.92,26.185,25.84,25.91,3483239.0,0.0,1.0,25.92,26.185,25.84,25.91,3483239.0
2015-03-09,26.44,26.53,26.14,26.21,3294347.0,0.0,1.0,26.44,26.53,26.14,26.21,3294347.0
2015-03-06,26.79,26.85,26.0,26.17,5816994.0,0.0,1.0,26.79,26.85,26.0,26.17,5816994.0
2015-03-05,26.97,27.1,26.83,27.02,2296286.0,0.0,1.0,26.97,27.1,26.83,27.02,2296286.0
2015-03-04,26.48,26.99,26.39,26.87,3488330.0,0.0,1.0,26.48,26.99,26.39,26.87,3488330.0
2015-03-03,27.07,27.14,26.54,26.57,4809091.0,0.0,1.0,27.07,27.14,26.54,26.57,4809091.0
2015-03-02,27.35,27.53,27.08,27.14,3120515.0,0.0,1.0,27.35,27.53,27.08,27.14,3120515.0
2015-02-27,27.23,27.53,27.15,27.31,2948548.0,0.0,1.0,27.23,27.53,27.15,27.31,2948548.0
2015-02-26,27.34,27.42,27.01,27.22,4209168.0,0.0,1.0,27.34,27.42,27.01,27.22,4209168.0
2015-02-25,27.65,27.79,27.3,27.38,3584606.0,0.0,1.0,27.65,27.79,27.3,27.38,3584606.0
2015-02-24,27.7,27.84,27.39,27.63,5573141.0,0.0,1.0,27.7,27.84,27.39,27.63,5573141.0
2015-02-23,27.3,27.46,26.75,27.14,3823470.0,0.0,1.0,27.3,27.46,26.75,27.14,3823470.0
2015-02-20,27.33,27.33,26.92,27.32,3610556.0,0.0,1.0,27.33,27.33,26.92,27.32,3610556.0
2015-02-19,27.18,27.6,27.05,27.33,3400148.0,0.0,1.0,27.18,27.6,27.05,27.33,3400148.0
2015-02-18,27.32,27.4,26.94,27.22,5025540.0,0.0,1.0,27.32,27.4,26.94,27.22,5025540.0
2015-02-17,27.08,27.4,26.82,27.37,3915940.0,0.0,1.0,27.08,27.4,26.82,27.37,3915940.0
2015-02-13,27.17,27.37,27.0,27.19,3450576.0,0.0,1.0,27.17,27.37,27.0,27.19,3450576.0
2015-02-12,26.92,27.36,26.77,27.34,3430569.0,0.0,1.0,26.92,27.36,26.77,27.34,3430569.0
2015-02-11,27.04,27.19,26.63,26.84,4754398.0,0.0,1.0,27.04,27.19,26.63,26.84,4754398.0
2015-02-10,26.55,27.08,26.34,26.9,6184669.0,0.0,1.0,26.55,27.08,26.34,26.9,6184669.0
2015-02-09,26.32,26.78,26.31,26.45,6181790.0,0.0,1.0,26.32,26.78,26.31,26.45,6181790.0
2015-02-06,25.9,26.89,25.85,26.49,11377670.0,0.0,1.0,25.9,26.89,25.85,26.49,11377670.0
2015-02-05,25.86,26.08,25.3238,25.78,7541843.0,0.0,1.0,25.86,26.08,25.3238,25.78,7541843.0
2015-02-04,25.3,26.13,25.24,25.91,9856726.0,0.0,1.0,25.3,26.13,25.24,25.91,9856726.0
2015-02-03,24.94,25.48,24.71,25.47,9132310.0,0.0,1.0,24.879505640473,25.418195818735,24.650063527509,25.408220074693,9132310.0
2015-02-02,24.62,25.035,24.38,24.85,9966450.0,0.0,1.0,24.560281831132,24.974275208871,24.320863974127,24.789723944096,9966450.0
2015-01-30,24.59,24.84,24.28,24.52,7578152.0,0.0,1.0,24.530354599007,24.779748200054,24.221106533708,24.460524390713,7578152.0
2015-01-29,23.98,24.915,23.95,24.84,7360167.0,0.0,1.0,23.921834212451,24.854566280368,23.891906980326,24.779748200054,7360167.0
2015-01-28,24.38,24.44,23.88,23.88,6318995.0,0.0,1.0,24.320863974127,24.380718438378,23.822076772032,23.822076772032,6318995.0
2015-01-26,24.51,24.98,23.8,24.38,13984480.0,0.0,1.0,24.450548646672,24.91940861664,23.742270819697,24.320863974127,13984480.0
2015-01-23,23.79,23.84,23.01,23.1,11367640.0,0.0,1.0,23.732295075655,23.782173795865,22.954187040388,23.043968736765,11367640.0
2015-01-22,23.52,23.81,23.22,23.69,5610065.0,0.0,1.0,23.462949986524,23.752246563739,23.163677665268,23.632537635237,5610065.0
2015-01-21,22.98,23.56,22.98,23.41,5486618.0,0.0,1.0,22.924259808262,23.502852962692,22.924259808262,23.353216802064,5486618.0
2015-01-20,23.72,23.72,22.63,22.95,6555904.0,0.0,1.0,23.662464867362,23.662464867362,22.575108766796,22.894332576137,6555904.0
2015-01-15,25.01,25.29,23.11,23.18,14660570.0,0.0,1.0,24.949335848766,25.228656681939,23.053944480807,23.1237746891,14660570.0
