Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,107.15,108.3,106.9,108.1,6338533.0,0.0,1.0,107.15,108.3,106.9,108.1,6338533.0
2015-04-15,106.92,107.43,106.86,106.98,4307265.0,0.0,1.0,106.92,107.43,106.86,106.98,4307265.0
2015-04-14,106.41,107.3,106.11,106.66,5366587.0,0.0,1.0,106.41,107.3,106.11,106.66,5366587.0
2015-04-13,107.07,107.9,106.47,106.51,4127169.0,0.0,1.0,107.07,107.9,106.47,106.51,4127169.0
2015-04-10,106.73,107.1,106.41,106.95,3250296.0,0.0,1.0,106.73,107.1,106.41,106.95,3250296.0
2015-04-09,106.51,107.0,105.88,106.77,3920637.0,0.0,1.0,106.51,107.0,105.88,106.77,3920637.0
2015-04-08,105.23,106.69,105.16,106.36,4267118.0,0.0,1.0,105.23,106.69,105.16,106.36,4267118.0
2015-04-07,105.8,106.41,105.4,105.43,4562347.0,0.0,1.0,105.8,106.41,105.4,105.43,4562347.0
2015-04-06,105.31,106.57,105.04,105.63,4153418.0,0.0,1.0,105.31,106.57,105.04,105.63,4153418.0
2015-04-02,105.49,106.24,104.863,106.0,3621838.0,0.0,1.0,105.49,106.24,104.863,106.0,3621838.0
2015-04-01,105.43,106.0,104.25,105.44,6094791.0,0.0,1.0,105.43,106.0,104.25,105.44,6094791.0
2015-03-31,105.6,106.32,104.89,104.89,5655079.0,0.0,1.0,105.6,106.32,104.89,104.89,5655079.0
2015-03-30,106.06,106.945,106.05,106.12,3811120.0,0.0,1.0,106.06,106.945,106.05,106.12,3811120.0
2015-03-27,105.2,106.45,104.88,105.48,5298532.0,0.0,1.0,105.2,106.45,104.88,105.48,5298532.0
2015-03-26,104.47,105.82,104.1,105.24,5904804.0,0.0,1.0,104.47,105.82,104.1,105.24,5904804.0
