Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,134.14,134.56,133.135,134.01,239295.0,0.0,1.0,134.14,134.56,133.135,134.01,239295.0
2015-04-15,132.62,134.92,132.19,134.74,298065.0,0.0,1.0,132.62,134.92,132.19,134.74,298065.0
2015-04-14,129.76,132.44,129.543,132.37,365388.0,0.0,1.0,129.76,132.44,129.543,132.37,365388.0
2015-04-13,130.46,130.97,129.66,130.06,151693.0,0.0,1.0,130.46,130.97,129.66,130.06,151693.0
2015-04-10,130.91,131.3,130.01,130.91,119062.0,0.0,1.0,130.91,131.3,130.01,130.91,119062.0
2015-04-09,129.41,130.71,129.12,130.37,150356.0,0.0,1.0,129.41,130.71,129.12,130.37,150356.0
2015-04-08,128.59,129.59,128.06,129.46,187444.0,0.0,1.0,128.59,129.59,128.06,129.46,187444.0
2015-04-07,129.74,129.74,128.41,128.44,121921.0,0.0,1.0,129.74,129.74,128.41,128.44,121921.0
2015-04-06,127.99,130.71,127.76,129.73,136726.0,0.0,1.0,127.99,130.71,127.76,129.73,136726.0
2015-04-02,129.21,130.21,128.24,129.08,142590.0,0.0,1.0,129.21,130.21,128.24,129.08,142590.0
2015-04-01,128.46,129.22,126.85,129.03,231473.0,0.0,1.0,128.46,129.22,126.85,129.03,231473.0
2015-03-31,128.55,130.21,128.14,128.36,376104.0,0.0,1.0,128.55,130.21,128.14,128.36,376104.0
2015-03-30,126.95,129.42,126.65,129.18,223048.0,0.0,1.0,126.95,129.42,126.65,129.18,223048.0
2015-03-27,125.46,127.12,125.174,126.53,182292.0,0.0,1.0,125.46,127.12,125.174,126.53,182292.0
2015-03-26,125.47,126.13,124.74,125.77,237970.0,0.0,1.0,125.47,126.13,124.74,125.77,237970.0
2015-03-25,126.91,127.35,125.84,125.84,302419.0,0.0,1.0,126.91,127.35,125.84,125.84,302419.0
2015-03-24,128.93,128.93,126.84,126.91,246292.0,0.0,1.0,128.93,128.93,126.84,126.91,246292.0
2015-03-23,130.53,130.93,128.84,128.88,352910.0,0.0,1.0,130.53,130.93,128.84,128.88,352910.0
2015-03-20,131.24,131.34,130.48,130.58,430864.0,0.0,1.0,131.24,131.34,130.48,130.58,430864.0
2015-03-19,130.71,131.99,129.84,130.72,169019.0,0.0,1.0,130.71,131.99,129.84,130.72,169019.0
2015-03-18,129.95,131.58,129.41,130.85,323122.0,0.0,1.0,129.95,131.58,129.41,130.85,323122.0
2015-03-17,128.07,131.145,127.87,129.96,318847.0,0.0,1.0,128.07,131.145,127.87,129.96,318847.0
2015-03-16,128.2,129.58,128.05,128.74,213174.0,0.0,1.0,128.2,129.58,128.05,128.74,213174.0
2015-03-13,127.74,127.98,126.65,127.71,214557.0,0.0,1.0,127.74,127.98,126.65,127.71,214557.0
2015-03-12,126.99,128.26,126.7,127.99,364845.0,0.0,1.0,126.99,128.26,126.7,127.99,364845.0
2015-03-11,126.89,127.93,126.48,126.56,245528.0,0.0,1.0,126.89,127.93,126.48,126.56,245528.0
2015-03-10,128.1,128.49,126.75,126.75,184743.0,0.0,1.0,128.1,128.49,126.75,126.75,184743.0
2015-03-09,129.05,130.38,129.05,129.37,252977.0,0.0,1.0,129.05,130.38,129.05,129.37,252977.0
2015-03-06,129.77,130.8075,128.8,129.05,222060.0,0.0,1.0,129.77,130.8075,128.8,129.05,222060.0
2015-03-05,131.49,131.6,130.37,130.55,227391.0,0.0,1.0,131.49,131.6,130.37,130.55,227391.0
2015-03-04,131.87,132.56,131.05,131.4,283599.0,0.0,1.0,131.87,132.56,131.05,131.4,283599.0
2015-03-03,131.97,132.83,130.28,131.99,344487.0,0.0,1.0,131.97,132.83,130.28,131.99,344487.0
2015-03-02,133.04,133.97,132.34,132.65,450796.0,0.0,1.0,133.04,133.97,132.34,132.65,450796.0
2015-02-27,135.14,135.14,132.375,132.48,309691.0,0.0,1.0,135.14,135.14,132.375,132.48,309691.0
2015-02-26,135.29,136.465,134.75,134.98,323430.0,0.0,1.0,135.29,136.465,134.75,134.98,323430.0
2015-02-25,134.34,135.97,133.83,135.08,311381.0,0.0,1.0,134.34,135.97,133.83,135.08,311381.0
2015-02-24,134.46,135.48,134.42,134.58,184584.0,0.0,1.0,134.46,135.48,134.42,134.58,184584.0
2015-02-23,135.08,135.81,134.371,134.62,200874.0,0.0,1.0,135.08,135.81,134.371,134.62,200874.0
2015-02-20,134.98,135.899,133.12,135.44,321149.0,0.463,1.0,134.98,135.899,133.12,135.44,321149.0
2015-02-19,135.31,136.43,134.57,135.52,298864.0,0.0,1.0,134.8490202571,135.96520459445,134.11154131991,135.05830482035,298864.0
2015-02-18,135.44,137.25,134.84,135.92,332531.0,0.0,1.0,134.97857736768,136.7824109843,134.38062147267,135.45694208369,332531.0
2015-02-17,131.8,135.6,131.77,135.38,361822.0,0.0,1.0,131.35097827127,135.13803227302,131.32108047652,134.91878177818,361822.0
2015-02-13,132.82,133.46,131.22,133.27,369210.0,0.0,1.0,132.36750329279,133.00532291414,130.77295423942,132.81597021405,369210.0
2015-02-12,129.91,133.13,129.405,132.81,439715.0,0.0,1.0,129.46741720197,132.67644717188,128.96413765701,132.35753736121,439715.0
2015-02-11,125.8,131.105,124.91,129.27,761614.0,0.0,1.0,125.37141932113,130.65834602621,124.4844514102,128.82959758063,761614.0
2015-02-10,121.13,125.68,118.07,125.68,716261.0,0.0,1.0,120.71732927161,125.25182814213,117.66775420704,125.25182814213,716261.0
2015-02-09,122.33,122.96,119.66,119.93,505583.0,0.0,1.0,121.91324106164,122.5410947514,119.25233732883,119.52141748159,505583.0
2015-02-04,121.15,122.29,120.37,121.43,203810.0,0.0,1.0,120.73726113478,121.87337733531,119.95991847126,121.01630721912,203810.0
2015-02-03,119.26,121.19,118.9,121.08,211368.0,0.0,1.0,118.85370006549,120.77712486111,118.49492652848,120.6674996137,211368.0
2015-02-02,115.26,118.79,113.89,118.41,292428.0,0.0,1.0,114.86732743207,118.38530128106,113.50199480512,118.00659588089,292428.0
2015-01-30,115.06,117.26,115.0,115.11,255077.0,0.0,1.0,114.66800880039,116.86051374878,114.60821321089,114.71783845831,255077.0
2015-01-29,115.23,116.58,114.18,116.09,258137.0,0.0,1.0,114.83742963731,116.18283040109,113.79100682104,115.6944997535,258137.0
2015-01-28,116.52,117.0,114.81,114.95,169336.0,0.0,1.0,116.12303481159,116.6013995276,114.41886051081,114.55838355298,169336.0
2015-01-26,118.21,119.21,117.07,119.01,130201.0,0.0,1.0,117.80727724921,118.80387040757,116.67116104869,118.6045517759,130201.0
2015-01-23,118.19,119.02,117.75,118.32,213436.0,0.0,1.0,117.78734538605,118.61451770748,117.34884439637,117.91690249663,213436.0
2015-01-22,115.94,118.61,115.44,118.51,235260.0,0.0,1.0,115.54501077975,118.20591451256,115.04671420057,118.10625519672,235260.0
2015-01-21,115.52,116.86,114.4001,115.44,257197.0,0.0,1.0,115.12644165324,116.46187648543,114.0103569752,115.04671420057,257197.0
2015-01-20,116.97,118.13,115.37,117.1,171717.0,0.0,1.0,116.57150173285,117.72754979655,114.97695267948,116.70105884344,171717.0
2015-01-15,115.64,116.48,114.1775,115.27,161588.0,0.0,1.0,115.24603283224,116.08317108526,113.78851533815,114.87729336365,161588.0
2015-01-14,116.0,116.1,114.69,115.88,163776.0,0.0,1.0,115.60480636925,115.70446568508,114.2992693318,115.48521519025,163776.0
2015-01-13,117.77,119.72,115.61,116.81,225908.0,0.0,1.0,117.36877625954,119.31213291833,115.21613503749,116.41204682752,225908.0
2015-01-12,120.16,120.35,116.26,116.46,230245.0,0.0,1.0,119.75063390801,119.9399866081,115.86392059042,116.06323922209,230245.0
