Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,31.18,32.05,30.05,31.26,2568455.0,0.0,1.0,31.18,32.05,30.05,31.26,2568455.0
2015-04-15,31.0,31.97,30.53,31.47,2700698.0,0.0,1.0,31.0,31.97,30.53,31.47,2700698.0
2015-04-14,29.42,31.18,29.38,30.83,2207769.0,0.0,1.0,29.42,31.18,29.38,30.83,2207769.0
2015-04-13,29.6,29.97,28.68,29.2,1275401.0,0.0,1.0,29.6,29.97,28.68,29.2,1275401.0
2015-04-10,30.52,30.82,29.4,29.61,1618681.0,0.0,1.0,30.52,30.82,29.4,29.61,1618681.0
2015-04-09,29.35,30.495,28.76,30.46,2516912.0,0.0,1.0,29.35,30.495,28.76,30.46,2516912.0
2015-04-08,29.78,29.99,28.84,29.23,2588625.0,0.0,1.0,29.78,29.99,28.84,29.23,2588625.0
2015-04-07,28.81,30.1,28.57,29.8,2024038.0,0.0,1.0,28.81,30.1,28.57,29.8,2024038.0
2015-04-06,27.65,29.26,27.5401,28.99,2425249.0,0.0,1.0,27.65,29.26,27.5401,28.99,2425249.0
2015-04-02,26.57,27.56,26.54,27.45,1285799.0,0.0,1.0,26.57,27.56,26.54,27.45,1285799.0
2015-04-01,27.13,27.38,26.78,26.95,1363903.0,0.0,1.0,27.13,27.38,26.78,26.95,1363903.0
2015-03-31,26.53,27.03,26.34,26.79,1407088.0,0.0,1.0,26.53,27.03,26.34,26.79,1407088.0
2015-03-30,26.78,27.15,26.0301,26.69,1627872.0,0.0,1.0,26.78,27.15,26.0301,26.69,1627872.0
2015-03-27,26.5,26.99,26.12,26.62,1447115.0,0.0,1.0,26.5,26.99,26.12,26.62,1447115.0
2015-03-26,27.31,27.57,26.475,26.74,1871152.0,0.0,1.0,27.31,27.57,26.475,26.74,1871152.0
2015-03-25,26.65,27.12,26.52,26.89,1522312.0,0.0,1.0,26.65,27.12,26.52,26.89,1522312.0
2015-03-24,27.73,28.0,26.26,26.49,2135959.0,0.0,1.0,27.73,28.0,26.26,26.49,2135959.0
2015-03-23,27.77,28.68,27.68,27.8,1375035.0,0.0,1.0,27.77,28.68,27.68,27.8,1375035.0
2015-03-20,27.25,28.125,27.06,27.68,2929779.0,0.0,1.0,27.25,28.125,27.06,27.68,2929779.0
2015-03-19,27.47,27.69,26.76,27.0,1890885.0,0.0,1.0,27.47,27.69,26.76,27.0,1890885.0
2015-03-18,26.64,28.31,26.49,27.99,1332998.0,0.0,1.0,26.64,28.31,26.49,27.99,1332998.0
2015-03-17,27.05,27.32,26.43,26.81,1432340.0,0.0,1.0,27.05,27.32,26.43,26.81,1432340.0
2015-03-16,26.37,27.43,26.07,27.32,2128801.0,0.0,1.0,26.37,27.43,26.07,27.32,2128801.0
2015-03-13,27.05,27.07,26.02,26.71,2964668.0,0.0,1.0,27.05,27.07,26.02,26.71,2964668.0
2015-03-12,27.74,27.91,27.2,27.54,1573489.0,0.0,1.0,27.74,27.91,27.2,27.54,1573489.0
2015-03-11,26.82,28.58,26.36,27.67,3617259.0,0.0,1.0,26.82,28.58,26.36,27.67,3617259.0
2015-03-10,27.76,27.82,26.28,26.82,2324847.0,0.0,1.0,27.76,27.82,26.28,26.82,2324847.0
2015-03-09,29.43,29.63,27.62,28.15,2067197.0,0.0,1.0,29.43,29.63,27.62,28.15,2067197.0
