Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,77.85,77.99,76.74,77.31,2899791.0,0.0,1.0,77.85,77.99,76.74,77.31,2899791.0
2015-04-15,77.72,78.57,77.578,78.02,2671419.0,0.0,1.0,77.72,78.57,77.578,78.02,2671419.0
2015-04-14,77.38,77.96,77.17,77.59,2257147.0,0.0,1.0,77.38,77.96,77.17,77.59,2257147.0
2015-04-13,77.59,77.94,77.14,77.23,2033218.0,0.0,1.0,77.59,77.94,77.14,77.23,2033218.0
2015-04-10,77.2,78.21,77.1668,77.84,2191314.0,0.0,1.0,77.2,78.21,77.1668,77.84,2191314.0
2015-04-09,77.12,77.2,76.53,77.01,2036381.0,0.0,1.0,77.12,77.2,76.53,77.01,2036381.0
2015-04-08,77.5,77.616,76.7001,77.3,3165868.0,0.0,1.0,77.5,77.616,76.7001,77.3,3165868.0
2015-04-07,78.13,78.46,77.44,77.65,3679308.0,0.0,1.0,78.13,78.46,77.44,77.65,3679308.0
2015-04-06,77.44,78.73,77.27,78.24,5267426.0,0.0,1.0,77.44,78.73,77.27,78.24,5267426.0
2015-04-02,76.8,77.28,76.46,76.97,2488367.0,0.0,1.0,76.8,77.28,76.46,76.97,2488367.0
2015-04-01,76.94,77.39,76.16,76.83,3376852.0,0.0,1.0,76.94,77.39,76.16,76.83,3376852.0
2015-03-31,75.84,76.85,75.5,76.78,6021384.0,0.0,1.0,75.84,76.85,75.5,76.78,6021384.0
2015-03-30,75.41,76.18,75.09,75.9,3312976.0,0.0,1.0,75.41,76.18,75.09,75.9,3312976.0
2015-03-27,74.66,75.19,74.3,75.0,3156746.0,0.0,1.0,74.66,75.19,74.3,75.0,3156746.0
2015-03-26,74.85,75.18,73.63,74.35,4173721.0,0.0,1.0,74.85,75.18,73.63,74.35,4173721.0
2015-03-25,76.31,76.75,74.82,74.96,2897258.0,0.0,1.0,76.31,76.75,74.82,74.96,2897258.0
2015-03-24,76.68,77.27,75.71,76.06,2633707.0,0.0,1.0,76.68,77.27,75.71,76.06,2633707.0
2015-03-23,76.68,76.99,76.44,76.8,3069942.0,0.0,1.0,76.68,76.99,76.44,76.8,3069942.0
2015-03-20,76.11,76.75,75.86,76.67,7004440.0,0.0,1.0,76.11,76.75,75.86,76.67,7004440.0
2015-03-19,76.18,77.14,75.8,76.01,4423022.0,0.0,1.0,76.18,77.14,75.8,76.01,4423022.0
2015-03-18,75.07,76.81,74.79,76.4,5748507.0,0.0,1.0,75.07,76.81,74.79,76.4,5748507.0
2015-03-17,75.36,75.89,74.82,75.08,2562892.0,0.0,1.0,75.36,75.89,74.82,75.08,2562892.0
2015-03-16,75.19,76.325,75.15,75.71,3210910.0,0.0,1.0,75.19,76.325,75.15,75.71,3210910.0
2015-03-13,75.24,75.24,73.98,74.61,3083199.0,0.0,1.0,75.24,75.24,73.98,74.61,3083199.0
2015-03-12,74.65,75.46,74.57,75.28,3479743.0,0.0,1.0,74.65,75.46,74.57,75.28,3479743.0
2015-03-11,75.06,75.23,74.04,74.28,4940734.0,0.0,1.0,75.06,75.23,74.04,74.28,4940734.0
2015-03-10,74.2,75.45,73.98,74.7,5272060.0,0.0,1.0,74.2,75.45,73.98,74.7,5272060.0
2015-03-09,75.0,75.48,74.75,74.76,3301321.0,0.0,1.0,75.0,75.48,74.75,74.76,3301321.0
2015-03-06,76.56,76.56,74.55,74.96,6385656.0,0.0,1.0,76.56,76.56,74.55,74.96,6385656.0
2015-03-05,77.29,77.89,77.17,77.58,2562930.0,0.0,1.0,77.29,77.89,77.17,77.58,2562930.0
2015-03-04,77.12,77.3,76.57,77.08,2773214.0,0.0,1.0,77.12,77.3,76.57,77.08,2773214.0
2015-03-03,77.06,77.51,76.61,77.51,3675110.0,0.0,1.0,77.06,77.51,76.61,77.51,3675110.0
2015-03-02,78.48,78.48,76.39,77.06,5026553.0,0.0,1.0,78.48,78.48,76.39,77.06,5026553.0
2015-02-27,78.49,78.87,78.03,78.55,2474492.0,0.0,1.0,78.49,78.87,78.03,78.55,2474492.0
2015-02-26,79.27,79.359,78.5,78.56,2548965.0,0.0,1.0,79.27,79.359,78.5,78.56,2548965.0
2015-02-25,79.95,79.9625,78.75,79.01,3250740.0,0.0,1.0,79.95,79.9625,78.75,79.01,3250740.0
2015-02-24,79.08,80.18,78.755,79.85,3771495.0,0.0,1.0,79.08,80.18,78.755,79.85,3771495.0
2015-02-23,78.89,79.61,78.41,79.26,3940367.0,0.0,1.0,78.89,79.61,78.41,79.26,3940367.0
2015-02-20,79.14,79.61,77.79,78.71,4407698.0,0.0,1.0,79.14,79.61,77.79,78.71,4407698.0
2015-02-19,81.15,81.23,79.12,79.17,5450617.0,0.0,1.0,81.15,81.23,79.12,79.17,5450617.0
2015-02-18,79.36,81.42,79.03,80.97,4833176.0,0.0,1.0,79.36,81.42,79.03,80.97,4833176.0
2015-02-17,79.53,80.915,78.8,79.39,6280042.0,0.0,1.0,79.53,80.915,78.8,79.39,6280042.0
2015-02-13,80.92,80.97,79.21,79.84,4674406.0,0.0,1.0,80.92,80.97,79.21,79.84,4674406.0
2015-02-12,81.83,82.05,80.89,81.06,4835762.0,0.0,1.0,81.83,82.05,80.89,81.06,4835762.0
2015-02-11,83.13,83.3,81.6,81.85,3362004.0,0.795,1.0,83.13,83.3,81.6,81.85,3362004.0
2015-02-10,82.39,84.29,82.39,84.18,4128909.0,0.0,1.0,81.597452961462,83.479175993708,81.597452961462,83.370234133946,4128909.0
2015-02-09,83.12,83.61,82.21,82.7,3933879.0,0.0,1.0,82.320430758062,82.805717224272,81.41918446367,81.904470929881,3933879.0
2015-02-04,86.61,87.18,85.76,85.98,3676303.0,0.0,1.0,85.776858854135,86.341375763809,84.935035392341,85.152919111864,3676303.0
2015-02-03,86.99,87.12,86.31,86.78,3976490.0,0.0,1.0,86.153203460584,86.281952931212,85.479744691149,85.945223546494,3976490.0
2015-02-02,87.09,87.29,86.11,87.0,3605522.0,0.0,1.0,86.252241514913,86.450317623571,85.281668582491,86.163107266017,3605522.0
2015-01-30,88.88,89.39,87.07,87.14,3522881.0,0.0,1.0,88.025022687398,88.530116764475,86.232433904047,86.301760542078,3522881.0
2015-01-29,87.8,89.58,87.374,89.36,2846992.0,0.0,1.0,86.955411700647,88.718289067699,86.533509589207,88.500405348176,2846992.0
2015-01-28,88.83,89.97,87.66,87.85,3197913.0,0.0,1.0,87.975503660234,89.104537479581,86.816758424587,87.004930727812,3197913.0
2015-01-26,88.63,88.7,87.82,88.55,1750115.0,0.0,1.0,87.777427551576,87.846754189606,86.975219311513,87.698197108113,1750115.0
2015-01-23,88.95,89.23,88.61,88.72,1817309.0,0.0,1.0,88.094349325428,88.371655877549,87.75761994071,87.866561800472,1817309.0
2015-01-22,88.83,89.29,87.94,88.63,2541912.0,0.0,1.0,87.975503660234,88.431078710146,87.094064976708,87.777427551576,2541912.0
