Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,66.49,67.32,65.72,66.59,3455942.0,0.0,1.0,66.49,67.32,65.72,66.59,3455942.0
2015-04-15,66.66,67.365,66.24,66.95,4364157.0,0.0,1.0,66.66,67.365,66.24,66.95,4364157.0
2015-04-14,65.06,66.61,65.04,66.16,3113654.0,0.0,1.0,65.06,66.61,65.04,66.16,3113654.0
2015-04-13,65.49,65.49,64.49,64.58,2037230.0,0.0,1.0,65.49,65.49,64.49,64.58,2037230.0
2015-04-10,64.97,64.97,64.04,64.86,2306429.0,0.0,1.0,64.97,64.97,64.04,64.86,2306429.0
2015-04-09,63.67,65.24,63.47,64.94,3750524.0,0.0,1.0,63.67,65.24,63.47,64.94,3750524.0
2015-04-08,63.68,63.99,62.96,63.04,2814071.0,0.0,1.0,63.68,63.99,62.96,63.04,2814071.0
2015-04-07,63.48,64.29,63.24,63.33,3378394.0,0.0,1.0,63.48,64.29,63.24,63.33,3378394.0
2015-04-06,62.97,64.05,62.85,63.41,3922865.0,0.0,1.0,62.97,64.05,62.85,63.41,3922865.0
2015-04-02,61.37,62.92,61.06,62.55,4724189.0,0.0,1.0,61.37,62.92,61.06,62.55,4724189.0
2015-04-01,60.68,62.26,60.59,61.58,3579335.0,0.0,1.0,60.68,62.26,60.59,61.58,3579335.0
2015-03-31,59.84,61.06,59.54,60.31,3117302.0,0.0,1.0,59.84,61.06,59.54,60.31,3117302.0
2015-03-30,59.93,60.81,59.52,60.71,3236839.0,0.0,1.0,59.93,60.81,59.52,60.71,3236839.0
2015-03-27,59.89,59.89,58.945,59.15,2256680.0,0.0,1.0,59.89,59.89,58.945,59.15,2256680.0
2015-03-26,60.94,61.18,59.63,60.06,3810975.0,0.0,1.0,60.94,61.18,59.63,60.06,3810975.0
2015-03-25,58.45,60.35,58.34,59.64,6177006.0,0.0,1.0,58.45,60.35,58.34,59.64,6177006.0
2015-03-24,58.09,58.58,57.74,57.84,2854369.0,0.0,1.0,58.09,58.58,57.74,57.84,2854369.0
2015-03-23,58.76,59.226,57.95,57.97,2808125.0,0.0,1.0,58.76,59.226,57.95,57.97,2808125.0
2015-03-20,58.85,59.62,58.59,58.66,4260492.0,0.0,1.0,58.85,59.62,58.59,58.66,4260492.0
2015-03-19,59.09,59.45,58.18,58.26,2231046.0,0.0,1.0,59.09,59.45,58.18,58.26,2231046.0
2015-03-18,57.2,60.58,57.0,60.24,3531401.0,0.0,1.0,57.2,60.58,57.0,60.24,3531401.0
2015-03-17,58.23,58.67,57.53,58.05,2502112.0,0.0,1.0,58.23,58.67,57.53,58.05,2502112.0
2015-03-16,57.12,58.8,56.79,58.75,3555475.0,0.0,1.0,57.12,58.8,56.79,58.75,3555475.0
2015-03-13,56.55,57.75,56.35,57.7,3687054.0,0.0,1.0,56.55,57.75,56.35,57.7,3687054.0
2015-03-12,57.96,58.1,57.09,57.17,3310999.0,0.0,1.0,57.96,58.1,57.09,57.17,3310999.0
2015-03-11,58.39,58.48,57.47,57.84,7497025.0,0.0,1.0,58.39,58.48,57.47,57.84,7497025.0
2015-03-10,57.46,58.11,56.965,56.99,2809686.0,0.0,1.0,57.46,58.11,56.965,56.99,2809686.0
2015-03-09,59.02,59.48,58.02,58.04,2790027.0,0.0,1.0,59.02,59.48,58.02,58.04,2790027.0
2015-03-06,59.87,60.19,59.11,59.18,4572738.0,0.0,1.0,59.87,60.19,59.11,59.18,4572738.0
2015-03-05,61.64,61.64,60.82,60.83,2499598.0,0.0,1.0,61.64,61.64,60.82,60.83,2499598.0
2015-03-04,61.44,61.98,60.53,61.86,3744503.0,0.0,1.0,61.44,61.98,60.53,61.86,3744503.0
2015-03-03,60.76,61.96,60.65,61.25,3614153.0,0.0,1.0,60.76,61.96,60.65,61.25,3614153.0
2015-03-02,61.46,61.55,60.225,60.86,4529143.0,0.0,1.0,61.46,61.55,60.225,60.86,4529143.0
2015-02-27,62.74,62.93,61.5,61.59,3278286.0,0.0,1.0,62.74,62.93,61.5,61.59,3278286.0
2015-02-26,64.73,64.94,62.26,62.55,3560339.0,0.0,1.0,64.73,64.94,62.26,62.55,3560339.0
2015-02-25,64.73,65.53,63.98,65.45,3355778.0,0.0,1.0,64.73,65.53,63.98,65.45,3355778.0
2015-02-24,64.57,64.9,63.89,64.84,2992573.0,0.0,1.0,64.57,64.9,63.89,64.84,2992573.0
2015-02-23,62.99,64.39,62.68,63.95,2260065.0,0.0,1.0,62.99,64.39,62.68,63.95,2260065.0
2015-02-20,64.16,64.71,63.33,63.82,2763021.0,0.0,1.0,64.16,64.71,63.33,63.82,2763021.0
2015-02-19,62.31,64.8,62.18,64.41,4239623.0,0.0,1.0,62.31,64.8,62.18,64.41,4239623.0
2015-02-18,64.81,65.85,63.54,63.95,6631328.0,0.0,1.0,64.81,65.85,63.54,63.95,6631328.0
2015-02-17,66.01,67.08,65.814,66.65,4555850.0,0.0,1.0,66.01,67.08,65.814,66.65,4555850.0
2015-02-13,66.68,66.69,65.41,66.47,4867222.0,0.0,1.0,66.68,66.69,65.41,66.47,4867222.0
2015-02-12,65.53,66.28,65.1,65.78,4926815.0,0.0,1.0,65.53,66.28,65.1,65.78,4926815.0
2015-02-11,63.0,64.64,62.45,64.6,3815925.0,0.0,1.0,63.0,64.64,62.45,64.6,3815925.0
2015-02-10,64.66,64.72,62.69,64.18,4114992.0,0.0,1.0,64.66,64.72,62.69,64.18,4114992.0
2015-02-09,65.54,65.86,64.623,64.73,3741487.0,0.0,1.0,65.54,65.86,64.623,64.73,3741487.0
2015-02-04,62.82,64.27,62.351,64.0,5181363.0,0.0,1.0,62.82,64.27,62.351,64.0,5181363.0
2015-02-03,63.51,64.94,63.33,64.07,6438017.0,0.0,1.0,63.51,64.94,63.33,64.07,6438017.0
2015-02-02,61.34,62.85,60.85,62.84,4542392.0,0.0,1.0,61.34,62.85,60.85,62.84,4542392.0
2015-01-30,58.4,60.93,57.6801,60.27,3682699.0,0.0,1.0,58.4,60.93,57.6801,60.27,3682699.0
2015-01-29,58.81,59.21,56.91,58.72,3083785.0,0.0,1.0,58.81,59.21,56.91,58.72,3083785.0
2015-01-28,61.46,61.538,58.33,58.43,4736535.0,0.0,1.0,61.46,61.538,58.33,58.43,4736535.0
2015-01-26,60.4,62.1601,60.02,61.72,3336860.0,0.0,1.0,60.4,62.1601,60.02,61.72,3336860.0
2015-01-23,60.95,61.62,60.14,60.16,3998187.0,0.0,1.0,60.95,61.62,60.14,60.16,3998187.0
2015-01-22,61.98,62.18,59.92,61.25,3881676.0,0.0,1.0,61.98,62.18,59.92,61.25,3881676.0
2015-01-21,60.4,61.67,59.95,61.6,3952440.0,0.0,1.0,60.4,61.67,59.95,61.6,3952440.0
2015-01-20,59.88,60.0,58.4,59.64,4757587.0,0.0,1.0,59.88,60.0,58.4,59.64,4757587.0
2015-01-15,59.92,60.17,57.78,57.86,3729345.0,0.0,1.0,59.92,60.17,57.78,57.86,3729345.0
2015-01-14,58.28,59.38,57.31,58.5,5962054.0,0.0,1.0,58.28,59.38,57.31,58.5,5962054.0
2015-01-13,59.38,59.79,58.47,58.89,4905236.0,0.0,1.0,59.38,59.79,58.47,58.89,4905236.0
2015-01-12,59.21,59.59,57.92,59.13,4325460.0,0.0,1.0,59.21,59.59,57.92,59.13,4325460.0
2015-01-08,58.75,60.45,58.01,59.82,4530014.0,0.0,1.0,58.75,60.45,58.01,59.82,4530014.0
2015-01-06,58.55,59.19,56.77,57.5,4682521.0,0.0,1.0,58.55,59.19,56.77,57.5,4682521.0
2015-01-05,59.69,59.69,57.8,58.7,3863840.0,0.0,1.0,59.69,59.69,57.8,58.7,3863840.0
2015-01-02,60.81,61.63,59.6,60.96,3019030.0,0.0,1.0,60.81,61.63,59.6,60.96,3019030.0
2014-12-31,60.47,62.04,59.9,61.21,3717070.0,0.0,1.0,60.47,62.04,59.9,61.21,3717070.0
2014-12-30,60.68,61.45,60.07,61.06,3254993.0,0.0,1.0,60.68,61.45,60.07,61.06,3254993.0
2014-12-26,60.84,61.44,60.27,60.83,2269399.0,0.0,1.0,60.84,61.44,60.27,60.83,2269399.0
2014-12-24,61.0,61.17,59.8,60.21,2185905.0,0.0,1.0,61.0,61.17,59.8,60.21,2185905.0
2014-12-23,60.95,61.84,60.22,61.47,3510256.0,0.0,1.0,60.95,61.84,60.22,61.47,3510256.0
2014-12-22,60.53,60.65,59.11,60.19,4657676.0,0.0,1.0,60.53,60.65,59.11,60.19,4657676.0
2014-12-19,60.63,61.46,59.71,61.31,7942231.0,0.0,1.0,60.63,61.46,59.71,61.31,7942231.0
2014-12-18,60.5,60.72,57.82,60.29,6029489.0,0.0,1.0,60.5,60.72,57.82,60.29,6029489.0
2014-12-17,54.8,59.31,54.47,58.47,7348899.0,0.0,1.0,54.8,59.31,54.47,58.47,7348899.0
2014-12-16,52.45,55.61,51.76,54.1,7293150.0,0.0,1.0,52.45,55.61,51.76,54.1,7293150.0
2014-12-15,53.75,54.37,52.37,52.66,4986562.0,0.0,1.0,53.75,54.37,52.37,52.66,4986562.0
2014-12-12,53.02,54.65,52.3,53.01,5608085.0,0.0,1.0,53.02,54.65,52.3,53.01,5608085.0
2014-12-10,55.74,55.74,53.99,54.47,6881170.0,0.24,1.0,55.74,55.74,53.99,54.47,6881170.0
2014-12-09,56.87,58.39,56.02,57.2,5972942.0,0.0,1.0,56.620524584171,58.133856698958,55.77425333577,56.949076951197,5972942.0
2014-12-05,59.29,60.55,58.4,59.9,4473410.0,0.0,1.0,59.029908609029,60.284381283129,58.143812831292,59.637232681411,4473410.0
2014-12-04,60.21,60.34,59.27,59.52,3993673.0,0.0,1.0,59.945872783769,60.075302504113,59.009996344361,59.258899652714,3993673.0
2014-12-02,58.95,61.2,58.4,59.89,4324604.0,0.0,1.0,58.691400109669,60.931529884847,58.143812831292,59.627276549077,4324604.0
2014-12-01,58.45,60.15,57.58,59.94,7541616.0,0.0,1.0,58.193593492963,59.886135989764,57.327409979894,59.677057210748,7541616.0
2014-11-28,59.76,60.19,58.615,58.97,5443883.0,0.0,1.0,59.497846828733,59.925960519101,58.357869676476,58.711312374337,5443883.0
2014-11-26,64.35,64.5,63.354,64.02,2698275.0,0.0,1.0,64.067711570097,64.217053555109,63.076080789618,63.739159203071,2698275.0
2014-11-25,66.61,66.89,64.44,64.78,4136111.0,0.0,1.0,66.317797477609,66.596569182965,64.157316761104,64.495825260464,4136111.0
2014-11-24,67.04,67.2,65.58,66.29,3368387.0,0.0,1.0,66.745911167977,66.905209285323,65.292315847194,65.999201242917,3368387.0
2014-11-21,68.08,68.47,66.64,67.2,4342890.0,0.0,1.0,67.781348930726,68.169638091757,66.347665874612,66.905209285323,4342890.0
2014-11-20,64.67,66.86,64.65,66.76,3708217.0,0.0,1.0,64.386307804789,66.566700785962,64.366395540121,66.467139462621,3708217.0
2014-11-19,64.68,65.25,63.77,64.83,2767279.0,0.0,1.0,64.396263937123,64.963763480168,63.490255894718,64.545605922135,2767279.0
2014-11-18,63.76,64.88,63.28,64.49,3647663.0,0.0,1.0,63.480299762383,64.595386583806,63.002405410345,64.207097422775,3647663.0
