Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,116.59,117.3104,116.281,116.83,804604.0,0.0,1.0,116.59,117.3104,116.281,116.83,804604.0
2015-04-15,116.37,117.28,116.28,117.02,849259.0,0.0,1.0,116.37,117.28,116.28,117.02,849259.0
2015-04-14,115.49,116.32,115.055,116.15,1013285.0,0.0,1.0,115.49,116.32,115.055,116.15,1013285.0
2015-04-13,116.09,116.84,115.4,115.43,884635.0,0.0,1.0,116.09,116.84,115.4,115.43,884635.0
2015-04-10,116.0,116.94,115.44,116.36,946596.0,0.0,1.0,116.0,116.94,115.44,116.36,946596.0
2015-04-09,115.5,116.19,115.3,115.86,896666.0,0.0,1.0,115.5,116.19,115.3,115.86,896666.0
2015-04-08,114.71,115.5,114.71,115.34,807183.0,0.0,1.0,114.71,115.5,114.71,115.34,807183.0
2015-04-07,114.58,115.28,114.3859,114.57,510710.0,0.0,1.0,114.58,115.28,114.3859,114.57,510710.0
2015-04-06,113.21,114.98,113.04,114.64,1085740.0,0.0,1.0,113.21,114.98,113.04,114.64,1085740.0
2015-04-02,113.16,114.36,113.16,113.37,892228.0,0.0,1.0,113.16,114.36,113.16,113.37,892228.0
2015-04-01,114.38,114.58,113.15,113.54,1277248.0,0.0,1.0,114.38,114.58,113.15,113.54,1277248.0
2015-03-31,114.33,115.41,114.19,114.38,927244.0,0.0,1.0,114.33,115.41,114.19,114.38,927244.0
2015-03-30,114.89,115.67,114.34,114.79,1175410.0,0.0,1.0,114.89,115.67,114.34,114.79,1175410.0
2015-03-27,114.14,114.55,113.706,114.24,1067549.0,0.0,1.0,114.14,114.55,113.706,114.24,1067549.0
2015-03-26,113.51,114.645,113.4801,114.26,1028450.0,0.0,1.0,113.51,114.645,113.4801,114.26,1028450.0
2015-03-25,114.17,114.98,113.32,113.82,1884318.0,0.0,1.0,114.17,114.98,113.32,113.82,1884318.0
2015-03-24,114.28,114.57,113.52,113.58,1524887.0,0.0,1.0,114.28,114.57,113.52,113.58,1524887.0
2015-03-23,115.46,115.46,114.27,114.28,1288892.0,0.0,1.0,115.46,115.46,114.27,114.28,1288892.0
2015-03-20,115.75,116.02,115.24,115.27,1553016.0,0.0,1.0,115.75,116.02,115.24,115.27,1553016.0
2015-03-19,115.16,115.525,114.31,115.01,965774.0,0.0,1.0,115.16,115.525,114.31,115.01,965774.0
