Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,60.69,61.03,60.15,60.91,1742720.0,0.0,1.0,60.69,61.03,60.15,60.91,1742720.0
2015-04-15,60.81,61.42,60.69,60.76,1143561.0,0.0,1.0,60.81,61.42,60.69,60.76,1143561.0
2015-04-14,60.61,61.0702,60.5,60.82,942631.0,0.0,1.0,60.61,61.0702,60.5,60.82,942631.0
2015-04-13,60.91,61.11,60.41,60.46,847886.0,0.0,1.0,60.91,61.11,60.41,60.46,847886.0
2015-04-10,60.51,61.19,60.33,60.86,1155356.0,0.0,1.0,60.51,61.19,60.33,60.86,1155356.0
2015-04-09,60.51,60.54,59.91,60.26,1712998.0,0.0,1.0,60.51,60.54,59.91,60.26,1712998.0
2015-04-08,60.65,60.8,60.08,60.6,1559072.0,0.0,1.0,60.65,60.8,60.08,60.6,1559072.0
2015-04-07,61.5,61.699,60.525,60.59,1319036.0,0.0,1.0,61.5,61.699,60.525,60.59,1319036.0
2015-04-06,61.04,61.96,61.04,61.55,1602069.0,0.0,1.0,61.04,61.96,61.04,61.55,1602069.0
2015-04-02,61.07,61.34,60.82,60.95,1982986.0,0.0,1.0,61.07,61.34,60.82,60.95,1982986.0
2015-04-01,60.97,61.42,60.31,61.15,2211631.0,0.0,1.0,60.97,61.42,60.31,61.15,2211631.0
2015-03-31,60.79,61.55,60.58,61.0,2414506.0,0.0,1.0,60.79,61.55,60.58,61.0,2414506.0
2015-03-30,59.85,60.87,59.77,60.79,2881875.0,0.0,1.0,59.85,60.87,59.77,60.79,2881875.0
2015-03-27,59.44,60.59,59.4,59.8,4709735.0,0.0,1.0,59.44,60.59,59.4,59.8,4709735.0
2015-03-26,60.6,60.93,58.65,58.8,5816265.0,0.0,1.0,60.6,60.93,58.65,58.8,5816265.0
2015-03-25,61.02,61.4999,60.56,60.58,2099321.0,0.0,1.0,61.02,61.4999,60.56,60.58,2099321.0
2015-03-24,61.39,61.9,60.74,60.88,1718079.0,0.0,1.0,61.39,61.9,60.74,60.88,1718079.0
2015-03-23,61.47,62.05,61.34,61.53,1527347.0,0.0,1.0,61.47,62.05,61.34,61.53,1527347.0
2015-03-20,61.21,61.78,60.83,61.47,4159235.0,0.0,1.0,61.21,61.78,60.83,61.47,4159235.0
2015-03-19,61.8,62.0,60.71,60.84,3762223.0,0.0,1.0,61.8,62.0,60.71,60.84,3762223.0
2015-03-18,61.18,62.67,60.65,62.09,4254255.0,0.0,1.0,61.18,62.67,60.65,62.09,4254255.0
2015-03-17,61.79,61.95,61.038,61.17,1682809.0,0.0,1.0,61.79,61.95,61.038,61.17,1682809.0
2015-03-16,61.27,62.19,61.27,61.72,2583408.0,0.0,1.0,61.27,62.19,61.27,61.72,2583408.0
2015-03-13,61.38,61.38,60.27,60.84,2281957.0,0.0,1.0,61.38,61.38,60.27,60.84,2281957.0
2015-03-12,60.0,61.66,60.0,61.4,2759705.0,0.0,1.0,60.0,61.66,60.0,61.4,2759705.0
2015-03-11,60.24,60.31,59.51,59.72,2007652.0,0.0,1.0,60.24,60.31,59.51,59.72,2007652.0
2015-03-10,60.35,61.06,60.07,60.08,2520394.0,0.0,1.0,60.35,61.06,60.07,60.08,2520394.0
2015-03-09,60.0,60.63,60.0,60.42,1578505.0,0.0,1.0,60.0,60.63,60.0,60.42,1578505.0
2015-03-06,61.39,61.39,59.67,59.98,3635751.0,0.0,1.0,61.39,61.39,59.67,59.98,3635751.0
2015-03-05,62.09,62.49,61.81,62.32,1185228.0,0.0,1.0,62.09,62.49,61.81,62.32,1185228.0
2015-03-04,62.12,62.12,61.69,61.87,1261126.0,0.0,1.0,62.12,62.12,61.69,61.87,1261126.0
2015-03-03,61.83,62.32,61.32,62.17,1745481.0,0.0,1.0,61.83,62.32,61.32,62.17,1745481.0
2015-03-02,63.06,63.07,61.51,61.82,2561749.0,0.0,1.0,63.06,63.07,61.51,61.82,2561749.0
2015-02-27,63.09,63.43,62.79,63.14,1631629.0,0.0,1.0,63.09,63.43,62.79,63.14,1631629.0
2015-02-26,63.81,64.1,63.0,63.06,1832962.0,0.0,1.0,63.81,64.1,63.0,63.06,1832962.0
2015-02-25,65.36,65.37,63.7,63.79,1979134.0,0.0,1.0,65.36,65.37,63.7,63.79,1979134.0
2015-02-24,64.36,66.0,64.31,65.26,3250874.0,0.0,1.0,64.36,66.0,64.31,65.26,3250874.0
2015-02-23,64.06,64.29,63.49,64.27,2686914.0,0.0,1.0,64.06,64.29,63.49,64.27,2686914.0
2015-02-20,64.73,64.79,62.3744,63.75,5103991.0,0.0,1.0,64.73,64.79,62.3744,63.75,5103991.0
2015-02-19,65.46,65.6,64.37,64.8,2531258.0,0.0,1.0,65.46,65.6,64.37,64.8,2531258.0
2015-02-18,64.02,65.56,63.81,65.41,2325605.0,0.0,1.0,64.02,65.56,63.81,65.41,2325605.0
2015-02-17,63.74,64.76,63.2,63.82,3646781.0,0.0,1.0,63.74,64.76,63.2,63.82,3646781.0
2015-02-13,64.87,65.04,63.35,63.92,3401644.0,0.65,1.0,64.87,65.04,63.35,63.92,3401644.0
2015-02-12,66.04,66.16,65.36,65.61,3099894.0,0.0,1.0,65.375202106241,65.493994114914,64.702047390429,64.949530741831,3099894.0
2015-02-11,66.65,66.7,65.61,65.94,2986897.0,0.0,1.0,65.979061483661,66.028558153941,64.949530741831,65.276208765681,2986897.0
2015-02-10,66.04,67.1518,65.92,67.0,2334326.0,0.0,1.0,65.375202106241,66.475810066594,65.256410097569,66.325538175623,2334326.0
2015-02-09,66.73,67.17,65.83,66.04,2845915.0,0.0,1.0,66.05825615611,66.493826854576,65.167316091064,65.375202106241,2845915.0
2015-02-05,68.65,68.91,67.95,68.81,1488672.0,0.0,1.0,67.958928294874,68.216310980331,67.265974910949,68.117317639771,1488672.0
2015-02-04,68.8,69.27,68.08,68.23,2343929.0,0.0,1.0,68.107418305715,68.57268700635,67.394666253678,67.543156264519,2343929.0
2015-02-03,69.43,69.48,68.65,68.99,3075464.0,0.0,1.0,68.731076351247,68.780573021527,67.958928294874,68.29550565278,3075464.0
2015-02-02,69.29,69.69,68.25,69.46,2669552.0,0.0,1.0,68.592485674462,68.988459036704,67.562954932631,68.760774353415,2669552.0
2015-01-30,71.09,71.23,69.22,69.28,5382187.0,0.0,1.0,70.374365804553,70.512956481338,68.523190336069,68.582586340406,5382187.0
2015-01-29,70.64,71.54,70.15,71.4,2098301.0,0.0,1.0,69.92889577203,70.819835837076,69.443828403283,70.681245160291,2098301.0
2015-01-28,70.92,72.25,70.64,70.85,2398971.0,0.0,1.0,70.2060771256,71.522688555057,69.92889577203,70.136781787208,2398971.0
2015-01-26,70.36,70.43,69.65,70.41,1444890.0,0.0,1.0,69.651714418461,69.721009756853,68.94886170048,69.701211088741,1444890.0
2015-01-23,70.3,70.67,70.12,70.37,1412241.0,0.0,1.0,69.592318414124,69.958593774199,69.414130401115,69.661613752517,1412241.0
2015-01-22,70.66,70.9499,69.73,70.05,1990757.0,0.0,1.0,69.948694440142,70.235676134428,69.028056372929,69.344835062723,1990757.0
2015-01-21,69.86,70.61,69.381,70.45,2244068.0,0.0,1.0,69.156747715657,69.899197769862,68.682569614372,69.740808424965,2244068.0
2015-01-20,69.39,70.05,69.14,69.99,2595129.0,0.0,1.0,68.691479015022,69.344835062723,68.443995663621,69.285439058386,2595129.0
2015-01-15,67.43,68.54,67.28,68.37,1797821.0,0.0,1.0,66.751209540034,67.850035620257,66.602719529193,67.681746941304,1797821.0
2015-01-14,66.35,67.54,66.2,67.49,2366440.0,0.0,1.0,65.682081461979,66.860102214651,65.533591451138,66.81060554437,2366440.0
2015-01-13,66.95,67.77,66.32,66.77,2530923.0,0.0,1.0,66.276041505343,67.08778689794,65.652383459811,66.097853492334,2530923.0
2015-01-12,67.25,67.38,66.45,66.9,1422652.0,0.0,1.0,66.573021527025,66.701712869754,65.78107480254,66.226544835063,1422652.0
2015-01-08,67.18,67.77,67.07,67.48,2023777.0,0.0,1.0,66.503726188632,67.08778689794,66.394833514016,66.800706210314,2023777.0
2015-01-06,65.81,67.04,65.68,66.08,3199264.0,0.0,1.0,65.147517422952,66.365135511848,65.018826080223,65.414799442466,3199264.0
2015-01-05,66.25,66.46,65.36,65.71,2461893.0,0.0,1.0,65.583088121419,65.790974136596,64.702047390429,65.048524082391,2461893.0
2015-01-02,66.27,66.48,65.48,66.34,1689894.0,0.0,1.0,65.602886789531,65.810772804708,64.820839399102,65.672182127923,1689894.0
2014-12-31,67.0,67.42,65.95,66.01,2058442.0,0.0,1.0,66.325538175623,66.741310205978,65.286108099737,65.345504104073,2058442.0
2014-12-30,68.22,68.4,66.77,66.91,1915688.0,0.0,1.0,67.533256930463,67.711444943472,66.097853492334,66.236444169119,1915688.0
2014-12-26,66.97,68.15,66.92,67.76,2086675.0,0.0,1.0,66.295840173455,67.463961592071,66.246343503175,67.077887563884,2086675.0
2014-12-24,66.13,67.12,66.03,66.91,1236742.0,0.0,1.0,65.464296112746,66.444330184296,65.365302772185,66.236444169119,1236742.0
2014-12-23,66.01,66.29,65.7855,66.01,1589694.0,0.0,1.0,65.345504104073,65.622685457643,65.123264054514,65.345504104073,1589694.0
2014-12-22,66.05,66.26,65.385,65.94,1635603.0,0.0,1.0,65.385101440297,65.592987455475,64.726795725569,65.276208765681,1635603.0
2014-12-19,65.47,66.06,65.27,65.69,3518670.0,0.0,1.0,64.810940065046,65.395000774353,64.612953383924,65.028725414279,3518670.0
2014-12-18,64.89,65.56,64.55,65.56,2643660.0,0.0,1.0,64.236778689794,64.90003407155,63.900201331888,64.90003407155,2643660.0
2014-12-17,63.97,64.81,63.721,64.78,3114518.0,0.0,1.0,63.326039956636,64.157584017346,63.07954653864,64.127886015177,3114518.0
2014-12-16,64.08,65.05,63.63,64.14,2759294.0,0.0,1.0,63.434932631253,64.395168034691,62.98946259873,63.494328635589,2759294.0
2014-12-15,64.32,64.4,63.59,64.05,2634480.0,0.0,1.0,63.672516648598,63.751711321047,62.949865262506,63.405234629085,2634480.0
2014-12-12,64.05,64.98,64.04,64.11,1981341.0,0.0,1.0,63.405234629085,64.325872696299,63.395335295029,63.464630633421,1981341.0
2014-12-10,63.94,64.48,63.39,63.42,1388738.0,0.0,1.0,63.296341954468,63.830905993495,62.751878581385,62.781576583553,1388738.0
2014-12-09,63.72,64.2,63.5,64.05,1772603.0,0.0,1.0,63.078556605235,63.553724639926,62.860771256001,63.405234629085,1772603.0
2014-12-05,63.685,63.96,62.88,63.26,2249933.0,0.0,1.0,63.043908936038,63.31614062258,62.247012544525,62.623187238656,2249933.0
2014-12-04,63.87,64.3397,63.63,64.07,1631300.0,0.0,1.0,63.227046616076,63.692018336689,62.98946259873,63.425033297197,1631300.0
2014-12-02,63.82,64.25,63.47,64.18,2432895.0,0.0,1.0,63.177549945795,63.603221310206,62.831073253833,63.533925971814,2432895.0
2014-12-01,62.97,64.54,62.62,63.83,2889554.0,0.0,1.0,62.33610655103,63.890301997832,61.989629859068,63.187449279851,2889554.0
2014-11-28,62.55,63.33,62.36,63.15,1113803.0,0.0,1.0,61.920334520675,62.692482577048,61.73224717361,62.514294564039,1113803.0
2014-11-26,61.94,62.53,61.87,62.33,1418512.0,0.0,1.0,61.316475143255,61.900535852563,61.247179804863,61.702549171442,1418512.0
2014-11-25,62.03,62.22,61.45,61.65,2565655.0,0.0,1.0,61.40556914976,61.593656496825,60.831407774508,61.02939445563,2565655.0
2014-11-24,62.25,62.46,61.8,61.89,2188102.0,0.0,1.0,61.623354498993,61.831240514171,61.17788446647,61.266978472975,2188102.0
2014-11-21,62.46,62.47,61.72,62.37,2617968.0,0.0,1.0,61.831240514171,61.841139848227,61.098689794022,61.742146507666,2617968.0
2014-11-20,62.22,62.65,61.92,62.12,1838865.0,0.0,1.0,61.593656496825,62.019327861236,61.296676475143,61.494663156265,1838865.0
