Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,93.58,93.82,92.81,93.33,252825.0,0.0,1.0,93.58,93.82,92.81,93.33,252825.0
2015-04-15,93.9,94.35,93.33,93.83,282565.0,0.0,1.0,93.9,94.35,93.33,93.83,282565.0
2015-04-14,93.65,93.96,92.91,93.9,366096.0,0.0,1.0,93.65,93.96,92.91,93.9,366096.0
2015-04-13,93.32,93.95,93.2,93.5,371050.0,0.0,1.0,93.32,93.95,93.2,93.5,371050.0
2015-04-10,92.95,93.44,92.44,93.41,377439.0,0.0,1.0,92.95,93.44,92.44,93.41,377439.0
2015-04-09,92.86,93.05,92.02,92.94,309235.0,0.0,1.0,92.86,93.05,92.02,92.94,309235.0
2015-04-08,92.54,93.25,92.09,92.86,551634.0,0.0,1.0,92.54,93.25,92.09,92.86,551634.0
2015-04-07,93.82,94.03,92.6,92.63,453447.0,0.0,1.0,93.82,94.03,92.6,92.63,453447.0
2015-04-06,92.96,94.65,92.76,93.81,630189.0,0.0,1.0,92.96,94.65,92.76,93.81,630189.0
2015-04-02,93.0,94.01,92.89,93.47,392946.0,0.0,1.0,93.0,94.01,92.89,93.47,392946.0
2015-04-01,93.14,93.235,92.0,92.99,470435.0,0.0,1.0,93.14,93.235,92.0,92.99,470435.0
2015-03-31,92.83,93.61,92.83,93.0,556861.0,0.0,1.0,92.83,93.61,92.83,93.0,556861.0
2015-03-30,92.38,93.56,92.35,93.33,547970.0,0.0,1.0,92.38,93.56,92.35,93.33,547970.0
2015-03-27,91.84,92.45,91.54,91.97,672909.0,0.0,1.0,91.84,92.45,91.54,91.97,672909.0
2015-03-26,91.13,92.22,90.709,91.83,480271.0,0.0,1.0,91.13,92.22,90.709,91.83,480271.0
2015-03-25,92.11,92.48,91.14,91.24,800026.0,0.0,1.0,92.11,92.48,91.14,91.24,800026.0
2015-03-24,92.59,92.85,92.18,92.19,391074.0,0.0,1.0,92.59,92.85,92.18,92.19,391074.0
2015-03-23,93.3,93.54,92.82,92.82,367299.0,0.0,1.0,93.3,93.54,92.82,92.82,367299.0
2015-03-20,93.0,93.32,92.38,93.08,683099.0,0.0,1.0,93.0,93.32,92.38,93.08,683099.0
2015-03-19,92.55,93.09,92.37,92.79,466637.0,0.0,1.0,92.55,93.09,92.37,92.79,466637.0
2015-03-18,91.94,92.98,91.295,92.68,662050.0,0.0,1.0,91.94,92.98,91.295,92.68,662050.0
2015-03-17,91.99,92.17,91.4601,91.98,509736.0,0.0,1.0,91.99,92.17,91.4601,91.98,509736.0
2015-03-16,92.09,92.65,92.014,92.18,619573.0,0.0,1.0,92.09,92.65,92.014,92.18,619573.0
2015-03-13,92.09,92.43,91.415,91.66,510613.0,0.0,1.0,92.09,92.43,91.415,91.66,510613.0
2015-03-12,91.94,92.42,91.8,92.0,739847.0,0.0,1.0,91.94,92.42,91.8,92.0,739847.0
2015-03-11,91.98,92.5,91.4601,91.52,573640.0,0.0,1.0,91.98,92.5,91.4601,91.52,573640.0
2015-03-10,92.27,92.72,91.98,92.01,597667.0,0.0,1.0,92.27,92.72,91.98,92.01,597667.0
2015-03-09,93.38,93.9,92.6,92.97,764194.0,0.0,1.0,93.38,93.9,92.6,92.97,764194.0
2015-03-06,93.61,94.48,93.27,93.38,435132.0,0.0,1.0,93.61,94.48,93.27,93.38,435132.0
2015-03-05,93.91,94.405,93.79,94.21,538705.0,0.0,1.0,93.91,94.405,93.79,94.21,538705.0
2015-03-04,94.23,94.44,93.85,93.96,422916.0,0.0,1.0,94.23,94.44,93.85,93.96,422916.0
2015-03-03,94.54,94.74,93.97,94.67,601448.0,0.0,1.0,94.54,94.74,93.97,94.67,601448.0
2015-03-02,93.45,94.9,93.3,94.84,725421.0,0.0,1.0,93.45,94.9,93.3,94.84,725421.0
2015-02-27,93.45,93.78,92.9848,93.37,769912.0,0.0,1.0,93.45,93.78,92.9848,93.37,769912.0
2015-02-26,93.08,93.5,92.89,93.21,742841.0,0.0,1.0,93.08,93.5,92.89,93.21,742841.0
2015-02-25,92.98,93.26,92.54,93.08,677600.0,0.0,1.0,92.405102385314,92.683371138464,91.967822916078,92.504484082867,677600.0
2015-02-24,93.19,93.44,92.95,93.07,732050.0,0.0,1.0,92.613803950176,92.86225819406,92.375287876048,92.494545913112,732050.0
2015-02-23,94.07,94.11,92.68,93.34,707295.0,0.0,1.0,93.488362888648,93.528115567669,92.106957292653,92.762876496507,707295.0
2015-02-20,93.02,94.35,92.42,93.62,1789172.0,0.0,1.0,92.444855064335,93.766631641798,91.848564879014,93.041145249657,1789172.0
2015-02-19,92.89,93.52,92.7,92.98,801553.0,0.0,1.0,92.315658857516,92.941763552103,92.126833632164,92.405102385314,801553.0
2015-02-18,92.81,93.11,92.47,93.0,875936.0,0.0,1.0,92.236153499473,92.534298592134,91.898255727791,92.424978724825,875936.0
2015-02-17,92.21,93.34,91.79,92.52,878672.0,0.0,1.0,91.639863314151,92.762876496507,91.222460184426,91.947946576567,878672.0
2015-02-13,91.97,92.64,90.74,92.56,1129448.0,0.0,1.0,91.401347240023,92.067204613632,90.178952360114,91.987699255589,1129448.0
2015-02-12,87.33,92.88,87.21,92.74,1263434.0,0.0,1.0,86.790036473537,92.30572068776,86.670778436473,92.166586311185,1263434.0
2015-02-11,85.59,85.86,85.15,85.47,949765.0,0.0,1.0,85.060794936105,85.329125519499,84.623515466869,84.94153689904,949765.0
2015-02-10,85.35,85.74,84.72,85.47,814284.0,0.0,1.0,84.822278861976,85.209867482435,84.196174167389,84.94153689904,814284.0
2015-02-09,85.33,85.6,84.87,85.04,417374.0,0.0,1.0,84.802402522465,85.07073310586,84.345246713719,84.51419559956,417374.0
2015-02-04,84.59,85.71,84.67,85.03,749300.0,0.0,1.0,84.066977960569,85.180052973169,84.146483318612,84.504257429805,749300.0
2015-02-03,84.91,85.555,84.53,85.3,497596.0,0.0,1.0,84.38499939274,85.026011341961,84.007348942037,84.772588013199,497596.0
2015-02-02,84.65,84.68,82.87,84.46,647077.0,0.0,1.0,84.126606979101,84.156421488367,82.357612762647,83.937781753749,647077.0
2015-01-30,84.55,85.22,84.13,84.46,629308.0,0.0,1.0,84.027225281548,84.693082655156,83.609822151822,83.937781753749,629308.0
2015-01-29,85.23,85.38,84.15,85.21,538402.0,0.0,1.0,84.703020824912,84.852093371242,83.629698491333,84.683144485401,538402.0
2015-01-28,85.63,86.31,85.03,85.22,583680.0,0.0,1.0,85.100547615126,85.77634315849,84.504257429805,84.693082655156,583680.0
2015-01-26,85.19,85.47,84.55,85.18,617039.0,0.0,1.0,84.66326814589,84.94153689904,84.027225281548,84.653329976135,617039.0
2015-01-23,85.4,85.89,85.24,85.24,332859.0,0.0,1.0,84.871969710753,85.358940028765,84.712958994667,84.712958994667,332859.0
2015-01-22,84.67,85.66,84.37,85.66,456495.0,0.0,1.0,84.146483318612,85.130362124392,83.848338225951,85.130362124392,456495.0
2015-01-21,83.92,84.51,83.44,84.41,496343.0,0.0,1.0,83.40112058696,83.987472602526,82.924088438703,83.888090904973,496343.0
2015-01-20,83.47,83.95,82.34,83.6,555282.0,0.0,1.0,82.953902947969,83.430935096226,81.830889765614,83.083099154789,555282.0
2015-01-15,83.225,83.52,82.37,82.69,464367.0,0.0,1.0,82.710417788963,83.003593796746,81.86070427488,82.178725707051,464367.0
2015-01-14,82.63,83.03,82.19,82.98,425151.0,0.0,1.0,82.119096688519,82.516623478733,81.681817219283,82.466932629956,425151.0
2015-01-13,83.62,84.11,82.42,83.15,473257.0,0.0,1.0,83.102975494299,83.589945812312,81.910395123656,82.635881515797,473257.0
2015-01-12,82.62,82.985,82.36,82.62,464819.0,0.0,1.0,82.109158518764,82.471901714834,81.850766105124,82.109158518764,464819.0
