Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,75.08,75.795,74.72,75.35,2375395.0,0.0,1.0,75.08,75.795,74.72,75.35,2375395.0
2015-04-15,73.58,75.6,73.45,75.32,2549746.0,0.0,1.0,73.58,75.6,73.45,75.32,2549746.0
2015-04-14,72.22,73.5299,72.16,73.2,1692910.0,0.0,1.0,72.22,73.5299,72.16,73.2,1692910.0
2015-04-13,72.37,72.47,71.95,72.12,1112757.0,0.0,1.0,72.37,72.47,71.95,72.12,1112757.0
2015-04-10,72.0,72.31,71.38,72.3,1443773.0,0.0,1.0,72.0,72.31,71.38,72.3,1443773.0
2015-04-09,70.45,72.06,70.01,71.9,1557298.0,0.0,1.0,70.45,72.06,70.01,71.9,1557298.0
2015-04-08,69.93,70.64,69.4,70.2,1823013.0,0.0,1.0,69.93,70.64,69.4,70.2,1823013.0
2015-04-07,69.54,70.09,69.48,69.91,1659025.0,0.0,1.0,69.54,70.09,69.48,69.91,1659025.0
2015-04-06,68.85,69.88,68.25,69.48,2323046.0,0.0,1.0,68.85,69.88,68.25,69.48,2323046.0
2015-04-02,68.13,68.72,67.74,68.07,1297693.0,0.0,1.0,68.13,68.72,67.74,68.07,1297693.0
2015-04-01,68.97,69.32,67.8,68.2,1620493.0,0.0,1.0,68.97,69.32,67.8,68.2,1620493.0
2015-03-31,69.62,70.12,69.01,69.26,1649202.0,0.0,1.0,69.62,70.12,69.01,69.26,1649202.0
2015-03-30,69.4,70.91,69.36,70.4,1375754.0,0.0,1.0,69.4,70.91,69.36,70.4,1375754.0
2015-03-27,68.91,69.31,68.07,68.71,1987293.0,0.0,1.0,68.91,69.31,68.07,68.71,1987293.0
2015-03-26,68.81,69.65,68.53,68.83,1515101.0,0.0,1.0,68.81,69.65,68.53,68.83,1515101.0
2015-03-25,69.4,69.82,68.66,68.85,1490671.0,0.0,1.0,69.4,69.82,68.66,68.85,1490671.0
2015-03-24,69.36,69.78,69.05,69.24,721308.0,0.0,1.0,69.36,69.78,69.05,69.24,721308.0
2015-03-23,69.44,70.39,69.4,69.59,1373428.0,0.0,1.0,69.44,70.39,69.4,69.59,1373428.0
2015-03-20,69.0,69.7399,68.73,69.46,1766292.0,0.0,1.0,69.0,69.7399,68.73,69.46,1766292.0
2015-03-19,70.24,70.24,68.74,68.94,1690837.0,0.0,1.0,70.24,70.24,68.74,68.94,1690837.0
2015-03-18,68.46,71.41,68.09,70.77,1504548.0,0.0,1.0,68.46,71.41,68.09,70.77,1504548.0
2015-03-17,68.65,69.1999,67.87,68.92,1462577.0,0.0,1.0,68.65,69.1999,67.87,68.92,1462577.0
2015-03-16,69.16,69.53,68.15,69.24,2231630.0,0.0,1.0,69.16,69.53,68.15,69.24,2231630.0
2015-03-13,70.33,70.52,68.91,69.64,1432881.0,0.0,1.0,70.33,70.52,68.91,69.64,1432881.0
