Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,75.32,76.08,74.83,75.77,1006178.0,0.0,1.0,75.32,76.08,74.83,75.77,1006178.0
2015-04-15,76.07,76.18,75.17,75.31,1242721.0,0.0,1.0,76.07,76.18,75.17,75.31,1242721.0
2015-04-14,76.08,76.18,75.51,76.1,1393093.0,0.0,1.0,76.08,76.18,75.51,76.1,1393093.0
2015-04-13,75.38,75.96,75.32,75.32,1166505.0,0.0,1.0,75.38,75.96,75.32,75.32,1166505.0
2015-04-10,76.06,76.65,75.39,75.62,1331043.0,0.0,1.0,76.06,76.65,75.39,75.62,1331043.0
2015-04-09,77.86,77.88,75.71,75.87,1443209.0,0.0,1.0,77.86,77.88,75.71,75.87,1443209.0
2015-04-08,77.8,78.43,77.72,78.04,2337054.0,0.0,1.0,77.8,78.43,77.72,78.04,2337054.0
2015-04-07,78.97,79.16,77.7,77.7,1625814.0,0.0,1.0,78.97,79.16,77.7,77.7,1625814.0
2015-04-06,78.61,79.23,78.4,79.08,1044600.0,0.0,1.0,78.61,79.23,78.4,79.08,1044600.0
2015-04-02,77.68,78.65,77.51,78.31,1422700.0,0.0,1.0,77.68,78.65,77.51,78.31,1422700.0
2015-04-01,77.94,78.19,77.25,77.56,1845993.0,0.0,1.0,77.94,78.19,77.25,77.56,1845993.0
2015-03-31,78.86,79.015,77.85,77.86,3185653.0,0.0,1.0,78.86,79.015,77.85,77.86,3185653.0
2015-03-30,78.78,79.21,78.3026,78.9,4361057.0,0.0,1.0,78.78,79.21,78.3026,78.9,4361057.0
2015-03-27,78.45,79.2,78.01,78.45,1855846.0,0.0,1.0,78.45,79.2,78.01,78.45,1855846.0
2015-03-26,79.01,79.33,78.28,78.5,2741068.0,0.0,1.0,79.01,79.33,78.28,78.5,2741068.0
2015-03-25,80.76,81.19,78.63,78.81,2603860.0,0.0,1.0,80.76,81.19,78.63,78.81,2603860.0
2015-03-24,81.27,81.79,80.8,80.83,2200810.0,0.0,1.0,81.27,81.79,80.8,80.83,2200810.0
2015-03-23,81.88,82.53,81.4,81.46,1294517.0,0.0,1.0,81.88,82.53,81.4,81.46,1294517.0
2015-03-20,79.71,81.97,79.64,81.73,3006250.0,0.0,1.0,79.71,81.97,79.64,81.73,3006250.0
2015-03-19,79.62,80.61,79.44,79.73,1564216.0,0.553,1.0,79.62,80.61,79.44,79.73,1564216.0
2015-03-18,78.67,80.74,78.13,80.41,1923898.0,0.0,1.0,78.128110558898,80.183852123114,77.591830150841,79.85612520708,1923898.0
2015-03-17,78.66,78.91,77.98,78.62,1646832.0,0.0,1.0,78.11817944023,78.366457406923,77.442863370826,78.078454965559,1646832.0
2015-03-16,77.36,78.97,77.25,78.9,1466667.0,0.0,1.0,76.827134013428,78.426044118929,76.717891708083,78.356526288255,1466667.0
2015-03-13,77.36,77.71,76.64,77.02,1499818.0,0.0,1.0,76.827134013428,77.174723166797,76.112093469352,76.489475978725,1499818.0
2015-03-12,76.28,77.32,76.048,77.13,2541410.0,0.0,1.0,75.754573197314,76.787409538757,75.524171244224,76.59871828407,2541410.0
2015-03-11,75.86,76.2,75.65,75.76,1033197.0,0.0,1.0,75.337466213271,75.675124247973,75.128912721249,75.238155026593,1033197.0
2015-03-10,75.78,76.59,75.485,75.95,1547713.0,0.0,1.0,75.258017263929,76.062437876014,74.965049263231,75.42684628128,1547713.0
2015-03-09,75.57,76.23,75.41,75.81,1017259.0,0.0,1.0,75.049463771907,75.704917603976,74.890565873223,75.287810619932,1017259.0
2015-03-06,75.97,76.29,74.82,75.03,1904984.0,0.0,1.0,75.446708518615,75.764504315982,74.304629871828,74.51318336385,1904984.0
2015-03-05,77.71,78.36,77.313,77.33,1670400.0,0.0,1.0,77.174723166797,77.820245880199,76.780457755689,76.797340657424,1670400.0
2015-03-04,77.29,77.45,76.53,76.84,1139661.0,0.0,1.0,76.757616182754,76.916514081437,76.002851164007,76.310715842706,1139661.0
2015-03-03,77.37,77.61,76.78,77.26,1583455.0,0.0,1.0,76.837065132095,77.07541198012,76.2511291307,76.72782282675,1583455.0
2015-03-02,77.28,78.24,77.08,77.58,1735765.0,0.0,1.0,76.747685064086,77.701072456186,76.549062690732,77.045618624117,1735765.0
2015-02-27,77.05,77.34,76.53,77.03,2717801.0,0.0,1.0,76.519269334728,76.807271776092,76.002851164007,76.499407097393,2717801.0
2015-02-26,77.85,77.96,76.8,76.84,1994824.0,0.0,1.0,77.313758828145,77.42300113349,76.270991368036,76.310715842706,1994824.0
2015-02-25,78.01,79.2,77.69,77.7,2130917.0,0.0,1.0,77.472656726829,78.654459848287,77.154860929462,77.16479204813,2130917.0
2015-02-24,79.65,79.65,77.74,77.98,2011255.0,0.0,1.0,79.101360188334,79.101360188334,77.204516522801,77.442863370826,2011255.0
2015-02-23,79.01,79.97,78.71,79.95,2038624.0,0.0,1.0,78.4657685936,79.419155985701,78.167835033569,79.399293748365,2038624.0
2015-02-20,77.67,78.74,77.29,78.65,1834059.0,0.0,1.0,77.134998692127,78.197628389572,76.757616182754,78.108248321562,1834059.0
2015-02-19,79.69,79.806,77.35,77.58,1671579.0,0.0,1.0,79.141084663005,79.25628563955,76.81720289476,77.045618624117,1671579.0
2015-02-18,78.9,80.09,78.58,79.99,1628207.0,0.0,1.0,78.356526288255,79.538329409713,78.038730490888,79.439018223036,1628207.0
2015-02-17,78.51,79.39,78.38,79.01,2020243.0,0.0,1.0,77.969212660214,78.843151102973,77.840108117534,78.4657685936,2020243.0
2015-02-13,79.55,79.76,78.35,78.75,1883841.0,0.0,1.0,79.002049001657,79.210602493679,77.810314761531,78.20755950824,1883841.0
2015-02-12,78.33,80.08,77.97,79.86,1950674.0,0.0,1.0,77.790452524196,79.528398291045,77.432932252158,79.309913680356,1950674.0
2015-02-11,77.85,78.41,77.29,77.97,2091253.0,0.0,1.0,77.313758828145,77.869901473537,76.757616182754,77.432932252158,2091253.0
2015-02-10,78.16,78.56,77.21,77.7,3666204.0,0.0,1.0,77.621623506845,78.018868253553,76.678167233412,77.16479204813,3666204.0
2015-02-09,78.21,78.49,77.79,77.87,1346260.0,0.0,1.0,77.671279100183,77.949350422879,77.254172116139,77.333621065481,1346260.0
2015-02-04,80.45,80.46,77.639,78.94,2696612.0,0.0,1.0,79.895849681751,79.905780800419,77.104212224257,78.396250762926,2696612.0
2015-02-03,77.13,77.99,76.42,77.99,2191658.0,0.0,1.0,76.59871828407,77.452794489493,75.893608858662,77.452794489493,2191658.0
2015-02-02,77.66,77.78,75.95,77.1,2394523.0,0.0,1.0,77.125067573459,77.244240997471,75.42684628128,76.568924928067,2394523.0
2015-01-30,79.05,79.27,77.54,77.61,2332288.0,0.0,1.0,78.505493068271,78.723977678961,77.005894149446,77.07541198012,2332288.0
2015-01-29,79.58,79.8,78.64,79.34,1767025.0,0.0,1.0,79.03184235766,79.250326968349,78.098317202895,78.793495509635,1767025.0
2015-01-28,80.49,81.03,79.58,79.63,1640723.0,0.0,1.0,79.935574156422,80.471854564478,79.03184235766,79.081497950998,1640723.0
2015-01-26,79.67,80.28,79.27,80.1,1792807.0,0.0,1.0,79.121222425669,79.7270206644,78.723977678961,79.548260528381,1792807.0
2015-01-23,79.58,80.095,78.99,79.8,2127956.0,0.0,1.0,79.03184235766,79.543294969047,78.445906356265,79.250326968349,2127956.0
2015-01-22,77.78,79.32,77.7,79.31,1805056.0,0.0,1.0,77.244240997471,78.773633272299,77.16479204813,78.763702153632,1805056.0
2015-01-21,77.75,77.92,76.77,77.73,2146070.0,0.0,1.0,77.214447641468,77.383276658819,76.241198012032,77.194585404133,2146070.0
2015-01-20,79.94,80.08,77.445,77.98,3455716.0,0.0,1.0,79.389362629697,79.528398291045,76.911548522103,77.442863370826,3455716.0
2015-01-15,78.11,78.68,77.79,78.53,1387298.0,0.0,1.0,77.571967913506,78.138041677566,77.254172116139,77.98907489755,1387298.0
2015-01-14,76.72,78.19,76.67,78.08,1455229.0,0.0,1.0,76.191542418694,77.651416862848,76.141886825355,77.542174557503,1455229.0
2015-01-13,78.02,78.03,76.79,77.09,2064661.0,0.0,1.0,77.482587845497,77.492518964164,76.261060249368,76.558993809399,2064661.0
2015-01-12,77.19,78.05,77.16,77.89,1797053.0,0.0,1.0,76.658304996076,77.5123812015,76.628511640073,77.353483302816,1797053.0
2015-01-08,75.76,76.48,75.01,76.43,2120646.0,0.0,1.0,75.238155026593,75.953195570669,74.493321126515,75.90353997733,2120646.0
2015-01-06,74.35,74.98,74.11,74.48,2042010.0,0.0,1.0,73.837867294446,74.463527770512,73.599520446421,73.966971837126,2042010.0
2015-01-05,73.17,74.32,72.94,74.06,1799044.0,0.0,1.0,72.665995291656,73.808073938443,72.437579562298,73.549864853082,1799044.0
2015-01-02,72.28,73.69,72.06,73.41,1408400.0,0.0,1.0,71.782125730229,73.182413462377,71.56364111954,72.904342139681,1408400.0
2014-12-31,73.05,73.45,71.78,71.84,1472400.0,0.0,1.0,72.546821867643,72.944066614352,71.285569796844,71.34515650885,1472400.0
2014-12-30,73.61,73.95,72.67,72.89,1301500.0,0.0,1.0,73.102964513035,73.440622547737,72.16943935827,72.38792396896,1301500.0
2014-12-29,73.51,74.23,73.23,73.74,1049400.0,0.0,1.0,73.003653326358,73.718693870433,72.725582003662,73.232069055715,1049400.0
2014-12-26,73.22,73.89,73.22,73.59,696100.0,0.0,1.0,72.715650884994,73.381035835731,72.715650884994,73.0831022757,696100.0
2014-12-24,73.69,74.16,73.12,73.22,661500.0,0.0,1.0,73.182413462377,73.649176039759,72.616339698317,72.715650884994,661500.0
2014-12-23,74.29,74.72,73.45,73.72,1737300.0,0.5,1.0,73.77828058244,74.205318685151,72.944066614352,73.21220681838,1737300.0
2014-12-22,73.5,74.6,73.14,74.55,1937200.0,0.0,1.0,72.50198330842,73.587047004192,72.14687155344,73.537725927112,1937200.0
2014-12-19,73.28,73.98,72.75,73.36,3722300.0,0.0,1.0,72.284970569265,72.975465648393,71.762167152212,72.363884292594,3722300.0
2014-12-18,72.58,72.98,72.21,72.97,1346100.0,0.0,1.0,71.594475490138,71.989044106782,71.229499519742,71.979179891366,1346100.0
2014-12-17,70.63,72.61,70.34,72.27,2408500.0,0.0,1.0,69.670953483996,71.624068136386,69.384891236929,71.288684812238,2408500.0
2014-12-16,70.73,70.95,69.78,70.38,1575200.0,0.0,1.0,69.769595638157,69.986608377312,68.832495173626,69.424348098593,1575200.0
2014-12-15,71.1,71.39,70.13,70.35,1440000.0,0.0,1.0,70.134571608553,70.42063385562,69.17774271319,69.394755452345,1440000.0
2014-12-12,72.09,72.26,71.06,71.08,1824000.0,0.0,1.0,71.111128934748,71.278820596822,70.095114746889,70.114843177721,1824000.0
2014-12-11,72.9,72.95,72.15,72.28,1411800.0,0.0,1.0,71.910130383453,71.959451460534,71.170314227245,71.298549027654,1411800.0
2014-12-10,72.16,72.97,71.97,72.47,1823400.0,0.0,1.0,71.180178442661,71.979179891366,70.992758349755,71.48596912056,1823400.0
2014-12-09,71.32,72.51,71.17,72.23,1063400.0,0.0,1.0,70.351584347708,71.525425982225,70.203621116466,71.249227950574,1063400.0
2014-12-08,70.58,71.74,70.51,71.57,1576600.0,0.0,1.0,69.621632406915,70.765881395184,69.552582899003,70.59818973311,1576600.0
2014-12-05,70.81,70.94,69.98,70.29,2096000.0,0.0,1.0,69.848509361486,69.976744161895,69.029779481949,69.335570159848,2096000.0
2014-12-04,70.97,71.44,70.75,71.29,1220800.0,0.0,1.0,70.006336808144,70.469954932701,69.789324068989,70.321991701459,1220800.0
2014-12-03,71.04,71.21,70.65,70.97,1054200.0,0.0,1.0,70.075386316057,70.24307797813,69.690681914828,70.006336808144,1054200.0
2014-12-02,70.77,71.25,70.23,71.09,2647900.0,0.0,1.0,69.809052499821,70.282534839795,69.276384867351,70.124707393137,2647900.0
2014-12-01,70.93,71.47,70.57,70.64,1761600.0,0.0,1.0,69.966879946479,70.499547578949,69.611768191499,69.680817699412,1761600.0
2014-11-28,70.87,71.92,70.65,70.84,1700100.0,0.0,1.0,69.907694653983,70.943437272674,69.690681914828,69.878102007734,1700100.0
2014-11-26,70.2,71.16,70.04,71.04,1164200.0,0.0,1.0,69.246792221103,70.19375690105,69.088964774445,70.075386316057,1164200.0
2014-11-25,70.2,70.35,69.92,70.04,1727600.0,0.0,1.0,69.246792221103,69.394755452345,68.970594189452,69.088964774445,1727600.0
2014-11-24,70.2,70.8,69.86,70.06,1748500.0,0.0,1.0,69.246792221103,69.83864514607,68.911408896955,69.108693205278,1748500.0
2014-11-21,69.92,70.36,69.68,70.31,1843900.0,0.0,1.0,68.970594189452,69.404619667761,68.733853019465,69.35529859068,1843900.0
2014-11-20,69.23,69.59,68.94,69.56,1122000.0,0.0,1.0,68.28996332574,68.64507508072,68.003901078673,68.615482434472,1122000.0
2014-11-19,69.9,70.15,69.21,69.23,1405100.0,0.0,1.0,68.95086575862,69.197471144023,68.270234894908,68.28996332574,1405100.0
2014-11-18,69.5,70.37,69.25,70.18,1943000.0,0.0,1.0,68.556297141975,69.414483883177,68.309691756573,69.227063790271,1943000.0
