Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,86.85,87.05,85.85,86.37,2504483.0,0.0,1.0,86.85,87.05,85.85,86.37,2504483.0
2015-04-15,88.27,88.57,86.37,87.06,4153225.0,0.0,1.0,88.27,88.57,86.37,87.06,4153225.0
2015-04-14,88.08,88.65,87.79,88.06,2271905.0,0.0,1.0,88.08,88.65,87.79,88.06,2271905.0
2015-04-13,88.78,89.33,87.98,88.095,2821295.0,0.0,1.0,88.78,89.33,87.98,88.095,2821295.0
2015-04-10,88.39,89.59,88.05,88.85,4422336.0,0.0,1.0,88.39,89.59,88.05,88.85,4422336.0
2015-04-09,85.16,89.25,84.82,88.47,8620523.0,0.0,1.0,85.16,89.25,84.82,88.47,8620523.0
2015-04-08,84.32,85.12,83.9,84.36,2137555.0,0.0,1.0,84.32,85.12,83.9,84.36,2137555.0
2015-04-07,84.34,85.08,84.04,84.115,1718695.0,0.0,1.0,84.34,85.08,84.04,84.115,1718695.0
2015-04-06,84.18,85.39,83.92,84.88,2138981.0,0.0,1.0,84.18,85.39,83.92,84.88,2138981.0
2015-04-02,84.49,85.22,84.14,84.58,2595728.0,0.0,1.0,84.49,85.22,84.14,84.58,2595728.0
2015-04-01,86.99,87.16,83.76,84.23,4965811.0,0.0,1.0,86.99,87.16,83.76,84.23,4965811.0
2015-03-31,85.38,88.55,85.25,86.77,6646932.0,0.0,1.0,85.38,88.55,85.25,86.77,6646932.0
2015-03-30,82.81,85.555,82.73,85.405,5883942.0,0.0,1.0,82.81,85.555,82.73,85.405,5883942.0
2015-03-27,83.02,83.35,82.31,82.38,2570064.0,0.0,1.0,83.02,83.35,82.31,82.38,2570064.0
2015-03-26,82.94,83.57,82.2,82.99,2864855.0,0.0,1.0,82.94,83.57,82.2,82.99,2864855.0
2015-03-25,83.87,84.74,83.125,83.45,4058929.0,0.0,1.0,83.87,84.74,83.125,83.45,4058929.0
2015-03-24,85.13,85.28,84.06,84.06,2476610.0,0.0,1.0,85.13,85.28,84.06,84.06,2476610.0
2015-03-23,85.33,85.88,85.0,85.31,2344214.0,0.0,1.0,85.33,85.88,85.0,85.31,2344214.0
2015-03-20,84.52,85.9224,84.45,85.38,6026865.0,0.0,1.0,84.52,85.9224,84.45,85.38,6026865.0
2015-03-19,83.31,84.0,83.09,83.95,2528486.0,0.0,1.0,83.31,84.0,83.09,83.95,2528486.0
2015-03-18,83.13,83.69,81.91,83.29,3720941.0,0.0,1.0,83.13,83.69,81.91,83.29,3720941.0
2015-03-17,83.04,83.63,82.72,83.01,1844363.0,0.0,1.0,83.04,83.63,82.72,83.01,1844363.0
2015-03-16,81.93,84.09,81.77,83.65,3408472.0,0.0,1.0,81.93,84.09,81.77,83.65,3408472.0
2015-03-13,81.79,82.89,80.94,81.37,3011627.0,0.0,1.0,81.79,82.89,80.94,81.37,3011627.0
2015-03-12,81.66,82.5,81.6,82.285,2145982.0,0.0,1.0,81.66,82.5,81.6,82.285,2145982.0
2015-03-11,81.62,82.26,81.15,81.24,3018496.0,0.0,1.0,81.62,82.26,81.15,81.24,3018496.0
2015-03-10,81.7,82.25,81.36,81.39,3091481.0,0.0,1.0,81.7,82.25,81.36,81.39,3091481.0
2015-03-09,82.39,82.92,81.83,81.89,3419717.0,0.0,1.0,82.39,82.92,81.83,81.89,3419717.0
2015-03-06,84.0,84.45,82.1,82.27,3552327.0,0.0,1.0,84.0,84.45,82.1,82.27,3552327.0
2015-03-05,83.09,84.47,83.02,84.28,3457749.0,0.0,1.0,83.09,84.47,83.02,84.28,3457749.0
2015-03-04,84.08,85.03,83.61,84.83,2908804.0,0.0,1.0,84.08,85.03,83.61,84.83,2908804.0
2015-03-03,84.76,84.76,84.14,84.35,2098736.0,0.0,1.0,84.76,84.76,84.14,84.35,2098736.0
2015-03-02,84.39,85.19,84.35,84.93,2605202.0,0.0,1.0,84.39,85.19,84.35,84.93,2605202.0
2015-02-27,84.74,84.97,84.09,84.79,3398728.0,0.0,1.0,84.74,84.97,84.09,84.79,3398728.0
2015-02-26,84.83,85.0519,84.16,84.54,6628483.0,0.0,1.0,84.83,85.0519,84.16,84.54,6628483.0
2015-02-25,87.44,87.44,84.85,85.09,5194117.0,0.0,1.0,87.44,87.44,84.85,85.09,5194117.0
2015-02-24,88.0,88.83,86.05,87.62,5941973.0,0.0,1.0,88.0,88.83,86.05,87.62,5941973.0
2015-02-23,86.08,86.87,85.83,86.72,5293769.0,0.0,1.0,86.08,86.87,85.83,86.72,5293769.0
2015-02-20,85.62,86.12,84.915,86.08,3747278.0,0.0,1.0,85.62,86.12,84.915,86.08,3747278.0
2015-02-19,85.07,85.73,84.8601,85.5,2970516.0,0.0,1.0,85.07,85.73,84.8601,85.5,2970516.0
2015-02-18,85.13,85.27,84.79,85.17,2315247.0,0.0,1.0,85.13,85.27,84.79,85.17,2315247.0
2015-02-17,84.6,85.29,84.29,85.19,2836217.0,0.0,1.0,84.6,85.29,84.29,85.19,2836217.0
2015-02-13,84.57,84.92,83.93,84.9,2097002.0,0.0,1.0,84.57,84.92,83.93,84.9,2097002.0
2015-02-12,85.0,85.1,83.99,84.5,3437166.0,0.0,1.0,85.0,85.1,83.99,84.5,3437166.0
2015-02-11,82.23,84.875,82.23,84.79,4141323.0,0.0,1.0,82.23,84.875,82.23,84.79,4141323.0
