Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,26.37,26.37,24.9705,25.2,8595499.0,0.0,1.0,26.37,26.37,24.9705,25.2,8595499.0
2015-04-15,25.36,26.66,25.0899,26.58,7894424.0,0.0,1.0,25.36,26.66,25.0899,26.58,7894424.0
2015-04-14,23.88,25.42,23.87,25.18,5987211.0,0.0,1.0,23.88,25.42,23.87,25.18,5987211.0
2015-04-13,24.01,24.1,23.28,23.61,4236176.0,0.0,1.0,24.01,24.1,23.28,23.61,4236176.0
2015-04-10,24.03,24.4,23.45,23.66,5178114.0,0.0,1.0,24.03,24.4,23.45,23.66,5178114.0
2015-04-09,22.92,24.26,22.92,24.02,6630527.0,0.0,1.0,22.92,24.26,22.92,24.02,6630527.0
2015-04-08,23.5,23.76,22.65,22.73,5879260.0,0.0,1.0,23.5,23.76,22.65,22.73,5879260.0
2015-04-07,23.11,24.04,22.94,23.51,5428657.0,0.0,1.0,23.11,24.04,22.94,23.51,5428657.0
2015-04-06,21.98,23.57,21.98,23.23,6586481.0,0.0,1.0,21.98,23.57,21.98,23.23,6586481.0
2015-04-02,21.05,21.95,21.04,21.88,4378213.0,0.0,1.0,21.05,21.95,21.04,21.88,4378213.0
2015-04-01,21.16,21.55,21.04,21.34,3403242.0,0.0,1.0,21.16,21.55,21.04,21.34,3403242.0
2015-03-31,20.87,21.43,20.72,21.07,4298393.0,0.0,1.0,20.87,21.43,20.72,21.07,4298393.0
2015-03-30,21.35,21.58,20.8,21.12,5947149.0,0.0,1.0,21.35,21.58,20.8,21.12,5947149.0
2015-03-27,21.41,21.54,20.97,21.28,4345972.0,0.0,1.0,21.41,21.54,20.97,21.28,4345972.0
2015-03-26,22.21,22.48,21.27,21.7,5365728.0,0.0,1.0,22.21,22.48,21.27,21.7,5365728.0
2015-03-25,21.3,22.12,21.02,21.76,5888104.0,0.0,1.0,21.3,22.12,21.02,21.76,5888104.0
2015-03-24,21.03,21.38,20.65,21.0,5648892.0,0.0,1.0,21.03,21.38,20.65,21.0,5648892.0
2015-03-23,21.11,22.1,20.94,20.98,7297016.0,0.0,1.0,21.11,22.1,20.94,20.98,7297016.0
2015-03-20,21.23,21.54,20.99,21.05,11859120.0,0.0,1.0,21.23,21.54,20.99,21.05,11859120.0
2015-03-19,21.26,21.32,20.47,20.8,5367963.0,0.0,1.0,21.26,21.32,20.47,20.8,5367963.0
2015-03-18,20.23,21.81,20.11,21.7,7401645.0,0.0,1.0,20.23,21.81,20.11,21.7,7401645.0
2015-03-17,20.29,20.78,20.23,20.38,7197904.0,0.0,1.0,20.29,20.78,20.23,20.38,7197904.0
2015-03-16,20.2,20.74,19.78,20.62,6658602.0,0.0,1.0,20.2,20.74,19.78,20.62,6658602.0
2015-03-13,21.54,21.56,20.2,20.46,9297181.0,0.0,1.0,21.54,21.56,20.2,20.46,9297181.0
2015-03-12,22.64,22.74,21.8,21.9,5371521.0,0.0,1.0,22.64,22.74,21.8,21.9,5371521.0
2015-03-11,22.31,22.69,21.9,22.44,6096646.0,0.0,1.0,22.31,22.69,21.9,22.44,6096646.0
2015-03-10,22.03,22.8,21.81,22.25,6988730.0,0.0,1.0,22.03,22.8,21.81,22.25,6988730.0
2015-03-09,22.83,23.36,22.4,22.47,6418862.0,0.0,1.0,22.83,23.36,22.4,22.47,6418862.0
2015-03-06,23.75,23.83,22.73,22.85,7296754.0,0.0,1.0,23.75,23.83,22.73,22.85,7296754.0
2015-03-05,23.91,24.03,23.25,23.89,6315530.0,0.0,1.0,23.91,24.03,23.25,23.89,6315530.0
